label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.834265843084841
caudalanteriorcingulate	L	cortex	6.82589186973695
caudalmiddlefrontal	L	cortex	6.8613651063500365
cuneus	L	cortex	6.813888064631081
entorhinal	L	cortex	6.709789987596216
fusiform	L	cortex	6.790776911523813
inferiorparietal	L	cortex	6.820041190580818
inferiortemporal	L	cortex	6.803374196448194
isthmuscingulate	L	cortex	6.864822841893181
lateraloccipital	L	cortex	6.886197142345607
lateralorbitofrontal	L	cortex	6.80457556489982
lingual	L	cortex	6.854334833725422
medialorbitofrontal	L	cortex	6.802195230307975
middletemporal	L	cortex	6.8403075526990715
parahippocampal	L	cortex	6.727375462322023
paracentral	L	cortex	6.81274778437734
parsopercularis	L	cortex	6.839120320312245
parsorbitalis	L	cortex	6.74924709633417
parstriangularis	L	cortex	6.829422665334337
pericalcarine	L	cortex	6.853423191456807
postcentral	L	cortex	6.846498131585301
posteriorcingulate	L	cortex	6.841709955212127
precentral	L	cortex	6.859378517161806
precuneus	L	cortex	6.847629936985285
rostralanteriorcingulate	L	cortex	6.875888244277035
rostralmiddlefrontal	L	cortex	6.822870583961984
superiorfrontal	L	cortex	6.849912935817649
superiorparietal	L	cortex	6.804343085396092
superiortemporal	L	cortex	6.811951879536532
supramarginal	L	cortex	6.827008022630006
frontalpole	L	cortex	6.7296737557072115
temporalpole	L	cortex	6.665282637672048
transversetemporal	L	cortex	6.862468138528755
insula	L	cortex	6.816708319365577
thalamusproper	L	subcortex/brainstem	6.823856610799882
caudate	L	subcortex/brainstem	6.715394574983695
putamen	L	subcortex/brainstem	6.744028883377185
pallidum	L	subcortex/brainstem	6.686146980271976
accumbensarea	L	subcortex/brainstem	6.5148698323294765
hippocampus	L	subcortex/brainstem	6.623188919528362
amygdala	L	subcortex/brainstem	6.581548237689536
bankssts	R	cortex	6.863868053027242
caudalanteriorcingulate	R	cortex	6.828918484109589
caudalmiddlefrontal	R	cortex	6.8673979668909295
cuneus	R	cortex	6.807566502585282
entorhinal	R	cortex	6.725312974312798
fusiform	R	cortex	6.794883558656246
inferiorparietal	R	cortex	6.821670726055201
inferiortemporal	R	cortex	6.796136866051607
isthmuscingulate	R	cortex	6.867150310287
lateraloccipital	R	cortex	6.8958445410728535
lateralorbitofrontal	R	cortex	6.801526835243452
lingual	R	cortex	6.852696621204645
medialorbitofrontal	R	cortex	6.822326326555644
middletemporal	R	cortex	6.838794703061951
parahippocampal	R	cortex	6.732228682959739
paracentral	R	cortex	6.811949481581512
parsopercularis	R	cortex	6.831395688325251
parsorbitalis	R	cortex	6.741336129298858
parstriangularis	R	cortex	6.856203375537297
pericalcarine	R	cortex	6.8529376815632155
postcentral	R	cortex	6.846180774810699
posteriorcingulate	R	cortex	6.8575673697816875
precentral	R	cortex	6.857801191062979
precuneus	R	cortex	6.846373011717106
rostralanteriorcingulate	R	cortex	6.787968382782135
rostralmiddlefrontal	R	cortex	6.820782600198667
superiorfrontal	R	cortex	6.85132142487034
superiorparietal	R	cortex	6.808066788628394
superiortemporal	R	cortex	6.807221326009701
supramarginal	R	cortex	6.8132057560919
frontalpole	R	cortex	6.880293414279965
temporalpole	R	cortex	6.67110940518845
transversetemporal	R	cortex	6.881767543259761
insula	R	cortex	6.809614270764138
thalamusproper	R	subcortex/brainstem	6.840010690591141
caudate	R	subcortex/brainstem	6.6920386219691865
putamen	R	subcortex/brainstem	6.698604010294238
pallidum	R	subcortex/brainstem	6.674814293153191
accumbensarea	R	subcortex/brainstem	6.549212178992741
hippocampus	R	subcortex/brainstem	6.6137321635729185
amygdala	R	subcortex/brainstem	6.652239853846317
brainstem	B	subcortex/brainstem	6.7712173165756715
