label	hemisphere	structure	weighted_avg
bankssts	L	cortex	5.405802314508873
caudalanteriorcingulate	L	cortex	5.30877829155469
caudalmiddlefrontal	L	cortex	5.733313401287724
cuneus	L	cortex	5.776459876743356
entorhinal	L	cortex	5.00661388686429
fusiform	L	cortex	5.294603863319256
inferiorparietal	L	cortex	5.603573066721264
inferiortemporal	L	cortex	5.429539518421634
isthmuscingulate	L	cortex	5.566988623526581
lateraloccipital	L	cortex	5.730764551508835
lateralorbitofrontal	L	cortex	5.515720086319124
lingual	L	cortex	5.779831925309494
medialorbitofrontal	L	cortex	5.3442686961021915
middletemporal	L	cortex	5.364948906315668
parahippocampal	L	cortex	5.346367344002194
paracentral	L	cortex	5.5271641087836505
parsopercularis	L	cortex	5.534814287586509
parsorbitalis	L	cortex	5.558231124682155
parstriangularis	L	cortex	5.5629153806733624
pericalcarine	L	cortex	5.991609290752183
postcentral	L	cortex	5.509870472371378
posteriorcingulate	L	cortex	5.301995973206083
precentral	L	cortex	5.576950068505751
precuneus	L	cortex	5.660103785186275
rostralanteriorcingulate	L	cortex	5.170478989431569
rostralmiddlefrontal	L	cortex	5.614475063745008
superiorfrontal	L	cortex	5.560803213016032
superiorparietal	L	cortex	5.729692996992213
superiortemporal	L	cortex	5.311392391416741
supramarginal	L	cortex	5.443882480291265
frontalpole	L	cortex	5.754035530286398
temporalpole	L	cortex	4.980796373642484
transversetemporal	L	cortex	5.533639288325801
insula	L	cortex	5.441971328087273
thalamusproper	L	subcortex/brainstem	5.86249439800926
caudate	L	subcortex/brainstem	4.33900204333097
putamen	L	subcortex/brainstem	4.958813739345356
pallidum	L	subcortex/brainstem	5.408758425473405
accumbensarea	L	subcortex/brainstem	5.154094549781629
hippocampus	L	subcortex/brainstem	5.720459757162183
amygdala	L	subcortex/brainstem	5.480444024634686
bankssts	R	cortex	5.35692030484479
caudalanteriorcingulate	R	cortex	5.301904484994483
caudalmiddlefrontal	R	cortex	5.750394881806692
cuneus	R	cortex	5.814907119155334
entorhinal	R	cortex	5.009775572355838
fusiform	R	cortex	5.297369461384739
inferiorparietal	R	cortex	5.592213389205065
inferiortemporal	R	cortex	5.443446721247315
isthmuscingulate	R	cortex	5.549647728802754
lateraloccipital	R	cortex	5.766479605969308
lateralorbitofrontal	R	cortex	5.490660743838656
lingual	R	cortex	5.780015236061357
medialorbitofrontal	R	cortex	5.3247525811593315
middletemporal	R	cortex	5.355808289496639
parahippocampal	R	cortex	5.314843433676835
paracentral	R	cortex	5.540140484133148
parsopercularis	R	cortex	5.66419881530282
parsorbitalis	R	cortex	5.601975924489735
parstriangularis	R	cortex	5.519893511494619
pericalcarine	R	cortex	5.935713394879769
postcentral	R	cortex	5.509851886675385
posteriorcingulate	R	cortex	5.311285611193223
precentral	R	cortex	5.566978952166572
precuneus	R	cortex	5.661831053706929
rostralanteriorcingulate	R	cortex	5.124936439737498
rostralmiddlefrontal	R	cortex	5.601396150507701
superiorfrontal	R	cortex	5.560430711413166
superiorparietal	R	cortex	5.719731678522919
superiortemporal	R	cortex	5.315401682660916
supramarginal	R	cortex	5.437969172526739
frontalpole	R	cortex	5.078028061739623
temporalpole	R	cortex	4.918937368067066
transversetemporal	R	cortex	5.524755378924347
insula	R	cortex	5.458773419990419
thalamusproper	R	subcortex/brainstem	5.9009385841660125
caudate	R	subcortex/brainstem	4.431031795944118
putamen	R	subcortex/brainstem	4.875192712748045
pallidum	R	subcortex/brainstem	5.363232328633013
accumbensarea	R	subcortex/brainstem	5.208044996412297
hippocampus	R	subcortex/brainstem	5.71088583123849
amygdala	R	subcortex/brainstem	5.523140302659708
brainstem	B	subcortex/brainstem	6.567112697318596
