label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.264507515671902
caudalanteriorcingulate	L	cortex	6.296770539411969
caudalmiddlefrontal	L	cortex	6.264322216035002
cuneus	L	cortex	6.179864817153699
entorhinal	L	cortex	6.29665171550987
fusiform	L	cortex	6.24699980300532
inferiorparietal	L	cortex	6.255825159088545
inferiortemporal	L	cortex	6.266298788760817
isthmuscingulate	L	cortex	6.288479596991259
lateraloccipital	L	cortex	6.284454080020905
lateralorbitofrontal	L	cortex	6.242763318940757
lingual	L	cortex	6.234285367090232
medialorbitofrontal	L	cortex	6.248730082248673
middletemporal	L	cortex	6.298371378062014
parahippocampal	L	cortex	6.223363715170039
paracentral	L	cortex	6.248316606931728
parsopercularis	L	cortex	6.254801372403345
parsorbitalis	L	cortex	6.219497664140655
parstriangularis	L	cortex	6.255028792871265
pericalcarine	L	cortex	6.211992457326418
postcentral	L	cortex	6.268191880415798
posteriorcingulate	L	cortex	6.302928046151648
precentral	L	cortex	6.281035147043564
precuneus	L	cortex	6.261387568943113
rostralanteriorcingulate	L	cortex	6.323017211821545
rostralmiddlefrontal	L	cortex	6.235622577607838
superiorfrontal	L	cortex	6.265257225977633
superiorparietal	L	cortex	6.242131522460575
superiortemporal	L	cortex	6.267418001253472
supramarginal	L	cortex	6.3007975163386964
frontalpole	L	cortex	6.137668212350868
temporalpole	L	cortex	6.206810758069178
transversetemporal	L	cortex	6.254397178571935
insula	L	cortex	6.276266962983765
thalamusproper	L	subcortex/brainstem	6.329093204973663
caudate	L	subcortex/brainstem	6.1250757958063975
putamen	L	subcortex/brainstem	6.204088773247201
pallidum	L	subcortex/brainstem	6.232807557296891
accumbensarea	L	subcortex/brainstem	6.033274048608971
hippocampus	L	subcortex/brainstem	6.164687612202113
amygdala	L	subcortex/brainstem	6.1528190638982
bankssts	R	cortex	6.290802249773728
caudalanteriorcingulate	R	cortex	6.3005290780248195
caudalmiddlefrontal	R	cortex	6.265752877838073
cuneus	R	cortex	6.173834818278732
entorhinal	R	cortex	6.316365340964949
fusiform	R	cortex	6.244383817580302
inferiorparietal	R	cortex	6.255152046510384
inferiortemporal	R	cortex	6.26490870836993
isthmuscingulate	R	cortex	6.303035163275585
lateraloccipital	R	cortex	6.287994727280093
lateralorbitofrontal	R	cortex	6.242306520969386
lingual	R	cortex	6.233038197930594
medialorbitofrontal	R	cortex	6.264995012167941
middletemporal	R	cortex	6.294751569263164
parahippocampal	R	cortex	6.229122415522976
paracentral	R	cortex	6.249283305119006
parsopercularis	R	cortex	6.26246675368513
parsorbitalis	R	cortex	6.200058392339045
parstriangularis	R	cortex	6.281025475456416
pericalcarine	R	cortex	6.215062215279047
postcentral	R	cortex	6.268915985622559
posteriorcingulate	R	cortex	6.318668852949845
precentral	R	cortex	6.280104298838059
precuneus	R	cortex	6.2607658112355224
rostralanteriorcingulate	R	cortex	6.242176666600167
rostralmiddlefrontal	R	cortex	6.233208297298435
superiorfrontal	R	cortex	6.265053990674374
superiorparietal	R	cortex	6.246045150949376
superiortemporal	R	cortex	6.263000977709688
supramarginal	R	cortex	6.283984138392184
frontalpole	R	cortex	6.210997648116812
temporalpole	R	cortex	6.199607003314592
transversetemporal	R	cortex	6.2616029915108395
insula	R	cortex	6.268805032497079
thalamusproper	R	subcortex/brainstem	6.345121699287393
caudate	R	subcortex/brainstem	6.111552332010262
putamen	R	subcortex/brainstem	6.16530157894504
pallidum	R	subcortex/brainstem	6.2194217334883
accumbensarea	R	subcortex/brainstem	6.078065287196467
hippocampus	R	subcortex/brainstem	6.157355727543137
amygdala	R	subcortex/brainstem	6.21479242090299
brainstem	B	subcortex/brainstem	6.2609525875396725
