label	hemisphere	structure	weighted_avg
bankssts	L	cortex	5.069439336694651
caudalanteriorcingulate	L	cortex	4.855091654960934
caudalmiddlefrontal	L	cortex	5.151843705490883
cuneus	L	cortex	5.08220651989255
entorhinal	L	cortex	4.477747195079942
fusiform	L	cortex	4.820464291877036
inferiorparietal	L	cortex	4.8871687790530105
inferiortemporal	L	cortex	4.896296199573498
isthmuscingulate	L	cortex	4.988183162724172
lateraloccipital	L	cortex	5.210839398924307
lateralorbitofrontal	L	cortex	4.889113505471006
lingual	L	cortex	5.033289919185245
medialorbitofrontal	L	cortex	5.025797722669707
middletemporal	L	cortex	4.983159749710715
parahippocampal	L	cortex	4.518002990787214
paracentral	L	cortex	4.872075195315911
parsopercularis	L	cortex	5.195904724837406
parsorbitalis	L	cortex	4.897055795575397
parstriangularis	L	cortex	5.0767677970337095
pericalcarine	L	cortex	5.111168793614238
postcentral	L	cortex	5.029222490177162
posteriorcingulate	L	cortex	5.040641857103063
precentral	L	cortex	5.223335758168067
precuneus	L	cortex	5.028809240563068
rostralanteriorcingulate	L	cortex	5.047137548733858
rostralmiddlefrontal	L	cortex	5.060606478526282
superiorfrontal	L	cortex	5.10719800428472
superiorparietal	L	cortex	4.914344440053351
superiortemporal	L	cortex	4.862889513423432
supramarginal	L	cortex	5.000109342379131
frontalpole	L	cortex	4.391476869371744
temporalpole	L	cortex	4.598685267504928
transversetemporal	L	cortex	5.100330451455756
insula	L	cortex	4.9255843458315844
thalamusproper	L	subcortex/brainstem	5.56976505343999
caudate	L	subcortex/brainstem	5.060934868562029
putamen	L	subcortex/brainstem	5.144188390822392
pallidum	L	subcortex/brainstem	5.3484620535245
accumbensarea	L	subcortex/brainstem	4.706327496220074
hippocampus	L	subcortex/brainstem	4.940702745567921
amygdala	L	subcortex/brainstem	4.34673226659089
bankssts	R	cortex	5.106268751911083
caudalanteriorcingulate	R	cortex	4.875575769317428
caudalmiddlefrontal	R	cortex	5.158625453072816
cuneus	R	cortex	5.037374758688714
entorhinal	R	cortex	4.490419592931363
fusiform	R	cortex	4.8289443103025365
inferiorparietal	R	cortex	4.89701821118754
inferiortemporal	R	cortex	4.856323685694059
isthmuscingulate	R	cortex	5.0902582437214585
lateraloccipital	R	cortex	5.226622286443832
lateralorbitofrontal	R	cortex	4.893145112076695
lingual	R	cortex	5.042695007090532
medialorbitofrontal	R	cortex	5.043010727884603
middletemporal	R	cortex	4.998395756203077
parahippocampal	R	cortex	4.531705512164788
paracentral	R	cortex	4.8800469037336756
parsopercularis	R	cortex	5.189846126578964
parsorbitalis	R	cortex	4.865049914560048
parstriangularis	R	cortex	5.174523422392119
pericalcarine	R	cortex	4.934146198271541
postcentral	R	cortex	5.038105105481018
posteriorcingulate	R	cortex	5.048003816034643
precentral	R	cortex	5.228144140740061
precuneus	R	cortex	5.013464482781542
rostralanteriorcingulate	R	cortex	4.759254909424978
rostralmiddlefrontal	R	cortex	5.040494470219721
superiorfrontal	R	cortex	5.103110287839288
superiorparietal	R	cortex	4.942093770772962
superiortemporal	R	cortex	4.854547112281353
supramarginal	R	cortex	4.975739541969312
frontalpole	R	cortex	4.799103945606518
temporalpole	R	cortex	4.639397477451831
transversetemporal	R	cortex	5.102529229679869
insula	R	cortex	4.908519631516293
thalamusproper	R	subcortex/brainstem	5.6022310308792465
caudate	R	subcortex/brainstem	5.053500604893148
putamen	R	subcortex/brainstem	5.035205030853894
pallidum	R	subcortex/brainstem	5.34783315217349
accumbensarea	R	subcortex/brainstem	4.751763942279735
hippocampus	R	subcortex/brainstem	4.906694917103788
amygdala	R	subcortex/brainstem	4.54246281119061
brainstem	B	subcortex/brainstem	5.868313266789259
