label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.8908723115305115
caudalanteriorcingulate	L	cortex	6.943818777774132
caudalmiddlefrontal	L	cortex	6.900772076835022
cuneus	L	cortex	6.878708951134275
entorhinal	L	cortex	6.924399430978153
fusiform	L	cortex	6.8722809034969154
inferiorparietal	L	cortex	6.895711552831868
inferiortemporal	L	cortex	6.874086315740867
isthmuscingulate	L	cortex	6.940051145176009
lateraloccipital	L	cortex	6.941798743813574
lateralorbitofrontal	L	cortex	6.849138524890103
lingual	L	cortex	6.929667380950814
medialorbitofrontal	L	cortex	6.868213137488844
middletemporal	L	cortex	6.921404455394277
parahippocampal	L	cortex	6.832118707188629
paracentral	L	cortex	6.892389649756307
parsopercularis	L	cortex	6.891703643343683
parsorbitalis	L	cortex	6.83269828157534
parstriangularis	L	cortex	6.878296362776932
pericalcarine	L	cortex	6.927306555357057
postcentral	L	cortex	6.932489841790022
posteriorcingulate	L	cortex	6.925852462921696
precentral	L	cortex	6.929564669653764
precuneus	L	cortex	6.915062268866539
rostralanteriorcingulate	L	cortex	6.955883957124974
rostralmiddlefrontal	L	cortex	6.8623841877326965
superiorfrontal	L	cortex	6.8984741729238985
superiorparietal	L	cortex	6.889094051243704
superiortemporal	L	cortex	6.890844992484496
supramarginal	L	cortex	6.9419906297309035
frontalpole	L	cortex	6.78531597367412
temporalpole	L	cortex	6.835513421497368
transversetemporal	L	cortex	6.910874980902902
insula	L	cortex	6.885930527487389
thalamusproper	L	subcortex/brainstem	6.972705230613597
caudate	L	subcortex/brainstem	6.80676701230833
putamen	L	subcortex/brainstem	6.888287981870666
pallidum	L	subcortex/brainstem	6.961544918623185
accumbensarea	L	subcortex/brainstem	6.730328638601903
hippocampus	L	subcortex/brainstem	6.752894295281891
amygdala	L	subcortex/brainstem	6.7709946431597166
bankssts	R	cortex	6.916034294843538
caudalanteriorcingulate	R	cortex	6.947824541050335
caudalmiddlefrontal	R	cortex	6.906120653331838
cuneus	R	cortex	6.876853780108337
entorhinal	R	cortex	6.946742260081864
fusiform	R	cortex	6.869652841657245
inferiorparietal	R	cortex	6.894567926643087
inferiortemporal	R	cortex	6.8704507156601755
isthmuscingulate	R	cortex	6.93674163732054
lateraloccipital	R	cortex	6.955411219734157
lateralorbitofrontal	R	cortex	6.849590588480143
lingual	R	cortex	6.926616004876149
medialorbitofrontal	R	cortex	6.884780062623545
middletemporal	R	cortex	6.919504867468915
parahippocampal	R	cortex	6.834808277759497
paracentral	R	cortex	6.889827557747269
parsopercularis	R	cortex	6.878798629976878
parsorbitalis	R	cortex	6.8218415407795465
parstriangularis	R	cortex	6.91295312306323
pericalcarine	R	cortex	6.920367633865109
postcentral	R	cortex	6.9320547728914095
posteriorcingulate	R	cortex	6.940703801507086
precentral	R	cortex	6.928555560550311
precuneus	R	cortex	6.915943841270936
rostralanteriorcingulate	R	cortex	6.8972923178849905
rostralmiddlefrontal	R	cortex	6.858607700550963
superiorfrontal	R	cortex	6.897670118007236
superiorparietal	R	cortex	6.891053441313197
superiortemporal	R	cortex	6.887003791802673
supramarginal	R	cortex	6.924787709536282
frontalpole	R	cortex	6.894790410170661
temporalpole	R	cortex	6.834705217098683
transversetemporal	R	cortex	6.922048927111852
insula	R	cortex	6.88198610955818
thalamusproper	R	subcortex/brainstem	6.993705771292
caudate	R	subcortex/brainstem	6.8022836321535385
putamen	R	subcortex/brainstem	6.843763006852524
pallidum	R	subcortex/brainstem	6.9574313082060995
accumbensarea	R	subcortex/brainstem	6.770718639445263
hippocampus	R	subcortex/brainstem	6.7462397627704895
amygdala	R	subcortex/brainstem	6.834532854376507
brainstem	B	subcortex/brainstem	6.965132703713347
