label	hemisphere	structure	weighted_avg
bankssts	L	cortex	12.889603672682384
caudalanteriorcingulate	L	cortex	12.816961239475635
caudalmiddlefrontal	L	cortex	12.788917625263412
cuneus	L	cortex	12.682239308595664
entorhinal	L	cortex	12.729575640178123
fusiform	L	cortex	12.790138929658351
inferiorparietal	L	cortex	12.712055643610874
inferiortemporal	L	cortex	12.777538961322431
isthmuscingulate	L	cortex	12.799255061496366
lateraloccipital	L	cortex	12.912404482744897
lateralorbitofrontal	L	cortex	12.716346725070451
lingual	L	cortex	12.74753440996547
medialorbitofrontal	L	cortex	12.894172242073786
middletemporal	L	cortex	12.89180986120866
parahippocampal	L	cortex	12.488686289043176
paracentral	L	cortex	12.7622698126468
parsopercularis	L	cortex	12.901194976456004
parsorbitalis	L	cortex	12.647137629639674
parstriangularis	L	cortex	12.7437011261219
pericalcarine	L	cortex	12.674027484330372
postcentral	L	cortex	12.866135541846056
posteriorcingulate	L	cortex	13.003545335527079
precentral	L	cortex	12.972455545753375
precuneus	L	cortex	12.805661410757109
rostralanteriorcingulate	L	cortex	13.069198782178786
rostralmiddlefrontal	L	cortex	12.731377806930249
superiorfrontal	L	cortex	12.837619331662594
superiorparietal	L	cortex	12.6369318016964
superiortemporal	L	cortex	12.818983541043481
supramarginal	L	cortex	12.792232971265102
frontalpole	L	cortex	12.386815697243462
temporalpole	L	cortex	12.685674647998416
transversetemporal	L	cortex	12.830692554366822
insula	L	cortex	12.788481354697574
thalamusproper	L	subcortex/brainstem	13.105606951018549
caudate	L	subcortex/brainstem	13.536488397191322
putamen	L	subcortex/brainstem	13.276256460598184
pallidum	L	subcortex/brainstem	13.118530315011018
accumbensarea	L	subcortex/brainstem	12.51852725163411
hippocampus	L	subcortex/brainstem	12.648916868564314
amygdala	L	subcortex/brainstem	12.217462288972412
bankssts	R	cortex	12.96065066346211
caudalanteriorcingulate	R	cortex	12.837355239221775
caudalmiddlefrontal	R	cortex	12.79344619315746
cuneus	R	cortex	12.647061171148321
entorhinal	R	cortex	12.743984951315813
fusiform	R	cortex	12.792939916734923
inferiorparietal	R	cortex	12.723267500287921
inferiortemporal	R	cortex	12.73692370371275
isthmuscingulate	R	cortex	12.87868217537187
lateraloccipital	R	cortex	12.93104699411792
lateralorbitofrontal	R	cortex	12.724188748672475
lingual	R	cortex	12.746748695687854
medialorbitofrontal	R	cortex	12.923167683484037
middletemporal	R	cortex	12.903937253315508
parahippocampal	R	cortex	12.523892406629738
paracentral	R	cortex	12.752362658235175
parsopercularis	R	cortex	12.799651530350797
parsorbitalis	R	cortex	12.571814670053199
parstriangularis	R	cortex	12.889701207157476
pericalcarine	R	cortex	12.594227729075243
postcentral	R	cortex	12.875518936064042
posteriorcingulate	R	cortex	13.007669886839274
precentral	R	cortex	12.981817942570169
precuneus	R	cortex	12.795393299586994
rostralanteriorcingulate	R	cortex	12.966436497992968
rostralmiddlefrontal	R	cortex	12.71971991687823
superiorfrontal	R	cortex	12.832779360601997
superiorparietal	R	cortex	12.657106820178265
superiortemporal	R	cortex	12.802366080676617
supramarginal	R	cortex	12.75801490300347
frontalpole	R	cortex	12.957006096429753
temporalpole	R	cortex	12.75393393387394
transversetemporal	R	cortex	12.862220886285638
insula	R	cortex	12.75289123067718
thalamusproper	R	subcortex/brainstem	13.114649577601304
caudate	R	subcortex/brainstem	13.47631079081078
putamen	R	subcortex/brainstem	13.21529615592401
pallidum	R	subcortex/brainstem	13.16460560510092
accumbensarea	R	subcortex/brainstem	12.554623156467262
hippocampus	R	subcortex/brainstem	12.62214581908598
amygdala	R	subcortex/brainstem	12.36657925685455
brainstem	B	subcortex/brainstem	13.08270353767465
