label	hemisphere	structure	weighted_avg
bankssts	L	cortex	41.785748030155645
caudalanteriorcingulate	L	cortex	44.30803518708341
caudalmiddlefrontal	L	cortex	42.264491237380795
cuneus	L	cortex	45.21693045701464
entorhinal	L	cortex	42.9590769452438
fusiform	L	cortex	41.72103808280947
inferiorparietal	L	cortex	42.79321944680386
inferiortemporal	L	cortex	41.223416522554295
isthmuscingulate	L	cortex	43.349448262207865
lateraloccipital	L	cortex	43.45856104270302
lateralorbitofrontal	L	cortex	41.08558252900425
lingual	L	cortex	45.34125961927552
medialorbitofrontal	L	cortex	41.527870290766764
middletemporal	L	cortex	41.49691352616823
parahippocampal	L	cortex	41.742503186363784
paracentral	L	cortex	43.260544413649065
parsopercularis	L	cortex	42.399397085395904
parsorbitalis	L	cortex	41.14805481821896
parstriangularis	L	cortex	41.41080937022219
pericalcarine	L	cortex	47.10407995016946
postcentral	L	cortex	44.065464292308306
posteriorcingulate	L	cortex	42.477737226090696
precentral	L	cortex	43.12181013922853
precuneus	L	cortex	43.39176186518405
rostralanteriorcingulate	L	cortex	42.68502562987526
rostralmiddlefrontal	L	cortex	41.4968305189987
superiorfrontal	L	cortex	42.34102239933333
superiorparietal	L	cortex	42.909742175902636
superiortemporal	L	cortex	42.01521273923236
supramarginal	L	cortex	42.91945137145478
frontalpole	L	cortex	43.78254328737496
temporalpole	L	cortex	44.80333153993916
transversetemporal	L	cortex	43.19587377829845
insula	L	cortex	42.2523409367074
thalamusproper	L	subcortex/brainstem	45.725272758430016
caudate	L	subcortex/brainstem	44.362055789221294
putamen	L	subcortex/brainstem	46.98865437492168
pallidum	L	subcortex/brainstem	49.131256252537064
accumbensarea	L	subcortex/brainstem	50.22535622920084
hippocampus	L	subcortex/brainstem	44.64973478574233
amygdala	L	subcortex/brainstem	46.00192134087829
bankssts	R	cortex	41.701240641728404
caudalanteriorcingulate	R	cortex	44.306271715866636
caudalmiddlefrontal	R	cortex	42.521189720710154
cuneus	R	cortex	45.21456950484512
entorhinal	R	cortex	42.999399689102226
fusiform	R	cortex	41.82475202236806
inferiorparietal	R	cortex	42.58843118703209
inferiortemporal	R	cortex	41.12812285474926
isthmuscingulate	R	cortex	42.80926983137578
lateraloccipital	R	cortex	43.77670134857202
lateralorbitofrontal	R	cortex	41.11303795127444
lingual	R	cortex	45.39277473949741
medialorbitofrontal	R	cortex	41.48438401259543
middletemporal	R	cortex	41.59953861697244
parahippocampal	R	cortex	41.55046762333891
paracentral	R	cortex	43.08052946630566
parsopercularis	R	cortex	41.62581564022442
parsorbitalis	R	cortex	41.53697444356811
parstriangularis	R	cortex	41.62266793696244
pericalcarine	R	cortex	46.538145739532304
postcentral	R	cortex	44.11004866326314
posteriorcingulate	R	cortex	42.36655460171731
precentral	R	cortex	43.086127591165784
precuneus	R	cortex	43.45531005485011
rostralanteriorcingulate	R	cortex	45.14632397802356
rostralmiddlefrontal	R	cortex	41.48863495218807
superiorfrontal	R	cortex	42.21108672963616
superiorparietal	R	cortex	42.89542880039727
superiortemporal	R	cortex	41.99124300528574
supramarginal	R	cortex	42.82064807678358
frontalpole	R	cortex	43.68695597600427
temporalpole	R	cortex	45.3425045160922
transversetemporal	R	cortex	43.39917027478157
insula	R	cortex	42.47004235923374
thalamusproper	R	subcortex/brainstem	46.0484276584386
caudate	R	subcortex/brainstem	45.438520708838965
putamen	R	subcortex/brainstem	46.693083257150235
pallidum	R	subcortex/brainstem	49.589586461954966
accumbensarea	R	subcortex/brainstem	49.694598776265394
hippocampus	R	subcortex/brainstem	44.691326505868936
amygdala	R	subcortex/brainstem	46.12233528654566
brainstem	B	subcortex/brainstem	49.990076040418685
