gene_name	z_mean	pvalue
TIE1	5.079736811372541	1.0184294784889348e-7
CCDC184	-3.5485025171334836	2.135387675965988e-6
ARTN	4.871415978445411	2.4391377614665205e-6
HYAL3	-4.503336648283448	3.518533575627757e-6
DECR2	-0.15307240253523885	3.946152984816901e-6
PIDD1	4.176618775188916	4.194894653449177e-6
OSBPL6	-1.3001752499795445	5.161432378207753e-6
SEMA3B	-4.48796135539664	7.190796825353947e-6
SZT2	2.0573712520406695	1.087438218999571e-5
ZMYND10	4.210146058824204	2.5520564610358107e-5
MROH8	2.738905761563219	3.5968878625154226e-5
SPINK8	3.1557794684554903	4.384934545769915e-5
DENND1B	-4.028138117137288	5.62203143568597e-5
ICA1L	3.5182123945394346	8.985046467060465e-5
