gene_name	z_mean	pvalue	upregulated
CCDC184	-3.5485025171334836	2.135387675965988e-6	DOWN
HYAL3	-4.503336648283448	3.518533575627757e-6	DOWN
DECR2	-0.15307240253523885	3.946152984816901e-6	DOWN
OSBPL6	-1.3001752499795445	5.161432378207753e-6	DOWN
SEMA3B	-4.48796135539664	7.190796825353947e-6	DOWN
DENND1B	-4.028138117137288	5.62203143568597e-5	DOWN
ARL4D	-3.8189019208147377	1.1619897546399e-4	DOWN
CROCC	-2.816743621534575	1.2641753974434e-4	DOWN
CPNE7	-3.441683574598369	1.6374759546063e-4	DOWN
AOC2	-1.8183493807586868	2.4931142378108e-4	DOWN
GCK	-3.625055074691773	2.8889987762717e-4	DOWN
GALNT6	-0.9357365300766944	3.1836028022881e-4	DOWN
PDIA2	-3.595434556706498	3.2385053491164e-4	DOWN
