gene	gene_name	pvalue	n	n_indep	p_i_best	t_i_best	p_i_worst	t_i_worst	eigen_max	eigen_min	eigen_min_kept	z_min	z_max	z_mean	z_sd	tmi	status
ENSG00000214706.10	IFRD2	2.70271565343257e-09	1.0	1.0	2.7027156534325582e-09	Brain_Cerebellum	2.7027156534325582e-09	Brain_Cerebellum	1.0	1.0	1.0	-5.948705408326465	-5.948705408326465	-5.948705408326465	NA	1.0	0
ENSG00000159479.16	MED8	9.778386779058565e-09	3.0	3.0	7.324888605861171e-08	Brain_Hypothalamus	0.45322310178313374	Brain_Cerebellar_Hemisphere	1.8122983533706027	0.38287273220039003	0.38287273220039003	-5.383013883711836	-0.7500524737032307	-3.2351445646712613	2.3348173922358595	2.999999999999999	0
ENSG00000278041.1	RP5-984P4.6	4.906722083788467e-08	2.0	2.0	1.2110002410121542e-08	Brain_Hypothalamus	0.002588371114172977	Brain_Cerebellum	1.3492724430506762	0.6507275569493237	0.6507275569493237	-5.698170340542207	-3.012814464337938	-4.355492402440072	1.8988333499631818	2.0	0
ENSG00000271904.1	CTC-498M16.4	6.209154655398207e-08	11.0	2.0	2.296288935652975e-09	Brain_Nucleus_accumbens_basal_ganglia	4.707701674935158e-06	Brain_Substantia_nigra	9.326390621145054	0.019120922626708826	0.6365018792971601	-5.975327152508174	-4.577409134599368	-5.18812487061458	0.42284385365972044	2.0	0
ENSG00000066056.13	TIE1	1.0184294784889348e-07	2.0	2.0	1.5209546581029676e-07	Brain_Hippocampus	9.132329326384503e-07	Brain_Cortex	1.6101701587030222	0.38982984129697773	0.38982984129697773	4.909469087695589	5.250004535049494	5.079736811372541	0.24079492405834083	1.9999999999999996	0
ENSG00000173540.12	GMPPB	3.7943142874047255e-07	12.0	1.0	3.1935658364661414e-08	Brain_Caudate_basal_ganglia	3.572321737387515e-05	Brain_Frontal_Cortex_BA9	11.394402411678627	0.0033327369283856394	11.394402411678627	4.133530943729865	5.530479519810837	4.950897583049187	0.3496315706976946	1.0000000000000002	0
ENSG00000082293.12	COL19A1	4.235917851477195e-07	2.0	2.0	9.22816242814849e-08	Brain_Cerebellum	0.9110902265720529	Brain_Putamen_basal_ganglia	1.146742042148148	0.8532579578518518	0.8532579578518518	-5.341301505302952	0.1116634930498827	-2.6148190061265346	3.8558285279081805	2.0	0
ENSG00000228512.2	RP11-281A20.2	1.779814629289706e-06	1.0	1.0	1.7798146292897055e-06	Brain_Cerebellum	1.7798146292897055e-06	Brain_Cerebellum	1.0	1.0	1.0	-4.7769415694395	-4.7769415694395	-4.7769415694395	NA	1.0	0
ENSG00000177875.4	CCDC184	2.135387675965988e-06	4.0	3.0	5.349406539608805e-07	Brain_Nucleus_accumbens_basal_ganglia	0.12000753685556778	Brain_Frontal_Cortex_BA9	3.191392751433133	0.06438367927538681	0.25938563020900596	-5.013337071629557	-1.5547419606033026	-3.5485025171334836	1.5366218939273308	3.000000000000001	0
ENSG00000117407.16	ARTN	2.4391377614665205e-06	10.0	4.0	8.924713098370888e-11	Brain_Cerebellar_Hemisphere	0.0002301202883496355	Brain_Nucleus_accumbens_basal_ganglia	8.094101996615315	0.004752176952206708	0.34338196246065494	3.683425801487175	6.484126818303739	4.871415978445411	0.8568991759217155	3.9999999999999996	0
ENSG00000160746.12	ANO10	2.7743532432373987e-06	1.0	1.0	2.7743532432373932e-06	Brain_Nucleus_accumbens_basal_ganglia	2.7743532432373932e-06	Brain_Nucleus_accumbens_basal_ganglia	1.0	1.0	1.0	-4.68685504164666	-4.68685504164666	-4.68685504164666	NA	1.0	0
ENSG00000233276.3	GPX1	2.888487904065943e-06	10.0	3.0	1.8953063177251502e-05	Brain_Cerebellum	0.2153147141260744	Brain_Hypothalamus	8.285940071749915	0.006210155609447805	0.3469523990690079	1.2390831292386757	4.276880316084389	3.348261481677432	1.0253782299375018	2.9999999999999996	0
ENSG00000186792.16	HYAL3	3.518533575627757e-06	12.0	1.0	2.534680722119953e-07	Brain_Nucleus_accumbens_basal_ganglia	0.001212112314566848	Brain_Putamen_basal_ganglia	11.372213044712831	0.00011693043599147661	11.372213044712831	-5.155120358644532	-3.236014488931439	-4.503336648283448	0.5121651014663365	1.0000000000000004	0
ENSG00000242612.6	DECR2	3.946152984816901e-06	8.0	8.0	7.662796983471026e-05	Brain_Substantia_nigra	0.9672996968597862	Brain_Frontal_Cortex_BA9	2.4160983938266467	0.1935366983092122	0.1935366983092122	-3.9547086614099234	1.7560457934645135	-0.15307240253523885	1.7576053471405733	8.0	0
ENSG00000177595.17	PIDD1	4.194894653449177e-06	6.0	3.0	1.0952448723690154e-07	Brain_Frontal_Cortex_BA9	0.024490892373259736	Brain_Hippocampus	4.952389028153212	0.0018383264872384511	0.29581233126434414	2.249339691659111	5.310167569012634	4.176618775188916	1.2439542757764364	3.000000000000001	0
ENSG00000079156.16	OSBPL6	5.161432378207753e-06	4.0	4.0	2.4084464957883275e-06	Brain_Cerebellum	0.7483222948105304	Brain_Nucleus_accumbens_basal_ganglia	2.724643564439268	0.13524615275026708	0.13524615275026708	-4.715730844709568	0.8632334346670939	-1.3001752499795443	2.5238964949303626	3.9999999999999964	0
