gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000117407.16,ARTN,5.766768991109322,0.3492651937420061,8.08056924261652e-09,0.012142857035716784,0.04128805968775004,0.03288923614864473,NA,16,18,18,1.1709984871242117e-10,0.07784477030669124
ENSG00000271904.1,CTC-498M16.4,-5.535982008241615,-0.15015963195897272,3.094893380234161e-08,0.06361196826284163,0.294757556773456,4.988624298201293e-10,NA,51,54,54,1.2930021408039405e-14,0.05891927999940635
ENSG00000173540.12,GMPPB,5.361695328036981,0.10974542503318178,8.244450898318343e-08,0.09759427967960894,0.28404840901817235,1.0899190139567254e-09,NA,36,39,39,9.53900960155531e-07,0.20532200471491655
ENSG00000177352.9,CCDC71,4.7866135267474075,0.16685515443761714,1.6961901016742759e-06,0.03449092622858134,0.12284101445963977,0.00012058470589434228,NA,14,14,14,8.601996498530776e-06,0.19375986356587035
ENSG00000186792.16,HYAL3,-4.784989340586263,-0.15063072569767313,1.7099640746904016e-06,0.04619127098550051,0.2705723217766098,9.445926313567905e-11,NA,3,4,4,2.3809979542931676e-06,0.14855186321130573
ENSG00000138442.9,WDR12,4.738575066188947,0.48942299656881694,2.1522630013518677e-06,0.0038435712932471814,0.04148828605975809,0.03501035699679511,NA,11,12,12,2.0169978038329994e-06,0.033935516871473635
ENSG00000243477.5,NAT6,4.658129433145703,0.3578336425906919,3.1909557188040237e-06,0.007943490216606373,0.0751877083790813,0.0036963116269620117,NA,2,2,2,2.3809979542931676e-06,0.06368371444576752
ENSG00000178252.17,WDR6,4.5657998719780695,0.25738735985131905,4.975933161791233e-06,0.016214578695175966,0.15198607211354048,1.7097668378874788e-05,NA,16,17,17,8.62899752332571e-05,0.08305032148548237
ENSG00000178467.17,P4HTM,-4.276720674082135,-0.38064312149370133,1.896665388804851e-05,0.0059780964434687795,0.11671535339258933,0.00012096056857483804,NA,48,50,50,8.992002066448461e-07,0.08017814389335873
ENSG00000004838.13,ZMYND10,4.210146058824204,0.27759514955853554,2.5520564610358107e-05,0.00887669626229188,0.05097400721288628,0.017409256383035164,NA,19,20,20,0.0006445000880324229,0.1901907978085325
ENSG00000008300.16,CELSR3,4.194877667756041,0.5732777362915029,2.730188970801861e-05,0.002105442202847099,0.045805279809720434,0.022599990649116518,NA,17,17,17,1.1700006900393252e-06,0.050672483183496035
ENSG00000178057.14,NDUFAF3,-4.185667871089582,-0.34878272548677564,2.8432884143589913e-05,0.0066722380082390115,0.07934287993117534,0.0030970589258107807,NA,10,11,11,9.666998456208577e-07,0.11435856876553922
ENSG00000197728.9,RPS26,-4.178800340150594,-0.05043078014045152,2.9305081041746452e-05,0.2852437719742343,0.7163441829318802,2.8639804185478626e-37,NA,17,19,19,6.195004509037378e-06,0.25219305481519794
ENSG00000182600.9,C2orf82,-4.164229114718553,-0.09342547902066409,3.124062844548403e-05,0.09106587957169371,0.2528294949756218,7.684529314909622e-09,NA,38,43,43,4.757000687687844e-06,0.1811145662246268
ENSG00000131966.13,ACTR10,-4.116175865429049,-0.7344507958019998,3.852104215560685e-05,0.0011825705676565396,0.048350847419555684,0.02047254891717269,NA,5,5,5,8.317994952202582e-06,0.030749493989463694
ENSG00000164068.15,RNF123,4.108978298058989,0.3732367682268663,3.974134157274091e-05,0.005128806137557579,0.0964214092773792,0.0009220313116634117,NA,34,55,55,8.663995187546421e-07,0.07415614949069886
ENSG00000139531.12,SUOX,4.080257066856859,0.2596637411104162,4.498592264663709e-05,0.010197684577481991,0.1057028002623546,0.00045752938467471404,NA,7,7,7,3.4899996653051354e-05,0.028982349267103056
ENSG00000102606.17,ARHGEF7,3.973355564098335,0.25324333059787135,7.086713822254532e-05,0.011724641891166497,0.05066693189038266,0.01671257573694649,NA,13,15,15,0.00010749997634686273,0.0665182817328537
ENSG00000255284.1,AP006621.5,3.9026611561008857,0.19948487908076554,9.514085053433429e-05,0.016742264829013948,0.32863874484377786,3.3586155689226636e-11,NA,4,7,7,6.675001131270206e-05,0.0883720454292973
ENSG00000006118.14,TMEM132A,3.8594995228669275,0.4476585550866933,0.00011361947895565504,0.0036834531727297014,0.07988693334250596,0.0028628002227325524,NA,10,10,10,1.1569989277847442e-06,0.03267378294022572
ENSG00000196072.11,BLOC1S2,-3.8527922085151745,-0.23137408219127878,0.00011677848704237198,0.015680528486011012,0.14584666278059644,9.135020389974023e-06,NA,23,25,25,2.9500012128374927e-06,0.06298356233804334
ENSG00000242866.9,STRC,-3.7072608445109827,-0.11148423685812715,0.00020951311515634007,0.05236772566225329,0.1859903648455729,1.3358891388439122e-06,NA,17,18,18,0.000840400210572806,0.13637860962066722
ENSG00000234104.1,RP5-1177M21.1,3.6893478018320267,0.1385982103773635,0.00022482968240399855,0.03142285218852057,0.11162148008904836,0.000305247459741805,NA,16,16,16,0.0012330004459066356,0.1576282610388456
ENSG00000041802.10,LSG1,3.6723175599670106,0.11447474092680894,0.00024036073863620413,0.048910395666639274,0.28431428496570466,5.688685683553957e-10,NA,4,6,6,0.00019979996106728507,0.19562484466261865
ENSG00000093167.17,LRRFIP2,-3.619615588754436,-0.19280765383199064,0.00029504099557450494,0.014148937860478125,0.16022601258159033,1.3989858446113053e-05,NA,12,12,12,0.00030280011204935194,0.04074065140764172
ENSG00000122218.14,COPA,3.572676986165416,0.25285568182590995,0.00035335051238104997,0.009931232218718885,0.17483169885764696,4.311761594116573e-06,NA,16,16,16,0.00016509993701880363,0.017677750566036755
ENSG00000188130.13,MAPK12,-3.56980051613538,-0.3145858352451326,0.000357253173770621,0.006157903909849921,0.2901002197325038,3.040603466998355e-10,NA,22,35,35,5.005003320715589e-05,0.10287346690924312
ENSG00000213672.7,NCKIPSD,-3.564726497416665,-0.12072833170392937,0.00036423580066198135,0.04435834239792915,0.29216501953334617,4.256571160870877e-10,NA,16,17,17,6.971995847658939e-06,0.07363790657687345
ENSG00000198252.11,STYX,3.5426924340634347,0.4902407162416095,0.00039606433704648887,0.0025656064551705113,0.04653867992723162,0.021184143113275176,NA,11,11,11,0.00026659992721932325,0.02442847432364186
ENSG00000188672.17,RHCE,-3.425377145084208,-0.08355323030498502,0.0006139465263616132,0.07579662222054194,0.2716878317240468,1.8407970489301905e-09,NA,9,10,10,0.0005843000682082384,0.10356540776034903
ENSG00000086205.16,FOLH1,3.413227863020512,0.24211336004686684,0.0006419824017032965,0.008932285953266079,0.12574713640536864,0.000101210686405374,NA,21,22,22,1.293001250061607e-05,0.09883191519335953
ENSG00000140830.8,TXNL4B,3.4025987263077,0.14696959244967447,0.0006674823482115821,0.023157777065468076,0.13410862156545628,4.222484747167896e-05,NA,12,13,13,0.0033000011018849687,0.12124744754721214
ENSG00000101017.13,CD40,-3.3927689416087956,-0.10093899091771309,0.0006918997408379508,0.049790949721672764,0.18676982007873372,1.7581273573615158e-06,NA,80,93,93,8.180001942052711e-05,0.17242477739427606
ENSG00000103227.18,LMF1,3.312769115507356,0.2246060488227544,0.0009237720527295695,0.010403363648075321,0.20943346824132406,1.2743582470044752e-07,NA,30,37,37,0.00040619984485052005,0.03656153659232154
ENSG00000167553.15,TUBA1C,-3.2980013812916127,-0.13756075354406683,0.0009737565536923782,0.030368046516022082,0.18632878877942585,1.7425551143158627e-06,NA,43,45,45,6.825003343318435e-05,0.08508089222537069
ENSG00000231439.4,WASIR2,3.2798062754655914,0.11008387028469886,0.001038783893115589,0.07309435306459613,0.17398436165759287,1.5407425663420117e-06,NA,5,36,36,0.00012190002173455575,0.20770897429418966
ENSG00000261701.6,HPR,3.2671874423629355,0.05460898257671998,0.0010862173553136576,0.1505964848251019,0.43813234806664797,1.550651640624706e-17,NA,18,18,18,0.0005576000734198364,0.3004503821569203
ENSG00000257017.8,HP,3.266705571549373,0.15116383088291374,0.0010880677797868773,0.019119441495607434,0.08972414113544397,0.0014070874541984833,NA,10,10,10,0.0008156998922601287,0.08041837340336963
ENSG00000157765.11,SLC34A2,3.2552234369177766,0.3602813753274205,0.0011330318807730678,0.0034874635548656947,0.045732125448401786,0.018665726917444125,NA,2,2,2,0.0017460005860274006,0.08412841795173492
ENSG00000100033.16,PRODH,3.2158961043854823,0.16421446153342628,0.0013003790065552392,0.019657136101653525,0.12223256286912468,0.0001616399003060353,NA,45,60,60,9.22000266347761e-05,0.09382618791567143
ENSG00000189159.15,HN1,-3.1940863855168153,-0.5240070477241594,0.0014027413524552608,0.0019149980503760536,0.05686773545813749,0.011410949141405157,NA,9,10,10,0.007685999537987491,0.0710673634218829
ENSG00000068097.14,HEATR6,3.1928385842633813,0.22808362987812336,0.0014088167425912628,0.009991740290559601,0.06045338647962521,0.008138351519381984,NA,35,37,37,0.009661998800309721,0.15911372894732714
ENSG00000055211.12,GINM1,3.1505305697369157,0.14497974993774393,0.0016297420042883247,0.018737714869413044,0.13478624667493178,1.9968089487518533e-05,NA,38,39,39,0.0001385999493283149,0.050976427153516385
ENSG00000281392.1,LINC00506,-3.141020191628358,-0.12605351186716393,0.0016836042463092068,0.026392471551414276,0.15748339234355013,1.074635069317028e-05,NA,26,27,27,0.003970001120234788,0.07193730364980673
ENSG00000143294.14,PRCC,3.112294833135452,0.08005996529333281,0.0018563899858164963,0.07353482172994869,0.07294860384512335,0.0037034925632783,NA,97,103,103,0.00037269988977576245,0.40395486657129176
