gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000271904.1,CTC-498M16.4,-5.566969140128398,-0.1676774990929073,2.5920827856185266e-08,0.05006794630407589,0.3238513174040309,1.4245879411365577e-12,NA,27,27,27,1.8550014826221697e-09,0.07989637861976978
ENSG00000117407.16,ARTN,4.970478737837345,0.2812680030050217,6.678778573324211e-07,0.01333746239134185,0.03871342966749237,0.026166524155922997,NA,9,10,10,8.11600094606022e-09,0.0718054074257425
ENSG00000173540.12,GMPPB,4.965663952579783,0.15460635307523674,6.846642245191055e-07,0.042314086397680056,0.2003847842882692,4.8596190427469326e-08,NA,23,26,26,8.663995187546421e-07,0.0970767197990876
ENSG00000101353.14,MROH8,4.752457605084622,0.21349910832664853,2.0095891569274365e-06,0.020271157333368692,0.03531685151508246,0.0348311044968342,NA,40,40,40,0.00012419996655165964,0.09826653675379657
ENSG00000186792.16,HYAL3,-4.661352708217712,-0.13897084580928717,3.1413784372895173e-06,0.05587886871142811,0.366977462526436,1.1827043130275168e-14,NA,4,4,4,2.3809979542931676e-06,0.16329679011746975
ENSG00000243477.5,NAT6,4.640907808500226,0.19312816339956929,3.4688186997020106e-06,0.027047044527817164,0.13286551360231524,8.537360272347692e-06,NA,15,15,15,3.221000471303484e-07,0.3112248133906581
ENSG00000255142.1,AP006621.6,4.628525297687628,0.38342491071642876,3.682788810970241e-06,0.00633693303226818,0.04576851699639745,0.01416056714297368,NA,5,12,12,3.1839981248228153e-06,0.06362164127642064
ENSG00000250673.2,RP11-6L6.2,4.56622650288342,0.19472524905886235,4.96582194771878e-06,0.027077207102188854,0.08686549798890436,0.0007573629569152322,NA,57,58,58,1.9520004726242734e-08,0.055871840840855766
ENSG00000030110.12,BAK1,4.239471867140306,0.3196033398992373,2.2404626841113793e-05,0.007579027076066513,0.16826152570589234,1.0169105953698135e-06,NA,14,16,16,2.1039981161200646e-05,0.04202027858341721
ENSG00000255284.1,AP006621.5,4.162180967598071,0.12894226034692186,3.1522237419971914e-05,0.04576692903989814,0.13370568468917646,1.717162571908613e-05,NA,24,33,33,3.1839981248228153e-06,0.0957819159262704
ENSG00000001617.11,SEMA3F,-4.082937240600586,-0.653088358367692,4.447003559374631e-05,0.0014872214923198396,0.03336655704594429,0.03873399179819596,NA,1,1,1,4.447003559374631e-05,0.05864016628326199
ENSG00000250377.1,CTC-467M3.3,4.02313289484807,0.17490842193790004,5.7429069485059926e-05,0.02337405050949157,0.08005286271983103,0.0006866632982874215,NA,15,16,16,3.1160001839225223e-09,0.09024969315623438
ENSG00000182600.9,C2orf82,-3.9210689692314604,-0.11134439108073581,8.815702445025632e-05,0.045188533739745365,0.19774990850319385,8.62282655621998e-08,NA,16,20,20,3.2830022648446136e-05,0.03972584742495847
ENSG00000183426.16,NPIPA1,3.7018829523992522,0.06990113058125691,0.00021400534534912763,0.1433877784099109,0.4143094677845626,1.6041531713001613e-17,NA,30,35,35,0.0016940000957533256,0.2018182036380108
ENSG00000260807.6,RP11-161M6.2,-3.6693465515991153,-0.6361505042587081,0.00024317124856610437,0.001919097166198255,0.1265842023116702,2.696965178828101e-05,NA,6,8,8,1.297998890247635e-05,0.01841230453541656
ENSG00000164989.16,CCDC171,-3.6618221076788187,-0.11715485905557578,0.00025042773635304116,0.03960122431876689,0.2824948865966058,8.696408065809743e-11,NA,14,25,25,3.745003217946942e-05,0.045872984686478525
ENSG00000184949.15,FAM227A,3.6541288850251723,0.14430422837758966,0.000258056622554381,0.03030386776318268,0.12764692156355606,3.606660993378593e-05,NA,46,48,48,0.0001062999773936914,0.09827015223473924
ENSG00000277288.3,C10orf142,3.6305744176052683,0.09855673596686106,0.00028279115149859363,0.07149542986619319,0.08931539201164555,0.000379738953127984,NA,70,77,77,0.016360000203001695,0.2346014914262977
ENSG00000170175.10,CHRNB1,-3.62291689297858,-0.7014834468085842,0.00029129943629790304,0.0010295892742517858,0.041111753031247415,0.02197667768091889,NA,8,8,8,8.385999844526284e-05,0.03202843292897415
ENSG00000093167.17,LRRFIP2,-3.57674043335725,-0.9593235541643762,0.0003479053230608505,0.0005321532166801288,0.03604294030861962,0.03054013968493097,NA,5,5,5,0.0003398999509859211,0.02748567098359739
ENSG00000197728.9,RPS26,-3.5637879631639944,-0.037948259280870304,0.00036554127131275106,0.27397348038087876,0.6182130230859237,2.814639654362721e-32,NA,41,47,47,6.195004509037378e-06,0.3045328936128269
ENSG00000196968.10,FUT11,3.5447790311295666,0.10437594273659162,0.00039294235181110403,0.04757581016709183,0.09077702962939416,0.00030953217301075763,NA,39,46,46,0.0004122998709062819,0.16972750115198376
ENSG00000145020.15,AMT,-3.5426453790883508,-0.19299082027156633,0.0003961350076035615,0.014013967525148215,0.1742587473690659,5.160909608060616e-07,NA,31,31,31,9.53900960155531e-07,0.04934226711118802
ENSG00000123975.4,CKS2,-3.5200903415679936,-0.5087715816249581,0.00043139983239144533,0.002099876922907594,0.05635294703688432,0.006405287175531816,NA,1,1,1,0.00043139983239144533,0.1210736771543288
ENSG00000188672.17,RHCE,-3.503291744332221,-0.06820713563333923,0.00045954584107433497,0.1125154176409639,0.34788098980426385,2.389996506475192e-14,NA,13,13,13,0.0005188998884340827,0.08297099876893256
ENSG00000041802.10,LSG1,3.445090438510714,0.08509318964593683,0.0005708683549244137,0.057743650144989694,0.21230217555296302,5.255707440043693e-09,NA,33,39,39,0.00019979996106728507,0.21277713009610108
ENSG00000140830.8,TXNL4B,3.443015033776428,0.11420113597436082,0.0005752673337914726,0.03509441730599244,0.11419797394673925,4.466062696832915e-05,NA,30,33,33,0.0005576000734198364,0.1727003276778128
ENSG00000261701.6,HPR,3.434742577263269,0.05856176212180519,0.0005931169602162137,0.12910727912530812,0.49363259813890004,5.064590937554613e-22,NA,37,37,37,0.0005576000734198364,0.5607440704437647
ENSG00000076604.14,TRAF4,-3.424747232139415,-0.388047117225877,0.0006153716590924233,0.003322116470016538,0.06574588410402564,0.003296483065615908,NA,12,12,12,0.0005886000229147932,0.05248287284222596
ENSG00000188554.13,NBR1,-3.4186461694457186,-0.5243682707509236,0.0006293350552552953,0.0019054610418528346,0.03978096115316275,0.02634730578383774,NA,26,27,27,3.471003321641348e-05,0.01625343876169434
ENSG00000111266.8,DUSP16,-3.4072132253918914,-0.2942862174434642,0.0006562983469959466,0.006455043364739667,0.045079196077453434,0.01756307976172024,NA,11,12,12,0.0025439995799922933,0.03562613998722458
ENSG00000130312.6,MRPL34,3.389501989854595,0.12568295517711653,0.0007001970070382578,0.03686787798472848,0.2616558306637381,4.981578601318031e-10,NA,16,21,21,0.003875999545408507,0.09953424098060858
ENSG00000103227.18,LMF1,3.362067601028492,0.2619015554166507,0.0007736118188726371,0.01017720720844116,0.4039377752491475,6.263198963263877e-17,NA,18,30,30,0.00040619984485052005,0.03542474660419785
ENSG00000106013.14,ANKRD7,-3.3422409350804485,-0.12095545323666282,0.0008310489091440494,0.03219888936064003,0.13817005240088226,8.120302247081487e-06,NA,18,19,19,0.0003116998614570823,0.08046097847502227
ENSG00000058453.16,CROCC,-3.2601419078898157,-0.39207940381130796,0.0011135648340860889,0.0032334720270051627,0.04766756691738308,0.012676255479460044,NA,2,4,4,0.0006158000153823269,0.08312181123273488
ENSG00000110768.11,GTF2H1,-3.2104891787792886,-0.2106512271144681,0.0013250925759333313,0.010040485796587796,0.12742675965994715,1.874413609611528e-05,NA,34,34,34,0.0009588999353218481,0.02435503426928553
ENSG00000164167.10,LSM6,3.208251775486459,0.14405446753003442,0.0013354453280107754,0.02630442009579571,0.09702715461510322,0.0004166960576785145,NA,23,27,27,1.9520004726242734e-08,0.14597854952861047
ENSG00000171055.14,FEZ2,-3.182878605691426,-0.16447050721699416,0.0014581873624284279,0.020663565223961122,0.15773668637904004,2.776331167148996e-06,NA,20,20,20,0.0005405001529701833,0.034810772730036604
ENSG00000226791.6,AC109826.1,-3.1726327353624306,-0.10829655185102673,0.001510634874562248,0.03613213486897307,0.044752613690068166,0.015979156647887002,NA,44,44,44,2.2750001409719374e-05,0.09294761329114924
ENSG00000160716.5,CHRNB2,3.159510934768547,0.290363350889713,0.001580341700590467,0.005649369911982682,0.07395242394835297,0.001451394083875207,NA,58,61,61,0.0005857997546802579,0.06290655083619161
ENSG00000124562.9,SNRPC,-3.141533949986941,-0.16838716158899492,0.0016806532260459392,0.014956669317545811,0.13149040855512245,2.3079317668919768e-05,NA,21,22,22,0.0001412000038964429,0.09981264853329272
ENSG00000254470.2,AP5B1,-3.1384883496556544,-0.24970986340518292,0.0016982168575946559,0.006522446471094645,0.03202079371062026,0.0449667283611323,NA,6,6,6,0.00023470010518770288,0.03643585020853098
ENSG00000144231.10,POLR2D,-3.1344463508840965,-0.12020662987954862,0.0017217873483453792,0.02801270726932926,0.12420277463219355,4.237001025796685e-05,NA,11,11,11,0.0010460002478305654,0.1199947577038817
