gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000173540.12,GMPPB,5.530479519810837,0.14644434724758723,3.1935658364661414e-08,0.05590600459041531,0.2078305371715181,2.305173242940193e-10,NA,46,75,75,6.163999604360101e-07,0.17110676283428747
ENSG00000250673.2,RP11-6L6.2,5.425836825204446,0.1346260392038993,5.768363921846888e-08,0.07317603858210786,0.2515703674431972,2.1567500279165513e-12,NA,19,20,20,1.9520004726242734e-08,0.08358860655227113
ENSG00000243477.5,NAT6,5.140783014551286,0.4573997613696893,2.735958720699974e-07,0.0056919202147436565,0.09224822693932967,8.523948259743177e-05,NA,8,9,9,1.9670020475264333e-07,0.04808662147541984
ENSG00000271904.1,CTC-498M16.4,-4.9433377229388515,-0.11905307433307423,7.679627733011384e-07,0.08185867948687277,0.18560945995990805,4.889872883983734e-09,NA,34,34,34,2.1500001970626852e-09,0.10394183862679217
ENSG00000186792.16,HYAL3,-4.795866676301269,-0.20381549917111327,1.6197298772784894e-06,0.024821398426217077,0.2406749963426166,2.01644377781605e-11,NA,5,5,5,5.038001666528516e-07,0.10466383041176172
ENSG00000116032.5,GRIN3B,4.747004421262709,0.5987462492705543,2.0645144083519566e-06,0.0029092295662995755,0.029470815643568925,0.02901528485994524,NA,4,24,24,1.012001012117583e-05,0.054401056711275965
ENSG00000117407.16,ARTN,4.529779059670469,0.19420122874581366,5.90453993060213e-06,0.029819243909244876,0.10567114516230287,2.4231084420258624e-05,NA,20,21,21,8.11600094606022e-09,0.08868331309765219
ENSG00000260807.6,RP11-161M6.2,-4.448394710774335,-0.968725830792272,8.651443945602716e-06,0.0013790125607717467,0.1585968480884025,5.7741572731378914e-08,NA,4,7,7,8.165002263256686e-06,0.019641105281166873
ENSG00000196072.11,BLOC1S2,-4.306656176880464,-0.20783328329235443,1.6574092283217778e-05,0.029463925795351776,0.3621338416015488,5.944523967782281e-20,NA,21,21,21,2.9500012128374927e-06,0.028331437497066743
ENSG00000255284.1,AP006621.5,4.279770754928961,0.09737446264140073,1.870859164366883e-05,0.08890828953432775,0.3364325635297556,4.6464791493510115e-17,NA,11,14,14,3.1839981248228153e-06,0.16892289380112266
ENSG00000166341.7,DCHS1,-4.261470255133851,-0.26734947057503894,2.0308638770324327e-05,0.009764041942352236,0.09979236834867754,2.668654142744864e-05,NA,22,23,23,2.9800016014075783e-05,0.16874113722536566
ENSG00000182600.9,C2orf82,-4.1719863508445805,-0.0761743163003183,3.019557289406342e-05,0.11833274123157221,0.5033766889788366,1.5867383105183163e-28,NA,27,33,33,4.175997648082018e-06,0.07106085940230032
