gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000117407.16,ARTN,6.484126818303739,0.13369807323868976,8.924713098370888e-11,0.11106053933686115,0.5053729470516698,1.5051953029259596e-27,NA,26,26,26,2.9129976108702354e-13,0.07633165774581037
ENSG00000250673.2,RP11-6L6.2,5.384575681972281,0.11329466433586588,7.261574573040672e-08,0.10303027776887147,0.3628907564512738,4.398341486248875e-19,NA,35,35,35,1.9520004726242734e-08,0.04993896075339738
ENSG00000164167.10,LSM6,5.279501263354615,0.25749862412310937,1.295359861967841e-07,0.019458783435433807,0.209596744747517,2.2793273531023593e-09,NA,22,24,24,1.9380023947144128e-08,0.041842083611263736
ENSG00000177595.17,PIDD1,4.95326631951605,0.10993798263529427,7.297798509272949e-07,0.09446431737539444,0.5328783560764628,1.1295380527688216e-29,NA,8,10,10,1.5520001003436103e-07,0.08255644650931425
ENSG00000177666.16,PNPLA2,-4.848747625788476,-0.2955066396460479,1.2424336809825264e-06,0.013173379503646578,0.10477539843977314,4.744264041711845e-05,NA,31,44,44,1.5520001003436103e-07,0.11269636620363542
ENSG00000198198.15,SZT2,4.843334548422541,0.32258276440272804,1.2767804277967442e-06,0.009822176522797968,0.0957600050492742,0.00011390038541393172,NA,40,43,43,6.01900071351508e-08,0.05137654902520196
ENSG00000173540.12,GMPPB,4.7916536001759935,0.11612753709997291,1.6541231292628753e-06,0.07903935922175054,0.4462773462145708,1.1883051180032537e-23,NA,36,36,36,8.663995187546421e-07,0.1058717035050824
ENSG00000186792.16,HYAL3,-4.629344660570595,-0.09603821195429522,3.6682478139078156e-06,0.09874899362719203,0.3575695962015062,1.4192284262577772e-17,NA,33,35,35,2.3809979542931676e-06,0.18248444238076386
ENSG00000090975.12,PITPNM2,4.360801640560636,0.16228651388420864,1.2958680358798466e-05,0.03389376806756559,0.2063484554156061,4.419926577683837e-09,NA,42,68,68,1.9430016860386576e-06,0.20416760880034815
ENSG00000112218.8,GPR63,4.3406789679550855,0.14473845878191519,1.4204312277616326e-05,0.03914295374129658,0.09361215944942312,0.00015256765965172454,NA,172,174,174,7.747999885526554e-05,0.15770995936569587
ENSG00000255142.1,AP006621.6,4.303686478664975,0.1352045348618038,1.6797933266691225e-05,0.04721058133026136,0.3613435869109857,9.228771873239652e-17,NA,12,20,20,3.4510032294261082e-06,0.07057931632239221
ENSG00000081189.15,MEF2C,4.2726714500885885,0.32701394052740773,1.9314494043353274e-05,0.006414285749645533,0.06586999002377426,0.0011166860284027925,NA,16,16,16,3.834995618757944e-06,0.03853869643643256
ENSG00000259362.2,RP11-307C19.1,4.263551504975318,0.12075367009668317,2.0120309588030336e-05,0.05791064272134172,0.17109963358607547,1.2789823084307734e-07,NA,46,46,46,5.8990018116432145e-06,0.040966513163306635
ENSG00000164180.13,TMEM161B,4.199293367523348,0.41272275237312234,2.6774923933588072e-05,0.005141352117544299,0.03213623114290252,0.03035339693564596,NA,34,40,40,2.890997488745491e-07,0.07544113235619714
ENSG00000139531.12,SUOX,4.162621725576851,0.1416045410170287,3.146143269512231e-05,0.03825933124926743,0.29597910577567565,6.337904207872785e-14,NA,8,8,8,3.4899996653051354e-05,0.0852373312877659
ENSG00000185522.8,LMNTD2,-4.150119166477914,-1.066602563055001,3.3230222586043014e-05,0.000726623814565512,0.09918645350008284,8.952402879611486e-05,NA,7,13,13,1.5520001003436103e-07,0.03342907034711497
ENSG00000230487.7,PSMG3-AS1,-4.119312818640254,-0.1996712971267541,3.800039710315813e-05,0.021798315252127522,0.14205580492962738,2.001970749003589e-06,NA,46,75,75,1.3859997876720047e-05,0.19731721033558824
ENSG00000188554.13,NBR1,-4.104068515114931,-0.19556324952280857,4.059471533755083e-05,0.017906172415101274,0.3410919403565078,8.027771443363455e-16,NA,47,48,48,3.667998069956315e-05,0.02104476168806841
ENSG00000131471.6,AOC3,-4.08997991985991,-0.39802755028020526,4.314105366645383e-05,0.004286490331106145,0.07263644060192684,0.0008771849537916228,NA,20,21,21,3.667998069956315e-05,0.042823148170993634
ENSG00000197728.9,RPS26,-4.05486272550608,-0.05530056763294482,5.016375332859409e-05,0.23983386422791783,0.6322233781040222,7.172781518754456e-39,NA,22,24,24,6.195004509037378e-06,0.16970798149703015
ENSG00000213672.7,NCKIPSD,-4.053977723817626,-0.10191928770681373,5.035401347056062e-05,0.07554458490411252,0.45270264434565405,2.0637698076885963e-22,NA,33,33,33,9.53900960155531e-07,0.09601222714362738
ENSG00000145354.9,CISD2,4.021344440886339,0.3291642983353437,5.786691704611069e-05,0.0072191362168021606,0.17682800166313614,9.036510308000039e-08,NA,79,82,82,5.110997834782475e-06,0.021677137950184173
