gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000214706.10,IFRD2,-5.948705408326465,-0.37371672167719294,2.7027156534325582e-09,0.01194319727709468,0.06263402183345894,0.0006236610277359868,NA,14,14,14,2.3809979542931676e-06,0.048151286920255915
ENSG00000164167.10,LSM6,5.592647817034925,0.2688219120090648,2.2363261871835588e-08,0.019931110341780887,0.13557997890028886,2.2674271433696784e-07,NA,14,15,15,1.9520004726242734e-08,0.0862672452703614
ENSG00000271904.1,CTC-498M16.4,-5.401951967979162,-0.1696841878487829,6.59196033824692e-08,0.04452845495922531,0.06258778713164091,0.0006039196802415898,NA,52,52,52,1.2930021408039405e-14,0.07536672255855728
ENSG00000082293.12,COL19A1,-5.341301505302952,-0.5404170933136422,9.22816242814849e-08,0.004544723464418096,0.06135811756281352,0.0007007807831959968,NA,9,9,9,3.515004131173833e-07,0.02523122222784888
ENSG00000117407.16,ARTN,5.100125114545112,0.10205072117682851,3.3942903661628393e-07,0.1255719141806674,0.41499715785438906,3.45043467224969e-24,NA,28,30,30,8.11600094606022e-09,0.12466827666771994
ENSG00000173540.12,GMPPB,4.953840887484764,0.09820053537421888,7.27627122661856e-07,0.11491482631576773,0.5207994403524667,7.956118861961791e-34,NA,41,41,41,8.663995187546421e-07,0.08613317429550033
ENSG00000250673.2,RP11-6L6.2,4.916906783737505,0.08368417170591096,8.792239112775365e-07,0.15838717069651098,0.4608355288072296,4.395383960202817e-28,NA,19,19,19,1.9520004726242734e-08,0.20487549373817185
ENSG00000250156.3,LINC02060,-4.902294453394639,-0.2116211841089419,9.472370800196293e-07,0.02438430310050348,0.034870363761897914,0.010923841700427966,NA,58,60,60,1.0449991698489089e-10,0.1894370089058152
ENSG00000177595.17,PIDD1,4.835969213355605,0.09867488364607153,1.324984295748836e-06,0.11600939988787311,0.4953050054469068,1.2607209479630225e-31,NA,11,14,14,1.5520001003436103e-07,0.13586361377891396
ENSG00000228512.2,RP11-281A20.2,-4.7769415694395,-0.22681308010325013,1.7798146292897055e-06,0.017533164168403486,0.1197644282491034,9.38943755222366e-07,NA,54,54,54,1.352999391833568e-06,0.033253967073240576
ENSG00000186792.16,HYAL3,-4.743786293869265,-0.11126005647655325,2.0976013792591714e-06,0.08344027504260641,0.4289783606938081,1.6690336708060992e-25,NA,10,10,10,1.7170008403812532e-07,0.20351667158476533
ENSG00000079156.16,OSBPL6,-4.715730844709568,-0.18636479544963666,2.4084464957883275e-06,0.026356692481142516,0.04091826624410516,0.005422788885784696,NA,49,49,49,0.0013210000294778365,0.1971258780135346
ENSG00000145354.9,CISD2,4.635289697169963,0.32208335977355024,3.5643794052510193e-06,0.009578223929337252,0.19244826121331166,2.2020444654132397e-10,NA,41,41,41,2.47699938585204e-06,0.02386512697484108
ENSG00000090975.12,PITPNM2,4.570501788083313,0.22600030653354544,4.865577701656143e-06,0.017880076898389392,0.10289882273419207,9.77957828776248e-06,NA,18,22,22,2.468000933595682e-05,0.11817539386241135
ENSG00000260807.6,RP11-161M6.2,-4.452170516290207,-0.5933814301061959,8.500661740171453e-06,0.0037376092342371807,0.0975432496187984,2.0447420691958648e-05,NA,12,34,34,6.248001862396682e-06,0.039698632931317805
ENSG00000198265.11,HELZ,4.400892545386793,0.3928777595629708,1.078065056004382e-05,0.0050160464129717225,0.12875332982972051,4.6403139438385546e-07,NA,13,13,13,5.926997284335428e-06,0.03263599838405985
ENSG00000144354.13,CDCA7,4.342115637366586,0.2994647791541141,1.411172210613901e-05,0.009694554760121559,0.058914667284371176,0.0010160876143602221,NA,12,16,16,9.570992972153205e-06,0.07600633264249851
ENSG00000233276.3,GPX1,4.276880316084389,0.19037024563899965,1.8953063177251502e-05,0.0231631765151597,0.18003609085365918,1.045684479342967e-09,NA,40,42,42,1.2959998270226652e-06,0.1019696172210186
ENSG00000197728.9,RPS26,-4.252338223307245,-0.04951971999281104,2.1155003220706135e-05,0.3227534518076294,0.7030825255615696,9.958125611750603e-59,NA,24,26,26,6.195004509037378e-06,0.18598260760901425
ENSG00000129933.20,MAU2,-4.227948641366031,-0.40923637141479746,2.3583160417416836e-05,0.004261589538824682,0.05757827230290035,0.0011132311622675088,NA,34,34,34,1.1060000684448293e-05,0.04304571094920544
ENSG00000213996.12,TM6SF2,4.215335325162945,0.12567645149450665,2.4940732698992683e-05,0.043999075563754264,0.2331747632807553,4.16746993809126e-12,NA,52,52,52,3.237000713514545e-06,0.0659826143073032
ENSG00000267002.2,RP11-242D8.1,-4.14647162035179,-0.17117748564473195,3.376380071300249e-05,0.023371384489650898,0.2885165490754357,1.6296117207039713e-15,NA,58,62,62,1.1530008409385128e-05,0.07524269534240131
ENSG00000255142.1,AP006621.6,4.111136579433451,0.09400278300192466,3.9371620649310543e-05,0.09062590873093229,0.3711893766700411,5.253497385317654e-21,NA,12,14,14,3.1839981248228153e-06,0.13788872248545056
ENSG00000259362.2,RP11-307C19.1,4.087891073902245,0.09859863220023794,4.3531244936311976e-05,0.08091878793256392,0.18525208364471105,1.3281104444182589e-09,NA,33,33,33,5.8990018116432145e-06,0.16693826336374298
ENSG00000139531.12,SUOX,4.060024460683386,0.08444437881368576,4.9067575273516706e-05,0.10390637580675426,0.518980507144177,6.995661516166368e-33,NA,23,24,24,2.0249988245717876e-05,0.11629864819739782
ENSG00000213047.12,DENND1B,-4.028138117137288,-0.49313693450120605,5.62203143568597e-05,0.003151255825934415,0.0371040858387628,0.009080961637309523,NA,12,13,13,9.975991572355671e-06,0.03731263808762973
ENSG00000196072.11,BLOC1S2,-4.0218142413724935,-0.13355439571723599,5.775159576586231e-05,0.04073507771025182,0.14333226087257284,3.9514403967896196e-08,NA,89,91,91,2.9500012128374927e-06,0.1175506561147389
ENSG00000255284.1,AP006621.5,4.018793702689553,0.07925212109260599,5.8496859486407715e-05,0.1258885670608255,0.5008413511161108,2.356577423310194e-31,NA,22,24,24,3.1839981248228153e-06,0.16698256833809072
ENSG00000070444.14,MNT,-4.000222368769828,-0.4177071129416769,6.328299080402342e-05,0.004986829896498922,0.05673490040224444,0.0013845291635284564,NA,10,12,12,0.0002447000734837391,0.08563001472600841
ENSG00000183955.12,KMT5A,3.999830762361038,0.14980049689519565,6.33877972246727e-05,0.029509266212369867,0.2112091883916782,5.84054111503776e-11,NA,7,7,7,4.469998860923603e-05,0.07659502971127051
ENSG00000175906.4,ARL4D,-3.9912929545527502,-0.16288296200082034,6.571404453413432e-05,0.023855805122798654,0.18480701812631867,2.3561235797913344e-10,NA,34,35,35,3.667998069956315e-05,0.026819739076747662
ENSG00000185909.14,KLHDC8B,3.97249853022449,0.3612843707408229,7.112267520936107e-05,0.005822927998116489,0.07240200656273699,0.000160512067468494,NA,10,10,10,8.790997764299389e-05,0.03241474487001246
ENSG00000177352.9,CCDC71,3.9217108508135197,0.10852342396859385,8.79224627669774e-05,0.06392935109799262,0.2753531323209733,4.141860988307642e-15,NA,27,28,28,6.585002686324626e-05,0.1717293383987951
ENSG00000169744.12,LDB2,3.901917858612811,0.3954715630440661,9.543354488904279e-05,0.004209489624819739,0.09933763865606322,1.5611070190466117e-05,NA,3,3,3,9.516000484228234e-05,0.07499028728982468
ENSG00000081189.15,MEF2C,3.857571597322611,0.2612390650224979,0.00011451913957203909,0.008391420099209844,0.054261750998035034,0.0014275418103576207,NA,12,12,12,7.116992977647712e-08,0.02763317700066977
ENSG00000144711.13,IQSEC1,-3.81647660440647,-0.11631898901531451,0.00013537090444695881,0.046619376170099466,0.2140546853549726,2.145978957513988e-12,NA,58,63,63,0.0002754000790127035,0.21284914130534774
ENSG00000204178.9,TMEM57,-3.7924620955715143,-0.22270198932978744,0.00014916102353319284,0.012969357947582638,0.084799100806733,5.210237493556069e-05,NA,33,35,35,0.0005885000396346093,0.03628509075569214
ENSG00000182600.9,C2orf82,-3.7898942479445226,-0.10801524272403372,0.00015071143395518387,0.05384746977683334,0.14341370065301468,1.5561158335941294e-07,NA,55,56,56,3.2830022648446136e-05,0.22487314148484164
ENSG00000102606.17,ARHGEF7,3.7577890888714345,0.11889270117140922,0.00017142127094994992,0.047815144950057266,0.4083466946174028,6.636774100476372e-24,NA,34,36,36,0.00010749997634686273,0.09630984511305896
ENSG00000204128.5,C2orf72,-3.750792430343806,-0.21540431469306293,0.000176276584893764,0.013670074688441784,0.09556382613000623,1.6803315768608782e-05,NA,36,36,36,0.00017770007523287574,0.13921129156353276
ENSG00000236383.8,LINC00854,-3.748195553751279,-0.11927106679780691,0.00017811136457543216,0.038019190841464434,0.1169461723790716,1.9923221246451233e-06,NA,19,20,20,7.488998641349358e-05,0.05705674928968275
ENSG00000170175.10,CHRNB1,-3.7219913136112197,-0.21457715984499107,0.0001976578242549991,0.01153780103330909,0.13734554789668282,2.990390189330071e-07,NA,7,7,7,8.385999844526284e-05,0.057859943112924826
ENSG00000064687.12,ABCA7,3.693957127707062,1.090790028221726,0.00022079104337816333,0.0006369019524623277,0.2840606920197352,3.667152672010679e-15,NA,4,18,18,0.00047050000283818915,0.019188465237793915
ENSG00000164068.15,RNF123,3.6689818661022287,0.11684853521998176,0.00024351834974852262,0.04265863237409894,0.274778308564785,1.4582269860498363e-16,NA,68,70,70,8.663995187546421e-07,0.04547913017278132
ENSG00000123975.4,CKS2,-3.6664267902098047,-0.09869968541042454,0.000245963292531059,0.06561552204111593,0.33403534061143936,3.1066986294711703e-18,NA,14,17,17,0.00043139983239144533,0.5655216843549496
ENSG00000183726.10,TMEM50A,-3.6501780373972825,-0.14635813232364012,0.0002620586041766129,0.02828025311100943,0.23113422239590975,2.554589631780043e-12,NA,16,16,16,0.0005188998884340827,0.05004672138386149
ENSG00000041802.10,LSG1,3.6055849681011822,0.04249774323518566,0.0003114505625144126,0.29623725797406836,0.6715196849930309,3.58004550413606e-54,NA,21,22,22,0.00019979996106728507,0.4950045346566369
ENSG00000254415.3,SIGLEC14,3.604762850461854,0.13320843442389765,0.0003124380939250123,0.029465940288180566,0.09963201873139522,1.791191082410578e-05,NA,18,21,21,0.0006740998268820049,0.10560849240644392
ENSG00000185615.15,PDIA2,-3.5954345567064974,-0.19464195794618008,0.00032385053491164816,0.019760599956281728,0.11128255555653886,5.116770643328753e-06,NA,14,44,44,0.0004148999909297377,0.08374747411620251
ENSG00000116857.16,TMEM9,-3.5865565124697096,-0.42478821751070356,0.00033507347399426655,0.004072733137225288,0.03947638057906371,0.0072038664059597595,NA,9,10,10,0.005115000249826758,0.11980419316836825
ENSG00000092439.13,TRPM7,-3.582918910652924,-0.23980414023917127,0.0003397761083481324,0.00904846212293738,0.11750903752048618,2.110730248153468e-06,NA,19,19,19,0.001233999514035246,0.1225386481466559
ENSG00000145020.15,AMT,-3.5817488709408507,-0.06649113656166852,0.0003413017944914498,0.13468047650191972,0.4857682308280515,1.973090121466533e-30,NA,71,71,71,9.53900960155531e-07,0.1211590812812946
ENSG00000164078.12,MST1R,3.5495687847906385,0.0793365576947129,0.00038586264416650724,0.08973878852783385,0.3039617743549075,8.879056356217786e-17,NA,44,68,68,3.7729967298199734e-05,0.13922689303035304
ENSG00000243477.5,NAT6,3.539719603984599,0.2490906739065041,0.00040055236110514273,0.009384662284044323,0.062200103105068974,0.0005482648342076507,NA,28,30,30,2.3809979542931676e-06,0.05205026699591799
ENSG00000172893.15,DHCR7,-3.5186845985816624,-0.25997469106731896,0.00043369197441192164,0.007509223443814381,0.07629256817453911,0.00018317162992490468,NA,10,12,12,0.00036899996871031456,0.08296577402079386
ENSG00000163788.13,SNRK,3.5109802182381573,0.2966495613515928,0.0004464576199521838,0.005661597461670544,0.07648404516396072,0.00011327464818543145,NA,19,20,20,0.0003291000523058617,0.027407951676995414
ENSG00000188554.13,NBR1,-3.5041457638864495,-0.12076013881315129,0.00045807454966212885,0.033920627098967066,0.3542000970007457,3.904566833324361e-20,NA,41,43,43,3.667998069956315e-05,0.07245312235245385
ENSG00000204084.12,INPP5B,-3.5027794389602533,-0.054055726575855494,0.0004604305473944832,0.17835849669027012,0.4979337157747981,1.0960305846542112e-31,NA,21,23,23,0.00032859996837893255,0.15349656498434766
ENSG00000122548.5,KIAA0087,3.4978252845497444,0.07045257550029783,0.00046906831025301604,0.11724146600473256,0.4582379031126708,5.0056542088415225e-29,NA,46,51,51,0.0024750001341300254,0.4714475522478429
ENSG00000198198.15,SZT2,3.495876385450424,0.2709909973985283,0.0004725075397774263,0.007755463435465403,0.12186982089970863,1.4314291304580254e-06,NA,12,13,13,1.0080000413171932e-10,0.0984440976703371
ENSG00000164989.16,CCDC171,-3.4918159529165664,-0.0793798990778741,0.0004797486938899427,0.07564118323633023,0.42825661520185226,2.0905555472699572e-25,NA,14,14,14,9.554004409927944e-06,0.10406759461044876
ENSG00000170266.15,GLB1,3.482048667880723,0.0830885147203997,0.0004975932476899397,0.07108244121384483,0.3068721824714213,1.2774575403263198e-16,NA,24,25,25,0.002108999905707349,0.3234937934453414
