gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000250673.2,RP11-6L6.2,5.280626571345838,0.21206884549737653,1.287428498180774e-07,0.028314508039679616,0.11169342346050312,7.258468451775517e-06,NA,17,18,18,1.9520004726242734e-08,0.12507489434626348
ENSG00000117407.16,ARTN,5.022712108932095,0.32090413406252244,5.094688296471232e-07,0.01152775426438016,0.04288418705887228,0.006694354169407462,NA,3,4,4,4.6129955140455495e-07,0.0723431737472671
ENSG00000066056.13,TIE1,4.909469087695589,0.4215958878242253,9.132329326384503e-07,0.005666410468949203,0.04874869503518806,0.003588723230847546,NA,11,11,11,3.131998889021252e-08,0.038006788440151616
ENSG00000177666.16,PNPLA2,-4.7718383243369935,-0.3396085498726794,1.8255201824957877e-06,0.010861910605088964,0.30969097942867024,3.461968123973913e-16,NA,7,19,19,1.5520001003436103e-07,0.06604509141420672
ENSG00000173540.12,GMPPB,4.762028616631393,0.09713269384046035,1.91656495836975e-06,0.1092321835685715,0.4242069320256936,1.181229679439412e-24,NA,51,54,54,5.038001666528516e-07,0.23671915600533466
ENSG00000271904.1,CTC-498M16.4,-4.729659488360326,-0.1464397371041527,2.2489672160446404e-06,0.04773805791391259,0.1611220160577752,3.5777417534204635e-08,NA,35,36,36,1.8550014826221697e-09,0.1652065315651517
ENSG00000177595.17,PIDD1,4.719659495738064,0.39337665325613347,2.3623975378758235e-06,0.007623127225111489,0.2005700312769098,1.3944788346714086e-10,NA,9,18,18,2.893002506802446e-06,0.05726923576897348
ENSG00000178467.17,P4HTM,-4.719486396927708,-0.4403619967610844,2.3644085580539036e-06,0.005448425102672962,0.11311852533407013,2.79557118205666e-06,NA,12,12,12,8.992002066448461e-07,0.037223680877316485
ENSG00000186792.16,HYAL3,-4.705460560482385,-0.11797411701860656,2.532934715810436e-06,0.0691677279131373,0.4093925970186407,8.96836796307901e-23,NA,75,75,75,2.3809979542931676e-06,0.18544210776945305
ENSG00000243477.5,NAT6,4.5737294246334015,0.18571145626922092,4.791185030032519e-06,0.02681571630280609,0.30048772649274025,1.6553021727575807e-15,NA,10,10,10,2.3809979542931676e-06,0.09396031235674254
ENSG00000260807.6,RP11-161M6.2,-4.484189359927961,-0.20573966632693363,7.319164505750039e-06,0.03333131437213265,0.3611177312624312,1.5071761674031664e-19,NA,12,45,45,6.248001862396682e-06,0.07586516689999913
ENSG00000177875.4,CCDC184,-4.454416119543705,-0.7595022295367209,8.412180843726128e-06,0.0013411564219810235,0.05275802817893655,0.001891539402261725,NA,9,9,9,6.44200473545581e-06,0.012249678895555931
ENSG00000163596.16,ICA1L,4.449665297364057,0.7250259741852606,8.600421524965068e-06,0.0016789099749039962,0.029607276234152793,0.02062722560693261,NA,18,18,18,2.0169978038329994e-06,0.020467979654991468
ENSG00000068885.14,IFT80,-4.413648215603462,-0.469469397014701,1.0164307392592847e-05,0.0046680564077066136,0.0564783312132262,0.0015727811914289932,NA,20,23,23,3.8180006639766976e-07,0.036425001995291535
ENSG00000164167.10,LSM6,4.410522762080494,0.20606121760904347,1.0312136502096156e-05,0.021232088724705597,0.12472809081813728,1.5095289125012889e-06,NA,21,21,21,2.314002756766651e-08,0.11580929170939012
ENSG00000196072.11,BLOC1S2,-4.271268408214037,-0.15100290571635502,1.943643045946997e-05,0.05312399754396733,0.4736324128289139,5.74059236702852e-29,NA,39,40,40,2.9500012128374927e-06,0.07094378016367055
ENSG00000226791.6,AC109826.1,-4.170609903711314,-0.15499514442417722,3.037855019469021e-05,0.027925559006575368,0.08380729844475572,8.900660573585796e-05,NA,28,28,28,8.279003992548965e-06,0.11264960613048873
ENSG00000182600.9,C2orf82,-4.075898309280501,-0.09685877206480671,4.583704834220109e-05,0.07007790382170816,0.3645243624060606,1.334159170598104e-19,NA,20,23,23,3.2830022648446136e-05,0.035101835610938666
ENSG00000026025.15,VIM,4.07492719712639,0.4507082413543899,4.6028744565840596e-05,0.0035116261975293066,0.13848818178625982,3.2653587852197165e-07,NA,9,9,9,4.070003553678928e-05,0.01445908131389442
ENSG00000144214.9,LYG1,4.064990465318615,0.3106146445167993,4.8034425638579817e-05,0.006152985712217082,0.06686054774717677,0.0005006170171719372,NA,47,47,47,6.687999441002613e-06,0.032088324385031425
ENSG00000126091.19,ST3GAL3,-4.000956873516059,-0.4556766802789465,6.308685602663003e-05,0.0038389232137429293,0.041692708927516337,0.007023982372239939,NA,35,35,35,4.5399998212021766e-10,0.04476264994211735
ENSG00000166341.7,DCHS1,-3.9759649506237786,-0.28305628205005,7.009444935408371e-05,0.008788753033393956,0.1426084739200985,6.137003015710357e-08,NA,4,4,4,2.9800016014075783e-05,0.16086163212873789
ENSG00000188554.13,NBR1,-3.932904039496856,-0.7320114248823943,8.39257477546621e-05,0.0010477348033708551,0.09384011203364544,3.3073920902191025e-05,NA,11,16,16,8.833998287336647e-05,0.03947576956367158
