gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000243477.5,NAT6,5.584283962316893,0.3264186586759032,2.346650178982963e-08,0.013000574381301241,0.20183743973769133,5.2676034221511645e-09,NA,19,19,19,1.9670020475264333e-07,0.044649649419280686
ENSG00000271904.1,CTC-498M16.4,-5.323193928052097,-0.1548320160589511,1.0196094361399846e-07,0.05321612698808203,0.2389335348637421,1.4151387935067658e-10,NA,28,28,28,2.012998460811017e-09,0.0637817677452831
ENSG00000177595.17,PIDD1,5.310167569012634,0.42441324773966205,1.0952448723690154e-07,0.008183202278571057,0.2261689445988849,8.300639686911133e-11,NA,21,32,32,1.5520001003436103e-07,0.06777606590009724
ENSG00000177666.16,PNPLA2,-5.195817158908071,-0.18647695049530724,2.0382251510870326e-07,0.03852766729250391,0.4357212224048471,4.1235348156738417e-22,NA,13,33,33,1.5520001003436103e-07,0.186928300421961
ENSG00000186792.16,HYAL3,-4.708244205484987,-0.1476082403587847,2.4985965452900823e-06,0.04758255329619627,0.41844109618006303,1.0996666035583213e-20,NA,4,5,5,2.3809979542931676e-06,0.1524874750790271
ENSG00000117407.16,ARTN,4.396260090969229,0.23188166727702178,1.1013195997690662e-05,0.016198345613859196,0.07215795827429652,0.0008593749248204,NA,10,10,10,8.11600094606022e-09,0.09215885063932534
ENSG00000163596.16,ICA1L,4.2867811917419205,0.5167479019986879,1.812806934898579e-05,0.0033627934802775462,0.12998750589111396,4.460629841458064e-06,NA,22,23,23,2.0169978038329994e-06,0.02451552427911672
ENSG00000197728.9,RPS26,-4.278967721979797,-0.05398922112342656,1.8776208654959204e-05,0.2705530148883228,0.6694823604904121,2.0632398675793622e-43,NA,20,21,21,6.195004509037378e-06,0.21188008668814695
ENSG00000196072.11,BLOC1S2,-4.199770740473604,-0.2584534280082728,2.671853756713226e-05,0.015143976024257232,0.20865824090885166,6.68662792056223e-10,NA,35,35,35,2.9500012128374927e-06,0.058891487553483786
ENSG00000173540.12,GMPPB,4.133530943729865,0.10134052993275554,3.572321737387515e-05,0.06391105883878133,0.28190706006165217,5.753471547828802e-13,NA,33,64,64,9.53900960155531e-07,0.08813404768646836
ENSG00000182600.9,C2orf82,-4.124873192577698,-0.1041070543475178,3.709390728891418e-05,0.06660865041216048,0.4277843972467661,7.548838149024014e-22,NA,14,14,14,3.2830022648446136e-05,0.043488735872936606
ENSG00000259362.2,RP11-307C19.1,4.109525990113893,0.16643285405023123,3.964720932179429e-05,0.028663494038848963,0.08035214630777035,0.0004549010390963792,NA,13,13,13,5.8990018116432145e-06,0.06632266828870885
