gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000271904.1,CTC-498M16.4,-5.2580969915719775,-0.11089477195092066,1.4555375042319177e-07,0.09391489974320558,0.2986823381730054,4.223708124171999e-13,NA,23,23,23,1.2930021408039405e-14,0.09641872805955062
ENSG00000066056.13,TIE1,5.250004535049494,0.4035515253082326,1.5209546581029676e-07,0.006735814490867985,0.08774426990517868,0.00028691448106244,NA,13,14,14,2.7109973660003658e-09,0.03690504356586435
ENSG00000173540.12,GMPPB,5.1635277985319625,0.10737352616247595,2.423385726985901e-07,0.10975941203569876,0.34831557736179913,2.8990600278259875e-17,NA,40,40,40,8.663995187546421e-07,0.21541862135612172
ENSG00000117407.16,ARTN,5.045322898896368,0.26080879176946736,4.527560959084309e-07,0.017566994078681314,0.07669826440327084,0.0006989497641865607,NA,10,10,10,5.601997085506096e-09,0.05502262500005888
ENSG00000178252.17,WDR6,4.90649450845037,0.26305920543204336,9.271858365318893e-07,0.014945046919202969,0.17362945223871776,2.1720272759500026e-07,NA,15,15,15,8.62899752332571e-05,0.12076388487697565
ENSG00000186792.16,HYAL3,-4.607774394399828,-0.16419481872836947,4.070019129322206e-06,0.03834482326784982,0.3969733631715828,3.370503998051801e-18,NA,15,18,18,1.1700006900393252e-06,0.10812782194582038
ENSG00000102606.17,ARHGEF7,4.3000504314896935,0.2704887276532344,1.7075924588634165e-05,0.012025646816658454,0.13744976793498356,1.962031533129639e-06,NA,9,9,9,0.00010749997634686273,0.07321080183125431
ENSG00000137824.15,RMDN3,4.299174677521546,0.17475365339044144,1.7143531865210634e-05,0.025780288273671223,0.1295313584347033,4.697728336357319e-06,NA,53,59,59,7.283002071279618e-05,0.14960608388323768
ENSG00000197728.9,RPS26,-4.294884010467708,-0.05309580239286042,1.7478469457072948e-05,0.29407618796269774,0.6106142954475318,8.817575834236773e-35,NA,86,100,100,6.195004509037378e-06,0.2830123718134537
ENSG00000250673.2,RP11-6L6.2,4.221348512284447,0.1408193289095948,2.4284513323403732e-05,0.03661050292414229,0.046923715638482466,0.009764630618915934,NA,74,76,76,1.9520004726242734e-08,0.4287586221393254
ENSG00000196072.11,BLOC1S2,-4.194890438931121,-0.3187722902292976,2.7300351484024157e-05,0.012900308530961403,0.1963968168648956,8.161697764723223e-10,NA,21,21,21,2.9500012128374927e-06,0.018636174091271468
ENSG00000129933.20,MAU2,-4.14606975346798,-0.5970049927394674,3.382308264845026e-05,0.002079078238071375,0.06995724609842432,0.0014592015737604016,NA,20,22,22,2.2860007314506407e-05,0.016427775822410545
ENSG00000188554.13,NBR1,-4.098343692236084,-0.7941409184701904,4.161170951077997e-05,0.0010604200042814988,0.06223792696467249,0.0025006816457115283,NA,20,21,21,3.667998069956315e-05,0.014864460619889937
ENSG00000145020.15,AMT,-4.029669990687421,-0.16155448698457583,5.585521180224062e-05,0.029569745830127902,0.31988901466507785,5.0485211624846574e-14,NA,27,27,27,8.663995187546421e-07,0.060921598434294524
ENSG00000236383.8,LINC00854,-3.9796218680977358,-0.21078922683083098,6.902496934846099e-05,0.014003541221336957,0.10199008251438242,5.446008757487861e-05,NA,22,22,22,1.1530008409385128e-05,0.043628020633610924
ENSG00000182600.9,C2orf82,-3.966682274647639,-0.12983457755896405,7.288004355010113e-05,0.04090550516247229,0.2323503895003313,6.263716793127897e-10,NA,21,23,23,2.8249991004872558e-05,0.03207319473099392
ENSG00000255142.1,AP006621.6,3.9628726620277845,0.22947099172424268,7.405328472068325e-05,0.014626374183512906,0.08646924611938671,0.0002175827593197361,NA,7,8,8,8.140001937211718e-06,0.11442501268110312
ENSG00000164989.16,CCDC171,-3.8888823269658412,-0.21076151654075134,0.00010070692830299228,0.01457401374893431,0.1041920341030742,7.887492279699369e-05,NA,33,36,36,7.563007073476745e-06,0.06086591110560419
ENSG00000067560.10,RHOA,3.748630708471759,1.0917042765487865,0.00017780266604355404,0.0005697653545897303,0.04685450952669306,0.008906751555086214,NA,16,16,16,6.89599947269289e-05,0.006125831327425991
ENSG00000139531.12,SUOX,3.7296702634300085,0.18403638350287208,0.0001917305121543981,0.016880142026996336,0.14329217234460562,1.945241545808308e-06,NA,26,26,26,3.4899996653051354e-05,0.07677888109890489
ENSG00000068976.13,PYGM,-3.650207811998331,-0.44660562156925043,0.00026202822779307117,0.003584086626888229,0.12180949244334935,1.9931674121332004e-05,NA,5,6,6,0.0016870003328730704,0.07326873613130634
ENSG00000173273.15,TNKS,-3.6161304880696754,-0.18363925834152633,0.00029903967561980475,0.019048408699136942,0.1043535859132516,7.123807843049869e-05,NA,37,42,42,0.0017979999093426105,0.12254345738893108
ENSG00000004534.14,RBM6,-3.593104565952137,-0.2108147827612649,0.0003267613818476122,0.012990133095749576,0.26538456856977416,7.231955352387337e-12,NA,36,36,36,5.1970028644079335e-05,0.017457524006379267
ENSG00000159479.16,MED8,-3.5723673365987167,-0.26424034387538015,0.0003537687074118653,0.007315604239861287,0.0716741530538757,0.0013291747100762981,NA,20,29,29,1.1360012603306347e-07,0.16618087386501515
ENSG00000122218.14,COPA,3.561834389684082,0.26359280100199745,0.00036827267130579096,0.008670244090148507,0.15652949033403485,3.6375407583913963e-07,NA,8,8,8,0.00025740006470349443,0.01840632289057952
ENSG00000255284.1,AP006621.5,3.5574634815399913,0.06779407302246082,0.00037445313775180645,0.14452623622397573,0.34960106616832193,8.280546651649766e-16,NA,51,68,68,5.10199742488247e-05,0.3066298980254901
ENSG00000041802.10,LSG1,3.555063437446875,0.08092270367431317,0.0003778879042096262,0.08355184299559296,0.4135467043927514,3.646599547750403e-19,NA,9,10,10,0.00019979996106728507,0.2591113699714261
ENSG00000103227.18,LMF1,3.5094063101333184,1.019526976930181,0.0004491082529644199,0.0005642844773572559,0.1630349504411037,4.575091991588042e-07,NA,4,6,6,0.00040619984485052005,0.017555716652364526
