gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000278041.1,RP5-984P4.6,-5.698170340542207,-1.4488050869118878,1.2110002410121542e-08,0.0008099559175167628,0.03350178955424126,0.0263042519442344,NA,7,7,7,1.5179996945210427e-09,0.0202709296577533
ENSG00000159479.16,MED8,-5.383013883711836,-1.3834035540253815,7.324888605861171e-08,0.0005972432874770616,0.030432026307338867,0.03560776160079525,NA,6,6,6,3.131998889021252e-08,0.014898505121108447
ENSG00000271904.1,CTC-498M16.4,-4.891923312825302,-0.14687785651900298,9.985535368399035e-07,0.05100082218278844,0.15519132050763024,6.866502335387967e-07,NA,22,28,28,1.8550014826221697e-09,0.08527976034525334
ENSG00000173540.12,GMPPB,4.864734710820687,0.13661790465760226,1.1461042815160907e-06,0.05460645352540423,0.2782931921270191,1.8852703826114283e-12,NA,43,44,44,8.992002066448461e-07,0.12804187967286873
ENSG00000236383.8,LINC00854,-4.298980667453463,-0.3023364410011476,1.7158543710745352e-05,0.007937890208907646,0.0869730940068921,0.0002247423855952249,NA,13,13,13,1.1530008409385128e-05,0.047076722897773884
ENSG00000139531.12,SUOX,4.271520419229982,0.24773888837991737,1.941447465261344e-05,0.012568487854554588,0.0926209783640696,0.00018149015178630369,NA,13,13,13,6.195004509037378e-06,0.04198723808045493
ENSG00000145020.15,AMT,-4.241960104547113,-0.3003376279634418,2.2157608610663316e-05,0.008252240919256743,0.1458477864953408,1.0607505770941272e-06,NA,30,30,30,0.00010970001306997861,0.01122327707106797
ENSG00000182600.9,C2orf82,-4.213169395871785,-0.10084524837492849,2.5181206345460838e-05,0.07189600519808921,0.3098045890572796,3.1839751372103405e-14,NA,60,65,65,4.757000687687844e-06,0.12836460393931345
ENSG00000229453.2,SPINK8,4.129234996401645,0.4342487210188167,3.639722473679064e-05,0.004091515084162885,0.03152541788612323,0.032935293188891886,NA,10,11,11,8.881000379437321e-05,0.024869423860005912
ENSG00000259362.2,RP11-307C19.1,4.115779249520819,0.15358234252603942,3.858734923905389e-05,0.033280102984037,0.1398343882312898,1.8130490591618072e-06,NA,19,19,19,2.9139991958725897e-05,0.10704452242115667
ENSG00000174564.12,IL20RB,4.113458500195785,0.105302712202794,3.8977513821353375e-05,0.05937242520523679,0.055589880411262144,0.003812175811666972,NA,66,70,70,0.00011469995659964533,0.16282575669464655
ENSG00000197728.9,RPS26,-4.102439411793487,-0.0524109377799812,4.088169293819742e-05,0.2591690968653723,0.6186648697767381,6.229850619433601e-37,NA,50,56,56,6.195004509037378e-06,0.2974110690152545
ENSG00000164068.15,RNF123,4.062790502546825,0.3701857745102903,4.848954505569712e-05,0.005714474356954636,0.09457938381644036,0.00014001016213441292,NA,66,67,67,1.2479990956826674e-06,0.02025635878417869
ENSG00000186792.16,HYAL3,-3.9699800471581304,-0.08870052216307105,7.187865082968228e-05,0.08679378723696013,0.3321534457853048,3.0189175688270745e-15,NA,77,82,82,3.0149974696731557e-07,0.12331184036295614
ENSG00000145354.9,CISD2,3.963813795431572,0.49371071204996386,7.376179504349472e-05,0.0027796911857489283,0.06854454854558813,0.0014672531376263105,NA,72,76,76,8.956005944306229e-06,0.0835492880511007
ENSG00000174891.12,RSRC1,3.943720336932515,0.2421068848132985,8.022721114477033e-05,0.011745889124390644,0.027488321665875868,0.04553195867247007,NA,71,71,71,1.582000873562799e-05,0.05395139294361611
ENSG00000184988.8,TMEM106A,-3.913622376639968,-0.6551177230446484,9.09217878683366e-05,0.0013444572468447383,0.038711642025939935,0.0157266454986729,NA,16,16,16,2.1080000947899177e-05,0.031172420274515764
ENSG00000169371.13,SNUPN,3.9054531855420094,0.21574987610156057,9.404896496123043e-05,0.016730948231175047,0.13042914344468404,5.534649144882797e-06,NA,25,26,26,0.00027510002989822996,0.0581512191195145
ENSG00000102606.17,ARHGEF7,3.8410962730565044,0.17633483469604405,0.0001224860604713914,0.021428137252903146,0.15531736197625434,5.526954821596528e-07,NA,15,15,15,6.209005023681689e-05,0.1079786941028512
ENSG00000131323.14,TRAF3,3.8390783996082396,0.2747759814775289,0.00012349699491183012,0.007870218691912201,0.0663261403518213,0.0009125004228508537,NA,18,18,18,2.0619983501065124e-05,0.056457535425340086
ENSG00000166341.7,DCHS1,-3.838655126541786,-0.5839233949741498,0.00012371004611653718,0.0018677340596987124,0.0430736804105235,0.0104202366713127,NA,4,4,4,2.9800016014075783e-05,0.07818315709737038
ENSG00000267002.2,RP11-242D8.1,-3.7596378200724376,-0.344390943448417,0.00017015951804828146,0.004653713357512055,0.0808643508677028,0.0004526594501730289,NA,19,19,19,2.1080000947899177e-05,0.05574863168095382
