gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000271904.1,CTC-498M16.4,-5.975327152508174,-0.12171406250296897,2.296288935652975e-09,0.11382403841652985,0.4207718106626599,2.810249240628693e-23,NA,26,26,26,1.782000876100034e-13,0.0899923861583928
ENSG00000186792.16,HYAL3,-5.155120358644532,-0.16732976466939004,2.534680722119953e-07,0.041210798853594396,0.22256134684449447,1.8231004014490094e-11,NA,14,18,18,1.7170008403812532e-07,0.1214624967524845
ENSG00000177875.4,CCDC184,-5.013337071629557,-0.4770618818470297,5.349406539608805e-07,0.004289358401646745,0.054735157027829315,0.0021138656661126463,NA,15,15,15,3.7940018036656894e-06,0.07314902129924353
ENSG00000250673.2,RP11-6L6.2,4.8927852977480555,0.1038211667351318,9.941884543302643e-07,0.0976881983508902,0.29146526214672314,9.82622128428717e-16,NA,80,83,83,1.9520004726242734e-08,0.12622881908473552
ENSG00000177666.16,PNPLA2,-4.8911158444626865,-0.46609651748152503,1.0026592790378873e-06,0.00538515997595763,0.09088148588394933,2.148865393555789e-05,NA,5,11,11,1.5520001003436103e-07,0.06382620297031455
ENSG00000173540.12,GMPPB,4.89040145344843,0.11190295851435599,1.006305294014766e-06,0.07500697749613985,0.3927688649144035,1.0509647032773487e-21,NA,30,30,30,8.663995187546421e-07,0.10622460702331732
ENSG00000243477.5,NAT6,4.706057161841453,0.8338675800162927,2.525537304172881e-06,0.0014310586097981376,0.055799187613422965,0.0018639173082061517,NA,4,4,4,2.3809979542931676e-06,0.02661317219104064
ENSG00000160746.12,ANO10,-4.68685504164666,-0.5950576529735564,2.7743532432373932e-06,0.002850388679546711,0.05593859994408375,0.0014971453793618307,NA,22,22,22,1.995998733180799e-06,0.042515493754462126
ENSG00000259362.2,RP11-307C19.1,4.627527078322474,0.13152340053100145,3.7005785998202055e-06,0.06011794726028272,0.13696628497208205,3.3486941830301057e-07,NA,11,11,11,5.8990018116432145e-06,0.2732427545694656
ENSG00000012171.19,SEMA3B,-4.48796135539664,-0.7630098055895332,7.190796825353939e-06,0.0014676589404705137,0.03375965291829396,0.01550436112901944,NA,26,26,26,5.166994548410658e-07,0.013608564983141126
