gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000173540.12,GMPPB,5.1549980096190255,0.1322080288901122,2.5363362323615436e-07,0.0728178003518024,0.3880662848261988,1.0508037264731922e-18,NA,26,26,26,8.992002066448461e-07,0.21693213030388744
ENSG00000271904.1,CTC-498M16.4,-4.865522729555095,-0.11158826773106485,1.1415469026641347e-06,0.08190563898609862,0.2733193352259679,5.042238832230054e-12,NA,34,36,36,2.558002216982117e-09,0.2716209655548681
ENSG00000250673.2,RP11-6L6.2,4.85655041285609,0.1571285286601923,1.1944838086455885e-06,0.04149622751452765,0.22210008872477835,1.2526248012664975e-09,NA,16,16,16,4.881003987273367e-08,0.1100171674116807
ENSG00000107833.10,NPM3,4.721985890524089,0.2091611750267414,2.3355288840301667e-06,0.023008110959897896,0.03881458245411745,0.014434948570770609,NA,40,40,40,0.0002581998957102473,0.06710606268778277
ENSG00000138442.9,WDR12,4.698807626117559,1.2366656115858248,2.616847974971605e-06,0.0006979936054109045,0.0406749893677755,0.015030922052173287,NA,13,13,13,2.0169978038329994e-06,0.03382560115594628
ENSG00000164985.14,PSIP1,-4.640038384747027,-0.5243333297211068,3.483444687497049e-06,0.0033185858540498224,0.05286717097231225,0.005143273548053417,NA,21,22,22,6.4629959488030075e-06,0.03979811007745425
ENSG00000177666.16,PNPLA2,-4.563423875259786,-0.35977943396146844,5.032606286823385e-06,0.008032218566262364,0.07003883312440931,0.0015180779339579401,NA,12,34,34,1.5520001003436103e-07,0.04879732643394732
ENSG00000255284.1,AP006621.5,4.444064601297183,0.1083006152661026,8.827507954597106e-06,0.07596279294318145,0.3575009250341433,7.648512688799489e-16,NA,16,22,22,8.140001937211718e-06,0.16156847035413754
ENSG00000259362.2,RP11-307C19.1,4.314428601218483,0.16110572167929008,1.600162376613254e-05,0.03638238519982123,0.09039604502240522,0.00023222298986488515,NA,13,13,13,5.8990018116432145e-06,0.09258682659498432
ENSG00000102606.17,ARHGEF7,4.25360095593227,0.21506417496462998,2.1036003243911667e-05,0.018493080313621135,0.34424053056250586,1.3882419751007895e-15,NA,24,25,25,0.00010749997634686273,0.05926193790708501
ENSG00000182600.9,C2orf82,-4.216463331115009,-0.09415082003152794,2.481636183360377e-05,0.0816863027530701,0.43442808031299307,1.5660354386631685e-21,NA,54,54,54,1.4160011650585668e-06,0.051109010713802035
ENSG00000260807.6,RP11-161M6.2,-4.148891620159835,-0.550668581558209,3.340889249737249e-05,0.0030943830834189003,0.18535424600184014,3.6231824502511177e-08,NA,10,24,24,6.248001862396682e-06,0.02631468937989928
ENSG00000197728.9,RPS26,-3.963892381897421,-0.04144528660196597,7.37375042412498e-05,0.4139648719607583,0.6720270902298652,7.148598569954923e-42,NA,80,94,94,6.195004509037378e-06,0.16383409976725324
ENSG00000139531.12,SUOX,3.9623599007833543,0.2390617761825421,7.421255625632041e-05,0.012139687390166692,0.17944766094076206,6.258682957392655e-08,NA,15,15,15,3.4899996653051354e-05,0.07425108075754802
ENSG00000124140.13,SLC12A5,3.903133129123318,0.6177972023659786,9.4955438078653e-05,0.001617564170792199,0.11020958550370734,2.708632993412663e-05,NA,9,9,9,0.0005033999201583874,0.028958565048454163
ENSG00000172260.14,NEGR1,3.861126160028222,0.26106131197474847,0.00011286560294412282,0.009930569229429845,0.11023190321555164,4.632803062521281e-05,NA,116,121,121,0.004655998372439198,0.09858102300201227
ENSG00000167550.10,RHEBL1,-3.8281341740850845,-0.09007569694203303,0.00012911836637247368,0.07683985743425138,0.1701823026863996,9.593402348459199e-08,NA,41,42,42,1.528001304612559e-05,0.16079954665364155
ENSG00000237765.6,FAM200B,-3.7742721082200945,-0.21846374665559595,0.00016047552763141006,0.013998526516848537,0.07312898496355429,0.0010162884052111543,NA,26,26,26,0.0003852001714649646,0.11285896013286015
ENSG00000177352.9,CCDC71,3.7538751662450833,0.26844097772225173,0.00017412160343212123,0.009056230500880311,0.0895927735381616,0.00028548746030518466,NA,25,28,28,8.62899752332571e-05,0.04781940825003622
ENSG00000136878.12,USP20,3.732398141643171,0.6122415309679031,0.00018966540127849917,0.0017283431901954078,0.06335878027367342,0.0019004215680459163,NA,14,18,18,0.00252299944349725,0.04279613562885297
ENSG00000117407.16,ARTN,3.7151601627032496,0.10559781273914666,0.00020307502532843186,0.04962440641978411,0.1260995967440698,1.1632828419786748e-05,NA,36,42,42,6.019008915450677e-11,0.18857571952236454
ENSG00000183426.16,NPIPA1,3.687183592486229,0.054347515810164414,0.00022674976759633428,0.21995896430350464,0.3912341638597989,7.820687126151236e-19,NA,67,80,80,0.0003869001665594306,0.18579337423564884
ENSG00000146085.7,MUT,3.682659215678164,0.15217559485697724,0.00023081362094188793,0.04222459220538859,0.1328310540351837,1.9685020741198107e-06,NA,175,210,210,0.0015340004304930622,0.1448942479870421
ENSG00000258472.8,RP11-192H23.4,3.6543988056219927,0.16351233812993274,0.00025778531049524807,0.02080589685963033,0.028098512626144042,0.045882722296280265,NA,75,81,81,0.0009850000867773843,0.14562143566127522
ENSG00000164989.16,CCDC171,-3.635197223432041,-0.08627417947004154,0.00027776805318256004,0.06962631128318145,0.2264289095079673,1.1072583215492013e-09,NA,56,59,59,6.4629959488030075e-06,0.12991853885184762
ENSG00000123975.4,CKS2,-3.6236204610715035,-0.179488076830545,0.00029050780885002956,0.016935084418988822,0.14293759478910276,2.170884024136568e-06,NA,5,6,6,0.00043139983239144533,0.3516894463676947
ENSG00000141759.14,TXNL4A,-3.6138068551566973,-0.5587514373677578,0.0003017338700975022,0.0021807736032197016,0.06566318498980626,0.0020101262576395426,NA,20,24,24,0.0003520001355541621,0.052970275109515984
ENSG00000272940.1,CTA-384D8.33,3.5923098735200503,0.13666247690197744,0.0003277597746797296,0.045878475626479905,0.04988507379448743,0.007948721590566353,NA,29,33,33,0.00020470009186273954,0.15349760133760515
ENSG00000184988.8,TMEM106A,-3.5690583233102027,-0.24527005854287956,0.00035826666882510206,0.009443544075475957,0.043512925819360115,0.012119530024210656,NA,23,24,24,1.1530008409385128e-05,0.055969676704002616
ENSG00000242866.9,STRC,-3.5470212061040716,-0.15615589330911106,0.00038961322886222266,0.023259424838810855,0.2379711084056537,2.742104284336329e-10,NA,86,89,89,0.0002741999431608893,0.10329574888075352
ENSG00000135334.8,AKIRIN2,-3.539730993548578,-0.376303568165645,0.00040053507619583056,0.0037246460166345773,0.028530809687865314,0.04272473270296818,NA,31,32,32,0.002376999811121987,0.08909264863582471
ENSG00000132423.11,COQ3,-3.534979834540506,-0.46078642812315457,0.0004078062786856216,0.0023555693597443798,0.04312897314433867,0.013364413615298252,NA,10,11,11,0.0011290002690868073,0.05174675517223228
ENSG00000196968.10,FUT11,3.5247764771318226,0.28139498207470004,0.00042384026419496433,0.006874357165629937,0.04578268552157915,0.009007668307972509,NA,17,19,19,0.0003388998526324812,0.041976243272465456
