gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000173540.12,GMPPB,4.838216175720526,0.09911517505662894,1.3100960757927312e-06,0.10275993759359921,0.3129361728984565,6.437799353742599e-10,NA,64,68,68,6.163999604360101e-07,0.187766860729004
ENSG00000271904.1,CTC-498M16.4,-4.577409134599368,-0.15512073813035213,4.707701674935158e-06,0.038316528289381355,0.07615882041908405,0.007406447354945492,NA,34,37,37,1.782000876100034e-13,0.14662693880706654
ENSG00000175691.8,ZNF77,4.272997148573964,0.4344919040766601,1.9286292418653617e-05,0.004218228895126037,0.039279065756094717,0.047922425937168,NA,2,7,7,1.012001012117583e-05,0.09504875652139794
ENSG00000197728.9,RPS26,-4.107772942366577,-0.06230168645634692,3.9949254578775866e-05,0.18635414583213575,0.5857277999770171,3.2568949454044424e-21,NA,17,19,19,6.195004509037378e-06,0.13794093513097594
ENSG00000182600.9,C2orf82,-4.063916513631746,-0.1755593060743728,4.825609211148699e-05,0.02335424361912266,0.1342205318463319,0.0001272993790035043,NA,8,8,8,3.704997910104224e-05,0.028924960319408163
ENSG00000004534.14,RBM6,-4.042468769039497,-0.14341517619789407,5.2891359167882656e-05,0.03447352363533367,0.15862182675732195,4.716227481160506e-05,NA,64,131,131,6.163999604360101e-07,0.10315526844766353
ENSG00000186792.16,HYAL3,-4.042106044754975,-0.20934526410301646,5.297326443245973e-05,0.01895721393314427,0.2091056133051987,1.6476645942936394e-06,NA,5,8,8,2.3809979542931676e-06,0.07360478574831812
ENSG00000242612.6,DECR2,-3.9547086614099234,-0.8961442546510032,7.662796983471026e-05,0.0012604272817863156,0.2306978878474056,5.127268443540242e-07,NA,4,33,33,0.0004148999909297377,0.0809787483110065
ENSG00000093167.17,LRRFIP2,-3.890675647065936,-0.5234759129600042,9.996548438819555e-05,0.002230066484009079,0.07841212793090306,0.005914458395611294,NA,15,15,15,1.3529991481022282e-05,0.03685777946694699
ENSG00000058453.16,CROCC,-3.7679478900901975,-0.145394784403535,0.00016459504930335154,0.02973268816011988,0.2561043203297569,2.1564207519625912e-07,NA,26,30,30,0.0006158000153823269,0.18270846125556908
