label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.390030273064396
caudalanteriorcingulate	L	cortex	6.5027926063754835
caudalmiddlefrontal	L	cortex	6.409060379257728
cuneus	L	cortex	6.434297268193911
entorhinal	L	cortex	6.550386859778785
fusiform	L	cortex	6.402644793473183
inferiorparietal	L	cortex	6.410513007771841
inferiortemporal	L	cortex	6.38418711972511
isthmuscingulate	L	cortex	6.453585132725875
lateraloccipital	L	cortex	6.459924343443415
lateralorbitofrontal	L	cortex	6.375179463129973
lingual	L	cortex	6.449475805211643
medialorbitofrontal	L	cortex	6.3930068543967105
middletemporal	L	cortex	6.410919771291449
parahippocampal	L	cortex	6.392191450759406
paracentral	L	cortex	6.375329000617986
parsopercularis	L	cortex	6.436476013304485
parsorbitalis	L	cortex	6.3423107762366095
parstriangularis	L	cortex	6.410264118288751
pericalcarine	L	cortex	6.47060556763116
postcentral	L	cortex	6.4888297673328275
posteriorcingulate	L	cortex	6.410782237557672
precentral	L	cortex	6.485432768637861
precuneus	L	cortex	6.385652529526289
rostralanteriorcingulate	L	cortex	6.469329878365027
rostralmiddlefrontal	L	cortex	6.33187199931763
superiorfrontal	L	cortex	6.389790428642975
superiorparietal	L	cortex	6.361057494644184
superiortemporal	L	cortex	6.444540578764935
supramarginal	L	cortex	6.397332959792794
frontalpole	L	cortex	6.2263322496459015
temporalpole	L	cortex	6.456097647929771
transversetemporal	L	cortex	6.478255686076596
insula	L	cortex	6.461808567498244
thalamusproper	L	subcortex/brainstem	6.735517866441817
caudate	L	subcortex/brainstem	6.283469117651856
putamen	L	subcortex/brainstem	6.491639810338947
pallidum	L	subcortex/brainstem	6.8036961057083705
accumbensarea	L	subcortex/brainstem	6.521113911916322
hippocampus	L	subcortex/brainstem	6.566327818184263
amygdala	L	subcortex/brainstem	6.473401276079745
bankssts	R	cortex	6.3969356481694755
caudalanteriorcingulate	R	cortex	6.512769095044414
caudalmiddlefrontal	R	cortex	6.410608686164187
cuneus	R	cortex	6.432060080388403
entorhinal	R	cortex	6.574880622545989
fusiform	R	cortex	6.394643332995369
inferiorparietal	R	cortex	6.415295776067011
inferiortemporal	R	cortex	6.377065465913515
isthmuscingulate	R	cortex	6.439012957493371
lateraloccipital	R	cortex	6.468772492514989
lateralorbitofrontal	R	cortex	6.377487884241077
lingual	R	cortex	6.447889436247838
medialorbitofrontal	R	cortex	6.414004888211003
middletemporal	R	cortex	6.407019321164637
parahippocampal	R	cortex	6.395562801806127
paracentral	R	cortex	6.3712611170811915
parsopercularis	R	cortex	6.47414382619883
parsorbitalis	R	cortex	6.343195697037176
parstriangularis	R	cortex	6.441166784060647
pericalcarine	R	cortex	6.451290594721206
postcentral	R	cortex	6.490600058489032
posteriorcingulate	R	cortex	6.427252118072876
precentral	R	cortex	6.480337566853859
precuneus	R	cortex	6.383428625604704
rostralanteriorcingulate	R	cortex	6.41078947878791
rostralmiddlefrontal	R	cortex	6.327853371181893
superiorfrontal	R	cortex	6.387935764658436
superiorparietal	R	cortex	6.364873226607515
superiortemporal	R	cortex	6.443448845091224
supramarginal	R	cortex	6.390099212287429
frontalpole	R	cortex	6.404388361695237
temporalpole	R	cortex	6.484915028942555
transversetemporal	R	cortex	6.467330371110068
insula	R	cortex	6.457958153189355
thalamusproper	R	subcortex/brainstem	6.7626639955367045
caudate	R	subcortex/brainstem	6.313034655509378
putamen	R	subcortex/brainstem	6.431312278398115
pallidum	R	subcortex/brainstem	6.7857487005805535
accumbensarea	R	subcortex/brainstem	6.548873077811169
hippocampus	R	subcortex/brainstem	6.563260349255104
amygdala	R	subcortex/brainstem	6.5311429548158335
brainstem	B	subcortex/brainstem	6.883184658679531
