label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.557326500916072
caudalanteriorcingulate	L	cortex	6.595327541555175
caudalmiddlefrontal	L	cortex	6.550218347391704
cuneus	L	cortex	6.510728897741459
entorhinal	L	cortex	6.617176996126092
fusiform	L	cortex	6.537448962584177
inferiorparietal	L	cortex	6.56760369179279
inferiortemporal	L	cortex	6.5476273186490825
isthmuscingulate	L	cortex	6.602800353926861
lateraloccipital	L	cortex	6.60346086144126
lateralorbitofrontal	L	cortex	6.510489301968885
lingual	L	cortex	6.5689115098751305
medialorbitofrontal	L	cortex	6.53621405161646
middletemporal	L	cortex	6.587831372149925
parahippocampal	L	cortex	6.500124045505352
paracentral	L	cortex	6.5458351640039085
parsopercularis	L	cortex	6.556819801290037
parsorbitalis	L	cortex	6.510177652026485
parstriangularis	L	cortex	6.555580371994434
pericalcarine	L	cortex	6.548566606124766
postcentral	L	cortex	6.597139156953438
posteriorcingulate	L	cortex	6.586257374755483
precentral	L	cortex	6.577806276454458
precuneus	L	cortex	6.571823107106306
rostralanteriorcingulate	L	cortex	6.606781968963156
rostralmiddlefrontal	L	cortex	6.523021358995546
superiorfrontal	L	cortex	6.548277006695213
superiorparietal	L	cortex	6.555801830098597
superiortemporal	L	cortex	6.55944759556558
supramarginal	L	cortex	6.619013676695669
frontalpole	L	cortex	6.396640213531439
temporalpole	L	cortex	6.5161791254364365
transversetemporal	L	cortex	6.560079734666081
insula	L	cortex	6.5507943595363205
thalamusproper	L	subcortex/brainstem	6.529227851428325
caudate	L	subcortex/brainstem	6.4325780024946235
putamen	L	subcortex/brainstem	6.493394448182745
pallidum	L	subcortex/brainstem	6.54484983406545
accumbensarea	L	subcortex/brainstem	6.369368701243244
hippocampus	L	subcortex/brainstem	6.375842906673493
amygdala	L	subcortex/brainstem	6.4000312245240885
bankssts	R	cortex	6.570324666907488
caudalanteriorcingulate	R	cortex	6.601212446450214
caudalmiddlefrontal	R	cortex	6.553030888351533
cuneus	R	cortex	6.513326238738601
entorhinal	R	cortex	6.638462092548056
fusiform	R	cortex	6.531736037320795
inferiorparietal	R	cortex	6.568743144411035
inferiortemporal	R	cortex	6.5454924502586875
isthmuscingulate	R	cortex	6.603980503070866
lateraloccipital	R	cortex	6.612985073721172
lateralorbitofrontal	R	cortex	6.510994151853245
lingual	R	cortex	6.566412038124342
medialorbitofrontal	R	cortex	6.551317098236844
middletemporal	R	cortex	6.584691137547326
parahippocampal	R	cortex	6.504306761523139
paracentral	R	cortex	6.544054425125956
parsopercularis	R	cortex	6.553319866421906
parsorbitalis	R	cortex	6.501049585140981
parstriangularis	R	cortex	6.588291729243896
pericalcarine	R	cortex	6.543539077628702
postcentral	R	cortex	6.59720917304058
posteriorcingulate	R	cortex	6.600846824668098
precentral	R	cortex	6.57693749413092
precuneus	R	cortex	6.571821437660499
rostralanteriorcingulate	R	cortex	6.532503941094568
rostralmiddlefrontal	R	cortex	6.5202952661280635
superiorfrontal	R	cortex	6.546540978373797
superiorparietal	R	cortex	6.557630109813559
superiortemporal	R	cortex	6.555899888715507
supramarginal	R	cortex	6.599932844263112
frontalpole	R	cortex	6.480995183667845
temporalpole	R	cortex	6.513525650150338
transversetemporal	R	cortex	6.5642773848999365
insula	R	cortex	6.545509260586265
thalamusproper	R	subcortex/brainstem	6.549418205341535
caudate	R	subcortex/brainstem	6.4253563253915065
putamen	R	subcortex/brainstem	6.456790433699401
pallidum	R	subcortex/brainstem	6.536388339925959
accumbensarea	R	subcortex/brainstem	6.40744859585599
hippocampus	R	subcortex/brainstem	6.370563922934039
amygdala	R	subcortex/brainstem	6.466541146465484
brainstem	B	subcortex/brainstem	6.519753704815339
