label	hemisphere	structure	weighted_avg
bankssts	L	cortex	3.7799999884634143
caudalanteriorcingulate	L	cortex	3.5464009258079963
caudalmiddlefrontal	L	cortex	3.557978738675885
cuneus	L	cortex	4.028059211282013
entorhinal	L	cortex	3.3739164649027518
fusiform	L	cortex	3.5333184362325976
inferiorparietal	L	cortex	3.563565111406137
inferiortemporal	L	cortex	3.457725060292
isthmuscingulate	L	cortex	3.915924162582012
lateraloccipital	L	cortex	3.7988519963180267
lateralorbitofrontal	L	cortex	3.3424814998655576
lingual	L	cortex	3.9983449016344217
medialorbitofrontal	L	cortex	3.391350063835489
middletemporal	L	cortex	3.3715824344008496
parahippocampal	L	cortex	3.5482046414806767
paracentral	L	cortex	3.688410267486697
parsopercularis	L	cortex	3.734089680729383
parsorbitalis	L	cortex	3.2510322194447494
parstriangularis	L	cortex	3.5079340716719773
pericalcarine	L	cortex	4.188409483599509
postcentral	L	cortex	3.8587445333034625
posteriorcingulate	L	cortex	3.727457743753056
precentral	L	cortex	4.014194621528267
precuneus	L	cortex	3.5911349834488355
rostralanteriorcingulate	L	cortex	3.48883771193252
rostralmiddlefrontal	L	cortex	3.3701605596068096
superiorfrontal	L	cortex	3.5075417350077274
superiorparietal	L	cortex	3.3929999627665555
superiortemporal	L	cortex	3.589735400927236
supramarginal	L	cortex	3.380432507099034
frontalpole	L	cortex	3.3264578905552815
temporalpole	L	cortex	3.740779391699548
transversetemporal	L	cortex	3.8142693489375064
insula	L	cortex	3.5646218029438432
thalamusproper	L	subcortex/brainstem	4.377747423320641
caudate	L	subcortex/brainstem	3.397623598336676
putamen	L	subcortex/brainstem	4.0968241718630845
pallidum	L	subcortex/brainstem	4.197003903093247
accumbensarea	L	subcortex/brainstem	3.8841718302417836
hippocampus	L	subcortex/brainstem	4.306848574296276
amygdala	L	subcortex/brainstem	3.8200650041573785
bankssts	R	cortex	3.9108362406584463
caudalanteriorcingulate	R	cortex	3.5639226623789537
caudalmiddlefrontal	R	cortex	3.551273273954567
cuneus	R	cortex	3.999696080911957
entorhinal	R	cortex	3.3771282929112023
fusiform	R	cortex	3.5267229691808333
inferiorparietal	R	cortex	3.5579798605954216
inferiortemporal	R	cortex	3.428470915024088
isthmuscingulate	R	cortex	3.8349567321408093
lateraloccipital	R	cortex	3.841752304642979
lateralorbitofrontal	R	cortex	3.351446009108928
lingual	R	cortex	3.9892994482836075
medialorbitofrontal	R	cortex	3.411855645419425
middletemporal	R	cortex	3.3901660512813123
parahippocampal	R	cortex	3.5122403525531505
paracentral	R	cortex	3.7115008627641193
parsopercularis	R	cortex	3.832209487987912
parsorbitalis	R	cortex	3.361803790180492
parstriangularis	R	cortex	3.555258372474938
pericalcarine	R	cortex	4.100625361036062
postcentral	R	cortex	3.848872987232952
posteriorcingulate	R	cortex	3.703417870415355
precentral	R	cortex	4.003623815928985
precuneus	R	cortex	3.573955114555177
rostralanteriorcingulate	R	cortex	3.4746764567369426
rostralmiddlefrontal	R	cortex	3.356297400027979
superiorfrontal	R	cortex	3.4943023413663696
superiorparietal	R	cortex	3.404646838212425
superiortemporal	R	cortex	3.59793818224432
supramarginal	R	cortex	3.404007592586872
frontalpole	R	cortex	2.7033148280008827
temporalpole	R	cortex	3.794453793976603
transversetemporal	R	cortex	3.7754372810552557
insula	R	cortex	3.597618330675741
thalamusproper	R	subcortex/brainstem	4.418464258114629
caudate	R	subcortex/brainstem	3.468694733727669
putamen	R	subcortex/brainstem	3.957688464993506
pallidum	R	subcortex/brainstem	4.180590558015806
accumbensarea	R	subcortex/brainstem	3.8540763958772506
hippocampus	R	subcortex/brainstem	4.275826689920177
amygdala	R	subcortex/brainstem	3.8170387137193287
brainstem	B	subcortex/brainstem	4.945931886537141
