label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.661029258968441
caudalanteriorcingulate	L	cortex	6.582326402988845
caudalmiddlefrontal	L	cortex	6.602426560229145
cuneus	L	cortex	6.750402183522249
entorhinal	L	cortex	6.550036659412022
fusiform	L	cortex	6.576872856879265
inferiorparietal	L	cortex	6.618345034016463
inferiortemporal	L	cortex	6.556884345529561
isthmuscingulate	L	cortex	6.698346671529456
lateraloccipital	L	cortex	6.743526334051548
lateralorbitofrontal	L	cortex	6.512124717485442
lingual	L	cortex	6.779934023435579
medialorbitofrontal	L	cortex	6.508286182942506
middletemporal	L	cortex	6.600466253257017
parahippocampal	L	cortex	6.511017428004122
paracentral	L	cortex	6.617373102630999
parsopercularis	L	cortex	6.614873931166448
parsorbitalis	L	cortex	6.529917949259844
parstriangularis	L	cortex	6.601237236698989
pericalcarine	L	cortex	6.857170538708169
postcentral	L	cortex	6.726538255755734
posteriorcingulate	L	cortex	6.616868275592059
precentral	L	cortex	6.735767293751712
precuneus	L	cortex	6.621943336101486
rostralanteriorcingulate	L	cortex	6.595485812189824
rostralmiddlefrontal	L	cortex	6.532088612080602
superiorfrontal	L	cortex	6.576356009832686
superiorparietal	L	cortex	6.57034115952752
superiortemporal	L	cortex	6.608158215326736
supramarginal	L	cortex	6.580873209266273
frontalpole	L	cortex	6.379706524531749
temporalpole	L	cortex	6.526529131111824
transversetemporal	L	cortex	6.745047781290516
insula	L	cortex	6.584255659485429
thalamusproper	L	subcortex/brainstem	6.874444071980598
caudate	L	subcortex/brainstem	6.3937711660270375
putamen	L	subcortex/brainstem	6.682505598356789
pallidum	L	subcortex/brainstem	6.938049312942969
accumbensarea	L	subcortex/brainstem	6.548609504460609
hippocampus	L	subcortex/brainstem	6.507151241692534
amygdala	L	subcortex/brainstem	6.440173108302876
bankssts	R	cortex	6.692038011547304
caudalanteriorcingulate	R	cortex	6.592101099733583
caudalmiddlefrontal	R	cortex	6.6005337123620516
cuneus	R	cortex	6.7487995822352715
entorhinal	R	cortex	6.571336409223893
fusiform	R	cortex	6.56533269254765
inferiorparietal	R	cortex	6.627614943132364
inferiortemporal	R	cortex	6.549334792877696
isthmuscingulate	R	cortex	6.669467985651793
lateraloccipital	R	cortex	6.766916186179494
lateralorbitofrontal	R	cortex	6.512772855715224
lingual	R	cortex	6.772610630135235
medialorbitofrontal	R	cortex	6.529352982819622
middletemporal	R	cortex	6.596679108099
parahippocampal	R	cortex	6.521143998122661
paracentral	R	cortex	6.6170095137768294
parsopercularis	R	cortex	6.634539432014617
parsorbitalis	R	cortex	6.531967535413072
parstriangularis	R	cortex	6.635927605304297
pericalcarine	R	cortex	6.845016220137426
postcentral	R	cortex	6.727193023594129
posteriorcingulate	R	cortex	6.624683159695809
precentral	R	cortex	6.731405585299392
precuneus	R	cortex	6.619901092362226
rostralanteriorcingulate	R	cortex	6.513969764153774
rostralmiddlefrontal	R	cortex	6.52577072091928
superiorfrontal	R	cortex	6.5719861577443615
superiorparietal	R	cortex	6.572013307650149
superiortemporal	R	cortex	6.609997498962679
supramarginal	R	cortex	6.5802450735115725
frontalpole	R	cortex	6.464421684477494
temporalpole	R	cortex	6.541590157492477
transversetemporal	R	cortex	6.740970340311964
insula	R	cortex	6.586513438667032
thalamusproper	R	subcortex/brainstem	6.906906109251494
caudate	R	subcortex/brainstem	6.421006854460011
putamen	R	subcortex/brainstem	6.609992972467765
pallidum	R	subcortex/brainstem	6.927213709756242
accumbensarea	R	subcortex/brainstem	6.555258002689409
hippocampus	R	subcortex/brainstem	6.501685404382302
amygdala	R	subcortex/brainstem	6.493518882051653
brainstem	B	subcortex/brainstem	7.084835408314309
