label	hemisphere	structure	weighted_avg
bankssts	L	cortex	7.584614380880587
caudalanteriorcingulate	L	cortex	7.522486745845104
caudalmiddlefrontal	L	cortex	7.631982525295225
cuneus	L	cortex	7.682602750517158
entorhinal	L	cortex	7.525236879264313
fusiform	L	cortex	7.530989512552064
inferiorparietal	L	cortex	7.589554855455518
inferiortemporal	L	cortex	7.552947312490114
isthmuscingulate	L	cortex	7.57594889755192
lateraloccipital	L	cortex	7.719143073162552
lateralorbitofrontal	L	cortex	7.573054090673782
lingual	L	cortex	7.6874436622718525
medialorbitofrontal	L	cortex	7.559427836541057
middletemporal	L	cortex	7.567925591660543
parahippocampal	L	cortex	7.502848268200057
paracentral	L	cortex	7.522035835839617
parsopercularis	L	cortex	7.495026459405639
parsorbitalis	L	cortex	7.429017329490006
parstriangularis	L	cortex	7.573289255750534
pericalcarine	L	cortex	7.741570318444217
postcentral	L	cortex	7.597306523964423
posteriorcingulate	L	cortex	7.5798253911709566
precentral	L	cortex	7.613768790994659
precuneus	L	cortex	7.631118818122356
rostralanteriorcingulate	L	cortex	7.607550482253636
rostralmiddlefrontal	L	cortex	7.5221100875634255
superiorfrontal	L	cortex	7.564703299020913
superiorparietal	L	cortex	7.60459560215187
superiortemporal	L	cortex	7.603529466875943
supramarginal	L	cortex	7.563037679809521
frontalpole	L	cortex	7.397318693338254
temporalpole	L	cortex	7.3845147679129335
transversetemporal	L	cortex	7.6707899680128
insula	L	cortex	7.617910575643049
thalamusproper	L	subcortex/brainstem	7.848266605119164
caudate	L	subcortex/brainstem	7.443336829570019
putamen	L	subcortex/brainstem	7.648656113819769
pallidum	L	subcortex/brainstem	8.022044927287075
accumbensarea	L	subcortex/brainstem	7.626375980121674
hippocampus	L	subcortex/brainstem	7.717713450313933
amygdala	L	subcortex/brainstem	7.492748991658843
bankssts	R	cortex	7.624836657925393
caudalanteriorcingulate	R	cortex	7.5189264207896604
caudalmiddlefrontal	R	cortex	7.619025969621949
cuneus	R	cortex	7.665150803272344
entorhinal	R	cortex	7.543938411683915
fusiform	R	cortex	7.528719056070149
inferiorparietal	R	cortex	7.594928003444955
inferiortemporal	R	cortex	7.543352030813987
isthmuscingulate	R	cortex	7.605566069155362
lateraloccipital	R	cortex	7.73692638773972
lateralorbitofrontal	R	cortex	7.577703928318379
lingual	R	cortex	7.688175789012424
medialorbitofrontal	R	cortex	7.582958441090866
middletemporal	R	cortex	7.572143606890544
parahippocampal	R	cortex	7.509108991612742
paracentral	R	cortex	7.515875941828374
parsopercularis	R	cortex	7.539059937309752
parsorbitalis	R	cortex	7.411114518808475
parstriangularis	R	cortex	7.5879350715102705
pericalcarine	R	cortex	7.7218708782943
postcentral	R	cortex	7.602642801067174
posteriorcingulate	R	cortex	7.623860340618187
precentral	R	cortex	7.612019245451924
precuneus	R	cortex	7.623275066816997
rostralanteriorcingulate	R	cortex	7.422949373371033
rostralmiddlefrontal	R	cortex	7.528499872512779
superiorfrontal	R	cortex	7.560612672657334
superiorparietal	R	cortex	7.611336049588765
superiortemporal	R	cortex	7.601013578557141
supramarginal	R	cortex	7.540035167023228
frontalpole	R	cortex	7.711074659620658
temporalpole	R	cortex	7.416393449512073
transversetemporal	R	cortex	7.702009072132561
insula	R	cortex	7.597166074447411
thalamusproper	R	subcortex/brainstem	7.863103510967187
caudate	R	subcortex/brainstem	7.445087551086836
putamen	R	subcortex/brainstem	7.635902490037136
pallidum	R	subcortex/brainstem	7.994786689407978
accumbensarea	R	subcortex/brainstem	7.703283698309613
hippocampus	R	subcortex/brainstem	7.72318459983996
amygdala	R	subcortex/brainstem	7.545248696713347
brainstem	B	subcortex/brainstem	7.874914380346389
