label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.325917994612515
caudalanteriorcingulate	L	cortex	6.410763705680091
caudalmiddlefrontal	L	cortex	6.337946930387159
cuneus	L	cortex	6.233728156943414
entorhinal	L	cortex	6.47128410951681
fusiform	L	cortex	6.320295421570467
inferiorparietal	L	cortex	6.3348768685262895
inferiortemporal	L	cortex	6.328618625807582
isthmuscingulate	L	cortex	6.36621376882181
lateraloccipital	L	cortex	6.352237705821314
lateralorbitofrontal	L	cortex	6.292742306068882
lingual	L	cortex	6.301554870333918
medialorbitofrontal	L	cortex	6.3250843701986845
middletemporal	L	cortex	6.366561156602457
parahippocampal	L	cortex	6.309557540227479
paracentral	L	cortex	6.325736752005363
parsopercularis	L	cortex	6.341970594072412
parsorbitalis	L	cortex	6.304060385280668
parstriangularis	L	cortex	6.335487023733893
pericalcarine	L	cortex	6.281365798877756
postcentral	L	cortex	6.350146707195234
posteriorcingulate	L	cortex	6.3713126533835664
precentral	L	cortex	6.352567082350091
precuneus	L	cortex	6.323472021201929
rostralanteriorcingulate	L	cortex	6.382089237390583
rostralmiddlefrontal	L	cortex	6.29973853696571
superiorfrontal	L	cortex	6.328217528980506
superiorparietal	L	cortex	6.319292454993631
superiortemporal	L	cortex	6.338139563281791
supramarginal	L	cortex	6.38206553298585
frontalpole	L	cortex	6.2471878928136135
temporalpole	L	cortex	6.330705787443754
transversetemporal	L	cortex	6.313808523791611
insula	L	cortex	6.342829476971147
thalamusproper	L	subcortex/brainstem	6.412729550144198
caudate	L	subcortex/brainstem	6.182579221701138
putamen	L	subcortex/brainstem	6.297855352488974
pallidum	L	subcortex/brainstem	6.4519862176907345
accumbensarea	L	subcortex/brainstem	6.160454295411769
hippocampus	L	subcortex/brainstem	6.226959156365696
amygdala	L	subcortex/brainstem	6.226891315814307
bankssts	R	cortex	6.341433234008274
caudalanteriorcingulate	R	cortex	6.415048748095699
caudalmiddlefrontal	R	cortex	6.340566236384617
cuneus	R	cortex	6.237946707537776
entorhinal	R	cortex	6.4964482345977554
fusiform	R	cortex	6.314293319827479
inferiorparietal	R	cortex	6.334518968960608
inferiortemporal	R	cortex	6.327545411521862
isthmuscingulate	R	cortex	6.369685176963855
lateraloccipital	R	cortex	6.356644413238932
lateralorbitofrontal	R	cortex	6.295391290793803
lingual	R	cortex	6.299947242810452
medialorbitofrontal	R	cortex	6.337296415112386
middletemporal	R	cortex	6.3627425503110056
parahippocampal	R	cortex	6.311984600293655
paracentral	R	cortex	6.326525157447706
parsopercularis	R	cortex	6.3404446554817255
parsorbitalis	R	cortex	6.290725796377031
parstriangularis	R	cortex	6.369536835891862
pericalcarine	R	cortex	6.2716501507328895
postcentral	R	cortex	6.351644609904452
posteriorcingulate	R	cortex	6.383479366306371
precentral	R	cortex	6.3529309427326055
precuneus	R	cortex	6.322829755983584
rostralanteriorcingulate	R	cortex	6.335280987165188
rostralmiddlefrontal	R	cortex	6.297992129178417
superiorfrontal	R	cortex	6.323893060929682
superiorparietal	R	cortex	6.321104230239844
superiortemporal	R	cortex	6.332670958384136
supramarginal	R	cortex	6.361433725798173
frontalpole	R	cortex	6.363374957390153
temporalpole	R	cortex	6.335705156074876
transversetemporal	R	cortex	6.319797190939664
insula	R	cortex	6.338594930803161
thalamusproper	R	subcortex/brainstem	6.4367440554779165
caudate	R	subcortex/brainstem	6.184703646714993
putamen	R	subcortex/brainstem	6.251125681736527
pallidum	R	subcortex/brainstem	6.442013084372529
accumbensarea	R	subcortex/brainstem	6.197717935069005
hippocampus	R	subcortex/brainstem	6.222083724553078
amygdala	R	subcortex/brainstem	6.304607887682719
brainstem	B	subcortex/brainstem	6.461965499145049
