label	hemisphere	structure	weighted_avg
bankssts	L	cortex	2.415149126040382
caudalanteriorcingulate	L	cortex	2.2535451687907186
caudalmiddlefrontal	L	cortex	2.2326174903632996
cuneus	L	cortex	2.720449028070929
entorhinal	L	cortex	2.077809975966626
fusiform	L	cortex	2.1882880049985474
inferiorparietal	L	cortex	2.204438846854476
inferiortemporal	L	cortex	2.0934293249770572
isthmuscingulate	L	cortex	2.632678477657081
lateraloccipital	L	cortex	2.4431414827147497
lateralorbitofrontal	L	cortex	1.9954940457398096
lingual	L	cortex	2.6418141092981307
medialorbitofrontal	L	cortex	2.0385657247201556
middletemporal	L	cortex	1.9962695482124957
parahippocampal	L	cortex	2.229422426109901
paracentral	L	cortex	2.4060079507749794
parsopercularis	L	cortex	2.465469075778068
parsorbitalis	L	cortex	1.920596972450635
parstriangularis	L	cortex	2.1418030446597056
pericalcarine	L	cortex	2.8610365717989232
postcentral	L	cortex	2.533631067202911
posteriorcingulate	L	cortex	2.4310665481338556
precentral	L	cortex	2.7670507434541727
precuneus	L	cortex	2.226138712144811
rostralanteriorcingulate	L	cortex	2.1933851307030836
rostralmiddlefrontal	L	cortex	2.048393258929791
superiorfrontal	L	cortex	2.1820605824549877
superiorparietal	L	cortex	1.9989768415517837
superiortemporal	L	cortex	2.2427804973360246
supramarginal	L	cortex	1.995394567573046
frontalpole	L	cortex	1.9682435972642058
temporalpole	L	cortex	2.4758363133736605
transversetemporal	L	cortex	2.440655419629779
insula	L	cortex	2.2507483689954406
thalamusproper	L	subcortex/brainstem	3.151326410895279
caudate	L	subcortex/brainstem	2.2015116606046363
putamen	L	subcortex/brainstem	2.8814420765309503
pallidum	L	subcortex/brainstem	2.891301118146332
accumbensarea	L	subcortex/brainstem	2.715555457516883
hippocampus	L	subcortex/brainstem	3.2159711807580385
amygdala	L	subcortex/brainstem	2.7619000936855396
bankssts	R	cortex	2.5562472505452503
caudalanteriorcingulate	R	cortex	2.275065028254594
caudalmiddlefrontal	R	cortex	2.2246400887978375
cuneus	R	cortex	2.7028587040712733
entorhinal	R	cortex	2.0812359506556586
fusiform	R	cortex	2.176776374927738
inferiorparietal	R	cortex	2.1967445527871607
inferiortemporal	R	cortex	2.060431331534614
isthmuscingulate	R	cortex	2.525639531551677
lateraloccipital	R	cortex	2.4816119207926706
lateralorbitofrontal	R	cortex	2.0057725528968735
lingual	R	cortex	2.628197424641358
medialorbitofrontal	R	cortex	2.0677894569237094
middletemporal	R	cortex	2.020281291339676
parahippocampal	R	cortex	2.1856822787239762
paracentral	R	cortex	2.440284463578401
parsopercularis	R	cortex	2.583986496575607
parsorbitalis	R	cortex	2.0410270471156284
parstriangularis	R	cortex	2.2071972245429623
pericalcarine	R	cortex	2.769708336523751
postcentral	R	cortex	2.5206333834431724
posteriorcingulate	R	cortex	2.3906451396648642
precentral	R	cortex	2.756612499580543
precuneus	R	cortex	2.2070994427838353
rostralanteriorcingulate	R	cortex	2.2297973097071107
rostralmiddlefrontal	R	cortex	2.0283170524936303
superiorfrontal	R	cortex	2.1671786773439625
superiorparietal	R	cortex	2.0123007004316156
superiortemporal	R	cortex	2.250655445971045
supramarginal	R	cortex	2.0317583024577766
frontalpole	R	cortex	1.049920021581898
temporalpole	R	cortex	2.534217001717978
transversetemporal	R	cortex	2.3816928437302534
insula	R	cortex	2.292823937152843
thalamusproper	R	subcortex/brainstem	3.193002088455172
caudate	R	subcortex/brainstem	2.280571956779424
putamen	R	subcortex/brainstem	2.727472731209262
pallidum	R	subcortex/brainstem	2.890408839381463
accumbensarea	R	subcortex/brainstem	2.682327249276698
hippocampus	R	subcortex/brainstem	3.1818887000972627
amygdala	R	subcortex/brainstem	2.7231942081277904
brainstem	B	subcortex/brainstem	3.787839362875557
