label	hemisphere	structure	weighted_avg
bankssts	L	cortex	7.016900681404834
caudalanteriorcingulate	L	cortex	6.478639731234859
caudalmiddlefrontal	L	cortex	6.777535202972774
cuneus	L	cortex	7.0525058842514285
entorhinal	L	cortex	6.3296767958036355
fusiform	L	cortex	6.763862997851208
inferiorparietal	L	cortex	6.892880730247387
inferiortemporal	L	cortex	6.791381332545238
isthmuscingulate	L	cortex	7.015876894829917
lateraloccipital	L	cortex	7.085374510369205
lateralorbitofrontal	L	cortex	6.5794673173530605
lingual	L	cortex	7.057483459292161
medialorbitofrontal	L	cortex	6.502702425467973
middletemporal	L	cortex	6.808842777906105
parahippocampal	L	cortex	6.5199770738186285
paracentral	L	cortex	6.857928861575693
parsopercularis	L	cortex	6.7776999513456815
parsorbitalis	L	cortex	6.670757324033139
parstriangularis	L	cortex	6.762688556216629
pericalcarine	L	cortex	7.070874455710991
postcentral	L	cortex	6.9528090244443215
posteriorcingulate	L	cortex	6.834606922025668
precentral	L	cortex	6.992906825360602
precuneus	L	cortex	6.916291345649908
rostralanteriorcingulate	L	cortex	6.6783192762985015
rostralmiddlefrontal	L	cortex	6.735916991577294
superiorfrontal	L	cortex	6.755087854403606
superiorparietal	L	cortex	6.78398693707634
superiortemporal	L	cortex	6.776879891786127
supramarginal	L	cortex	6.806706508197294
frontalpole	L	cortex	6.4400022030225825
temporalpole	L	cortex	6.559764805189996
transversetemporal	L	cortex	7.032243765848918
insula	L	cortex	6.626477109196192
thalamusproper	L	subcortex/brainstem	7.023485152063783
caudate	L	subcortex/brainstem	7.304074283961587
putamen	L	subcortex/brainstem	7.232259233903801
pallidum	L	subcortex/brainstem	7.17512764385756
accumbensarea	L	subcortex/brainstem	6.949622970683914
hippocampus	L	subcortex/brainstem	6.739072149931794
amygdala	L	subcortex/brainstem	6.36705193745542
bankssts	R	cortex	7.12539868919433
caudalanteriorcingulate	R	cortex	6.495217653926381
caudalmiddlefrontal	R	cortex	6.773072473994884
cuneus	R	cortex	7.045483593220537
entorhinal	R	cortex	6.330666409415588
fusiform	R	cortex	6.754662630179868
inferiorparietal	R	cortex	6.903773670490451
inferiortemporal	R	cortex	6.7759105483572135
isthmuscingulate	R	cortex	6.980614442012456
lateraloccipital	R	cortex	7.135189311821561
lateralorbitofrontal	R	cortex	6.578144750720134
lingual	R	cortex	7.035570959431278
medialorbitofrontal	R	cortex	6.532805330076684
middletemporal	R	cortex	6.817337150519789
parahippocampal	R	cortex	6.535516476493829
paracentral	R	cortex	6.870917533079431
parsopercularis	R	cortex	6.755930554582379
parsorbitalis	R	cortex	6.685415002954212
parstriangularis	R	cortex	6.809646350687623
pericalcarine	R	cortex	7.124659605753463
postcentral	R	cortex	6.941105692882529
posteriorcingulate	R	cortex	6.8155501363897875
precentral	R	cortex	6.993680200364482
precuneus	R	cortex	6.912817671671423
rostralanteriorcingulate	R	cortex	6.580090833088879
rostralmiddlefrontal	R	cortex	6.722391101936725
superiorfrontal	R	cortex	6.750102786218234
superiorparietal	R	cortex	6.782705508284668
superiortemporal	R	cortex	6.78537714390253
supramarginal	R	cortex	6.810474074783043
frontalpole	R	cortex	6.063282455359182
temporalpole	R	cortex	6.569876920922713
transversetemporal	R	cortex	7.007534857250911
insula	R	cortex	6.643878585382273
thalamusproper	R	subcortex/brainstem	7.051776742998811
caudate	R	subcortex/brainstem	7.285725659485019
putamen	R	subcortex/brainstem	7.195217627538489
pallidum	R	subcortex/brainstem	7.221341798868717
accumbensarea	R	subcortex/brainstem	6.907830094985171
hippocampus	R	subcortex/brainstem	6.73323072557887
amygdala	R	subcortex/brainstem	6.375324974084589
brainstem	B	subcortex/brainstem	7.13787355184719
