gene_name	z_mean	pvalue
SPINK8	-5.240052589186563	1.7601018589239165e-7
RHBDD3	1.6645650594470596	7.635362433750721e-5
PROS1	-0.9851798378651718	8.359447355833293e-5
ZC3H8	2.582009495052348	1.2092700729582e-4
MAPK8IP2	-2.620147602317695	7.0786921732329e-4
KCNAB3	-1.4070185137703282	7.0892271730109e-4
TLE6	-3.3829772131416034	7.1704581492255e-4
ALDH16A1	-2.7053851236393895	7.3580058140701e-4
EPHA3	-1.054460392677128	8.3154864835999e-4
RUNDC3B	-2.3694274693937474	0.00101028402269946
HLA-DMB	3.351876056045332	0.00102752498258544
AZIN2	-3.2220526528944693	0.00127275743626703
HSD17B6	-0.43087610205913873	0.00132537607862449
HLA-DMA	3.387109458548453	0.00134704174721172
SPP1	-1.8492815185764768	0.00135868828769026
OLFML2A	-1.2137566369879889	0.00155697816872571
AGRN	0.40724547739867023	0.00163651616031361
IDUA	-0.16423638494598958	0.0018855822655002
VPS28	1.8310806754279008	0.00202153416378507
CDA	1.322909570117412	0.00210072091255703
SEMA6D	-1.9681559417845833	0.00219746841927946
ZNF385D	3.026643148501129	0.00247285701645912
COL7A1	-2.112870880830614	0.00249458175122884
EPB41L4B	0.44221801367405433	0.00287714939268806
SCAI	-1.025218414591	0.00312146142097224
CCHCR1	3.2810675788429777	0.00319564338051738
DDAH1	-2.944571913934777	0.00323401780176028
LPL	-2.942406791415652	0.00325671808925415
