gene_name	z_mean	pvalue	upregulated
SPINK8	-5.240052589186563	1.7601018589239165e-7	DOWN
PROS1	-0.9851798378651718	8.359447355833293e-5	DOWN
MAPK8IP2	-2.620147602317695	7.0786921732329e-4	DOWN
KCNAB3	-1.4070185137703282	7.0892271730109e-4	DOWN
TLE6	-3.3829772131416034	7.1704581492255e-4	DOWN
ALDH16A1	-2.7053851236393895	7.3580058140701e-4	DOWN
EPHA3	-1.054460392677128	8.3154864835999e-4	DOWN
RUNDC3B	-2.3694274693937474	0.00101028402269946	DOWN
AZIN2	-3.2220526528944693	0.00127275743626703	DOWN
HSD17B6	-0.43087610205913873	0.00132537607862449	DOWN
SPP1	-1.8492815185764768	0.00135868828769026	DOWN
OLFML2A	-1.2137566369879889	0.00155697816872571	DOWN
IDUA	-0.16423638494598958	0.0018855822655002	DOWN
SEMA6D	-1.9681559417845833	0.00219746841927946	DOWN
COL7A1	-2.112870880830614	0.00249458175122884	DOWN
SCAI	-1.025218414591	0.00312146142097224	DOWN
DDAH1	-2.944571913934777	0.00323401780176028	DOWN
LPL	-2.942406791415652	0.00325671808925415	DOWN
VIPR1	-1.755220902002959	0.0039290461651442	DOWN
ABCA7	-1.0228995935518346	0.0041387561445568	DOWN
ACSM5	-0.812567545325612	0.00474928668642286	DOWN
LNX1	-0.9849981846722932	0.00475230961832656	DOWN
PPP2R2D	-1.4556555048053	0.00483983713820662	DOWN
GLDC	-1.3572439208511502	0.00541051185102161	DOWN
LRFN4	-2.746041443773309	0.0060319143318371	DOWN
IGF1R	-2.7091120018942747	0.00604848779447085	DOWN
CTSF	-1.761455251677606	0.00611798649141892	DOWN
C16orf74	-1.4261807842341316	0.00625382353072243	DOWN
ADRA1D	-0.8791862657363341	0.00643680989443318	DOWN
ARL9	-0.42977816272639346	0.00663717833709524	DOWN
MAP1A	-2.683484669075788	0.00728593156446805	DOWN
ARHGAP9	-2.6378851650350357	0.00739314719083561	DOWN
PNPLA7	-1.1219542597908256	0.0077187869896294	DOWN
NEGR1	-1.746296272189364	0.00891061415888036	DOWN
PDE1B	-0.7825408247386968	0.00903721176879594	DOWN
CHAD	-2.3113421171378676	0.00989556859657712	DOWN
EHMT2	-2.1022744273038154	0.01035851635708239	DOWN
ARC	-2.553004642088624	0.01067980728377863	DOWN
RDH5	-0.31969937535454396	0.01076115312768629	DOWN
RCCD1	-2.465300137158736	0.01104737253897021	DOWN
BICDL1	-2.168519726656015	0.01161498750650369	DOWN
ADAM11	-0.4818429724808743	0.01177318346708006	DOWN
HLA-F	-1.9583703004083592	0.01207311541503996	DOWN
HLA-DQB2	-0.9021826715921426	0.01252312300866722	DOWN
ANO5	-1.3079225798350331	0.0129202589456897	DOWN
SPINT2	-1.396147866222872	0.01311900692078616	DOWN
AFF3	-2.902668594309524	0.01327645174392122	DOWN
SPEF2	-0.10650401028591476	0.01368149014469706	DOWN
FRRS1L	-1.3649248436903425	0.0141872124658095	DOWN
ITGAM	-0.9107397721330108	0.01481821279535275	DOWN
RABL2A	-0.8548982596954902	0.01498038697842142	DOWN
ANXA2R	-1.820170890344898	0.01612651358048665	DOWN
PANK1	-2.403152222750652	0.01625441969792968	DOWN
CAV2	-0.23442172645868675	0.01671329319496642	DOWN
ARL17B	-1.9808272739334176	0.01754485596151878	DOWN
C15orf62	-2.3659115241794564	0.01798574204817479	DOWN
SULT1C4	-1.395123916778971	0.01886815097220354	DOWN
PTGIS	-2.3417754663795964	0.01919225718347599	DOWN
IFNLR1	-2.341584491061397	0.01920207913948132	DOWN
CDH1	-0.8938446749726461	0.01981561293532114	DOWN
KCNJ12	-1.0220920198837913	0.02015297358813776	DOWN
C4orf47	-1.1588047396459007	0.020224992532719768	DOWN
SIRPB1	-2.6486755685403662	0.0207408456498376	DOWN
POU2F2	-0.7827775996934	0.0215385433919604	DOWN
ENPP5	-2.172533236281822	0.02156058364811058	DOWN
RYBP	-2.2964487305074743	0.02165023741721367	DOWN
CRTAC1	-2.1658631089854836	0.02253758830920408	DOWN
ZNF547	-2.162734813123329	0.02272012843715983	DOWN
ZNF217	-2.2777285786300783	0.02274275391591296	DOWN
QPCT	-2.0360805018332324	0.02306681256569185	DOWN
