gene_name	z_mean	pvalue	upregulated
RHBDD3	1.6645650594470596	7.635362433750721e-5	UP
ZC3H8	2.582009495052348	1.2092700729582e-4	UP
HLA-DMB	3.351876056045332	0.00102752498258544	UP
HLA-DMA	3.387109458548453	0.00134704174721172	UP
AGRN	0.40724547739867023	0.00163651616031361	UP
VPS28	1.8310806754279008	0.00202153416378507	UP
CDA	1.322909570117412	0.00210072091255703	UP
ZNF385D	3.026643148501129	0.00247285701645912	UP
EPB41L4B	0.44221801367405433	0.00287714939268806	UP
CCHCR1	3.2810675788429777	0.00319564338051738	UP
VASH2	1.798261947828295	0.00329029699506526	UP
NXPH4	3.11325210821985	0.00334385607741188	UP
ARHGAP27	0.06386556001126213	0.00354305527419355	UP
