gene	gene_name	pvalue	n	n_indep	p_i_best	t_i_best	p_i_worst	t_i_worst	eigen_max	eigen_min	eigen_min_kept	z_min	z_max	z_mean	z_sd	tmi	status
ENSG00000177352.9	CCDC71	1.6127427781681897e-10	9.0	3.0	2.1873293603329136e-11	Brain_Cerebellar_Hemisphere	0.10794181259468272	Brain_Amygdala	7.257504627733969	0.012438735318168696	0.3675768313444265	-6.692938598583902	-1.607513307386757	-5.247835694615339	1.510148111627167	2.9999999999999996	0
ENSG00000178252.17	WDR6	4.4044509877630447e-10	10.0	2.0	8.453005647352412e-12	Brain_Cortex	3.953965403305146e-05	Brain_Amygdala	8.815282402450782	0.010422262967863036	0.320935387868397	-6.830651159984886	-4.110153294435915	-5.370645053566415	0.9349694648995716	2.0000000000000013	0
ENSG00000067560.10	RHOA	4.819341580223862e-10	3.0	3.0	1.863409047102708e-07	Brain_Hippocampus	0.011255318398645055	Brain_Substantia_nigra	1.3007219353182138	0.6558288699997277	0.6558288699997277	-5.212471796839687	3.860086392213708	0.39409498536840326	4.900446431361852	2.999999999999999	0
ENSG00000225399.4	RP11-3B7.1	5.223288061756753e-09	3.0	3.0	2.907445841669063e-09	Brain_Cortex	0.9112999983925452	Brain_Substantia_nigra	1.4343589888281219	0.5812257089108409	0.5812257089108409	-0.11139894276857376	5.936740340787876	3.350768786772683	3.117817666546515	2.9999999999999982	0
ENSG00000178467.17	P4HTM	5.4567613292382845e-08	11.0	5.0	8.396107222593402e-07	Brain_Frontal_Cortex_BA9	0.8651675776742433	Brain_Caudate_basal_ganglia	7.969656239081347	0.024934536142000984	0.3385779928751634	-0.39960414970669217	4.925927627183119	1.6087987765668759	1.555207387130814	5.000000000000003	0
ENSG00000001617.11	SEMA3F	7.086619869144578e-08	3.0	3.0	6.750365418983914e-09	Brain_Substantia_nigra	0.02980621488096934	Brain_Hippocampus	1.9337460515096192	0.35858290243280244	0.35858290243280244	-5.797019973883176	-2.1726560376204027	-3.959696926574191	1.8127050800412041	2.9999999999999996	0
ENSG00000156110.13	ADK	1.0509679143112844e-07	1.0	1.0	1.0509679143112842e-07	Brain_Cerebellar_Hemisphere	1.0509679143112842e-07	Brain_Cerebellar_Hemisphere	1.0	1.0	1.0	5.31768329598541	5.31768329598541	5.31768329598541	NA	1.0	0
ENSG00000068745.14	IP6K2	1.1541341017400194e-07	10.0	5.0	1.2906792041541577e-05	Brain_Amygdala	0.937414286179494	Brain_Frontal_Cortex_BA9	7.644787848845718	0.02988839415862128	0.3026508922142386	0.07852017029552151	4.36167937012394	2.273579730391197	1.4309241324993722	5.000000000000002	0
ENSG00000164054.15	SHISA5	1.2238751714789327e-07	2.0	2.0	1.496141962307925e-07	Brain_Cerebellum	0.014887234691392671	Brain_Frontal_Cortex_BA9	1.7309835275854384	0.2690164724145617	0.2690164724145617	2.4351106936307154	5.253033640528748	3.8440721670797315	1.992572424612778	2.0	0
ENSG00000229453.2	SPINK8	1.7601018589239165e-07	2.0	2.0	5.2484709987985417e-08	Brain_Hippocampus	4.7183734021524225e-07	Brain_Hypothalamus	1.7877205120598285	0.21227948794017132	0.21227948794017132	-5.442680581825972	-5.037424596547155	-5.240052589186563	0.28655925530708665	1.9999999999999991	0
ENSG00000164061.4	BSN	2.7075605969044305e-07	1.0	1.0	2.7075605969044246e-07	Brain_Cortex	2.7075605969044246e-07	Brain_Cortex	1.0	1.0	1.0	5.1427428839212	5.1427428839212	5.1427428839212	NA	1.0	0
ENSG00000185909.14	KLHDC8B	2.8402801553184975e-07	1.0	1.0	2.8402801553184975e-07	Brain_Cerebellum	2.8402801553184975e-07	Brain_Cerebellum	1.0	1.0	1.0	-5.133748215026731	-5.133748215026731	-5.133748215026731	NA	1.0	0
ENSG00000225697.12	SLC26A6	3.63072010787584e-07	2.0	2.0	5.179774954488923e-08	Brain_Hypothalamus	0.47673126151525513	Brain_Cerebellum	1.1479315000260681	0.8520684999739317	0.8520684999739317	-5.445026239075222	-0.7115697226452119	-3.078297980860217	3.3470592012193126	2.0	0
ENSG00000145040.3	UCN2	4.309849933307369e-07	1.0	1.0	4.309849933307361e-07	Brain_Cerebellum	4.309849933307361e-07	Brain_Cerebellum	1.0	1.0	1.0	5.054736676029363	5.054736676029363	5.054736676029363	NA	1.0	0
ENSG00000164078.12	MST1R	5.225223651126104e-07	6.0	3.0	3.409955874826299e-08	Brain_Cerebellar_Hemisphere	0.029361238353483272	Brain_Anterior_cingulate_cortex_BA24	5.132560340919395	0.011816313184236584	0.24100842692023994	2.1786021228281562	5.518968354948718	4.184660894423419	1.1012999625318323	3.0000000000000004	0
ENSG00000188315.7	C3orf62	6.57083075372784e-07	1.0	1.0	6.570830753727825e-07	Brain_Cerebellum	6.570830753727825e-07	Brain_Cerebellum	1.0	1.0	1.0	4.973636973259781	4.973636973259781	4.973636973259781	NA	1.0	0
ENSG00000213672.7	NCKIPSD	9.03631420676148e-07	12.0	1.0	5.811520450178933e-08	Brain_Putamen_basal_ganglia	0.0019740019755126025	Brain_Substantia_nigra	11.303863664589608	0.002615932004540392	11.303863664589608	3.094116136845497	5.424505488803786	4.7540987195690265	0.7785028601626749	0.9999999999999994	0
ENSG00000243477.5	NAT6	1.473564667554613e-06	9.0	3.0	0.001287796161709151	Brain_Putamen_basal_ganglia	0.7056806402955905	Brain_Hypothalamus	7.637229271189748	0.0006427938854169702	0.3039876415633058	-3.2186855630849682	1.23000155672253	-1.6396733999802808	1.5307133342276884	3.0	0
ENSG00000213689.11	TREX1	1.6096990743754673e-06	12.0	3.0	0.00022440359642565582	Brain_Cerebellar_Hemisphere	0.8853755303249057	Brain_Hippocampus	10.406256207835884	0.003067903498226657	0.4038711444196989	-0.22951749978353644	3.689830412855499	2.067257582973156	1.2839600444316233	3.000000000000001	0
ENSG00000232112.3	TMA7	4.754510503118212e-06	12.0	2.0	0.007089937063854731	Brain_Hypothalamus	0.4241281057166101	Brain_Cerebellar_Hemisphere	11.124898992276991	0.0017444189342953416	0.4352112336475756	-1.4694378445552614	2.692590124134129	1.5825280649708355	1.1165788559520473	1.9999999999999993	0
ENSG00000178537.9	SLC25A20	7.201481177988684e-06	1.0	1.0	7.201481177988668e-06	Brain_Cerebellum	7.201481177988668e-06	Brain_Cerebellum	1.0	1.0	1.0	-4.487644956143035	-4.487644956143035	-4.487644956143035	NA	1.0	0
ENSG00000226913.1	BSN-AS2	1.0140575668087384e-05	8.0	2.0	4.980936196211549e-07	Brain_Substantia_nigra	0.00997498684122927	Brain_Cerebellar_Hemisphere	7.148850340960097	0.011864217566419168	0.29097255879703615	-5.0270457249993274	-2.5766951926133053	-4.029113761240514	0.8502495035460812	2.0	0
ENSG00000197728.9	RPS26	1.4391220428353569e-05	12.0	1.0	3.370169795556905e-06	Brain_Hippocampus	3.4632684528836605e-05	Brain_Hypothalamus	11.687225701675043	0.0014110812316393113	11.687225701675043	-4.646865355375478	-4.140647486771852	-4.28241087815959	0.13479464438453023	1.0	0
ENSG00000106246.17	PTCD1	1.6583761495950037e-05	1.0	1.0	1.658376149595003e-05	Brain_Frontal_Cortex_BA9	1.658376149595003e-05	Brain_Frontal_Cortex_BA9	1.0	1.0	1.0	-4.306527107674496	-4.306527107674496	-4.306527107674496	NA	1.0	0
ENSG00000173531.15	MST1	1.897389687984169e-05	7.0	4.0	4.7197640113632317e-07	Brain_Amygdala	0.021052403528374154	Brain_Cerebellum	5.631505122609591	0.05115115241230048	0.2366039361401475	-5.03736817370495	-2.3070433505312793	-3.383727168016349	0.9455580733417536	3.9999999999999987	0
ENSG00000204410.14	MSH5	1.9724293453207554e-05	2.0	2.0	3.0772568181927244e-05	Brain_Putamen_basal_ganglia	0.0021954066108074836	Brain_Cerebellar_Hemisphere	1.2536469938768493	0.7463530061231508	0.7463530061231508	-4.167672457529649	-3.062439757334293	-3.615056107431971	0.7815175370972549	2.0000000000000004	0
ENSG00000185614.4	FAM212A	2.2729889680908946e-05	2.0	1.0	1.7145108537597485e-05	Brain_Cerebellar_Hemisphere	4.0293021107565574e-05	Brain_Cerebellum	1.9682483901239833	0.03175160987601669	1.9682483901239833	4.1057929874103465	4.2991542933182725	4.2024736403643095	0.13672709062658092	0.9999999999999999	0
ENSG00000222033.1	LINC01124	2.555518174077011e-05	5.0	4.0	0.00018934017092876946	Brain_Cortex	0.4900984690082928	Brain_Nucleus_accumbens_basal_ganglia	3.4387494159803107	0.041758404005366255	0.19809006128851991	-3.7328302922346763	-0.6901522164916656	-2.4234048593549837	1.260328742890636	4.000000000000001	0
ENSG00000182179.12	UBA7	3.51444816606319e-05	1.0	1.0	3.514448166063185e-05	Brain_Caudate_basal_ganglia	3.514448166063185e-05	Brain_Caudate_basal_ganglia	1.0	1.0	1.0	-4.1372815204834374	-4.1372815204834374	-4.1372815204834374	NA	1.0	0
ENSG00000035403.17	VCL	4.874620929779948e-05	3.0	3.0	2.6201615620072566e-06	Brain_Nucleus_accumbens_basal_ganglia	0.001581736313210936	Brain_Frontal_Cortex_BA9	2.585794854041799	0.10224130135961379	0.10224130135961379	3.159253888365688	4.6985491362285705	3.8463593306296513	0.7828135795236271	2.9999999999999982	0
ENSG00000068001.13	HYAL2	5.3109460038761564e-05	2.0	2.0	1.1261794162886111e-05	Brain_Frontal_Cortex_BA9	0.03508784778289435	Brain_Cortex	1.3443571364683065	0.6556428635316935	0.6556428635316935	2.107343124769836	4.391410017308401	3.249376571039119	1.615079188397705	2.000000000000001	0
