gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000173531.15,MST1,-5.03736817370495,-0.3423127213737039,4.7197640113632317e-07,0.01894767212682863,0.12815548824002745,9.441625340126685e-05,NA,43,61,61,4.5850012964722177e-07,0.029766996121428125
ENSG00000213672.7,NCKIPSD,4.841562125057811,0.23579153212291412,1.2882238712248253e-06,0.04444493545500284,0.29216501953334617,4.256571160870877e-10,NA,17,17,17,6.79600491085997e-08,0.07363790657687345
ENSG00000142609.17,CFAP74,4.413042746663689,0.3846960367572931,1.0192786145736283e-05,0.012524884172612242,0.13175680662110012,9.230747317361332e-05,NA,14,17,17,4.585001395849836e-06,0.08255654179094825
ENSG00000068745.14,IP6K2,4.36167937012394,0.1302862353072686,1.2906792041541577e-05,0.10232004302688555,0.12784839323141114,0.0001234050230993383,NA,52,57,57,3.1009995257982874e-13,0.3806630785939603
ENSG00000197728.9,RPS26,-4.344443699286585,-0.07505349867336465,1.396290467975641e-05,0.2852437719742343,0.7163441829318802,2.8639804185478626e-37,NA,17,19,19,1.6280003690747994e-05,0.25219305481519794
ENSG00000170430.9,MGMT,4.34358052166542,0.14637273199490425,1.4017906394467589e-05,0.09701926121060842,0.3489588040507868,1.9768137420145245e-12,NA,37,44,44,1.1629989950733971e-07,0.16218026830810311
ENSG00000272156.1,RP11-477N3.1,-4.236663182614242,-0.5696255937053768,2.2686605909113463e-05,0.0049935149318053925,0.04096010703313558,0.03669830395220182,NA,5,5,5,5.725996757911171e-05,0.1721271588239218
ENSG00000139531.12,SUOX,4.164604162697313,0.382193436694441,3.1189321044375494e-05,0.010197684577481991,0.1057028002623546,0.00045752938467471404,NA,7,7,7,2.1949991208265415e-05,0.028982349267103056
ENSG00000178252.17,WDR6,-4.110153294435915,-0.3216017244105299,3.953965403305146e-05,0.01621457869517597,0.15198607211354048,1.7097668378874788e-05,NA,16,17,17,4.667995736798631e-08,0.08305032148548237
ENSG00000239521.7,GATS,-3.9133114797555772,-0.3802941872067601,9.10389798642663e-05,0.009875291279627581,0.0953944824170228,0.001079812855456002,NA,20,21,21,0.0015730006074596182,0.10502111215912126
ENSG00000164068.15,RNF123,3.8030357429161703,0.5100706554956224,0.00014293372364591582,0.0051774784657465855,0.0964214092773792,0.0009220313116634117,NA,55,55,55,3.634001182119772e-05,0.07415614949069886
ENSG00000122882.10,ECD,3.5878414945475154,0.26610782651479997,0.00033342687627876857,0.01744298875890162,0.0771696366333542,0.00290428638106878,NA,16,17,17,3.0409985242722327e-07,0.16386318017760745
ENSG00000175220.11,ARHGAP1,-3.543418964948904,-0.4881165444554867,0.0003949746745071731,0.005013262444913442,0.12180689907585172,0.00019896709436507457,NA,11,11,11,0.00022569995099868244,0.020618923360486038
