gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000213672.7,NCKIPSD,5.074581712034653,0.2375638578359039,3.8834932475608463e-07,0.0448296240267268,0.4107489654850596,6.428770415755026e-18,NA,26,27,27,6.79600491085997e-08,0.05829356614661944
ENSG00000164068.15,RNF123,4.736416508422686,0.5956960155975092,2.175302970550151e-06,0.005793334206029861,0.09766828323614543,0.00020229554899637268,NA,42,42,42,1.5810015959196082e-06,0.04914310642562701
ENSG00000004534.14,RBM6,-4.650120996720694,-0.19088387129280537,3.3174034710965467e-06,0.04998476539958717,0.21972412625416546,1.7837512902169704e-08,NA,37,41,41,2.1329988898598272e-06,0.0992599849978485
ENSG00000226913.1,BSN-AS2,-4.633250239934832,-0.3098734497339306,3.599689800182738e-06,0.0219173414815117,0.06248391474023865,0.004464519077964414,NA,24,24,24,1.1539997105691774e-06,0.0804820648133795
ENSG00000225399.4,RP11-3B7.1,4.226964962298748,0.25917456497615515,2.3686453333084017e-05,0.02382991729207884,0.08856089139378667,0.0006622585242506166,NA,24,24,24,6.331003558796919e-08,0.07859566731183246
ENSG00000197728.9,RPS26,-4.15330108315256,-0.06551793191882851,3.277130927942895e-05,0.2794721507980808,0.6182130230859237,2.814639654362721e-32,NA,42,47,47,1.6280003690747994e-05,0.3045328936128269
ENSG00000226237.1,GAS1RR,-3.960792076658812,-0.2013333160498357,7.470155861025898e-05,0.03514665853172111,0.08636530992159386,0.0008852467480393586,NA,55,56,56,0.0005317001555809772,0.08873977304268335
ENSG00000170430.9,MGMT,3.9578697010964525,0.09711522889298778,7.562118796930902e-05,0.17649530891796286,0.2287774670606436,4.09660817486943e-09,NA,114,131,131,1.725000245646162e-08,0.18273349638626885
ENSG00000273004.1,GS1-279B7.2,3.924618360791097,0.3274975806948881,8.686734143136932e-05,0.013626266060451146,0.02997579459512973,0.049008462300741934,NA,12,12,12,3.821999448889898e-05,0.13479390163821248
ENSG00000001617.11,SEMA3F,-3.909414768218994,-0.9072343794353511,9.25199912612679e-05,0.0014872214923198396,0.03336655704594429,0.03873399179819596,NA,1,1,1,9.25199912612679e-05,0.05864016628326199
ENSG00000178149.16,DALRD3,3.8596271209664876,0.1824290938637631,0.00011356017150776608,0.04310758367609156,0.18997003440822666,1.381315649530543e-07,NA,46,49,49,1.535999094187437e-06,0.19597514053931053
ENSG00000119977.20,TCTN3,3.8252746729797176,0.38932276074381517,0.00013062636351256015,0.007685830813738437,0.041616774858150116,0.023364939111617126,NA,23,23,23,0.0002966000287025947,0.1249045306880629
ENSG00000244731.7,C4A,-3.661747978068416,-0.22079830316342397,0.00025050022602762144,0.02134486233367009,0.14012669389333982,1.1676389172035758e-05,NA,21,21,21,2.0529983756282578e-05,0.06173591674513643
ENSG00000235109.7,ZSCAN31,3.633783358692896,0.09027938599092511,0.0002792953998260563,0.15774803041600327,0.31572677045283515,2.3858072667984937e-14,NA,61,79,79,0.0004183998147369801,0.1477003555248473
ENSG00000103550.13,KNOP1,-3.4911764057105654,-0.12083352352862028,0.0004808986186202546,0.07964609092059566,0.3158111456337306,1.6872428972785742e-12,NA,27,30,30,0.000242399998594064,0.04122104973730392
ENSG00000181929.11,PRKAG1,-3.4740392409395895,-0.5490692560616445,0.0005126860494943592,0.003485247264512725,0.05191514834775022,0.010660287929319593,NA,37,37,37,3.1890014641256807e-06,0.029334833115905564
ENSG00000148660.20,CAMK2G,3.4250400451204666,0.46255429110725005,0.0006147088083356088,0.005237965656515617,0.05573372768836287,0.0070349500250117426,NA,12,12,12,0.0005853001486682735,0.04995350695818883
ENSG00000173531.15,MST1,-3.406760279137893,-0.2078582346911998,0.0006573883744104298,0.025887752828925668,0.09086485349659673,0.0005500894527337754,NA,52,73,73,2.1329988898598272e-06,0.04994010073782628
ENSG00000159231.5,CBR3,3.3944000289351295,0.29556875578693886,0.0006877914621644052,0.01159087961705443,0.1234527333407048,4.0675024891748276e-05,NA,4,4,4,0.000629299935079413,0.08096357831680642
ENSG00000078043.15,PIAS2,-3.3658701219159215,-0.5777897904634527,0.0007630262554744181,0.003466416254502081,0.06875908137960614,0.0030967534216152395,NA,9,9,9,0.000299400103358647,0.016715269161507004
ENSG00000239467.5,AC007405.6,-3.3441065161623955,-0.29051991232189295,0.0008254803702696377,0.013234833900380582,0.08819575879689552,0.0004541551157919303,NA,19,19,19,0.0029700008716615493,0.05632814778132723
ENSG00000237491.8,RP11-206L10.9,-3.3385573985889616,-1.1273170551574458,0.0008421462960448268,0.0009671856363637388,0.1073064072981039,0.00013333882422692496,NA,4,8,8,0.0006340998387533821,0.011862789620337162
ENSG00000198860.11,TSEN15,-3.2794605625272464,-0.27720615175719054,0.0010400574577750434,0.012164855954458374,0.07990859907778793,0.0007731482489089046,NA,9,9,9,0.0014479995814186807,0.06608511962028958
ENSG00000186510.11,CLCNKA,3.188835481006325,0.09126978091658765,0.0014284715006021847,0.12106222084258889,0.3527026197708981,3.514776890422433e-14,NA,26,26,26,0.0002466000260238609,0.10962587646654907
ENSG00000111666.10,CHPT1,-3.1806246088825554,-0.19023674566023926,0.0014695792241033224,0.026720010462612482,0.14353500418385104,8.653776144567932e-06,NA,136,144,144,0.00010770003782197219,0.11444651343278438
ENSG00000229654.1,RP1-60O19.2,3.1785713894676486,0.09170815588358396,0.0014800276654716282,0.0950973432134297,0.18371081366146674,2.4363585364717025e-07,NA,34,37,37,0.0009017003646276568,0.20619287527377228
ENSG00000146477.5,SLC22A3,3.1657995037109736,0.12627318537525506,0.0015465735430518531,0.05835835319810494,0.11606454379897542,0.00010080703805057048,NA,46,46,46,0.0004434998802087746,0.1681457717239742
ENSG00000157093.8,LYZL4,3.1572446923037827,0.13758212251995813,0.001592676368149531,0.05234916424632024,0.17794560742746482,7.163675989958795e-07,NA,34,38,38,0.0022910004368581352,0.1761419127392978
ENSG00000171206.13,TRIM8,-3.1486715471691173,-0.3843984592786208,0.0016401442596622677,0.0062386767711364605,0.03289117669671702,0.04102307484472453,NA,10,10,10,0.00030979992079011075,0.08096523505290247
ENSG00000134809.8,TIMM10,3.1455621488910475,0.11546077083585496,0.0016576797090903231,0.07235249797114782,0.2635345317923979,2.877321360585536e-10,NA,34,34,34,0.0007025001296423579,0.4875999189982571
ENSG00000278259.4,MYO19,3.1367807893813957,0.2665664309524235,0.0017081378729112268,0.015070767197552066,0.13597641166097532,1.952061842962359e-05,NA,19,22,22,0.0012590002810555158,0.07838102910687089
ENSG00000143376.12,SNX27,-3.1222303112434044,-0.21642679263151784,0.001794864665205054,0.021277000345894297,0.098576920838662,0.000226412932928231,NA,20,21,21,0.0001108999905188363,0.07059603152620728
ENSG00000178700.7,DHFR2,-3.116150694857761,-0.29784850200837554,0.001832286122803019,0.009119367075787362,0.06717064410633891,0.0026524351066394922,NA,44,47,47,9.009001626741518e-05,0.049723978746821024
ENSG00000101407.12,TTI1,3.094345972728998,0.21537685089104183,0.001972473239497186,0.022592515563691528,0.03456037726667924,0.03881463900430435,NA,63,63,63,0.011609997436993383,0.18707015987695685
ENSG00000115159.15,GPD2,-3.0768464199747725,-0.5758838160514886,0.002092030572113758,0.002613370664149819,0.1152458870495168,5.42944711180122e-05,NA,7,8,8,0.00268599914431875,0.04384824030711069
ENSG00000197885.10,NKIRAS1,3.054978274092365,0.426384625596445,0.002250768260393125,0.005430253061650886,0.1314754224916917,2.002301742300372e-05,NA,35,35,35,0.002065999988744125,0.11373689972939695
ENSG00000257086.1,RP11-783K16.13,-3.0493565977269883,-0.11008322981946357,0.0022933208942391,0.09040951812300003,0.2297965470701065,6.339953692427648e-09,NA,25,27,27,0.0035659992866498786,0.10143419526861024
ENSG00000092036.18,HAUS4,3.035922283948738,0.15525693883738964,0.002398011648072547,0.036541804073124975,0.4009404832408941,3.172579848600009e-17,NA,13,13,13,0.0022830008725996482,0.0648549473291158
ENSG00000197062.11,ZSCAN26,-3.031384262558818,-0.1928801419528457,0.0024343522626172347,0.02291512178320767,0.17052678706011745,1.1974877488075826e-06,NA,27,27,27,0.002208000523719847,0.04497771183790681
ENSG00000249460.1,RP11-665C14.2,-3.0293205215545713,-0.3963175228825123,0.002451044902985541,0.00532727648659066,0.04178250974101229,0.020197181030951042,NA,7,8,8,0.0004112001582199013,0.07783980838600918
ENSG00000154227.13,CERS3,3.023249271928888,0.13443111582855105,0.0025007615969395366,0.0531350992847069,0.18394975235490704,3.455079906103564e-07,NA,10,10,10,0.0007823000344213473,0.21732688684517948
ENSG00000126773.12,PCNX4,-3.0225787267505586,-0.23190558976903058,0.002506308808370541,0.015237945113133599,0.09220227360208212,0.0005012100332378954,NA,53,56,56,0.013359998672987832,0.1472315613386784
ENSG00000103351.12,CLUAP1,-3.000917989473556,-0.08558781594659326,0.002691670477959368,0.14069502907441997,0.4720080354874832,1.5152948770009522e-21,NA,14,14,14,0.0008138999457456951,0.3014434610482359
ENSG00000224924.6,LINC00320,2.98752283250096,0.20392242327900018,0.0028124828578775024,0.022186509912596426,0.07260468430401887,0.001923626208524272,NA,102,111,111,0.0007488002972055437,0.08179429398538078
ENSG00000273443.1,RP11-54O7.18,-2.974809737590775,-0.5842365649932679,0.002931703199226187,0.0025077447934880367,0.03264617744434278,0.03753894088873208,NA,5,19,19,6.90199800969174e-05,0.06309919609449299
ENSG00000144218.18,AFF3,-2.971577601387284,-0.18083277814129306,0.002962739897594794,0.02984205396135501,0.27332069404093257,6.128658499312617e-11,NA,42,45,45,0.0009538000500540403,0.1335684194887802
ENSG00000246375.2,RP11-10L7.1,2.9683944278256287,0.055614811274450074,0.0029935991752419425,0.24149615166076138,0.6571326940132958,6.787654368318217e-35,NA,9,9,9,0.0023869992429547695,0.17773349814210698
ENSG00000161618.9,ALDH16A1,-2.9652542391747643,-0.1350107596396262,0.0030243287856147848,0.049870519433846135,0.2831982125616778,6.210330095784499e-11,NA,17,17,17,0.0006939000504623935,0.07646829186995446
ENSG00000223572.9,CKMT1A,-2.9466182286189304,-0.5182107085340761,0.003212695777016487,0.003013779903837725,0.05239725245242201,0.008759339922713548,NA,14,14,14,0.004224000324732483,0.05208428708883959
ENSG00000175445.14,LPL,-2.942406791415652,-0.4424010488825472,0.0032567180892541514,0.0044883029324991885,0.06005479202818536,0.0045583262590821365,NA,7,7,7,0.00010289997404177522,0.04750564029519416
ENSG00000124226.10,RNF114,2.9371007813183705,0.6138097228651404,0.003312964199504293,0.0019492950644854658,0.053035724595590784,0.008656619068323986,NA,20,28,28,0.0015799995387742187,0.018651490022482026
ENSG00000100461.17,RBM23,-2.9357310686996456,-0.1350848329115789,0.003327626743732042,0.04692591993784714,0.23377801966605655,5.747740902272898e-09,NA,29,35,35,0.0008696997840408687,0.17286350541312626
ENSG00000105792.19,CFAP69,-2.9301614241983938,-0.4904960461414286,0.0033878596090101574,0.005159055849771115,0.10633364866642013,0.00018890778023493733,NA,20,21,21,0.017459996133451526,0.07509509030798044
ENSG00000196544.7,BORCS6,-2.9048819952907863,-0.19238790009764847,0.003673915852534242,0.022230566811227523,0.0683369441167547,0.0028805395223986162,NA,28,32,32,0.0016049995731525634,0.17938421466460114
ENSG00000213676.10,ATF6B,-2.8941803025464927,-0.20488848365568413,0.003801498039483042,0.01732885733252605,0.08435189621064829,0.000956057457027076,NA,42,43,43,0.001612000389559847,0.05448955097998216
ENSG00000082805.19,ERC1,2.8941759337439326,0.2474737636415747,0.0038015509350425676,0.012996845541113432,0.11248580864872994,0.00013517612392910437,NA,6,6,6,0.003807000780529499,0.050793942366434135
ENSG00000149150.8,SLC43A1,2.893688214173829,0.11895038656226219,0.0038074602380224467,0.05224995156428687,0.1902837849977454,2.2261958112910432e-07,NA,85,85,85,0.0007025001296423579,0.20370541461352487
ENSG00000030582.17,GRN,-2.8742639756115986,-0.13972456845597295,0.004049703296189466,0.04111695333463035,0.050313776740700825,0.010039220050024595,NA,32,37,37,0.0009896002562130907,0.3331393783592461
ENSG00000146830.9,GIGYF1,-2.8724866545682053,-0.3318707274549536,0.0040725527960584,0.00609003182692046,0.061552177902409924,0.004346953748286795,NA,26,28,28,0.008619999406607017,0.059914714841357276
ENSG00000158825.5,CDA,2.8671274156299726,0.33152144321589894,0.004142162108099793,0.0060289528314290625,0.03436343683074275,0.039950191605416005,NA,6,6,6,0.00010149998634965747,0.08282603522081466
