gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000178252.17,WDR6,-5.895698391821418,-0.6247641879629167,3.73099928466283e-09,0.007798892988871254,0.0746018799688713,0.00036657214491503577,NA,27,30,30,6.986990636547405e-15,0.04495737851483441
ENSG00000177352.9,CCDC71,-5.43563995540245,-0.7232371647904369,5.46001084159927e-08,0.005324404415647837,0.08382809911589388,0.00017742422305093544,NA,22,22,22,4.667995736798631e-08,0.020697270182068992
ENSG00000213672.7,NCKIPSD,5.18528339256007,0.2515655919465501,2.156866384051546e-07,0.041141878977953766,0.4793216227635236,1.381201833470567e-26,NA,39,40,40,4.667995736798631e-08,0.04150883521042693
ENSG00000170430.9,MGMT,4.7553434068211144,0.16609263342545524,1.981093706238298e-06,0.08322987578323,0.4214509248960269,8.229146196424059e-23,NA,44,46,46,1.725000245646162e-08,0.08388286536395849
ENSG00000234127.8,TRIM26,4.705008991607204,3.5162611916518625,2.538547657041649e-06,0.0001595747077751172,0.03737588232632821,0.014570163769864657,NA,5,5,5,2.1849993002373973e-06,0.005159467783492582
ENSG00000178750.2,STX19,4.667314592168896,0.22425478480648176,3.051619080582907e-06,0.040138322506519136,0.03827219866056236,0.01085115256793902,NA,19,25,25,1.110001102149242e-06,0.16748499434935132
ENSG00000164078.12,MST1R,4.518048758150033,0.35813982676266937,6.241211419899114e-06,0.014796799722057006,0.04054046108850265,0.0089574171590347,NA,36,36,36,1.914001995523898e-06,0.06399005825241583
ENSG00000197728.9,RPS26,-4.242613508386463,-0.07623757433606791,2.2093173355119895e-05,0.2810249721061405,0.6926426371602861,1.0305989550157328e-50,NA,43,43,43,1.6280003690747994e-05,0.19179776135412807
ENSG00000139531.12,SUOX,4.185179610609152,0.35352131566030104,2.8494070680488574e-05,0.01258239360222832,0.23333944893940564,2.525415183398109e-11,NA,6,6,6,2.2559983626324623e-05,0.034627256900887575
ENSG00000182179.12,UBA7,-4.137281520483438,-1.137652324206256,3.514448166063173e-05,0.0011329347080598503,0.05616845209521471,0.002527844720254118,NA,32,32,32,1.9470004982600637e-05,0.004205014726243414
ENSG00000220205.8,VAMP2,-4.119781534453168,-0.3048332951716471,3.792317959315621e-05,0.016790497862464632,0.2845600507427481,4.220028250043616e-14,NA,17,17,17,3.724002069626469e-07,0.039285246612051364
ENSG00000272143.1,FGF14-AS2,3.992013406955466,0.24585150896657207,6.551466782551419e-05,0.026878986409365126,0.1952905933168585,8.081229684471733e-10,NA,31,31,31,2.9910003679014287e-05,0.06530665011588563
ENSG00000008083.13,JARID2,-3.8920599868866725,-0.41565860167988883,9.93966598866659e-05,0.007508999865235266,0.07434631011987146,0.0004517256214181138,NA,16,16,16,0.0008019996906204448,0.0359057624249446
ENSG00000067560.10,RHOA,3.860086392213708,1.2772044561140905,0.00011334694437557964,0.0007952387172344012,0.0347813120409237,0.01877055846947536,NA,5,5,5,9.25199912612679e-05,0.036527304468305814
ENSG00000152092.15,ASTN1,-3.8492995582731453,-0.4972730110234376,0.00011845607091591976,0.0062265576208099666,0.08331194695502656,0.00013469554818372462,NA,46,48,48,0.0003310000321120862,0.0295685217556895
ENSG00000107643.15,MAPK8,3.7565973834632995,0.3241832418087609,0.000172239264843755,0.01176720749680359,0.03281266646936818,0.015933598502337196,NA,38,44,44,0.0009587996793004231,0.04506067681722852
ENSG00000226913.1,BSN-AS2,-3.755203533413337,-0.2670337498977154,0.00017320066996071625,0.01942442803278331,0.046854047899591085,0.005927703025124818,NA,31,31,31,1.1539997105691774e-06,0.15450229759189335
ENSG00000272479.1,RP11-301G7.1,3.7493679007111265,0.45087409842149967,0.00017728085004758013,0.005918524090265199,0.08396686473723076,0.00015867832910071517,NA,9,9,9,0.00028370002861189975,0.032890514363868334
ENSG00000244731.7,C4A,-3.7452657514314898,-0.16728717833515108,0.00018020292050103967,0.03842607962227565,0.17395924645560726,3.1581490569142067e-09,NA,52,52,52,4.194997685587009e-05,0.040970751665342704
ENSG00000178700.7,DHFR2,-3.6691395827213786,-0.42787679046592314,0.00024336818087076047,0.006826524954790825,0.05254479609492105,0.00323095757642175,NA,19,20,20,6.105000203510919e-05,0.0544749923479271
ENSG00000004534.14,RBM6,-3.63534168678082,-0.19730991052213007,0.0002776124361973775,0.029280457959936647,0.28416004869027034,1.4179243038724073e-14,NA,46,46,46,1.9470004982600637e-05,0.07103811119361865
ENSG00000231680.1,AP003774.6,-3.570187914715507,-0.21614343405575231,0.00035672523055247794,0.026969925278049527,0.03584743846560008,0.016630118378680555,NA,25,32,32,0.00047260013380400455,0.3350650586839222
ENSG00000175826.11,CTDNEP1,3.555227449403009,0.7625864999692595,0.00037765224807027794,0.0018913059148723485,0.12220048628014875,4.7263542174260665e-06,NA,13,13,13,0.0002285000362951761,0.016194046561799257
ENSG00000143376.12,SNX27,-3.553239391633923,-0.26337731203255005,0.0003805180161501939,0.017426584945308896,0.22321500074413111,1.0445257817200863e-10,NA,44,45,45,9.412001510272738e-05,0.046249801827042594
ENSG00000103550.13,KNOP1,-3.497130110461861,-0.08482719774239252,0.0004702923982220311,0.19736473350428624,0.44875023648774665,7.744364200824233e-27,NA,33,33,33,0.000242399998594064,0.07173536414341845
ENSG00000145029.13,NICN1,-3.485992073755852,-0.2348503592054393,0.0004903155325658963,0.022480776302096148,0.1044930833190488,2.222889343404511e-05,NA,33,36,36,6.331003558796919e-08,0.13552137553155935
ENSG00000278311.4,GGNBP2,-3.4556836577510155,-0.4280650449247348,0.0005488991076177954,0.007472248474261501,0.09492858125250866,6.845338061717771e-05,NA,27,30,30,0.0006435998376264962,0.1406454214938598
ENSG00000187987.9,ZSCAN23,3.453576116677149,0.19728059935126654,0.000553206161090374,0.0288629238652451,0.128983589126195,2.716106004993008e-06,NA,17,18,18,0.00026800004383812704,0.07427201525326288
ENSG00000197062.11,ZSCAN26,-3.4189299172991605,-0.12495207466827428,0.0006286791645788831,0.0679916071915917,0.25098554797951805,2.711898001302764e-12,NA,54,59,59,0.00023209993466453003,0.11748852232099405
ENSG00000224924.6,LINC00320,3.4110800374636012,0.29457656503553975,0.0006470609458917565,0.017312635936592685,0.21595559287523372,3.0068163699961047e-10,NA,28,30,30,0.0007488002972055437,0.08953914570833367
