gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000177352.9,CCDC71,-6.692938598583902,-0.2760295639251739,2.1873293603329136e-11,0.05008923914213148,0.35959326298997696,3.7850324150232517e-17,NA,61,62,62,4.4950022212198105e-13,0.058062967957077175
ENSG00000164078.12,MST1R,5.518968354948718,0.21648984387322645,3.409955874826299e-08,0.05762234197186118,0.2770228465203438,1.8731336438604407e-12,NA,66,66,66,3.171995430577733e-11,0.11659454243681475
ENSG00000156110.13,ADK,5.31768329598541,0.6739116401105646,1.0509679143112842e-07,0.00538344069405775,0.0514806914499024,0.00561794183331762,NA,20,20,20,3.6360019808679184e-07,0.025194085580200337
ENSG00000213672.7,NCKIPSD,4.869115751607347,0.17588329054710158,1.1209873278184024e-06,0.07554458490411253,0.45270264434565405,2.0637698076885963e-22,NA,33,33,33,4.667995736798631e-08,0.09601222714362738
ENSG00000178252.17,WDR6,-4.618176965162635,-0.22143227460084847,3.871260475330592e-06,0.044198770754140124,0.3774680981841589,4.141489935309029e-18,NA,34,36,36,4.667995736798631e-08,0.05354751040309588
ENSG00000170430.9,MGMT,4.427724831638,0.1185640690369553,9.52322845011536e-06,0.14179577903071733,0.4744725141282114,3.150115141651037e-24,NA,53,58,58,1.9560009452298485e-07,0.15960502661560405
ENSG00000004534.14,RBM6,-4.302984902752711,-0.2130968174342491,1.68512336946322e-05,0.03730193599312443,0.425686750527522,4.063782976423191e-21,NA,77,77,77,1.9470004982600637e-05,0.05334197841078805
ENSG00000185614.4,FAM212A,4.2991542933182725,0.14964989687568414,1.7145108537597485e-05,0.07600600584608161,0.394581820911926,1.0916034399584272e-18,NA,35,36,36,2.0160020615124205e-05,0.0877663956582306
ENSG00000197728.9,RPS26,-4.226314804563576,-0.0831105389733772,2.3754960397780536e-05,0.23983386422791783,0.6322233781040222,7.172781518754456e-39,NA,22,24,24,1.6280003690747994e-05,0.16970798149703015
ENSG00000139531.12,SUOX,4.18801697924555,0.20641219189390536,2.814024682920455e-05,0.038259331249267434,0.29597910577567565,6.337904207872785e-14,NA,8,8,8,2.2559983626324623e-05,0.0852373312877659
ENSG00000125611.15,CHCHD5,-4.050816691322879,-0.5647544857484608,5.1039180587720285e-05,0.004322600191976991,0.07463274266010672,0.0007556192935232653,NA,20,20,20,3.6980033876832954e-05,0.050295430005428216
ENSG00000105784.15,RUNDC3B,-3.989864604468924,-0.44858550834944966,6.611102257517042e-05,0.009548340265662293,0.07770769141428291,0.0005657412434607756,NA,32,33,33,0.00010080002079433752,0.06905708646379073
ENSG00000114268.11,PFKFB4,-3.9619380730530938,-0.34397296587917536,7.434382526862117e-05,0.0106759406723917,0.03595930317638482,0.017409441073205814,NA,33,33,33,6.986990636547405e-15,0.1631913481984356
ENSG00000164068.15,RNF123,3.955036732728048,0.26258028858391863,7.652289361539717e-05,0.02079699447141853,0.30129267167282703,5.773216485303205e-14,NA,35,37,37,2.0160020615124205e-05,0.01326847421911728
ENSG00000204536.13,CCHCR1,3.8806776436664974,0.186647517513174,0.00010416582895818901,0.0365250982223181,0.25372245473442817,1.9376264335138814e-11,NA,52,62,62,4.1670000411921296e-05,0.06412267320536964
ENSG00000157326.18,DHRS4,3.854647241625572,0.24099130761182613,0.00011589661596302179,0.03253355356219091,0.20333417369957235,3.4075700695514127e-09,NA,22,32,32,0.0003789999385780184,0.11910259447279975
ENSG00000068745.14,IP6K2,3.8512727323631384,0.30488682738288453,0.00011750554711032079,0.01426696326963657,0.11749448584776588,1.811873760872008e-05,NA,40,44,44,1.7159996128023403e-12,0.08631516290893675
ENSG00000143376.12,SNX27,-3.7777739841951816,-0.22441353819371423,0.00015823638173725568,0.028083685445519854,0.34627208501260315,1.2054179745461338e-16,NA,15,15,15,9.412001510272738e-05,0.01734572419108148
ENSG00000144161.12,ZC3H8,3.743991322637306,0.26872014658247395,0.00018111991064132928,0.019214261364063068,0.1453781080499888,1.1772497838214072e-06,NA,27,27,27,4.964003581673921e-05,0.033531615164390814
ENSG00000220205.8,VAMP2,-3.727367952819188,-0.517891128063076,0.00019348987660823184,0.004922507148220572,0.12265205511325375,1.226476021869987e-05,NA,9,9,9,0.00012100001587420092,0.02411898990127373
ENSG00000272905.1,RP11-265E18.1,-3.707652705828952,-0.3199821735638323,0.00020918927367708325,0.011530715261501897,0.045325345844898925,0.00802300165701183,NA,22,25,25,0.008024998375072827,0.09626700183432396
ENSG00000213689.11,TREX1,3.689830412855499,0.21587416323435735,0.00022440359642565582,0.025922259675545428,0.2647542232270471,1.9011850012704168e-12,NA,28,29,29,3.1009995257982874e-13,0.16344624549170614
ENSG00000103550.13,KNOP1,-3.641655264226028,-0.12466662861107455,0.0002708906687056504,0.08799504728526827,0.3503461367331401,4.7731883968387146e-18,NA,44,47,47,0.000242399998594064,0.035562558432398944
ENSG00000108654.13,DDX5,-3.6317897573085522,-0.6799421259819334,0.0002814623908973005,0.003193276062981983,0.02681210721285853,0.04941451532279132,NA,12,17,17,0.0014380001574791996,0.06826631357172275
ENSG00000234127.8,TRIM26,3.6300033265820453,0.1746039255205396,0.0002834175671004654,0.039868213222323284,0.262288210594472,1.5058727899486392e-11,NA,46,47,47,2.1849993002373973e-06,0.048747672838605406
ENSG00000008735.13,MAPK8IP2,-3.6038237126530968,-0.31956721223519713,0.00031356977735807703,0.010494465471637215,0.1384194687205517,2.0452607322213267e-06,NA,9,9,9,0.00036939997563967996,0.08347441100435497
ENSG00000204257.14,HLA-DMA,3.5639436789812073,0.13493983629572592,0.00036532437339791885,0.057425622278935745,0.23180070662205576,3.015761705592143e-10,NA,9,9,9,0.00019740000437878518,0.2944642463144302
ENSG00000197062.11,ZSCAN26,-3.509342595296128,-0.21690464887349736,0.0004492158643936771,0.02365703786039271,0.20829279810795048,5.999999584436332e-10,NA,32,32,32,0.0002981999558450574,0.026631515770247888
ENSG00000171790.15,SLFNL1,3.374299218267189,0.6265197141088374,0.0007400387961974008,0.003580755734686682,0.0382479055856788,0.014153077380734578,NA,8,9,9,0.00030500008227018636,0.1537438651704849
ENSG00000186648.14,CARMIL3,3.3472218633480746,0.2753844790518411,0.0008162585336682309,0.01923346032586307,0.20083904204033748,1.7467800076719821e-09,NA,3,4,4,0.0012489995423838574,0.08565048077761045
ENSG00000077380.15,DYNC1I2,3.3373474650495143,0.2822569162309293,0.0008458213461199242,0.013524638851727274,0.23732043683944914,7.4787248869893e-11,NA,18,18,18,0.00037430004394369964,0.027322049309122045
ENSG00000169629.11,RGPD8,-3.328120420677928,-0.08265103981150317,0.0008743406386953156,0.15952323386213746,0.6072349286228864,5.874152298174093e-36,NA,27,28,28,4.964003581673921e-05,0.19611884821707465
ENSG00000198478.7,SH3BGRL2,3.3199806918438735,0.2641345827348862,0.0009002367414592267,0.012891495633624864,0.052494701985047215,0.0050005240965208435,NA,27,28,28,0.00763200203409799,0.07298779491711244
ENSG00000078043.15,PIAS2,-3.299770826030451,-0.6636074617394168,0.0009676381193118698,0.00216835166523468,0.0462044550280324,0.009234640510415266,NA,7,7,7,0.0003012998661589973,0.022262274962898752
ENSG00000153207.14,AHCTF1,3.291232160412775,0.4592895941767693,0.0009974955451064228,0.005177532808822014,0.044073219352081666,0.011180999013340218,NA,23,23,23,0.002867999304365763,0.06744559917872066
ENSG00000154102.10,C16orf74,-3.289192299015479,-0.19172134996313317,0.0010047535082781233,0.028072604249828534,0.043701011071372316,0.00879747463930634,NA,29,32,32,0.0029590011242023226,0.10070920673778333
ENSG00000187630.15,DHRS4L2,3.2562642922928253,0.14540263256174438,0.0011288861745447952,0.061969298717805585,0.24206857957462666,7.865046245747147e-11,NA,71,75,75,0.00043049986498193437,0.1159053035047706
ENSG00000091972.18,CD200,-3.2507804942149234,-0.8603331431229345,0.00115088677828944,0.0013018976346188683,0.0364596405157258,0.019363379047137974,NA,4,5,5,0.0007791002047331896,0.01583096534213585
ENSG00000163320.10,CGGBP1,-3.223237759311769,-0.3801791033726426,0.001267502982846795,0.009423207289052493,0.212061720198304,2.279907669370751e-09,NA,20,22,22,0.0026369993840586123,0.11558281579765567
ENSG00000213722.8,DDAH2,-3.2203269857556784,-0.33391072761740065,0.0012804445615364325,0.007808559969603908,0.1315219041077604,3.506303835336367e-06,NA,34,35,35,0.00021269994539148385,0.1096932516777288
ENSG00000244731.7,C4A,-3.1847235282260047,-0.08643465653935883,0.0014489236220555325,0.10902289224166141,0.28943379224576543,3.415484103786971e-13,NA,40,42,42,3.272997889336258e-05,0.11144962217169066
ENSG00000164172.18,MOCS2,3.154733704236593,0.3816566933040299,0.001606446593782544,0.007388405382799499,0.09183923070360273,0.00011349386736321504,NA,31,31,31,0.0007162002282654057,0.03903503203527064
ENSG00000143416.20,SELENBP1,3.1429447330157347,0.5144091753982943,0.0016725741661810878,0.0037146104693279603,0.07726797963417974,0.0005383763251722278,NA,4,4,4,0.001177000012490546,0.06723251793034879
ENSG00000101442.9,ACTR5,-3.141841447872837,-0.2609151139291172,0.0016788892399144484,0.011242689745591703,0.04389357394375713,0.009219874730040928,NA,31,31,31,0.0006054001034685743,0.03704015869232538
ENSG00000092036.18,HAUS4,3.131420858792025,0.09304784488282729,0.0017396266602427931,0.1114654265893386,0.5192837592500072,9.563867303479928e-29,NA,21,22,22,0.0012739996171425628,0.12421363986912523
ENSG00000226237.1,GAS1RR,-3.129263432011333,-0.13494370520428764,0.00175245120463499,0.04918147474742895,0.31949897209302297,1.157762761269526e-14,NA,65,66,66,0.00019359993213290548,0.0307618728163765
ENSG00000119725.18,ZNF410,3.1241405411936745,0.5006302402689106,0.0017832525927978034,0.003209257660703058,0.03579905902699428,0.020904643852229485,NA,5,5,5,0.0017110001947185456,0.030337211729761105
ENSG00000187097.12,ENTPD5,-3.120180081516822,-0.20667080923776626,0.0018074050769236614,0.018843737120188254,0.21674449392652345,6.55099610008413e-10,NA,6,6,6,0.0011909995358799416,0.08108030097955607
ENSG00000267353.1,CTD-2162K18.3,3.1175715708654246,0.205394930466636,0.0018234766589023308,0.02100206593843041,0.026229863704773582,0.04447691610139837,NA,4,5,5,0.002781999663053573,0.17490479130832634
ENSG00000151292.17,CSNK1G3,3.1115210344750905,1.0747089084836272,0.0018612621346602114,0.0008623870661764462,0.07265329065932621,0.0008653639002932481,NA,8,9,9,0.0010790000151484854,0.017006081154664163
ENSG00000107077.18,KDM4C,-3.092693927483899,-0.1972552697249886,0.0019834859061349224,0.02705386208395315,0.2428381252081388,4.2396991250261696e-11,NA,24,26,26,0.0003579999623220945,0.10339293036624117
ENSG00000188827.10,SLX4,3.087234372178196,0.29011402702564376,0.002020282403461187,0.012669079609792328,0.2448176252281459,4.687537566562645e-11,NA,10,10,10,0.00034939990161784345,0.07487471528831585
ENSG00000167981.5,ZNF597,3.076112661864955,0.15089470619827158,0.002097185870909167,0.0336831556441579,0.14357340153191375,6.349686334220866e-07,NA,37,44,44,0.0005382000490493406,0.4298661561442226
ENSG00000136448.11,NMT1,3.0752095356338693,0.20120349251771855,0.002103547125827659,0.02305396648158782,0.11676790305643235,7.222340249289819e-06,NA,43,48,48,0.0010120000244293228,0.1629127844674115
ENSG00000272156.1,RP11-477N3.1,-3.0711987096120454,-0.16590138454805767,0.002132012118571713,0.031032807773063137,0.049516484437628856,0.006055089295030526,NA,27,27,27,3.307003248347822e-05,0.2010539746257862
ENSG00000197381.15,ADARB1,3.070170281486343,0.19926257118970764,0.002139367588226792,0.02314358173255989,0.1406153167904038,1.6825231870166202e-06,NA,45,49,49,5.821994192733542e-05,0.13382894493070446
ENSG00000204410.14,MSH5,-3.062439757334293,-0.23126842522526456,0.0021954066108074836,0.014805473634803891,0.07048335953697943,0.0010601516167237349,NA,26,27,27,3.280997700720783e-05,0.08511919751431829
ENSG00000161265.14,U2AF1L4,3.057414460619415,0.149677930854509,0.0022325535088730283,0.03090560386615105,0.29572531155873577,2.6551098346862766e-13,NA,31,34,34,0.00025279989870742527,0.10392012857506563
ENSG00000143374.16,TARS2,-3.042292829669428,-0.5039144798080365,0.0023478337014926397,0.0031856867582535737,0.03348117698519565,0.020624160892688388,NA,13,13,13,0.002228000109279784,0.04745321792763128
ENSG00000241231.1,RP11-275H4.1,3.0372462335835504,0.08591222578255561,0.0023875033844103838,0.12173826050792502,0.2440630094723784,1.5415119150600118e-11,NA,41,47,47,0.0011110000584335963,0.0861023794446523
ENSG00000182379.9,NXPH4,3.0369383426073853,0.25775722806422,0.0023899433639245934,0.011272445497868567,0.07864944100842305,0.0005112526477425224,NA,18,18,18,0.00039269998792859347,0.06332045289189568
ENSG00000165300.7,SLITRK5,3.032390933126302,0.16204312192272882,0.002426247584121729,0.03650726527123688,0.1675581169292616,2.257771071771304e-07,NA,60,61,61,0.0020520003485194073,0.12561990033044024
ENSG00000224924.6,LINC00320,3.019282412365265,0.18256013132603235,0.0025337422246791285,0.031018602265230236,0.2153081592755699,1.0957337467322466e-09,NA,57,61,61,0.001720999611217485,0.1598135656258362
ENSG00000260230.2,FRRS1L,-2.9860241546862794,-0.4265180459321791,0.002826303177962991,0.0045414468891008634,0.2246742398125823,5.458616782286183e-10,NA,49,50,50,0.0071049999650664355,0.03988623270479673
ENSG00000138175.8,ARL3,-2.979595744860329,-0.2260484160924549,0.0028862901333269807,0.01610320684375091,0.11747461402702332,1.5760922354543828e-05,NA,32,33,33,0.0005618001544901054,0.06451270036099853
ENSG00000073849.14,ST6GAL1,2.9790536300860415,0.34971484527377694,0.002891401662889914,0.006067759805407056,0.07670129157519663,0.0005916267645584858,NA,24,24,24,0.0007273999086941069,0.06177940337000583
ENSG00000161929.14,SCIMP,2.9700986993653298,0.11922527683377866,0.0029770408325561996,0.06604432079482632,0.2306164722005575,4.82707045418085e-11,NA,9,9,9,0.008066999882925254,0.3533674992755477
ENSG00000188004.9,C1orf204,-2.9699205565620175,-0.2528353508558854,0.0029787677112523238,0.017041344658716446,0.06498297688387261,0.001209915736835291,NA,23,28,28,0.0005628999935899319,0.21595774749525834
ENSG00000213171.2,LINGO4,-2.960608981828571,-0.13937829612062147,0.003070314731690142,0.042431750758495056,0.17295611641724815,1.2627845376500195e-07,NA,47,51,51,0.005176001458242506,0.1307464642931685
ENSG00000138376.10,BARD1,2.9586587922161134,0.5096869979097283,0.0030898100702418363,0.0034188929124169512,0.031018693273423905,0.02785604658206295,NA,12,13,13,0.002215000716815684,0.04198127141000636
ENSG00000175470.18,PPP2R2D,-2.952411577317706,-0.19775142840999227,0.003153023586230355,0.01978769857077657,0.16040682153733432,2.8918524295069285e-07,NA,36,36,36,0.007052000796089908,0.06462858445220185
ENSG00000137944.17,KYAT3,2.95141285086569,0.1883533333635682,0.0031632379712973942,0.024141227560693583,0.2314218583161483,1.8376280558762076e-10,NA,51,51,51,0.0017870004471058855,0.06968473213641868
ENSG00000153904.18,DDAH1,-2.944571913934777,-0.3667254971780521,0.003234017801760283,0.006038423885755227,0.034045424959151915,0.023069720227315,NA,28,28,28,0.0013409997815557113,0.04547330951244388
ENSG00000143382.14,ADAMTSL4,2.9331814441698576,0.4450980867118391,0.0033550775443101062,0.004086822625835531,0.04150758054659103,0.013076019129633284,NA,15,15,15,6.219005021953026e-06,0.06288796698544738
ENSG00000204632.11,HLA-G,-2.9310740135929954,-0.11015180211447279,0.003377922910229592,0.07504798708201542,0.15657775996425846,5.188942275871415e-07,NA,42,46,46,0.0011480003403093592,0.1136578748014644
ENSG00000152465.17,NMT2,2.9310517804989917,0.1984001438855696,0.003378164678806054,0.02154387019656355,0.2309214551832426,2.1358113848087103e-10,NA,19,22,22,0.0014599995685186757,0.07388241544692423
ENSG00000117569.18,PTBP2,2.9272682607643286,0.32908726460613646,0.0034195379048358064,0.006115321352095543,0.057350985007625414,0.002437111231807602,NA,11,12,12,0.0005734997605833504,0.05979024979119848
ENSG00000270127.2,RP11-526I2.5,2.9239806179963423,0.08031528585170515,0.003455862642032451,0.1338100080480954,0.4398562593227091,2.336994277597149e-22,NA,16,16,16,0.0009418997802939122,0.17970491517251194
ENSG00000232903.2,LINC01166,-2.909053225613766,-0.12058809964647153,0.0036252513425182853,0.068931305437432,0.06460676929230849,0.0017027753134315185,NA,32,41,41,0.027450001215658038,0.3991815997429395
ENSG00000258572.1,RP11-1070N10.3,-2.9056632313479898,-0.12879688682431784,0.003664756443031587,0.052804405793097704,0.05508116073270602,0.004045224536780246,NA,50,55,55,9.702001502694519e-05,0.1021135872779297
ENSG00000124226.10,RNF114,2.8983338306309268,0.19921873920975627,0.0037515104455527666,0.017517407872619614,0.1944713598352849,1.5022212854029812e-08,NA,25,30,30,0.0017419997278932877,0.037117815025097464
ENSG00000130348.11,QRSL1,-2.8965192922316714,-0.08781215547817317,0.003773274412530034,0.10452662319298671,0.528822063607372,1.7708410864953431e-28,NA,26,28,28,0.0028810010508980113,0.2019951154249156
ENSG00000174718.11,KIAA1551,2.8913054753200367,0.2006112432085605,0.003836450131703153,0.020659840133915336,0.19609544461308748,9.485792018306928e-09,NA,46,48,48,0.01627000512733479,0.111572860001611
ENSG00000162086.14,ZNF75A,-2.889226623371631,-0.5101658229252553,0.003861906402921616,0.0037996497212715637,0.05206891122933385,0.0036599719356400604,NA,18,21,21,0.0014050001741245642,0.03820615430092703
ENSG00000274918.1,RP11-54G14.1,-2.8823847289694813,-0.16087571357533498,0.003946775129669781,0.03139770238522772,0.029728213627305208,0.03498146107500795,NA,73,80,80,0.00313800110813653,0.5068205558458784
ENSG00000089012.14,SIRPG,-2.8744901890502903,-0.21361537109624015,0.004046803426417679,0.01735256851291119,0.04600768289764469,0.007690732394394637,NA,12,12,12,0.004211001261569338,0.12379285761177194
ENSG00000246375.2,RP11-10L7.1,2.8729758479068996,0.06537936526222306,0.004066252011959848,0.17322622848835204,0.4851846216136125,3.32268812256964e-26,NA,40,40,40,0.0023869992429547695,0.14938352601202465
ENSG00000260578.1,CTD-2541J13.1,-2.86642342589737,-0.21021535723601428,0.004151385768004105,0.017384727366372255,0.1427655935921188,1.5371709869029141e-06,NA,7,7,7,0.007363997617779619,0.16782249127189788
ENSG00000101349.16,PAK5,-2.8633083448242203,-0.2872856620247906,0.00419242357437819,0.010018784033565212,0.04547816673230663,0.009623699294228093,NA,23,23,23,0.00236600091318452,0.07239524425917984
ENSG00000198252.11,STYX,-2.855898315525788,-0.33209176262869117,0.0042915255262539025,0.006653222358987782,0.07964587188225239,0.00044740703068438465,NA,6,7,7,0.001194000337305136,0.052911934967969886
ENSG00000112249.13,ASCC3,-2.8486548482828153,-0.2237132666930905,0.004390448219464144,0.013958248713050046,0.07554633153636216,0.0006466037607566282,NA,59,66,66,0.004461998866126365,0.0718678017801122
ENSG00000172817.3,CYP7B1,2.841560175985001,0.6354119611487988,0.004489337866258357,0.0020070078095364152,0.03627105471893585,0.019282459246182698,NA,2,2,2,0.0021500003372249285,0.06735108697445956
ENSG00000231852.6,CYP21A2,2.8346329826157204,0.0699934822182749,0.0045878359081753415,0.1495291479306025,0.31857732739317285,5.317997535487551e-15,NA,45,45,45,0.0007651998119543847,0.6181829340811775
ENSG00000231437.3,LINC01750,-2.8310068013477947,-0.13528736766066432,0.004640173433078882,0.041019021066734954,0.38865345365701454,1.991394998234501e-21,NA,11,11,11,0.0030389989199595298,0.19032941207714368
ENSG00000179859.9,AC025335.1,-2.8308361021266877,-0.17332812317449342,0.004642650446551983,0.02611567793726054,0.037147441556461366,0.01920717085888687,NA,46,58,58,0.006436998059196103,0.08913733195701372
ENSG00000008130.15,NADK,-2.8299610866038662,-0.20840946106501243,0.0046553665909182225,0.023780978418334806,0.20096922770264405,8.895172183137682e-09,NA,11,17,17,0.00023639990028854674,0.0783665380854691
ENSG00000145781.8,COMMD10,-2.8257926220435343,-0.1437479426966346,0.004716378739263447,0.0368112105515466,0.18750208455188916,1.5693183222943147e-08,NA,55,59,59,0.004419999310844798,0.04464850617127236
ENSG00000171428.13,NAT1,2.8188486819208145,0.17377992602775674,0.004819623278712042,0.021258193199685537,0.06651254956528782,0.0012029711291932502,NA,5,5,5,0.005190000915427111,0.09763356150612378
ENSG00000152433.14,ZNF547,-2.80776942269877,-0.5590815402836264,0.004988593112663746,0.0026259021859294258,0.03782379521931699,0.0167254290854682,NA,4,4,4,0.0055369985864033786,0.0399705925198645
