gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000177352.9,CCDC71,-6.315977947351647,-0.23740458702415362,2.6845833195686265e-10,0.06392935109799264,0.2753531323209733,4.141860988307642e-15,NA,27,28,28,3.1009995257982874e-13,0.1717293383987951
ENSG00000213672.7,NCKIPSD,5.3187935106696775,0.2801075801946679,1.0445760291129713e-07,0.037368898732013725,0.3390470047005313,6.490987863032692e-19,NA,16,16,16,6.79600491085997e-08,0.038976680949725936
ENSG00000164054.15,SHISA5,5.253033640528748,0.3946690060717999,1.496141962307925e-07,0.014297735085335155,0.14795882122020212,7.040486215391506e-08,NA,44,45,45,3.1009995257982874e-13,0.06317336508377472
ENSG00000185909.14,KLHDC8B,-5.133748215026732,-0.667256475116449,2.840280155318477e-07,0.005822927998116489,0.07240200656273699,0.000160512067468494,NA,10,10,10,4.667995736798631e-08,0.03241474487001246
ENSG00000145040.3,UCN2,5.054736676029363,0.317725154165688,4.309849933307361e-07,0.028777820020800877,0.05702693113786144,0.001022392930917692,NA,7,14,14,7.103997483745318e-08,0.20845331840059567
ENSG00000188315.7,C3orf62,4.973636973259781,0.2775035009500783,6.570830753727825e-07,0.024016727957078838,0.04720992937642707,0.00313020023248126,NA,50,56,56,1.1600001350096431e-11,0.2071289510008392
ENSG00000178252.17,WDR6,-4.807238080037564,-0.2266182051131733,1.5302971072389988e-06,0.045260521336380886,0.4041198859406177,3.6687493657534314e-23,NA,32,34,34,5.1039953481975777e-08,0.07735295912748455
ENSG00000178537.9,SLC25A20,-4.487644956143035,-0.6328608521323804,7.201481177988668e-06,0.004137543070525701,0.0220549685705694,0.04754502762845275,NA,19,20,20,7.255992526290239e-09,0.07769161599586982
ENSG00000272156.1,RP11-477N3.1,-4.372625672769225,-0.3337977842873497,1.2276110783344492e-05,0.014699667031016,0.046125087296268484,0.0039412336686652175,NA,14,14,14,8.000006751867618e-06,0.06447787510600718
ENSG00000164078.12,MST1R,4.312432114120657,0.13859603166569898,1.6146846780236537e-05,0.09044723134781299,0.3039617743549075,8.879056356217786e-17,NA,51,68,68,1.1709988161974318e-06,0.13922689303035304
ENSG00000197728.9,RPS26,-4.283453866755576,-0.07318146611925269,1.8401426659311805e-05,0.3086566134070568,0.7030825255615696,9.958125611750603e-59,NA,23,26,26,1.6280003690747994e-05,0.18598260760901425
ENSG00000139531.12,SUOX,4.2635804358113365,0.12886785376081525,2.011770343668819e-05,0.10348086457315912,0.518980507144177,6.995661516166368e-33,NA,22,24,24,2.2559983626324623e-05,0.11629864819739782
ENSG00000170430.9,MGMT,4.254143831034474,0.11857133870129337,2.0985038798268038e-05,0.12814746013696596,0.33071964994185965,1.3588229374779195e-18,NA,37,41,41,4.9790034213967355e-06,0.12926639390738925
ENSG00000004534.14,RBM6,-4.2075662874353155,-0.11120264815733735,2.5813569554551188e-05,0.1299493049169328,0.5630721688803301,9.317715154668685e-38,NA,45,45,45,1.9470004982600637e-05,0.03281686308210699
ENSG00000068745.14,IP6K2,4.155000343245883,0.18110010872575816,3.2528705395899865e-05,0.05205225167247936,0.27331409756187164,5.71063170426953e-15,NA,25,28,28,1.7159996128023403e-12,0.166464097765982
ENSG00000185614.4,FAM212A,4.105792987410346,0.10285912541077354,4.0293021107565655e-05,0.13603012782594262,0.4298205413568287,3.0427003210797197e-26,NA,37,40,40,3.1009995257982874e-13,0.12728705365174914
ENSG00000204257.14,HLA-DMA,3.939384342405081,0.10529051880198535,8.169097176596565e-05,0.10768288462756503,0.2842399808089335,2.421051072401042e-16,NA,26,27,27,1.953998623644401e-05,0.3515285257965628
ENSG00000143376.12,SNX27,-3.7810210391949397,-0.2363442448809449,0.00015618647270444983,0.022959053396609176,0.2337576936644406,1.5823601553091186e-12,NA,16,16,16,9.412001510272738e-05,0.02139262468009643
ENSG00000164068.15,RNF123,3.7099278422226694,0.17359338057201984,0.00020731832796230755,0.04266195519994524,0.274778308564785,1.4582269860498363e-16,NA,70,70,70,9.636000373210452e-06,0.04547913017278132
ENSG00000242574.8,HLA-DMB,3.6957707314327926,0.19391108735791168,0.0002192207353352474,0.027832483906743824,0.13262885876758587,1.6053463719733965e-07,NA,35,37,37,1.953998623644401e-05,0.17710555603573594
ENSG00000163155.11,LYSMD1,3.647650801928591,0.19516313462318308,0.0002646489852246455,0.03535307875584878,0.2325802487112877,1.966416856421833e-12,NA,20,20,20,0.0005791999607897976,0.12697908842519032
ENSG00000197062.11,ZSCAN26,-3.6323516128956945,-0.1417938697603312,0.0002808500799664704,0.06514665352180032,0.4038734331745117,9.765740309742103e-24,NA,24,24,24,0.0004632999719205005,0.059058996554818624
ENSG00000023228.13,NDUFS1,3.622184237951243,0.3110646393485176,0.0002921259387281925,0.013630085259587088,0.20020149077347665,1.6291432188941568e-10,NA,36,40,40,0.0016940000957533256,0.051465365687896114
ENSG00000220205.8,VAMP2,-3.621490509484567,-0.20700515715910836,0.0002929105526787203,0.03156076822202809,0.2540147895164382,1.3136891888973072e-13,NA,9,16,16,0.00022879990635827317,0.08419115576875359
ENSG00000126804.13,ZBTB1,3.609387431253254,0.6153978263979591,0.0003069209251770249,0.0027675495389120714,0.023535846194673787,0.03630458252336198,NA,8,8,8,0.0004571000637089603,0.06963663599143202
