gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000178252.17,WDR6,-6.830651159984886,-0.49596766638756096,8.453005647352412e-12,0.014937677774793795,0.16757258908158676,1.6364533939910624e-08,NA,22,23,23,3.1009995257982874e-13,0.08749952796888373
ENSG00000177352.9,CCDC71,-6.465372775573487,-0.47972199763044576,1.0104939034238072e-10,0.014240726692265176,0.04798763921542702,0.004080160421565281,NA,16,17,17,1.3080014614957588e-12,0.16325525033881086
ENSG00000225399.4,RP11-3B7.1,5.936740340787876,0.673247317978344,2.907445841669063e-09,0.005302176614533945,0.04055395990727218,0.006949103431771901,NA,2,2,2,1.7169980709181929e-09,0.15102060342161305
ENSG00000213672.7,NCKIPSD,5.376209951339655,0.2916793702363826,7.607008412752393e-08,0.030922819159395397,0.4490303766647162,5.821085845485989e-26,NA,66,67,67,5.0580024431782473e-14,0.03155702191912711
ENSG00000164061.4,BSN,5.1427428839212,1.2943018673770208,2.7075605969044246e-07,0.001469884007881968,0.041900849764996334,0.006792093662290506,NA,68,70,70,4.4950022212198105e-13,0.01592311314210661
ENSG00000170430.9,MGMT,4.721452810073238,0.13507238509973254,2.3416596501410567e-06,0.1259810658889539,0.4290208553818925,2.398074786886212e-24,NA,19,23,23,4.9790034213967355e-06,0.1334206672842826
ENSG00000164078.12,MST1R,4.524490958475135,0.26566992850513865,6.0541040905101235e-06,0.028128672312275532,0.12093674753661612,2.4963654006524875e-06,NA,15,15,15,3.8809969459173143e-05,0.08241001355759554
ENSG00000226913.1,BSN-AS2,-4.3651680628007545,-0.23021357361342226,1.2702505798253368e-05,0.0345762189327789,0.06275493524661703,0.0006197632665305892,NA,24,25,25,1.3879988494422523e-06,0.3018811473538538
ENSG00000197728.9,RPS26,-4.211124709836649,-0.07768420581717908,2.541024137836941e-05,0.2768105749684356,0.6453807482122393,1.3910871487600038e-46,NA,32,38,38,1.6280003690747994e-05,0.15899891547675515
ENSG00000142609.17,CFAP74,4.036768220978374,0.20026981683011508,5.419256083434897e-05,0.04291753873535027,0.2830155754412224,4.797826046583238e-15,NA,20,20,20,4.585001395849836e-06,0.08578690064015776
ENSG00000272143.1,FGF14-AS2,3.986941817459321,0.563860270921814,6.693043050389368e-05,0.004571296830607544,0.10484647443259314,1.185146500799828e-05,NA,7,7,7,2.9910003679014287e-05,0.03314990727510684
ENSG00000139531.12,SUOX,3.983063652913146,0.42762278641622326,6.803252431840814e-05,0.008343877364123188,0.08594656341260218,6.939278777631006e-05,NA,15,20,20,1.6280003690747994e-05,0.04881023108629209
ENSG00000222033.1,LINC01124,-3.732830292234676,-0.26680252650059993,0.00018934017092876994,0.020032904251515053,0.05272694713492915,0.0022670482820979034,NA,24,25,25,0.003651000677376181,0.050217378353481015
ENSG00000004534.14,RBM6,-3.7288232221637894,-0.127107443998069,0.00019237604306264353,0.08243644248954601,0.40603732721552266,1.2201219164404724e-22,NA,66,66,66,6.909998215533676e-07,0.040100932411621125
ENSG00000178149.16,DALRD3,3.687268794508813,0.3522722495576474,0.00022667388627169516,0.010324466628920639,0.13126962259482552,7.948353066917431e-07,NA,17,17,17,6.79600491085997e-08,0.046915214796684285
