gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000178252.17,WDR6,-6.4565689908011255,-0.40380197587235966,1.071033672809287e-10,0.02263306812165988,0.21942780748193305,5.415108648214404e-10,NA,43,44,44,6.986990636547405e-15,0.06365066613510496
ENSG00000177352.9,CCDC71,-5.147526722161217,-0.376700048223495,2.6394341344532187e-07,0.01647935422495546,0.07203124654188793,0.0008033996784087839,NA,15,19,19,6.347998391582624e-08,0.1389474193043311
ENSG00000213672.7,NCKIPSD,5.131594118069902,0.24661669614674736,2.8729850299001185e-07,0.0392632712050968,0.4044594095451672,9.162329559921056e-20,NA,43,43,43,5.0580024431782473e-14,0.04199851385946436
ENSG00000178467.17,P4HTM,4.925927627183119,0.8007480241295549,8.396107222593402e-07,0.003473805376402036,0.14334669814813494,1.1224944688884513e-06,NA,18,18,18,6.79600491085997e-08,0.010243787875116482
ENSG00000226913.1,BSN-AS2,-4.88400043364667,-0.2715308797443256,1.0395484551027488e-06,0.030813424346870594,0.0956914391374575,7.38498935519746e-05,NA,18,18,18,1.1709988161974318e-06,0.03925321711175531
ENSG00000170430.9,MGMT,4.855794602036405,0.2075094541247354,1.19904940827541e-06,0.057642077106525726,0.2976544011346092,2.5233138329542503e-13,NA,15,17,17,1.725000245646162e-08,0.08765987313097774
ENSG00000168036.16,CTNNB1,4.537096821170308,0.9032815338371525,5.7033926205614696e-06,0.0024788637494804954,0.056018908063309863,0.0034449592553537213,NA,27,27,27,6.504999427978296e-06,0.015551971891946443
ENSG00000237491.8,RP11-206L10.9,4.419243411177125,0.7766448163760015,9.904704058360927e-06,0.004415375250711229,0.12765214397082966,6.728085637042698e-06,NA,5,25,25,7.025997389968292e-06,0.046861826041110284
ENSG00000068001.13,HYAL2,4.391410017308401,0.50658139652835,1.1261794162886111e-05,0.0076112964680412586,0.07375791971311342,0.0005198318347351932,NA,6,6,6,3.7479977768831136e-05,0.1259879079655702
ENSG00000106246.17,PTCD1,-4.306527107674496,-0.6563598936373576,1.658376149595003e-05,0.005056228691294771,0.02768180570941625,0.04305072558563182,NA,24,25,25,0.0013999996454423145,0.1024541188280639
ENSG00000197728.9,RPS26,-4.274415167068787,-0.0809686673837685,1.916396527503262e-05,0.25629679087198853,0.6694823604904121,2.0632398675793622e-43,NA,18,21,21,1.6280003690747994e-05,0.21188008668814695
ENSG00000004534.14,RBM6,-4.200574486641676,-0.23766740456686164,2.6623855663499042e-05,0.026725315870651876,0.32018665034427723,5.147539257914645e-15,NA,59,59,59,1.4050013471767536e-05,0.023853544303136368
ENSG00000173531.15,MST1,-4.1102328414266225,-0.48591853240175786,3.952603499966805e-05,0.006059721619652779,0.05759588343506473,0.002968055459086395,NA,11,11,11,8.076004529009706e-07,0.08513542988134587
ENSG00000145632.14,PLK2,3.9576934220537665,0.32546272440360574,7.567700140983746e-05,0.012973209149387838,0.04049821469718275,0.013470905378189638,NA,66,66,66,0.0032860005803648958,0.07732471710997654
ENSG00000270604.5,HCG17,-3.9306875998147177,-0.26055621861099,8.47032722454402e-05,0.0213754782731241,0.06213714071153381,0.002160672296455784,NA,32,32,32,0.00021290002573190142,0.16522213579095368
ENSG00000100263.13,RHBDD3,3.859869974462224,1.0190276961171465,0.00011344737415188524,0.0015156688400645314,0.0582165871996836,0.002862116753159069,NA,10,10,10,5.051996586487797e-06,0.043459779445667236
ENSG00000143376.12,SNX27,-3.796445523221462,-0.2649603380419357,0.00014678560036951758,0.018084605246824093,0.22361376296081265,6.369782726195297e-11,NA,29,32,32,9.412001510272738e-05,0.02738975088871135
ENSG00000272479.1,RP11-301G7.1,3.782945432028106,0.311363817100249,0.00015498340118213572,0.01268303446734942,0.0909425186948222,9.648754046904352e-05,NA,12,12,12,7.927001933224923e-05,0.04521399554743033
ENSG00000197062.11,ZSCAN26,-3.7494206818877567,-0.1924242719418669,0.00017724354458462056,0.036200080472532946,0.27989919588124795,1.5683233961186393e-13,NA,31,31,31,0.00023209993466453003,0.04440432676853241
ENSG00000187987.9,ZSCAN23,3.71182015646839,0.19622974503175403,0.0002057741781727129,0.03467477759876661,0.21550169377196693,1.9292747790539607e-09,NA,10,13,13,0.00026800004383812704,0.09096295463357278
ENSG00000271860.6,RP11-436D23.1,3.6519918459447975,0.38545372291544044,0.00026021414926045847,0.00806653962903553,0.029444036943861118,0.03730598981905602,NA,49,51,51,0.00031100003052570737,0.1283534174598544
ENSG00000204257.14,HLA-DMA,3.640858440441063,0.3799027656300369,0.00027173051767287443,0.007532276435305534,0.07728701819317522,0.0005313033254836043,NA,11,11,11,0.00019740000437878518,0.09163623049029487
ENSG00000152092.15,ASTN1,-3.5543526923313844,-0.3773709749544964,0.0003789107083956674,0.01011405046787245,0.15246424955928808,1.6030272034562017e-07,NA,102,108,108,0.0003310000321120862,0.053855108761371034
ENSG00000144218.18,AFF3,-3.523104532554475,-0.15240223958486718,0.0004265230997604868,0.04701690298712843,0.4056425260175653,3.210890822008814e-20,NA,27,29,29,0.0006595997910974823,0.06183910280475265
ENSG00000267939.1,CTD-2325M2.1,-3.513085873678907,-0.16578234345568993,0.00044293429633252826,0.04450272337388626,0.2250290081246556,2.8216419963331464e-10,NA,17,21,21,0.002642000729131667,0.10494078098628992
ENSG00000159231.5,CBR3,3.507307861667618,0.25088821488143964,0.0004526651179182291,0.01507510981247363,0.19365885629224389,6.955320580144347e-09,NA,12,12,12,0.000629299935079413,0.08193434962762274
ENSG00000169629.11,RGPD8,-3.506618421195661,-0.0987833828931756,0.00045383944347888625,0.11321457225336846,0.4400978203422769,1.8238431395933634e-22,NA,40,40,40,5.1009992837285556e-05,0.2893621232080355
ENSG00000204516.9,MICB,3.4924165212225753,0.1963306682972794,0.00047867118984973306,0.028474483964148846,0.2299728067783765,3.001913291700096e-10,NA,26,26,26,7.165000080097736e-05,0.07928609507331077
ENSG00000226237.1,GAS1RR,-3.423041172080252,-0.18394004988954307,0.0006192469709009707,0.03346290820024205,0.054656925684914114,0.0034793702978714253,NA,57,57,57,0.0005317001555809772,0.04320598663582672
ENSG00000198315.10,ZKSCAN8,-3.4117092003935063,-0.3943058153427229,0.0006455694307857358,0.006488478596339347,0.13823776906679225,2.7222176105119625e-06,NA,28,29,29,0.00030520008026170987,0.037632297287127865
ENSG00000213722.8,DDAH2,-3.407371319958348,-1.0854932328497557,0.0006559182840076986,0.0008621331669887261,0.030553011175765612,0.035472225082815736,NA,8,8,8,0.00039720015733056736,0.014401126738461634
ENSG00000078043.15,PIAS2,-3.3986982449245446,-0.324250235112185,0.0006770737355055185,0.009193487505257728,0.11673641068089638,1.691498478144767e-05,NA,19,19,19,0.000299400103358647,0.05430689220601617
ENSG00000143374.16,TARS2,-3.3980439806983913,-0.23826701431553043,0.0006786950820603984,0.020309528082724862,0.17485820808094746,8.536157642908412e-08,NA,18,19,19,0.0005791999607897976,0.0965745900852635
ENSG00000246375.2,RP11-10L7.1,3.3643630553128503,0.06242265689848494,0.0007672054778318541,0.23143682503081753,0.5914749153863629,5.369839323711513e-35,NA,26,26,26,0.000884700245026802,0.15442538649774495
ENSG00000244731.7,C4A,-3.352294419564304,-0.14529623869086714,0.0008014473883950131,0.04257438687994125,0.2700503541827805,3.830755895267665e-12,NA,30,30,30,4.194997685587009e-05,0.05575781787047784
ENSG00000138375.12,SMARCAL1,-3.344914495602431,-0.3447901474178433,0.0008230794063854499,0.008868480573722637,0.09484228435081213,0.00015003908747872067,NA,34,34,34,0.00014829998154217394,0.03691124055403501
ENSG00000103550.13,KNOP1,-3.3285913243725975,-0.10642885249820024,0.0008728638263613076,0.11636031975781064,0.4197546256911384,3.7054324334403415e-20,NA,43,43,43,0.000242399998594064,0.09430124432607984
ENSG00000092036.18,HAUS4,3.2941271824887988,0.16835123979997318,0.00098727816307771,0.035476298753576184,0.3995710869594094,9.649079966008042e-20,NA,23,24,24,0.00034640011406941187,0.04350238425655956
ENSG00000139531.12,SUOX,3.283723896749365,0.2503321411890089,0.001024452337562065,0.01592538872100608,0.10449890928964306,3.151585626439977e-05,NA,16,25,25,1.6280003690747994e-05,0.14443913832445168
