gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000178252.17,WDR6,-6.286025424514193,-0.48321126082307964,3.2569662833131775e-10,0.014945046919202972,0.17362945223871776,2.1720272759500026e-07,NA,15,15,15,7.255992526290239e-09,0.12076388487697565
ENSG00000229453.2,SPINK8,-5.442680581825972,-0.4028930148388195,5.2484709987985417e-08,0.0159566998331075,0.03313355949189143,0.026603158587259108,NA,57,59,59,6.986990636547405e-15,0.16648094401026006
ENSG00000177352.9,CCDC71,-5.227345420804975,-0.4204150020868612,1.7196105889260876e-07,0.015034067262492078,0.07413757774888066,0.0008186468676665144,NA,20,20,20,5.1039953481975777e-08,0.028881553951821355
ENSG00000067560.10,RHOA,-5.2124717968396865,-2.164904342190586,1.863409047102715e-07,0.0005697653545897303,0.04685450952669306,0.008906751555086214,NA,16,16,16,6.347998391582624e-08,0.006125831327425991
ENSG00000213672.7,NCKIPSD,4.762510675302489,0.27207849166503156,1.9119907947040435e-06,0.031247076245420627,0.31009431159004325,1.4394535618077664e-13,NA,17,20,20,6.79600491085997e-08,0.0746138988266448
ENSG00000197728.9,RPS26,-4.646865355375479,-0.07909799406298373,3.370169795556888e-06,0.29963986463450065,0.6106142954475318,8.817575834236773e-35,NA,80,100,100,1.6280003690747994e-05,0.24267345212793745
ENSG00000139531.12,SUOX,4.563319013793657,0.33541605477403574,5.0351216685547275e-06,0.016212840453575798,0.14329217234460562,1.945241545808308e-06,NA,24,26,26,1.6280003690747994e-05,0.07677888109890489
ENSG00000168036.16,CTNNB1,4.267039736213243,0.37772991368997477,1.980838877367832e-05,0.01300344443911864,0.10974324325689612,3.27809129240586e-05,NA,15,19,19,6.678997528091232e-06,0.02102583003711975
ENSG00000242689.2,CNTF,3.9148068700820216,0.27972119896953523,9.047659963375498e-05,0.019539362644434663,0.04413852157365565,0.012138642408923126,NA,120,156,156,0.0005708998808101742,0.1785505543109786
ENSG00000004534.14,RBM6,-3.8685230090420886,-0.3227963563330995,0.00010949660530305259,0.012990133095749572,0.26538456856977416,7.231955352387337e-12,NA,36,36,36,1.9470004982600637e-05,0.017457524006379267
ENSG00000014216.15,CAPN1,3.8549869334421802,1.24067715813765,0.00011573581049060268,0.0008775784119195391,0.04707854115906311,0.009815852581217284,NA,5,6,6,0.00047260013380400455,0.031375954716008736
ENSG00000272143.1,FGF14-AS2,3.7875406657816475,0.40097650022383785,0.00015214578930804204,0.008339402585138019,0.15490732093322138,4.831259823875745e-07,NA,7,8,8,9.781001326360255e-05,0.05512892183610423
ENSG00000220205.8,VAMP2,-3.7538454778532975,-0.5289085106718239,0.00017414223838518384,0.004832506187867889,0.1260249214756976,8.988932797742147e-06,NA,18,20,20,0.00012100001587420092,0.01853477006670656
ENSG00000115840.13,SLC25A12,-3.6786932758771034,-1.2438297683702169,0.00023443200013005956,0.0008004162489994999,0.08914450232651717,0.00023800875380660698,NA,9,9,9,0.00021490007245204688,0.022224760363843344
ENSG00000008130.15,NADK,-3.677402200263089,-0.6095741571465993,0.00023562136910693806,0.003947272033808369,0.040572203531510885,0.013623311479921196,NA,22,24,24,4.585001395849836e-06,0.03559182990478167
ENSG00000198315.10,ZKSCAN8,-3.6466063643471602,-0.45593850035599087,0.0002657265132749755,0.005997396963304969,0.08925825434778792,0.0002228855895110229,NA,36,38,38,0.00030520008026170987,0.04710036979393738
ENSG00000178750.2,STX19,3.619155489200206,0.211629645402844,0.0002955660128047104,0.026209630946090696,0.050280274152728316,0.006582045039395781,NA,23,26,26,2.4859975411125722e-06,0.12949459505386324
ENSG00000143416.20,SELENBP1,3.5828009414317448,0.46594745765308393,0.0003399296458826008,0.006090181184710173,0.11263837912767953,2.230578197412597e-05,NA,19,19,19,0.0006800997118398176,0.053834017696579535
ENSG00000143374.16,TARS2,-3.5754714670985814,-0.37301240235284416,0.0003495973047398721,0.009783997326879495,0.07303507038749202,0.0009121492837270539,NA,14,16,16,6.219005021953026e-06,0.057524394771362286
ENSG00000235109.7,ZSCAN31,3.5593355241190676,0.09411088241113452,0.0003717942916258559,0.15200735319235495,0.3834690534263941,1.5533557624002423e-17,NA,37,37,37,0.0004956000453387316,0.09760124200033754
ENSG00000197062.11,ZSCAN26,-3.5592659083873412,-0.2221238514211798,0.00037189284947795187,0.02358700023374434,0.1745101584868652,2.033615228291483e-07,NA,18,18,18,0.0004253001381743205,0.020977802194849186
ENSG00000152092.15,ASTN1,-3.4981322554036307,-2.1470792335738156,0.0004685287313438879,0.00027094919662665087,0.0618953639752154,0.002581851846139929,NA,21,21,21,0.0003310000321120862,0.004246814131159093
ENSG00000189298.13,ZKSCAN3,-3.4790621199581944,-0.25877461424635917,0.0005031719339491927,0.016236976870353616,0.07875223448029163,0.0005781438022033488,NA,24,24,24,0.0003433999906501966,0.06413776341706601
ENSG00000044459.14,CNTLN,-3.430108947387892,-0.6333487691507543,0.0006033389454510802,0.003880105534089525,0.041369809374550114,0.014639290030172974,NA,7,10,10,0.0002639999688657118,0.06623576758657929
ENSG00000173531.15,MST1,-3.426544632563713,-0.22292561535933555,0.0006113132877060668,0.02315033921785672,0.1815164370420434,3.8896469503016233e-08,NA,19,19,19,1.7589989901383303e-05,0.07740853098386266
ENSG00000173611.17,SCAI,-3.3931974287472384,-1.1259974089971578,0.0006908182916281089,0.0009197560340856227,0.054202473488571684,0.005333511512854523,NA,11,11,11,0.00045499987990654713,0.016664074145489056
ENSG00000006194.9,ZNF263,3.3651775442272207,0.2119723356030948,0.0007649441997753891,0.02213597614200858,0.14360122277473414,2.943624825008625e-06,NA,26,28,28,0.002278999834435654,0.1737908532889596
ENSG00000143376.12,SNX27,-3.3589300105009783,-0.2418075842697475,0.0007824488165881365,0.020051356897702977,0.20636040852115853,6.368334165849901e-09,NA,17,18,18,9.412001510272738e-05,0.06074484977981639
ENSG00000078043.15,PIAS2,-3.352919396401279,-0.6230900659512718,0.0007996399025161576,0.0026490592984666364,0.029486186756537306,0.03974180537091515,NA,14,16,16,0.000299400103358647,0.04630196824627464
ENSG00000106948.16,AKNA,3.3395538403205576,0.3075777438925114,0.0008391308326428031,0.011826991903475583,0.0918907118116305,0.00019456161975494744,NA,44,51,51,0.0002182999931545877,0.08834209420445865
ENSG00000001561.6,ENPP4,-3.302887327035286,-1.1243106242370868,0.0009569482981418041,0.0008129817934081941,0.08040821569584433,0.0004139753879750222,NA,8,8,8,0.0005692001809584056,0.02229873776651075
ENSG00000103550.13,KNOP1,-3.272015333406904,-0.08794457708765768,0.001067837845352718,0.1514462004793607,0.4858451191489328,1.2667486792485432e-23,NA,54,64,64,0.000242399998594064,0.11852484460941387
ENSG00000173699.15,SPATA3,-3.2140114658060863,-0.1232441614012693,0.0013089444632833835,0.07028208138925202,0.2593521817877416,4.9418685345001006e-11,NA,19,19,19,0.0015799995387742187,0.08208362369489385
ENSG00000204257.14,HLA-DMA,3.2064175341679904,0.3655408726199502,0.0013439882096536607,0.006471708650797277,0.12313114532566807,1.1384701191031833e-05,NA,19,20,20,0.00019740000437878518,0.06976988007794813
ENSG00000254901.7,BORCS8,3.194466816749569,0.43565009825660117,0.0014008938907737248,0.0049743179652144715,0.03588260139797728,0.023826919031762067,NA,43,44,44,0.010709998176298488,0.027346342963996885
ENSG00000185519.8,FAM131C,3.1873739459563883,0.10963796116694177,0.0014357102336475767,0.08717872846152427,0.21250170108227573,1.8935462876499974e-09,NA,55,56,56,0.0009301997890086137,0.1702077716184524
ENSG00000036257.12,CUL3,-3.158747520199813,-0.6159222690624445,0.0015844869433412245,0.0027505194983915237,0.041631206564133036,0.01204350566216185,NA,34,36,36,0.0001676000146736526,0.030404646889991737
ENSG00000161204.11,ABCF3,-3.150762409068506,-0.2629819610795166,0.0016284490023327008,0.012246449179439171,0.1541238959783961,5.8000813847036336e-08,NA,15,16,16,0.013179998147674739,0.20144256676607172
ENSG00000112796.9,ENPP5,-3.1459129496200564,-0.437184145771086,0.001655692771275241,0.005093880743726667,0.10122317268023297,5.8935390678008496e-05,NA,9,9,9,0.00044139984019549253,0.02566320509873421
ENSG00000161618.9,ALDH16A1,-3.1234976634828957,-0.14326091713115346,0.0017871528419132268,0.04408078584281254,0.1999380639669913,9.0784460103999e-09,NA,31,35,35,0.0006939000504623935,0.0862204363723141
ENSG00000246363.2,RP11-13A1.1,-3.1093932876069017,-1.2071818786070958,0.0018747199136028322,0.001105194298336634,0.07770106235598294,0.0006111958170918014,NA,2,2,2,0.0024060008597838784,0.06984218674115597
ENSG00000186510.11,CLCNKA,3.108784446368637,0.24756807861895092,0.0018785871863070674,0.014325958069285657,0.1277186548921709,7.892260627624839e-06,NA,11,12,12,0.0021829997396887024,0.027247639747609857
ENSG00000197417.7,SHPK,3.07506458518576,0.10625868060254012,0.0021045697444675585,0.09506155161404925,0.3283415857455549,1.7488569496553068e-14,NA,22,31,31,0.0009960999230565228,0.19562438935446547
ENSG00000101307.15,SIRPB1,-3.066281216356893,-0.06125793970512912,0.0021673936094439585,0.25873107582762583,0.516094697691171,2.4585029487772555e-26,NA,39,47,47,0.006836997845934657,0.09342854818751152
ENSG00000188157.14,AGRN,3.0474437423828618,0.8506459778290721,0.0023079672340583007,0.0016623568771684666,0.05919547764805853,0.0034132966524973237,NA,13,20,20,7.025997389968292e-06,0.06607036463088209
ENSG00000231437.3,LINC01750,-3.0470333899464443,-0.13314825977978453,0.002311120357900604,0.05593332598840849,0.13976948555554278,4.2207860766020534e-06,NA,59,59,59,0.0030389989199595298,0.20207272375405155
ENSG00000123360.11,PDE1B,-3.043579788647799,-0.4055839991376147,0.002337814375173261,0.006310363895550571,0.05023171080162053,0.006389744996141203,NA,29,34,34,0.006573002288491516,0.04994460590219036
ENSG00000103351.12,CLUAP1,-3.0311783919622592,-0.11165386096199127,0.002436012770017837,0.08555429719811988,0.4379376877337233,4.3789516796500666e-21,NA,9,9,9,0.0005799000878602132,0.2817213386057184
ENSG00000100744.14,GSKIP,3.021475089853212,0.3419638287259217,0.002515463367477482,0.008929099932818924,0.08748337341752009,0.00029977009897728084,NA,61,70,70,0.012349996340670022,0.08931172485130631
ENSG00000113396.12,SLC27A6,3.018102460654503,0.23255362467786772,0.0025436288799796348,0.014883648782882529,0.17875617242611738,9.80531871189734e-08,NA,22,22,22,0.0010120000244293228,0.07102779683651368
ENSG00000170291.14,ELP5,-3.014399786240009,-0.6203649710758172,0.0025748826029937557,0.002074315308360608,0.06766502047543346,0.0008856340717466758,NA,3,3,3,0.00252299944349725,0.02467829120984876
ENSG00000246375.2,RP11-10L7.1,3.000037279882998,0.061606535399829,0.002699465644157061,0.1965313601362348,0.5401248651567169,7.872185409858612e-28,NA,21,23,23,0.000884700245026802,0.1838068063570321
ENSG00000144218.18,AFF3,-2.9898713948696014,-0.40303457063070774,0.002790949270632447,0.0048604653087128535,0.1340627046689722,6.7854077103175125e-06,NA,12,12,12,0.0024779997390138807,0.017487119907936253
ENSG00000267939.1,CTD-2325M2.1,-2.989129814759051,-0.22549476491065013,0.0027977323765051667,0.016661070231445727,0.057163092936582935,0.004577863705814269,NA,18,19,19,0.002642000729131667,0.1238940369085221
ENSG00000135766.8,EGLN1,2.9779907249366024,0.4392371309156428,0.0029014476471864565,0.00425035168420017,0.10786731227002082,5.013280430082289e-05,NA,24,24,24,0.00507000073080974,0.02442800845557592
ENSG00000241231.1,RP11-275H4.1,2.9775315647010894,0.07634881884451904,0.002905797218296233,0.1410577183000815,0.457668678008681,2.8582247208265203e-22,NA,19,19,19,0.0011110000584335963,0.08803867185434798
ENSG00000100461.17,RBM23,-2.9623836664284933,-0.34740150446488777,0.0030526714084684035,0.007277536002890538,0.06835898808968746,0.0015120737732918074,NA,22,23,23,0.0012739996171425628,0.09166940393318226
ENSG00000138107.12,ACTR1A,2.9509994124278176,0.40193489870149923,0.0031674751960239405,0.0044943425378883885,0.028312463856257426,0.04730661629638378,NA,56,59,59,0.0024689992041326174,0.06334877181082528
ENSG00000092036.18,HAUS4,2.9467531459834113,0.14926878300590038,0.003211294487551168,0.03791991677570577,0.30179173261516223,4.539001973640963e-14,NA,23,25,25,0.0022830008725996482,0.07508502876199122
ENSG00000023228.13,NDUFS1,2.9449637794588472,0.3126895066663276,0.0032299247182886143,0.008301634994799498,0.15518722788173042,8.548887143158719e-07,NA,36,38,38,0.0016940000957533256,0.16465237362957535
ENSG00000183172.8,SMDT1,-2.919217961460068,-0.22116535405892868,0.0035091077244871448,0.016172738492345816,0.2473493011669242,1.673129672192311e-10,NA,29,36,36,0.0016900003070844487,0.060055755535225006
ENSG00000111215.11,PRR4,-2.9092092831482304,-0.20560001425364985,0.003623442094902011,0.016615233964089607,0.09787095651607994,0.00012694885926503065,NA,70,70,70,0.0038309992468236478,0.06927811238448485
ENSG00000070950.9,RAD18,2.9065065125772285,0.24231917069413128,0.0036548929069422764,0.016079974477318675,0.03766720553222375,0.02057192596399031,NA,18,21,21,0.005224001883786078,0.12669803394213935
ENSG00000270604.5,HCG17,-2.9010446478979617,-0.14474132755638264,0.0037192088212663916,0.03482411375700531,0.1959321871533444,1.2658556931256142e-08,NA,17,17,17,8.970009095884834e-06,0.2884554168713477
ENSG00000108654.13,DDX5,-2.8636072929087173,-0.39778072925040997,0.004188469354778505,0.00405554771982658,0.12467577349319382,9.165620835711956e-06,NA,6,7,7,0.0014380001574791996,0.0981812331049127
ENSG00000251396.6,LINC01301,2.829001059090842,0.22730492182835133,0.004669354443623257,0.015702112271290473,0.06067778143783228,0.0016762868184061336,NA,31,31,31,0.012229997193003274,0.09165092832655006
ENSG00000182667.14,NTM,-2.8238960986809905,-0.18791173770752928,0.004744376220297879,0.024071881410124722,0.18657526164368826,3.50058535446009e-08,NA,25,25,25,0.0009647002763913738,0.0919125202976571
ENSG00000107882.11,SUFU,2.8128363563269656,0.16738197520785184,0.004910663503910211,0.030307380125871586,0.12417295178326755,1.3456437366156834e-05,NA,39,39,39,0.00034900014251622405,0.20678141499523306
ENSG00000196236.12,XPNPEP3,-2.811200225907153,-0.27258998823637803,0.0049357060248008235,0.010522431945992571,0.1444639445699263,1.3124108119588509e-06,NA,15,15,15,0.0021969991750750983,0.045776286332052364
ENSG00000245975.2,RP11-30K9.6,2.789065678783986,0.20878082210753834,0.00528603438867161,0.017538654572931398,0.10834756361674887,5.284858872182749e-05,NA,15,20,20,0.002216999210564667,0.06645780229773186
ENSG00000241767.2,LINC01324,2.7879120930052967,0.13062383896780697,0.0053048936541107775,0.045194943609787395,0.2324634274574073,1.677439506949512e-10,NA,25,25,25,0.0025039998647875448,0.12700793991436196
ENSG00000205937.11,RNPS1,-2.7813952246391973,-2.823753096269668,0.005412579895571177,0.00010360631303819492,0.0432290502228926,0.013419926465437779,NA,5,7,7,0.0422300032360708,0.020644010877056102
ENSG00000115594.11,IL1R1,2.780554939755359,0.27665455605002703,0.005426607661180007,0.010384665410550487,0.06129540064300035,0.0030803505563518963,NA,76,79,79,0.029640001516795095,0.11683818091556765
ENSG00000168300.13,PCMTD1,2.774356089904833,0.34564301993573393,0.005531109939653385,0.004981207529713339,0.1075617475474522,4.928622205789539e-05,NA,12,13,13,0.0014999997756357478,0.08384861374274721
ENSG00000155666.11,KDM8,-2.768686572869347,-0.43655514563161896,0.005628275036854935,0.00440692406937051,0.1218617402592666,1.6351202447774033e-05,NA,7,8,8,6.515998682646591e-05,0.03681834604284958
ENSG00000102763.17,VWA8,2.760372160601123,0.19259304156524443,0.005773554929604727,0.02422943566306439,0.04309397300716418,0.012078815565927005,NA,35,37,37,0.026930006937182862,0.11843403881771628
ENSG00000156171.14,DRAM2,2.7562480878688422,0.16173259601265932,0.005846863127356595,0.02961826223459397,0.3782361079249607,1.2578306035926119e-17,NA,7,7,7,0.002976000908019784,0.06863097110580547
ENSG00000111850.10,SMIM8,2.7507994154479913,0.11970349159373059,0.005945003372558062,0.057063939691684155,0.14528451927230146,6.654959451851572e-07,NA,156,169,169,0.0018049996515812356,0.13732122329648652
ENSG00000278535.4,DHRS11,2.7392625131902335,0.15769689893292924,0.00615771841928587,0.030225451923382832,0.3752032906250944,1.805935277412622e-17,NA,17,21,21,0.00729899953776029,0.043479279651227776
ENSG00000176909.11,MAMSTR,2.725177879996084,0.12359690064621122,0.006426685264642936,0.045298504969108776,0.04418751536501932,0.00983787536403276,NA,73,77,77,0.00024819992989855226,0.09505343238547254
ENSG00000170430.9,MGMT,2.720301977784833,0.051021029869168524,0.006522232341314617,0.25602212833211724,0.3449153564902284,1.3729833821959709e-15,NA,176,207,207,1.725000245646162e-08,0.256555462666161
ENSG00000231500.6,RPS18,-2.7157580896298392,-0.29031618310542767,0.006612421466536375,0.00911461819808377,0.0976156347556486,0.00010864237842541856,NA,43,44,44,0.009561999321444472,0.05449557344604117
