gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000225697.12,SLC26A6,-5.445026239075221,-0.5284674407784131,5.179774954488963e-08,0.007258769579077349,0.026878680394954176,0.04456696256408742,NA,20,20,20,3.1009995257982874e-13,0.07026076807993162
ENSG00000229453.2,SPINK8,-5.037424596547155,-0.7536433711445396,4.7183734021524225e-07,0.004091515084162885,0.03152541788612323,0.032935293188891886,NA,10,11,11,4.667995736798631e-08,0.024869423860005912
ENSG00000164068.15,RNF123,4.539943638542104,0.5906693533461783,5.626926747043827e-06,0.005714487930405486,0.09457938381644036,0.00014001016213441292,NA,67,67,67,1.1539997105691774e-06,0.02025635878417869
ENSG00000170430.9,MGMT,4.529775814301423,0.16612039414091703,5.904630625986096e-06,0.08109928837829333,0.31164162451351746,4.809891629243461e-14,NA,53,59,59,1.725000245646162e-08,0.16214452055309958
ENSG00000270604.5,HCG17,-4.310942363284841,-0.3447852989371,1.6256027696819835e-05,0.013932222249611525,0.050669643567015074,0.006371243311006429,NA,26,26,26,2.225997629245842e-06,0.08567249059278678
ENSG00000197728.9,RPS26,-4.140647486771852,-0.0748979727669533,3.4632684528836605e-05,0.2564181182205811,0.6186648697767381,6.229850619433601e-37,NA,50,56,56,1.659998920426201e-05,0.2974110690152545
ENSG00000139531.12,SUOX,4.0435270065982545,0.34658880029952666,5.265308813846071e-05,0.011911871517462144,0.0926209783640696,0.00018149015178630369,NA,12,13,13,1.942999233830383e-05,0.04198723808045493
ENSG00000235109.7,ZSCAN31,3.9369226623475053,0.1873568476535623,8.253319106602435e-05,0.042320309585065344,0.18593908139783144,2.3854822114266002e-08,NA,28,28,28,0.00026800004383812704,0.0581080234058283
ENSG00000220205.8,VAMP2,-3.7345280490333757,-0.4298507797852379,0.00018806753121848545,0.006587911921885811,0.1422508331569978,1.244672858364597e-06,NA,10,10,10,0.00022879990635827317,0.0358782732154917
ENSG00000178750.2,STX19,3.7303409967059187,0.24014112023876868,0.00019122079053937005,0.023451989904416427,0.06104267228319873,0.0024704612526314238,NA,15,20,20,9.009001626741518e-05,0.08413531285795982
ENSG00000110944.8,IL23A,3.6787892116856806,0.2666447304261497,0.0002343438470659022,0.016274293863355827,0.050166303277830164,0.005759372421354372,NA,6,6,6,4.6840008676656465e-05,0.15010779308120598
ENSG00000154518.9,ATP5G3,-3.659412424716843,-0.5580898535303848,0.00025279421424783413,0.003851025496600814,0.08478616370368043,0.0002502422448193307,NA,36,36,36,2.787002535108759e-06,0.02529070151082133
ENSG00000118785.13,SPP1,-3.6127880831456842,-0.3939373031105111,0.0003029222644811995,0.008822280026749051,0.03742553341016324,0.018778997462040228,NA,44,44,44,0.0005453000898799437,0.0470985682647531
ENSG00000274712.1,RP11-147L13.15,3.5811602382089927,0.12305879935178701,0.00034207176959230465,0.09313568074111628,0.14099789029219115,1.3309631117055238e-06,NA,131,158,158,0.004774000617054765,0.327728950250947
ENSG00000226029.1,LINC01772,3.5806045532226562,9.283142052530463,0.0003428001374902195,1.5379274314997176e-05,0.1500974086447208,3.1480028435303344e-07,NA,1,10,10,0.0003428001374902195,0.005569655694134681
ENSG00000103550.13,KNOP1,-3.4660572415014004,-0.10072056094253613,0.0005281508232263157,0.12087853806097967,0.43229826823202494,3.2845131606967046e-22,NA,22,22,22,0.000375900139797309,0.047322933850496116
ENSG00000197062.11,ZSCAN26,-3.4336001688306723,-0.1799638264666676,0.0005956220803665736,0.034066638814300165,0.1857864514930399,2.825095766842121e-08,NA,38,38,38,0.0002981999558450574,0.04407162136373472
ENSG00000137944.17,KYAT3,3.4322649084579293,0.1865383227496448,0.0005985625759375309,0.031091075929799136,0.261706152788182,9.01347813800557e-12,NA,45,47,47,0.0003342999846871635,0.08517935709531273
ENSG00000178467.17,P4HTM,3.367732148424949,0.43706276620669104,0.0007578918919194411,0.005674283936088539,0.12258537405423227,1.3286114172136647e-05,NA,23,24,24,6.347998391582624e-08,0.0627065441222421
ENSG00000134809.8,TIMM10,3.3573257746599054,0.16593616042248457,0.000787003249789699,0.03809186024811445,0.24348835467309266,4.489215476712925e-11,NA,51,51,51,0.0007025001296423579,0.1548505057392832
ENSG00000167904.14,TMEM68,-3.2471767010867656,-0.23118190802872182,0.0011655600130685347,0.021326132784382876,0.16704790855178844,5.89710215877817e-08,NA,14,14,14,0.0015790005231815186,0.06896841161319575
ENSG00000231680.1,AP003774.6,-3.244807711626915,-0.44420053116492053,0.001175299582694457,0.0056193604675376305,0.06136569888347253,0.0022839125252740976,NA,5,5,5,0.00019799991866133616,0.0462903220556863
ENSG00000213672.7,NCKIPSD,3.236410410270661,0.17257751505086688,0.0012104321550272608,0.03485783182994359,0.3154083480082285,1.7491249270617972e-14,NA,36,38,38,5.1039953481975777e-08,0.1949030601247839
ENSG00000232956.8,SNHG15,3.210505879605553,0.2830769560243022,0.0013250155782812416,0.012981409814081638,0.04511059258569819,0.010598118377130605,NA,18,18,18,0.008196999007629937,0.06886217536829034
ENSG00000246375.2,RP11-10L7.1,3.198125221837992,0.06146947253330123,0.0013832420119138107,0.23066226867158815,0.5630454209811967,1.1199920845602641e-31,NA,40,45,45,0.000884700245026802,0.18130634422318406
ENSG00000166262.15,FAM227B,3.1910645643054156,0.30638787967707204,0.0014174959988371245,0.009794633202348958,0.10328747369542446,4.07016494058002e-05,NA,13,13,13,0.0018090000727344368,0.09669629394539148
ENSG00000175221.14,MED16,3.1737590395240822,0.3170736662719867,0.0015047855865021967,0.011503968980240632,0.03128927150103447,0.033526126966934564,NA,20,35,35,0.0010189995784323288,0.1100815765838468
ENSG00000073670.13,ADAM11,-3.1054600604443547,-0.5007975160917455,0.001899832759115707,0.004228178126093352,0.14763406970867926,1.436546811123604e-06,NA,18,18,18,0.0037359989105757033,0.03617601059129879
