gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000177352.9,CCDC71,-5.502745943242455,-0.33291001567293727,3.7392106611019395e-08,0.026649283213994512,0.10135403827463453,1.8700492809752977e-05,NA,22,24,24,4.667995736798631e-08,0.05578028345472544
ENSG00000178252.17,WDR6,-5.337970343939629,-0.40507345130318695,9.399282795029558e-08,0.01627889183501612,0.17839212247358682,2.2245159825714704e-09,NA,11,12,12,4.667995736798631e-08,0.05821604381849136
ENSG00000213672.7,NCKIPSD,4.7345013622667675,0.2767099842321312,2.1959429667540544e-06,0.02698206661033546,0.26585722920061283,1.7574015774538513e-13,NA,37,41,41,6.79600491085997e-08,0.1137748581869651
ENSG00000035403.17,VCL,4.69854913622857,0.33264230751739104,2.620161562007275e-06,0.01846464306566598,0.07144688016227886,0.00029046711199719075,NA,25,25,25,7.752993439098704e-06,0.08629707161164403
ENSG00000197728.9,RPS26,-4.381363510793856,-0.07227457534962844,1.1793891509831905e-05,0.3307131608643407,0.7352744440371937,7.504368936897739e-63,NA,23,24,24,1.6280003690747994e-05,0.15722773927066652
ENSG00000220205.8,VAMP2,-4.321460750174392,-0.7857519997862685,1.5499962665855327e-05,0.0027595162099312695,0.03593859477657505,0.010694991586057415,NA,9,12,12,3.724002069626469e-07,0.02009141165628697
ENSG00000139531.12,SUOX,4.177757219560021,0.24802005956843948,2.9439764861916648e-05,0.02466908109412388,0.1970050454533969,7.225072415310088e-10,NA,13,14,14,1.6280003690747994e-05,0.045945966570205984
ENSG00000164078.12,MST1R,4.055423058017813,0.21915668113586406,5.004364397947084e-05,0.03042661922412614,0.1354155258044722,6.53282483738464e-07,NA,54,74,74,4.0399936921019036e-12,0.09588146395139227
ENSG00000161243.8,FBXO27,4.04406010817924,0.3560067390004501,5.253344147475185e-05,0.012232357790886599,0.1717887878133867,6.679609670441988e-09,NA,14,14,14,0.0004516001046193097,0.0533173224632694
ENSG00000272143.1,FGF14-AS2,3.9652025348069477,0.4759690481595666,7.333365330572363e-05,0.006553954356393185,0.10444626263061643,9.069327295129469e-06,NA,9,9,9,2.9910003679014287e-05,0.02532055549445188
ENSG00000197062.11,ZSCAN26,-3.9023239808422163,-0.1407710311058568,9.527351759955945e-05,0.06798196678991603,0.2567349134241789,5.669859937493456e-13,NA,48,57,57,0.00023209993466453003,0.14110980461530812
ENSG00000004534.14,RBM6,-3.8818767575876247,-0.19159642312885108,0.00010365340794482902,0.0362033000600142,0.4226944605975743,1.1362538020469855e-23,NA,42,42,42,1.9470004982600637e-05,0.07066310542236329
ENSG00000178750.2,STX19,3.868694115816102,0.14745964263717884,0.00010941980676457008,0.057545876673655294,0.12466320331452455,1.4004939817755572e-06,NA,8,10,10,8.138997002028948e-05,0.148873742333019
ENSG00000235109.7,ZSCAN31,3.71382540420019,0.1139393263779396,0.00020414966663336641,0.09820208315435233,0.2631739523709994,1.7414767984984456e-13,NA,43,44,44,0.00016559997351020897,0.21008995813914774
ENSG00000170430.9,MGMT,3.6592501791584247,0.11609253470015055,0.0002529543020024996,0.10555520793562793,0.4027539350861996,7.236399293719175e-23,NA,58,68,68,5.004997980858845e-07,0.3428767479540949
ENSG00000164068.15,RNF123,3.6451139805069346,0.466663789695276,0.0002672733184136583,0.005608012456603476,0.13675672475691913,5.97360945429999e-07,NA,69,70,70,3.521999313475921e-05,0.03245703556902809
ENSG00000115840.13,SLC25A12,-3.5981410216788974,-0.39443175981602996,0.00032049983345338006,0.00800770445194661,0.10670456678651123,1.352755305076987e-05,NA,29,29,29,7.774000544453418e-05,0.03898780052237552
ENSG00000257086.1,RP11-783K16.13,-3.5285038073180863,-0.13696497277627326,0.00041791593532175753,0.07395041249023859,0.17394544800122752,5.426530188832775e-09,NA,41,42,42,0.0007100997128162208,0.18673817755629085
ENSG00000159231.5,CBR3,3.4647903703758782,0.4429791447000473,0.0005306449377480392,0.00541232282473314,0.06151483526782375,0.0009512110015089516,NA,3,3,3,0.000629299935079413,0.05881990003096816
ENSG00000278535.4,DHRS11,3.45206328542524,0.12182384839263975,0.0005563172286073826,0.08350080389612895,0.3742652796047881,1.6320873892638232e-20,NA,52,70,70,0.0014259999565376952,0.13785399174483945
ENSG00000107882.11,SUFU,3.395950573536535,0.29655777110961123,0.0006839070815433853,0.011562856063200934,0.08247531539637366,0.00014004080562928002,NA,54,54,54,0.0024689992041326174,0.12922087949105876
ENSG00000143494.15,VASH2,3.3725575979166567,0.4215149463983706,0.0007447350801226834,0.006523815223649067,0.0613714838432965,0.001000469287434917,NA,15,16,16,0.0011709999614442667,0.04977531213732519
ENSG00000144218.18,AFF3,-3.3536132519581097,-0.21399070197857326,0.0007976376453247191,0.023669286397942843,0.11421258105826412,2.3168834856911525e-06,NA,31,32,32,0.00013249995525264603,0.08138512171108532
ENSG00000204632.11,HLA-G,-3.3161935174255515,-0.11734316453712541,0.0009125261659648951,0.07928546971396894,0.2007323178305132,3.6858406245329685e-10,NA,56,57,57,0.0002182999931545877,0.1130773544782355
ENSG00000187987.9,ZSCAN23,3.311737858705478,0.27716488512646553,0.0009271838221254899,0.013195558733584137,0.03454282928789579,0.015474379319057853,NA,28,28,28,7.112000316075441e-05,0.0569388259938939
ENSG00000001561.6,ENPP4,-3.309602135592891,-1.1289710497491108,0.0009342867223866622,0.0007651684678917105,0.02888829796216655,0.026954078645921087,NA,6,6,6,0.0008578003256458529,0.032583000462607134
ENSG00000226913.1,BSN-AS2,-3.2694921676517352,-0.18648484073934854,0.0010774072004542203,0.03299669840254825,0.12259382737701945,1.889987100121161e-06,NA,28,29,29,3.1009995257982874e-13,0.08795889509443501
ENSG00000204371.11,EHMT2,-3.267303129528013,-0.4401581926325617,0.0010857735403408187,0.0047564049611441405,0.10892263450591594,8.985787968745042e-06,NA,12,12,12,0.0004434998802087746,0.032292621038849445
ENSG00000189114.6,BLOC1S3,-3.2634880147983045,-0.40652261943132373,0.0011004983882790375,0.005946490404041407,0.035798984952360266,0.01074292946393822,NA,24,24,24,0.00777699897346163,0.051653397446995805
