gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000213672.7,NCKIPSD,5.424505488803786,0.24611871946949457,5.811520450178933e-08,0.046634340294851306,0.4764367800195221,3.9574285106045206e-24,NA,18,18,18,5.1039953481975777e-08,0.03664109544445004
ENSG00000177352.9,CCDC71,-4.835460581031155,-0.5041864083738704,1.3283769761604685e-06,0.008854494063750643,0.0895927735381616,0.00028548746030518466,NA,24,28,28,5.1039953481975777e-08,0.04781940825003622
ENSG00000178252.17,WDR6,-4.57949189968183,-0.3192022651144893,4.66106838688692e-06,0.01967259132021447,0.19167084743031065,2.5686687648080012e-08,NA,77,84,84,6.986990636547405e-15,0.16412670692631348
ENSG00000170430.9,MGMT,4.574917121820387,0.18921176057585534,4.764085402929746e-06,0.060430889140369155,0.38722737529144174,1.2875042984634594e-17,NA,29,29,29,1.4639983347242513e-06,0.07922106706507666
ENSG00000197062.11,ZSCAN26,-4.409934297048578,-0.14835630435493188,1.0340198712814986e-05,0.08189636582139811,0.2392178775989225,3.112728339928383e-10,NA,33,37,37,0.00023209993466453003,0.22442306665852216
ENSG00000197728.9,RPS26,-4.200238847756514,-0.06178226076886843,2.6663355311282897e-05,0.4160178317593055,0.6720270902298652,7.148598569954923e-42,NA,77,94,94,1.659998920426201e-05,0.16383409976725324
ENSG00000239467.5,AC007405.6,-4.176007615460843,-0.2883407725097727,2.966698912467117e-05,0.019109217446873702,0.12977273586717178,1.0236540991206102e-05,NA,33,33,33,7.381997486507241e-05,0.08054235313889993
ENSG00000144161.12,ZC3H8,4.170720373006118,0.3220759210742124,3.03638262112066e-05,0.013328442968072842,0.06775535687548936,0.0015788976070537414,NA,20,24,24,3.6980033876832954e-05,0.08595368578202091
ENSG00000139531.12,SUOX,4.168182116788006,0.37187434146932874,3.070385798950332e-05,0.011497077950509133,0.17944766094076206,6.258682957392655e-08,NA,13,15,15,1.6280003690747994e-05,0.0563135198474903
ENSG00000204410.14,MSH5,-4.167672457529649,-0.5269800825085543,3.0772568181927244e-05,0.00441152054235745,0.07187548003627223,0.0008808840479215352,NA,13,15,15,2.0529983756282578e-05,0.03569487677731735
ENSG00000270604.5,HCG17,-4.065358980786162,-0.14793166743937494,4.7958585784430054e-05,0.06720439026368293,0.2032702194561393,5.437709832680484e-09,NA,31,31,31,2.1849993002373973e-06,0.07406442927015049
ENSG00000168036.16,CTNNB1,4.025783736380628,0.4492454955384942,5.678586130430902e-05,0.007825065669322204,0.16945696943886554,1.556599560710038e-07,NA,20,20,20,6.678997528091232e-06,0.08261699300937644
ENSG00000178750.2,STX19,3.915409738139877,0.27871951027516534,9.025080497648046e-05,0.016862814107148485,0.06146727271752165,0.002015124109856559,NA,5,6,6,9.009001626741518e-05,0.13210043549552278
ENSG00000272143.1,FGF14-AS2,3.8564160578023627,0.34266649272917926,0.00011506158453875642,0.012655818318629638,0.1882384028603335,1.3593115901826542e-08,NA,15,16,16,9.781001326360255e-05,0.06845567652397884
ENSG00000164068.15,RNF123,3.753560766507146,0.6972896710322303,0.0001743402441711492,0.0027564146479404253,0.0912971215785822,0.00015502438404036215,NA,17,18,18,4.810004516450986e-06,0.026597242345992863
ENSG00000220205.8,VAMP2,-3.749854945636931,-0.26979951434782784,0.00017693688931136233,0.017136271134366193,0.18671789642582529,1.3306067672474344e-08,NA,9,9,9,0.00012100001587420092,0.02716295699094888
ENSG00000226913.1,BSN-AS2,-3.7220547348641517,-0.2294300370877102,0.00019760817242454125,0.025456652970268397,0.09028834828737116,0.00011223351226983999,NA,30,30,30,1.1709988161974318e-06,0.0319462287488509
ENSG00000135437.9,RDH5,-3.6970179940559973,-2.2115563583617175,0.00021814688530119483,0.00026973420945261496,0.1237908630090478,1.1263893144300124e-05,NA,4,7,7,0.0008079002796966668,0.04259684420954096
ENSG00000204257.14,HLA-DMA,3.619830505245924,0.4297696877548584,0.00029479605490348156,0.004610171266518274,0.09578254409253588,0.000176035061772226,NA,2,2,2,0.00019740000437878518,0.1002646603156678
ENSG00000103550.13,KNOP1,-3.6094338447994962,-0.09670262865698248,0.00030686601862358015,0.15212463286525782,0.4969820524032568,7.590101235141971e-25,NA,56,60,60,0.000242399998594064,0.08089123542582048
ENSG00000235109.7,ZSCAN31,3.5712531961351495,0.09181775590296236,0.0003552772340949342,0.1418124723727518,0.3802546257130931,7.421265053126258e-18,NA,35,36,36,0.0004956000453387316,0.15894543805354916
ENSG00000244731.7,C4A,-3.5667000714058448,-0.20168985287412064,0.0003615048321272034,0.023731635072253628,0.106002336500678,5.570255686224634e-05,NA,59,59,59,3.272997889336258e-05,0.05154274458396232
ENSG00000138107.12,ACTR1A,3.5524796088262947,0.22712406638993582,0.000381618594952939,0.021904383905577432,0.14049535160498666,1.1300343531781073e-06,NA,67,67,67,0.0004047998692655195,0.16394979529807374
ENSG00000078043.15,PIAS2,-3.5125683445686646,-0.561435510099314,0.0004437978470916196,0.0034553629772316853,0.048732063034628535,0.007615484930563556,NA,4,4,4,0.0003303999185874315,0.03646960414155902
ENSG00000224924.6,LINC00320,3.505017814943092,0.24870528193927707,0.0004565767304092044,0.024233139950778526,0.2892872391810272,1.5294009663517425e-13,NA,17,18,18,0.0007488002972055437,0.0910178686030519
ENSG00000004534.14,RBM6,-3.435313836674418,-0.1571486726279616,0.0005918679607302379,0.046065330034982685,0.2538548545371525,5.465152355699049e-12,NA,119,142,142,4.810004516450986e-06,0.09263968809122412
ENSG00000163630.10,SYNPR,-3.385525998181376,-1.295873843147286,0.0007104197965198834,0.0006674304153051031,0.14308560222918415,6.475609793097162e-07,NA,5,5,5,0.0006827999417053822,0.012148677194004623
ENSG00000187987.9,ZSCAN23,3.3348862620060915,0.22547667206669822,0.0008533429461998837,0.020905425414885374,0.13944695301119114,3.42824530541134e-06,NA,11,11,11,0.00026800004383812704,0.09141644285318576
ENSG00000152092.15,ASTN1,-3.323950213380848,-0.6294097922914099,0.000887520387878069,0.0032123853967861308,0.1420944860469137,2.2871311283866573e-06,NA,20,20,20,0.0003310000321120862,0.015507059270184632
ENSG00000198315.10,ZKSCAN8,-3.30466624056805,-0.5388225578464318,0.0009508956401189463,0.003289978092409142,0.04635257102206898,0.007611897424604539,NA,50,59,59,0.00030520008026170987,0.014508364853234191
ENSG00000161618.9,ALDH16A1,-3.2836068461164514,-0.14676248764710234,0.00102487787009247,0.05364874302064975,0.38941070778445214,1.1322885450210927e-17,NA,18,18,18,0.0006939000504623935,0.10209868517404744
ENSG00000091986.15,CCDC80,3.2715852683036837,1.013660679588348,0.0010694633311412111,0.001256258133796743,0.03297342408156458,0.02803943982673176,NA,2,2,2,0.0006347998263433966,0.11610752453632435
ENSG00000152465.17,NMT2,3.269109879662075,0.21809464148101146,0.0010788639656217898,0.021804210510023098,0.15605073942712325,1.8246734946419307e-07,NA,15,15,15,0.0015120001010454698,0.07430220045983059
ENSG00000229654.1,RP1-60O19.2,3.26257326664038,0.21792963562677314,0.001104056298275164,0.021470576307964943,0.07860720903524512,0.0006353344796605724,NA,22,23,23,0.0009017003646276568,0.18547428384437625
ENSG00000243477.5,NAT6,-3.218685563084968,-0.33781819122176887,0.0012877961617091534,0.008268854599673244,0.0825706758787525,0.0005468867198088099,NA,33,34,34,3.171995430577733e-11,0.08617657861807287
ENSG00000189298.13,ZKSCAN3,-3.2136274287133486,-0.20064039473467327,0.0013106962392799195,0.024387020406781746,0.03417019557007354,0.025372110288393517,NA,28,28,28,0.0003534999850648982,0.06726542093856606
