gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000001617.11,SEMA3F,-5.797019973883176,-0.466362829061034,6.750365418983914e-09,0.013601845075392624,0.11064157980914507,0.0011385708243414104,NA,10,10,10,1.7169980709181929e-09,0.14694787483934058
ENSG00000226913.1,BSN-AS2,-5.027045724999327,-0.355993042112751,4.980936196211583e-07,0.017917859383700295,0.0666552803268042,0.012330981248441744,NA,28,28,28,5.1039953481975777e-08,0.09790204520800484
ENSG00000178252.17,WDR6,-4.784475985284964,-0.4425541301292344,1.7143399170447889e-06,0.011786157705586423,0.09634464883977104,0.0026679552146796465,NA,24,24,24,4.667995736798631e-08,0.053390485572384586
ENSG00000197728.9,RPS26,-4.284148498167176,-0.09398524996941626,1.8344036700662118e-05,0.1857417299466381,0.5857277999770171,3.2568949454044424e-21,NA,16,19,19,1.6280003690747994e-05,0.13794093513097594
ENSG00000178750.2,STX19,4.1372809052976205,0.17818973151208647,3.514457585311411e-05,0.052822425034139565,0.16540109383011958,4.019889603787544e-05,NA,16,16,16,6.1030038115775324e-05,0.103915007844981
ENSG00000235109.7,ZSCAN31,3.914244264172643,0.09412143434520766,9.068779599169731e-05,0.1726135261235315,0.36004600621324234,3.915194343150536e-11,NA,57,64,64,0.0002532998901580289,0.16096106779783634
ENSG00000272143.1,FGF14-AS2,3.8937529948335112,0.25727739975910063,9.870515707330984e-05,0.023037817596317546,0.21457045888542836,7.35569047211067e-07,NA,11,11,11,2.9910003679014287e-05,0.04661372812301167
ENSG00000025434.18,NR1H3,3.437313467869324,0.44660341915921375,0.0005875152329274813,0.006068871203416414,0.12086530909760244,0.0005389226406123862,NA,17,18,18,0.0009532997150170364,0.056205452420644016
ENSG00000166343.9,MSS51,-3.3410831499236995,-0.3084445092134088,0.0008345222632331464,0.014323981878516984,0.04789884577539927,0.03977856398880983,NA,13,40,40,1.3340012445181722e-05,0.1423699473319753
ENSG00000161618.9,ALDH16A1,-3.308284705175318,-0.15228947204344767,0.0009386932833231454,0.03940397755357873,0.2270960237954945,1.414978328406277e-06,NA,34,37,37,0.0006939000504623935,0.1680361398831786
ENSG00000272602.5,ZNF595,3.26120630610765,0.2637887741362182,0.0011093929149651907,0.023020700914853098,0.13714846632160746,6.37523812233437e-05,NA,2,2,2,0.001084999765211466,0.2663701592068292
ENSG00000106868.16,SUSD1,3.2372501320048843,0.6353294162409349,0.001206875770694489,0.003109902439740437,0.1065073874786174,0.00149003786436152,NA,74,77,77,0.0008808000939649035,0.033204306484935636
ENSG00000220205.8,VAMP2,-3.2321946822352223,-0.26019260230434615,0.0012284333249808945,0.012031384087382644,0.08659153208840646,0.003511413082947665,NA,25,28,28,0.00012100001587420092,0.054188147738672636
ENSG00000116668.12,SWT1,3.2149008201523777,0.33071840611203135,0.0013048959871246567,0.00836862223401345,0.1099394091632856,0.0011889029785732627,NA,20,23,23,0.000677699968462792,0.04094262829172983
ENSG00000197062.11,ZSCAN26,-3.19146239187908,-0.14505254999840578,0.0014155453811324763,0.043355481220260186,0.12260011892450695,0.00017066633841057792,NA,50,50,50,0.0004233001074460513,0.06336583225739129
ENSG00000246375.2,RP11-10L7.1,3.162362508470055,0.08741471658226867,0.0015649461659097298,0.11328197302386601,0.2669132609535099,3.027332643827088e-08,NA,12,16,16,0.0023869992429547695,0.14428110544554315
ENSG00000187987.9,ZSCAN23,3.152397554223121,0.1754935474709365,0.0016193563349090954,0.03262084268358785,0.10555878276696312,0.0017483617955681608,NA,14,15,15,0.00026800004383812704,0.10968459924914672
ENSG00000004534.14,RBM6,-3.1418634879969707,-0.1504198536665009,0.0016787628704242152,0.03606236922106168,0.15862182675732195,4.716227481160506e-05,NA,105,131,131,1.535999094187437e-06,0.10315526844766353
ENSG00000096872.15,IFT74,-3.1122100518797806,-0.13067011439392698,0.0018569232307055297,0.035522646741175244,0.09062166196577777,0.0019066986834585208,NA,32,32,32,0.0052020013701987895,0.18890754708613175
ENSG00000197724.10,PHF2,3.1071507930755615,0.9152477788879881,0.0018890001581096667,0.0008145429422727684,0.04548290847237108,0.04261401835452728,NA,1,2,2,0.0018890001581096667,0.07745954747105058
ENSG00000213672.7,NCKIPSD,3.0941161368454972,0.16376773365922587,0.0019740019755126025,0.03737673208541212,0.31536963931120804,2.924324961583329e-09,NA,21,21,21,6.79600491085997e-08,0.08312158402459685
