label	hemisphere	structure	weighted_avg
bankssts	L	cortex	8.95523833469765
caudalanteriorcingulate	L	cortex	8.869778073091101
caudalmiddlefrontal	L	cortex	9.079663014031517
cuneus	L	cortex	9.051750212466224
entorhinal	L	cortex	8.669479497242087
fusiform	L	cortex	8.849604975955046
inferiorparietal	L	cortex	8.975001956898836
inferiortemporal	L	cortex	8.914567066684157
isthmuscingulate	L	cortex	8.997126032838771
lateraloccipital	L	cortex	9.136890694623968
lateralorbitofrontal	L	cortex	8.930851292547787
lingual	L	cortex	9.08449128134466
medialorbitofrontal	L	cortex	8.925055827197669
middletemporal	L	cortex	8.934807339700116
parahippocampal	L	cortex	8.733844231468963
paracentral	L	cortex	8.958648132222871
parsopercularis	L	cortex	9.028559739146397
parsorbitalis	L	cortex	8.920375426516976
parstriangularis	L	cortex	8.968636398417436
pericalcarine	L	cortex	9.16096329990777
postcentral	L	cortex	8.998818262672224
posteriorcingulate	L	cortex	8.954706061245577
precentral	L	cortex	9.084508897519438
precuneus	L	cortex	9.049116722152538
rostralanteriorcingulate	L	cortex	8.916703562206367
rostralmiddlefrontal	L	cortex	8.989897491446536
superiorfrontal	L	cortex	9.012069756268872
superiorparietal	L	cortex	9.005675487720197
superiortemporal	L	cortex	8.87211149337848
supramarginal	L	cortex	8.929076524511608
frontalpole	L	cortex	8.899847092064267
temporalpole	L	cortex	8.635085306405315
transversetemporal	L	cortex	8.994503956444598
insula	L	cortex	8.926292472267493
thalamusproper	L	subcortex/brainstem	9.297775929881343
caudate	L	subcortex/brainstem	8.701208868066121
putamen	L	subcortex/brainstem	8.90363126960072
pallidum	L	subcortex/brainstem	9.065368314280295
accumbensarea	L	subcortex/brainstem	8.64691610518846
hippocampus	L	subcortex/brainstem	9.006505719443808
amygdala	L	subcortex/brainstem	8.675693891868749
bankssts	R	cortex	8.963236551227116
caudalanteriorcingulate	R	cortex	8.875836909884605
caudalmiddlefrontal	R	cortex	9.09079086776421
cuneus	R	cortex	9.055278225630175
entorhinal	R	cortex	8.677975734747955
fusiform	R	cortex	8.852387358409194
inferiorparietal	R	cortex	8.974347563056279
inferiortemporal	R	cortex	8.902615220649963
isthmuscingulate	R	cortex	9.02568051118618
lateraloccipital	R	cortex	9.164508540661794
lateralorbitofrontal	R	cortex	8.921396492237465
lingual	R	cortex	9.08421500048265
medialorbitofrontal	R	cortex	8.928547894497258
middletemporal	R	cortex	8.935753767331667
parahippocampal	R	cortex	8.733969205629306
paracentral	R	cortex	8.9607712498607
parsopercularis	R	cortex	9.048419170040608
parsorbitalis	R	cortex	8.907648471689477
parstriangularis	R	cortex	9.015264332405138
pericalcarine	R	cortex	9.09373022183959
postcentral	R	cortex	9.00325887151796
posteriorcingulate	R	cortex	8.961545989010062
precentral	R	cortex	9.083707328140195
precuneus	R	cortex	9.045154792000949
rostralanteriorcingulate	R	cortex	8.844022693768864
rostralmiddlefrontal	R	cortex	8.977492544638585
superiorfrontal	R	cortex	9.00957841208141
superiorparietal	R	cortex	9.010007306491133
superiortemporal	R	cortex	8.866337877294718
supramarginal	R	cortex	8.90973876416704
frontalpole	R	cortex	8.814889464142034
temporalpole	R	cortex	8.634939129438981
transversetemporal	R	cortex	9.00478686590079
insula	R	cortex	8.918245853004166
thalamusproper	R	subcortex/brainstem	9.322275470849497
caudate	R	subcortex/brainstem	8.72104933388587
putamen	R	subcortex/brainstem	8.830757826856582
pallidum	R	subcortex/brainstem	9.06328715226765
accumbensarea	R	subcortex/brainstem	8.69239845509301
hippocampus	R	subcortex/brainstem	8.988775498761997
amygdala	R	subcortex/brainstem	8.768863640766916
brainstem	B	subcortex/brainstem	9.657343412263188
