label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.680777007655625
caudalanteriorcingulate	L	cortex	6.814644140588399
caudalmiddlefrontal	L	cortex	6.655436000692338
cuneus	L	cortex	6.569538053261081
entorhinal	L	cortex	6.704993080505622
fusiform	L	cortex	6.657390223680198
inferiorparietal	L	cortex	6.654812206084431
inferiortemporal	L	cortex	6.661311357266454
isthmuscingulate	L	cortex	6.728619439654793
lateraloccipital	L	cortex	6.6278273039272415
lateralorbitofrontal	L	cortex	6.65548714603241
lingual	L	cortex	6.599379665177065
medialorbitofrontal	L	cortex	6.688399625874873
middletemporal	L	cortex	6.73129237445331
parahippocampal	L	cortex	6.582333045529493
paracentral	L	cortex	6.6670400485020815
parsopercularis	L	cortex	6.705351336026586
parsorbitalis	L	cortex	6.639414120278197
parstriangularis	L	cortex	6.656060703114398
pericalcarine	L	cortex	6.5413732555052775
postcentral	L	cortex	6.715037460799929
posteriorcingulate	L	cortex	6.75714395685308
precentral	L	cortex	6.724908472491919
precuneus	L	cortex	6.6688698215539715
rostralanteriorcingulate	L	cortex	6.796494691034683
rostralmiddlefrontal	L	cortex	6.659583930098583
superiorfrontal	L	cortex	6.697566099774361
superiorparietal	L	cortex	6.633735758983814
superiortemporal	L	cortex	6.689519408164869
supramarginal	L	cortex	6.730120637827487
frontalpole	L	cortex	6.4951354121438225
temporalpole	L	cortex	6.60925656083116
transversetemporal	L	cortex	6.655840262800979
insula	L	cortex	6.6701721378037835
thalamusproper	L	subcortex/brainstem	6.628540914772118
caudate	L	subcortex/brainstem	6.518836548365998
putamen	L	subcortex/brainstem	6.562404747949573
pallidum	L	subcortex/brainstem	6.671366211321064
accumbensarea	L	subcortex/brainstem	6.290789237904174
hippocampus	L	subcortex/brainstem	6.195252318854341
amygdala	L	subcortex/brainstem	6.301014787007764
bankssts	R	cortex	6.714788517328317
caudalanteriorcingulate	R	cortex	6.821563297144588
caudalmiddlefrontal	R	cortex	6.659713860541565
cuneus	R	cortex	6.564077503038475
entorhinal	R	cortex	6.74836086184627
fusiform	R	cortex	6.653134304667868
inferiorparietal	R	cortex	6.657265189147599
inferiortemporal	R	cortex	6.654570552685915
isthmuscingulate	R	cortex	6.737302532949214
lateraloccipital	R	cortex	6.63372048265716
lateralorbitofrontal	R	cortex	6.654099783183053
lingual	R	cortex	6.599353164555174
medialorbitofrontal	R	cortex	6.710891904765984
middletemporal	R	cortex	6.726621842764091
parahippocampal	R	cortex	6.598523195678173
paracentral	R	cortex	6.6618217383021445
parsopercularis	R	cortex	6.690724665266612
parsorbitalis	R	cortex	6.625730286381775
parstriangularis	R	cortex	6.716914790154943
pericalcarine	R	cortex	6.553520427224076
postcentral	R	cortex	6.713795573932165
posteriorcingulate	R	cortex	6.770706619196024
precentral	R	cortex	6.725401590496223
precuneus	R	cortex	6.670581181352303
rostralanteriorcingulate	R	cortex	6.673339890232238
rostralmiddlefrontal	R	cortex	6.651195587626006
superiorfrontal	R	cortex	6.700198661793486
superiorparietal	R	cortex	6.636854811792517
superiortemporal	R	cortex	6.685120959473242
supramarginal	R	cortex	6.712531246202409
frontalpole	R	cortex	6.657903439555703
temporalpole	R	cortex	6.6117973421250404
transversetemporal	R	cortex	6.674146368760189
insula	R	cortex	6.666115839756073
thalamusproper	R	subcortex/brainstem	6.657494174065622
caudate	R	subcortex/brainstem	6.49257498499141
putamen	R	subcortex/brainstem	6.510726884307829
pallidum	R	subcortex/brainstem	6.67007935711119
accumbensarea	R	subcortex/brainstem	6.3684647616161865
hippocampus	R	subcortex/brainstem	6.187286944740859
amygdala	R	subcortex/brainstem	6.3799375610028015
brainstem	B	subcortex/brainstem	6.571236147396373
