label	hemisphere	structure	weighted_avg
bankssts	L	cortex	7.460236091823824
caudalanteriorcingulate	L	cortex	7.582168192486413
caudalmiddlefrontal	L	cortex	7.467739219943205
cuneus	L	cortex	7.382584506287046
entorhinal	L	cortex	7.51412915210811
fusiform	L	cortex	7.40390709556973
inferiorparietal	L	cortex	7.5223543097512104
inferiortemporal	L	cortex	7.4110050316040175
isthmuscingulate	L	cortex	7.454929121512184
lateraloccipital	L	cortex	7.485094421958313
lateralorbitofrontal	L	cortex	7.406994856995844
lingual	L	cortex	7.406044311030136
medialorbitofrontal	L	cortex	7.436599465514267
middletemporal	L	cortex	7.502165783859941
parahippocampal	L	cortex	7.297019441489065
paracentral	L	cortex	7.550358645095403
parsopercularis	L	cortex	7.543394343698095
parsorbitalis	L	cortex	7.388876434044646
parstriangularis	L	cortex	7.421366814207542
pericalcarine	L	cortex	7.416573877193668
postcentral	L	cortex	7.574183338739758
posteriorcingulate	L	cortex	7.572394447373897
precentral	L	cortex	7.5728827123253435
precuneus	L	cortex	7.511122542591783
rostralanteriorcingulate	L	cortex	7.523922862188387
rostralmiddlefrontal	L	cortex	7.368522301364393
superiorfrontal	L	cortex	7.473231012575937
superiorparietal	L	cortex	7.477071480553545
superiortemporal	L	cortex	7.4250769973193025
supramarginal	L	cortex	7.636774308570179
frontalpole	L	cortex	7.064525478833321
temporalpole	L	cortex	7.509650457744338
transversetemporal	L	cortex	7.402498442472562
insula	L	cortex	7.373958257893592
thalamusproper	L	subcortex/brainstem	7.458178349174893
caudate	L	subcortex/brainstem	7.283506130906914
putamen	L	subcortex/brainstem	7.385763186756299
pallidum	L	subcortex/brainstem	7.568976597544952
accumbensarea	L	subcortex/brainstem	7.218390085269212
hippocampus	L	subcortex/brainstem	6.920384920205199
amygdala	L	subcortex/brainstem	7.035906286410488
bankssts	R	cortex	7.425986673814972
caudalanteriorcingulate	R	cortex	7.599247446016329
caudalmiddlefrontal	R	cortex	7.4697235103808
cuneus	R	cortex	7.383848585130667
entorhinal	R	cortex	7.542445249961917
fusiform	R	cortex	7.400373695847095
inferiorparietal	R	cortex	7.51063034953346
inferiortemporal	R	cortex	7.400372066480427
isthmuscingulate	R	cortex	7.491558976198597
lateraloccipital	R	cortex	7.5036227532857955
lateralorbitofrontal	R	cortex	7.399571043558459
lingual	R	cortex	7.403233223164788
medialorbitofrontal	R	cortex	7.446054780622785
middletemporal	R	cortex	7.502680251267063
parahippocampal	R	cortex	7.305816814880263
paracentral	R	cortex	7.539681318020068
parsopercularis	R	cortex	7.516726861982684
parsorbitalis	R	cortex	7.376573016080528
parstriangularis	R	cortex	7.491161674475439
pericalcarine	R	cortex	7.423981543950261
postcentral	R	cortex	7.573987026186715
posteriorcingulate	R	cortex	7.577513161221496
precentral	R	cortex	7.581018531535709
precuneus	R	cortex	7.51629531902306
rostralanteriorcingulate	R	cortex	7.410707233382798
rostralmiddlefrontal	R	cortex	7.35932710336266
superiorfrontal	R	cortex	7.475418996463651
superiorparietal	R	cortex	7.476986567391883
superiortemporal	R	cortex	7.422181994151138
supramarginal	R	cortex	7.612899907634175
frontalpole	R	cortex	6.9683780202399035
temporalpole	R	cortex	7.49839694337945
transversetemporal	R	cortex	7.396340276355041
insula	R	cortex	7.368461812410915
thalamusproper	R	subcortex/brainstem	7.495408607545168
caudate	R	subcortex/brainstem	7.286109987918628
putamen	R	subcortex/brainstem	7.325539600995558
pallidum	R	subcortex/brainstem	7.5449227099667064
accumbensarea	R	subcortex/brainstem	7.244409801290842
hippocampus	R	subcortex/brainstem	6.907915023661492
amygdala	R	subcortex/brainstem	7.131736818773465
brainstem	B	subcortex/brainstem	7.716524884325669
