label	hemisphere	structure	weighted_avg
bankssts	L	cortex	7.097796645476291
caudalanteriorcingulate	L	cortex	7.100933518234023
caudalmiddlefrontal	L	cortex	7.106346005118136
cuneus	L	cortex	7.045132445073399
entorhinal	L	cortex	6.954597840668554
fusiform	L	cortex	7.017311166995448
inferiorparietal	L	cortex	7.119359812789508
inferiortemporal	L	cortex	7.042072098428806
isthmuscingulate	L	cortex	7.156568069615387
lateraloccipital	L	cortex	7.115126613823219
lateralorbitofrontal	L	cortex	6.982903673620595
lingual	L	cortex	7.0993145839119505
medialorbitofrontal	L	cortex	7.020990905332588
middletemporal	L	cortex	7.100702779866691
parahippocampal	L	cortex	6.864709101332799
paracentral	L	cortex	7.1967867234372775
parsopercularis	L	cortex	7.143568730633262
parsorbitalis	L	cortex	6.9976210839539235
parstriangularis	L	cortex	7.054560275438051
pericalcarine	L	cortex	7.0723130262183
postcentral	L	cortex	7.212399513213657
posteriorcingulate	L	cortex	7.183238129871972
precentral	L	cortex	7.241377670760474
precuneus	L	cortex	7.119402677172321
rostralanteriorcingulate	L	cortex	7.0803942811383465
rostralmiddlefrontal	L	cortex	7.004009656169851
superiorfrontal	L	cortex	7.1113038490439084
superiorparietal	L	cortex	7.11153385333344
superiortemporal	L	cortex	7.04376114253024
supramarginal	L	cortex	7.178520477879171
frontalpole	L	cortex	6.9005516492173955
temporalpole	L	cortex	6.917501340279664
transversetemporal	L	cortex	7.056556637398486
insula	L	cortex	6.997405212382672
thalamusproper	L	subcortex/brainstem	6.843650097426541
caudate	L	subcortex/brainstem	6.675168132079315
putamen	L	subcortex/brainstem	6.7799026989831255
pallidum	L	subcortex/brainstem	7.002436074620916
accumbensarea	L	subcortex/brainstem	6.621817106050989
hippocampus	L	subcortex/brainstem	6.65348336863306
amygdala	L	subcortex/brainstem	6.523553207573319
bankssts	R	cortex	7.119580248532208
caudalanteriorcingulate	R	cortex	7.109183688639127
caudalmiddlefrontal	R	cortex	7.1099558999266605
cuneus	R	cortex	7.047805905753107
entorhinal	R	cortex	6.990945371211628
fusiform	R	cortex	7.014144469042934
inferiorparietal	R	cortex	7.113165396997084
inferiortemporal	R	cortex	7.02995058215613
isthmuscingulate	R	cortex	7.167389902419177
lateraloccipital	R	cortex	7.128810235098227
lateralorbitofrontal	R	cortex	6.978946093682079
lingual	R	cortex	7.09801008594886
medialorbitofrontal	R	cortex	7.026324675823782
middletemporal	R	cortex	7.102288925273406
parahippocampal	R	cortex	6.886732135841694
paracentral	R	cortex	7.195562073949124
parsopercularis	R	cortex	7.12912847060014
parsorbitalis	R	cortex	6.990955942716129
parstriangularis	R	cortex	7.109470854288789
pericalcarine	R	cortex	7.074947392633717
postcentral	R	cortex	7.2117452203505374
posteriorcingulate	R	cortex	7.20163010533231
precentral	R	cortex	7.245272469376632
precuneus	R	cortex	7.120508163742535
rostralanteriorcingulate	R	cortex	7.039022182689019
rostralmiddlefrontal	R	cortex	7.001029279446818
superiorfrontal	R	cortex	7.107871606110854
superiorparietal	R	cortex	7.117217541153555
superiortemporal	R	cortex	7.041377787788686
supramarginal	R	cortex	7.154727399183065
frontalpole	R	cortex	7.018653766252893
temporalpole	R	cortex	6.9048887563514265
transversetemporal	R	cortex	7.064185060016762
insula	R	cortex	6.98738834003981
thalamusproper	R	subcortex/brainstem	6.8781858560619975
caudate	R	subcortex/brainstem	6.668452946348199
putamen	R	subcortex/brainstem	6.715773585530976
pallidum	R	subcortex/brainstem	6.969822907910653
accumbensarea	R	subcortex/brainstem	6.666488776256334
hippocampus	R	subcortex/brainstem	6.645972559261234
amygdala	R	subcortex/brainstem	6.623834260912265
brainstem	B	subcortex/brainstem	7.189721062426328
