label	hemisphere	structure	weighted_avg
bankssts	L	cortex	9.82768821835649
caudalanteriorcingulate	L	cortex	10.189748670799323
caudalmiddlefrontal	L	cortex	9.72026153693093
cuneus	L	cortex	9.57302703386124
entorhinal	L	cortex	10.116914977227207
fusiform	L	cortex	9.981718741033331
inferiorparietal	L	cortex	9.787100503986006
inferiortemporal	L	cortex	9.917630712190034
isthmuscingulate	L	cortex	9.851248536797495
lateraloccipital	L	cortex	9.622298192037787
lateralorbitofrontal	L	cortex	9.895289538557025
lingual	L	cortex	9.607974846866538
medialorbitofrontal	L	cortex	10.022916052718474
middletemporal	L	cortex	10.000811975203163
parahippocampal	L	cortex	9.876410099932732
paracentral	L	cortex	9.766883609050543
parsopercularis	L	cortex	9.889149875463865
parsorbitalis	L	cortex	9.748905035753651
parstriangularis	L	cortex	9.88191937902289
pericalcarine	L	cortex	9.333518031241873
postcentral	L	cortex	9.836874911112728
posteriorcingulate	L	cortex	9.95720013394279
precentral	L	cortex	9.825764709342064
precuneus	L	cortex	9.762825511822692
rostralanteriorcingulate	L	cortex	10.31675196479688
rostralmiddlefrontal	L	cortex	9.828925990811678
superiorfrontal	L	cortex	9.899793807106638
superiorparietal	L	cortex	9.71232745122554
superiortemporal	L	cortex	9.958437880249503
supramarginal	L	cortex	9.967095263072402
frontalpole	L	cortex	9.406915289009142
temporalpole	L	cortex	10.108622482547812
transversetemporal	L	cortex	9.749503758487078
insula	L	cortex	9.94270063982267
thalamusproper	L	subcortex/brainstem	9.929787583016909
caudate	L	subcortex/brainstem	9.955213710460624
putamen	L	subcortex/brainstem	9.666882712961325
pallidum	L	subcortex/brainstem	9.222011523501548
accumbensarea	L	subcortex/brainstem	9.443071560985793
hippocampus	L	subcortex/brainstem	9.437290136148633
amygdala	L	subcortex/brainstem	9.6394544657958
bankssts	R	cortex	9.820514961044893
caudalanteriorcingulate	R	cortex	10.204568174724876
caudalmiddlefrontal	R	cortex	9.733332835922122
cuneus	R	cortex	9.56832932318571
entorhinal	R	cortex	10.158971512632473
fusiform	R	cortex	9.9869596632781
inferiorparietal	R	cortex	9.776537126266954
inferiortemporal	R	cortex	9.913355155742869
isthmuscingulate	R	cortex	9.84616333994449
lateraloccipital	R	cortex	9.637648368542006
lateralorbitofrontal	R	cortex	9.899087013029416
lingual	R	cortex	9.61237591064957
medialorbitofrontal	R	cortex	10.059361366174755
middletemporal	R	cortex	10.000904988896089
parahippocampal	R	cortex	9.839306267787531
paracentral	R	cortex	9.775093067683397
parsopercularis	R	cortex	9.960389966551208
parsorbitalis	R	cortex	9.757938050926604
parstriangularis	R	cortex	9.904683706626978
pericalcarine	R	cortex	9.299232845651668
postcentral	R	cortex	9.83452807752611
posteriorcingulate	R	cortex	9.987910641267373
precentral	R	cortex	9.824115302987895
precuneus	R	cortex	9.767810217313569
rostralanteriorcingulate	R	cortex	10.144463146595278
rostralmiddlefrontal	R	cortex	9.822359448242551
superiorfrontal	R	cortex	9.901611778823217
superiorparietal	R	cortex	9.719807227737396
superiortemporal	R	cortex	9.950334208043762
supramarginal	R	cortex	9.930801531799668
frontalpole	R	cortex	9.75900981584483
temporalpole	R	cortex	10.105104768918864
transversetemporal	R	cortex	9.789520817607526
insula	R	cortex	9.930295417662302
thalamusproper	R	subcortex/brainstem	9.900876932405032
caudate	R	subcortex/brainstem	9.923535919202314
putamen	R	subcortex/brainstem	9.692270736097909
pallidum	R	subcortex/brainstem	9.227457106681042
accumbensarea	R	subcortex/brainstem	9.45791148887261
hippocampus	R	subcortex/brainstem	9.437747166553466
amygdala	R	subcortex/brainstem	9.693110756779888
brainstem	B	subcortex/brainstem	8.589633585147249
