label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.583466712241955
caudalanteriorcingulate	L	cortex	6.724929709896034
caudalmiddlefrontal	L	cortex	6.580268511014782
cuneus	L	cortex	6.478974235080168
entorhinal	L	cortex	6.735828108145176
fusiform	L	cortex	6.6038018190440875
inferiorparietal	L	cortex	6.580348017584661
inferiortemporal	L	cortex	6.605121073792825
isthmuscingulate	L	cortex	6.619322185478586
lateraloccipital	L	cortex	6.5658324370490915
lateralorbitofrontal	L	cortex	6.589941551589287
lingual	L	cortex	6.529924685453577
medialorbitofrontal	L	cortex	6.622731947316389
middletemporal	L	cortex	6.658307433080194
parahippocampal	L	cortex	6.594759911852264
paracentral	L	cortex	6.560812467436524
parsopercularis	L	cortex	6.603203372257151
parsorbitalis	L	cortex	6.564913288043079
parstriangularis	L	cortex	6.600470982495662
pericalcarine	L	cortex	6.470991387779653
postcentral	L	cortex	6.58974884967181
posteriorcingulate	L	cortex	6.649853469537481
precentral	L	cortex	6.605773878367656
precuneus	L	cortex	6.5868659556128915
rostralanteriorcingulate	L	cortex	6.711893301425786
rostralmiddlefrontal	L	cortex	6.577613530800186
superiorfrontal	L	cortex	6.612208727585169
superiorparietal	L	cortex	6.554823458905578
superiortemporal	L	cortex	6.628246196832993
supramarginal	L	cortex	6.645087469902003
frontalpole	L	cortex	6.50005516111175
temporalpole	L	cortex	6.618052114606038
transversetemporal	L	cortex	6.582297250578708
insula	L	cortex	6.63827117655587
thalamusproper	L	subcortex/brainstem	6.6020894631117235
caudate	L	subcortex/brainstem	6.538609668234577
putamen	L	subcortex/brainstem	6.58832386585988
pallidum	L	subcortex/brainstem	6.6461885176827336
accumbensarea	L	subcortex/brainstem	6.484245607478651
hippocampus	L	subcortex/brainstem	6.378868573579563
amygdala	L	subcortex/brainstem	6.527429810409204
bankssts	R	cortex	6.607162135951727
caudalanteriorcingulate	R	cortex	6.729998870648079
caudalmiddlefrontal	R	cortex	6.5837838927626455
cuneus	R	cortex	6.477552700260796
entorhinal	R	cortex	6.7627422045996095
fusiform	R	cortex	6.60077123554233
inferiorparietal	R	cortex	6.58175918380708
inferiortemporal	R	cortex	6.604150770170598
isthmuscingulate	R	cortex	6.624046793862581
lateraloccipital	R	cortex	6.572014942534837
lateralorbitofrontal	R	cortex	6.591001901849013
lingual	R	cortex	6.528897849472029
medialorbitofrontal	R	cortex	6.640481795582375
middletemporal	R	cortex	6.653077490978153
parahippocampal	R	cortex	6.589976102165118
paracentral	R	cortex	6.558913056118914
parsopercularis	R	cortex	6.609164057618699
parsorbitalis	R	cortex	6.563535595604925
parstriangularis	R	cortex	6.638962815378504
pericalcarine	R	cortex	6.475669784807652
postcentral	R	cortex	6.591094698148134
posteriorcingulate	R	cortex	6.6660609413557195
precentral	R	cortex	6.604871483038568
precuneus	R	cortex	6.586666413949629
rostralanteriorcingulate	R	cortex	6.637702679131252
rostralmiddlefrontal	R	cortex	6.571716382384382
superiorfrontal	R	cortex	6.613573756651821
superiorparietal	R	cortex	6.558099197678121
superiortemporal	R	cortex	6.6242872782307245
supramarginal	R	cortex	6.623685129101212
frontalpole	R	cortex	6.626397493534651
temporalpole	R	cortex	6.619343965254931
transversetemporal	R	cortex	6.589926509881286
insula	R	cortex	6.632447240914488
thalamusproper	R	subcortex/brainstem	6.625382316734008
caudate	R	subcortex/brainstem	6.5243671977762805
putamen	R	subcortex/brainstem	6.551456560098764
pallidum	R	subcortex/brainstem	6.639275924755367
accumbensarea	R	subcortex/brainstem	6.51830934004951
hippocampus	R	subcortex/brainstem	6.374503061374957
amygdala	R	subcortex/brainstem	6.585359103080024
brainstem	B	subcortex/brainstem	6.597023687769725
