label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.73025042502167
caudalanteriorcingulate	L	cortex	6.985418539781178
caudalmiddlefrontal	L	cortex	6.581252234024992
cuneus	L	cortex	6.734193820640439
entorhinal	L	cortex	6.739435370612723
fusiform	L	cortex	6.694923432468205
inferiorparietal	L	cortex	6.548061513310355
inferiortemporal	L	cortex	6.712778501854104
isthmuscingulate	L	cortex	6.671570493918033
lateraloccipital	L	cortex	6.710166579631389
lateralorbitofrontal	L	cortex	6.818175764165639
lingual	L	cortex	6.719546938302265
medialorbitofrontal	L	cortex	7.054098363060514
middletemporal	L	cortex	6.707514293376788
parahippocampal	L	cortex	6.629094211753581
paracentral	L	cortex	6.468474973591995
parsopercularis	L	cortex	6.746376451865737
parsorbitalis	L	cortex	6.416472004589957
parstriangularis	L	cortex	6.665126718238178
pericalcarine	L	cortex	6.755486614776271
postcentral	L	cortex	6.707197133583703
posteriorcingulate	L	cortex	6.900076463644645
precentral	L	cortex	6.644879385747079
precuneus	L	cortex	6.700381976168798
rostralanteriorcingulate	L	cortex	7.325761827013022
rostralmiddlefrontal	L	cortex	6.6248889594974365
superiorfrontal	L	cortex	6.786489577289112
superiorparietal	L	cortex	6.471012846506388
superiortemporal	L	cortex	6.823390596242433
supramarginal	L	cortex	6.718617705496735
frontalpole	L	cortex	6.521081240126355
temporalpole	L	cortex	7.079071255429298
transversetemporal	L	cortex	6.740817492241624
insula	L	cortex	6.957031092551264
thalamusproper	L	subcortex/brainstem	6.059447439608676
caudate	L	subcortex/brainstem	6.996263132834504
putamen	L	subcortex/brainstem	6.564025978170568
pallidum	L	subcortex/brainstem	6.640999377669719
accumbensarea	L	subcortex/brainstem	7.401864463592798
hippocampus	L	subcortex/brainstem	6.360990731775362
amygdala	L	subcortex/brainstem	6.4007033362308645
bankssts	R	cortex	6.787204743102123
caudalanteriorcingulate	R	cortex	7.018874336216202
caudalmiddlefrontal	R	cortex	6.593299290035715
cuneus	R	cortex	6.702509131770165
entorhinal	R	cortex	6.755998832671472
fusiform	R	cortex	6.747124438457198
inferiorparietal	R	cortex	6.538727702746201
inferiortemporal	R	cortex	6.672417797802083
isthmuscingulate	R	cortex	6.680977160116901
lateraloccipital	R	cortex	6.719331882343572
lateralorbitofrontal	R	cortex	6.816386639702504
lingual	R	cortex	6.7171011833776015
medialorbitofrontal	R	cortex	7.102572046673449
middletemporal	R	cortex	6.726340126664777
parahippocampal	R	cortex	6.573346412762561
paracentral	R	cortex	6.474374009545084
parsopercularis	R	cortex	6.7749772412162494
parsorbitalis	R	cortex	6.481862441340713
parstriangularis	R	cortex	6.7177136880564134
pericalcarine	R	cortex	6.591529040486388
postcentral	R	cortex	6.688036748741975
posteriorcingulate	R	cortex	6.910039964023966
precentral	R	cortex	6.6492309965872
precuneus	R	cortex	6.690991121242078
rostralanteriorcingulate	R	cortex	7.361343922457232
rostralmiddlefrontal	R	cortex	6.613906948883075
superiorfrontal	R	cortex	6.796597369985224
superiorparietal	R	cortex	6.484879834645143
superiortemporal	R	cortex	6.816545795955257
supramarginal	R	cortex	6.705516792434827
frontalpole	R	cortex	6.35327421581688
temporalpole	R	cortex	7.141048434555234
transversetemporal	R	cortex	6.723104983483366
insula	R	cortex	6.920867591742439
thalamusproper	R	subcortex/brainstem	6.074040733669042
caudate	R	subcortex/brainstem	7.066295370075419
putamen	R	subcortex/brainstem	6.601807804821976
pallidum	R	subcortex/brainstem	6.692805822194354
accumbensarea	R	subcortex/brainstem	7.321045070202647
hippocampus	R	subcortex/brainstem	6.3444189508246565
amygdala	R	subcortex/brainstem	6.406745209971052
brainstem	B	subcortex/brainstem	5.89464835472967
