label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.405781822439339
caudalanteriorcingulate	L	cortex	6.676619055195524
caudalmiddlefrontal	L	cortex	6.338738785744195
cuneus	L	cortex	6.266172168135483
entorhinal	L	cortex	6.608552393021875
fusiform	L	cortex	6.492667139749042
inferiorparietal	L	cortex	6.303761745713507
inferiortemporal	L	cortex	6.445626565294065
isthmuscingulate	L	cortex	6.46219176373912
lateraloccipital	L	cortex	6.271191303996566
lateralorbitofrontal	L	cortex	6.522449258820903
lingual	L	cortex	6.2631919377984415
medialorbitofrontal	L	cortex	6.54274775701561
middletemporal	L	cortex	6.5088053212248616
parahippocampal	L	cortex	6.563498006804791
paracentral	L	cortex	6.223241041778742
parsopercularis	L	cortex	6.34397747013797
parsorbitalis	L	cortex	6.468113685568322
parstriangularis	L	cortex	6.460469730313235
pericalcarine	L	cortex	6.164873244307922
postcentral	L	cortex	6.291686819905339
posteriorcingulate	L	cortex	6.493538852388175
precentral	L	cortex	6.2776817602733175
precuneus	L	cortex	6.367503195148035
rostralanteriorcingulate	L	cortex	6.709533335906234
rostralmiddlefrontal	L	cortex	6.537162104978751
superiorfrontal	L	cortex	6.428556727021456
superiorparietal	L	cortex	6.286853761902767
superiortemporal	L	cortex	6.508705553803627
supramarginal	L	cortex	6.40399859264719
frontalpole	L	cortex	6.322246140904009
temporalpole	L	cortex	6.31792556653909
transversetemporal	L	cortex	6.425557486698648
insula	L	cortex	6.542134701558328
thalamusproper	L	subcortex/brainstem	6.062161353775236
caudate	L	subcortex/brainstem	5.951435291973211
putamen	L	subcortex/brainstem	5.920036481232288
pallidum	L	subcortex/brainstem	5.933652886247471
accumbensarea	L	subcortex/brainstem	5.772960664474822
hippocampus	L	subcortex/brainstem	5.692602209748821
amygdala	L	subcortex/brainstem	6.004619981437245
bankssts	R	cortex	6.4524381318915776
caudalanteriorcingulate	R	cortex	6.673524704585279
caudalmiddlefrontal	R	cortex	6.351087679139568
cuneus	R	cortex	6.259089783651642
entorhinal	R	cortex	6.660566113872244
fusiform	R	cortex	6.490515431347921
inferiorparietal	R	cortex	6.320226896345501
inferiortemporal	R	cortex	6.455000161652163
isthmuscingulate	R	cortex	6.444247235595858
lateraloccipital	R	cortex	6.264711821981171
lateralorbitofrontal	R	cortex	6.527045062912589
lingual	R	cortex	6.2622890770095
medialorbitofrontal	R	cortex	6.5915685566718025
middletemporal	R	cortex	6.488977883789115
parahippocampal	R	cortex	6.5711515948336
paracentral	R	cortex	6.216233772044153
parsopercularis	R	cortex	6.36461908434037
parsorbitalis	R	cortex	6.4554741990687585
parstriangularis	R	cortex	6.50283337470587
pericalcarine	R	cortex	6.192809700484291
postcentral	R	cortex	6.287505700878793
posteriorcingulate	R	cortex	6.501173000050247
precentral	R	cortex	6.269955855829748
precuneus	R	cortex	6.371041231593498
rostralanteriorcingulate	R	cortex	6.458663695890116
rostralmiddlefrontal	R	cortex	6.515454520681302
superiorfrontal	R	cortex	6.439470654360479
superiorparietal	R	cortex	6.282636023899236
superiortemporal	R	cortex	6.498551552818415
supramarginal	R	cortex	6.396875718228207
frontalpole	R	cortex	6.582599637813965
temporalpole	R	cortex	6.316970996739562
transversetemporal	R	cortex	6.481636289897557
insula	R	cortex	6.544065922637844
thalamusproper	R	subcortex/brainstem	6.071311998077126
caudate	R	subcortex/brainstem	5.932205910836827
putamen	R	subcortex/brainstem	5.89823030598803
pallidum	R	subcortex/brainstem	5.978634008898174
accumbensarea	R	subcortex/brainstem	5.895512443447786
hippocampus	R	subcortex/brainstem	5.690238670267501
amygdala	R	subcortex/brainstem	6.039154397978465
brainstem	B	subcortex/brainstem	5.384882670823137
