gene_name	z_mean	pvalue	upregulated
CADM2	-0.36573104147064744	1.6084925406089e-4	DOWN
PTPN20	-1.5999623703368224	7.9985566160256e-4	DOWN
ARL17B	-0.8340119365312768	9.9086722508196e-4	DOWN
HAP1	-0.8392680032950066	0.00112823032469847	DOWN
RGS5	-3.1928170842614274	0.00140892163573601	DOWN
AADAT	-1.8655465677232743	0.00295895409240832	DOWN
RHCE	-2.8797090878573	0.00331857596391913	DOWN
PLCD4	-0.513316940211734	0.00385833486496953	DOWN
SLC39A8	-0.49513690592012166	0.00409745834927593	DOWN
FGR	-2.8140229708390088	0.00489257321263375	DOWN
MAP6D1	-0.699815096210211	0.00559000083563699	DOWN
KCNK7	-1.629837462032487	0.00574104380387206	DOWN
GFRA2	-2.221950051465373	0.00612983588984367	DOWN
INHBB	-2.7002119935060023	0.0069295305293494	DOWN
ID4	-2.542578526961208	0.00767433014180549	DOWN
FSBP	-2.628802607615446	0.00856860818710241	DOWN
CHST12	-2.708846086142856	0.01025435074473041	DOWN
CAMK4	-0.6707030670239948	0.01063266588408492	DOWN
C1orf74	-2.5536528438276447	0.01065994809357131	DOWN
DUSP15	-2.0834468802643435	0.01077676192106234	DOWN
EFHD1	-2.4871530352929243	0.01210477851630624	DOWN
MFAP3L	-1.173855077120033	0.01218305839263381	DOWN
MYB	-2.5066690366002944	0.01218747679538809	DOWN
MMP17	-2.497662387490006	0.0123086423256269	DOWN
LYG1	-2.6505112473422856	0.01334868421107429	DOWN
MAP1A	-2.433890454439404	0.01493751505460514	DOWN
LY6H	-2.690516793337458	0.01577458776773448	DOWN
THY1	-1.246297040374538	0.01579360780985907	DOWN
ASPHD1	-0.47150054903310706	0.0178922822822058	DOWN
LSMEM1	-0.4365214279597156	0.01834953586827104	DOWN
GJB3	-2.3367906983547577	0.01945006972937081	DOWN
ABCC1	-2.3338561926992294	0.01960325325784123	DOWN
CD8B	-2.3212536196413187	0.02027315981995018	DOWN
TREM2	-2.320772187454454	0.02029914233008589	DOWN
NXPH4	-2.3649847130508026	0.02053113146132863	DOWN
INHBA	-2.2674800306681573	0.02336091743909942	DOWN
SLC2A6	-0.5125732979334364	0.02369957708228781	DOWN
TNFRSF14	-1.602926830567953	0.02404703182034682	DOWN
ACVRL1	-2.24851481799762	0.02454338129330983	DOWN
CLDN3	-0.7770339694530733	0.02472862640554007	DOWN
C1orf50	-2.1353290589616924	0.02534617568606178	DOWN
STARD9	-2.233889043653925	0.02549037464584486	DOWN
RCOR2	-2.2309956845969463	0.02568141486779332	DOWN
CNTN3	-2.324316159647138	0.02575065545018773	DOWN
RET	-1.9830200753384883	0.02589283759986768	DOWN
APOL4	-1.4692378426938868	0.02720118486839499	DOWN
MLXIPL	-0.8833883896154764	0.02759541297258983	DOWN
KIF26A	-1.8590451331530968	0.02799502380575941	DOWN
CEP131	-2.375661737165019	0.02827921524656773	DOWN
ECSCR	-2.1897414438069287	0.02854299359258194	DOWN
CCNO	-1.5264003639470316	0.02867264732033948	DOWN
SLC16A6	-2.1821575764080663	0.02909790508678229	DOWN
MICALL2	-0.6335903730247341	0.02915283483394649	DOWN
DCLK2	-1.8798723859088575	0.02939311184858451	DOWN
PPARG	-0.1893701222391232	0.0295960325377848	DOWN
FZD7	-2.1693791661327624	0.03005390935481318	DOWN
ALG10B	-0.1962071583395224	0.03063311512188859	DOWN
VSIG10	-2.224628152487765	0.03082568830800645	DOWN
GNLY	-0.0225849938236703	0.03138504602464741	DOWN
CPLX1	-1.6778423647924925	0.03157671576380883	DOWN
SP6	-0.497985277178932	0.03163676100249848	DOWN
TNFRSF13C	-0.04906129564397632	0.0319001622537021	DOWN
HSPA1L	-1.211328424234394	0.03201142496078699	DOWN
TPD52L1	-0.9038227359862852	0.03229868989112967	DOWN
KLK7	-0.03778063466917558	0.0323989011991115	DOWN
HS3ST1	-2.1386076955273845	0.03246745373792194	DOWN
