gene_name	z_mean	pvalue	upregulated
GABBR1	4.2123718326074435	4.0626083500363315e-5	UP
CCDC122	0.3519373720598368	1.4628124992299e-4	UP
MANBA	1.5913479032307785	1.5065832454915e-4	UP
FAM167A	2.82208527308103	9.7178520855876e-4	UP
PLEKHM1	1.49535237140022	0.00117517443379254	UP
THUMPD2	1.808518570832674	0.00126672252022953	UP
TSPAN18	0.4784029214728917	0.00164104926952549	UP
S1PR2	3.087659100318825	0.00201739749164827	UP
SOX7	1.1615059414080693	0.00204209679808899	UP
ZNF365	0.43695084604291834	0.0026018374320543	UP
PRSS3	1.1821479812881104	0.00274354778728976	UP
CENPJ	2.338889250044698	0.00317281403606788	UP
GRIA2	0.6020579652350336	0.00430258124191596	UP
ACTN2	2.071720056644038	0.00454952246550933	UP
LSP1	2.7196299364220087	0.00484798691671581	UP
ITGA2	2.8633416382892616	0.00534145921642622	UP
ZNF132	2.7494009624827003	0.00557660547345586	UP
HLA-DPB1	1.1632522519175854	0.00598424227001258	UP
CLIP3	2.7235552697424734	0.0064583408350694	UP
SPOCK3	2.7126088226816543	0.0066755858349626	UP
CHAD	0.15121483400282615	0.00668543962317084	UP
CA14	0.2138527647337519	0.00716866100707119	UP
VPS37D	0.48750816052693147	0.00735613343750013	UP
MAPT	0.47136483344264457	0.0079232318602436309	UP
P3H2	2.642471626144498	0.00823033609938865	UP
RAB11FIP4	1.2170788180476997	0.00858618070109963	UP
ARHGAP27	1.7403342543976947	0.00888667672829628	UP
TRIM27	2.609229608277128	0.00907463304597309	UP
IQCH	2.1291778661227805	0.00939852845559011	UP
ATP23	2.527389946964975	0.01005599011203193	UP
SH3D19	1.0782990790274405	0.01022754455214545	UP
HSD11B2	2.5613645992416623	0.01042618736429858	UP
TMEM51	0.5082198838086807	0.01109405876005989	UP
LRFN4	2.5334051117578844	0.01129603189255722	UP
TBXAS1	2.525406353247002	0.01155645769153702	UP
CHST9	0.5447109763634704	0.01163205083616931	UP
PARVA	2.094500548871289	0.01257550509631603	UP
SLC35G2	0.7434288436289218	0.01356046467801933	UP
FAM110D	2.7390120370525572	0.01476790145542348	UP
ELL3	2.3905231705285703	0.01682438750337349	UP
HPR	2.303305114001307	0.01890455651206053	UP
ZDHHC12	2.3472783993263184	0.01891111865157898	UP
CACNA1H	2.3468507411399013	0.0189328374219331	UP
CACNA2D2	2.338795295840282	0.01934603030470933	UP
NBEAL1	2.332097070117921	0.01969558515555988	UP
NPY1R	2.3263419915854677	0.02000031356221971	UP
VIPR1	0.5240935329288757	0.02312910568656373	UP
ZNF30	1.4625944421259367	0.02363156421330265	UP
COL5A2	2.2582340001175587	0.02393107457360522	UP
ALS2CL	1.140648411859808	0.0242739440858689	UP
GLYCTK	2.1036172642941575	0.02484703584323155	UP
MARCO	1.028907301844774	0.02547003764322744	UP
TNFRSF25	0.5145415700355173	0.02562371790219915	UP
PDE11A	2.0489924937138446	0.02608982967348378	UP
PCDH17	2.2185575302001945	0.02651684157875795	UP
SPA17	0.7977895613351614	0.02813707920869021	UP
PRTG	0.3694349901923133	0.02852171481898216	UP
ADAMTS7	0.9617147413873146	0.02974405938164001	UP
TTC7A	1.9273190364926471	0.02978295628594557	UP
ARHGAP9	2.270566783718375	0.03082564573546644	UP
TBX19	0.7972921918571586	0.03099070832356557	UP
SETBP1	2.1554981083475164	0.03112287649452343	UP
ZNF584	1.5691027436592762	0.03162935731062136	UP
MROH8	1.52275548513274	0.03259147976029877	UP
ICA1L	1.7524354283557126	0.03304343241206999	UP
CAMK2A	0.23091886048107957	0.03337736394308881	UP
SLC4A8	0.8368123772604009	0.03341194432553835	UP
MPPED2	1.0805703079367388	0.03343516151372947	UP
PRRT2	1.71661523199921	0.03586306525962776	UP
BBS10	1.0655312013776503	0.03622812881802332	UP
SEZ6L2	2.312606729941464	0.03647735816088463	UP
