gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000238083.7,LRRC37A2,3.8843182133116336,0.10335587232082345,0.0001026174372550185,0.1653916901818601,0.5357878562990591,5.453509789191829e-23,NA,26,28,28,5.199995057600649e-06,0.08206856605905677
ENSG00000185829.17,ARL17A,3.8169830947755456,0.12112764405867577,0.0001350934224631609,0.11261972368339285,0.2280539399536305,7.765201219037165e-08,NA,13,14,14,5.868005900435108e-06,0.1446251218221616
ENSG00000198252.11,STYX,3.7161864095493704,0.7585665724101975,0.00020225238910407355,0.002565606455170511,0.04653867992723162,0.021184143113275176,NA,11,11,11,0.0009477999558866786,0.02442847432364186
ENSG00000102796.10,DHRS12,3.5944756707306995,0.4687764819535667,0.000325045515735285,0.01091769565223442,0.06493456962768941,0.005480833741910736,NA,26,26,26,0.006843001015679307,0.1991748835402803
ENSG00000225190.10,PLEKHM1,3.5721725543607534,0.465843512922749,0.00035403200630677173,0.007249686716364243,0.09559835988585186,0.0005540307611728863,NA,10,10,10,0.0002979998668116676,0.022060648367616613
ENSG00000141279.15,NPEPPS,-3.4496361922268934,-0.18602495212926196,0.0005613424975350201,0.03608649173997003,0.12432815638408977,0.00012757377338508942,NA,59,61,61,4.044002906795582e-06,0.31568927552309817
ENSG00000100106.19,TRIOBP,-3.4169592677719827,-0.24475495404973385,0.0006332475335114685,0.020233371613150503,0.2150887445461805,2.2002450582588983e-07,NA,36,38,38,0.0015029996279785028,0.12164784090794735
ENSG00000224848.1,RP11-535M15.1,-3.3903201141741066,-0.34248447633357143,0.0006981105346768703,0.007494036300602783,0.07273194152000165,0.003729722322943581,NA,4,4,4,0.0005899998925377367,0.10804965369162164
ENSG00000080345.17,RIF1,-3.2019819185979785,-0.26072090339767806,0.0013648556482914102,0.015687409670432913,0.08385969273618897,0.0012968172343598605,NA,35,35,35,0.001138000363423356,0.05768734622747429
ENSG00000271904.1,CTC-498M16.4,-3.1270110221167124,-0.1378608524974997,0.0017659330667506143,0.054822836887883385,0.294757556773456,4.988624298201293e-10,NA,51,54,54,4.629000671770544e-05,0.12300627476762395
ENSG00000106976.20,DNM1,3.1208329083961086,0.9427675954385281,0.0018034032924175612,0.0010963774533155643,0.1365230014371879,3.510915144693099e-05,NA,4,4,4,0.0013199996364374497,0.017541451299524346
ENSG00000128944.13,KNSTRN,-3.116171774506025,-0.06891742791147906,0.0018321551432085045,0.17894783040623957,0.4792252413154763,3.8926089055449596e-20,NA,29,29,29,0.001210999648043976,0.21175587611071267
