gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000204681.10,GABBR1,4.964964595041632,0.4968862754173131,6.871360417484255e-07,0.01110741632139978,0.10531034839858658,0.00019806845606509918,NA,30,31,31,1.6940006804262299e-06,0.0821591169325368
ENSG00000171044.10,XKR6,4.574729881239013,0.4681823093033829,4.768347891843676e-06,0.008543254439914787,0.046761829607716784,0.014638610725020313,NA,7,7,7,1.0649997235038385e-08,0.07921809386758003
ENSG00000103994.16,ZNF106,-4.072348848320083,-0.5964140420977433,4.654140276841366e-05,0.004525834156328628,0.03208168531479599,0.04501605514278293,NA,6,6,6,2.4960023087916055e-05,0.0866174815020052
ENSG00000174891.12,RSRC1,3.885812164839282,0.7093539362717018,0.00010198834406862685,0.002438255644377032,0.052836937907240214,0.006174998838513376,NA,9,9,9,9.830997248648249e-05,0.07928587777153874
ENSG00000064012.21,CASP8,3.821364566474475,0.14367377483622984,0.00013271529097186446,0.06998107608402421,0.3505307501518273,7.756458001697195e-15,NA,7,7,7,8.978998006797002e-06,0.07159570754264014
ENSG00000185829.17,ARL17A,3.7341135223250714,0.10505201544901731,0.00018837751673061925,0.13942054342481078,0.35679891058230523,2.6628997920961517e-14,NA,22,22,22,5.868005900435108e-06,0.2174893656332917
ENSG00000178149.16,DALRD3,-3.6645139432245877,-0.17696867618213624,0.0002478087404417478,0.04576578763005939,0.18997003440822666,1.381315649530543e-07,NA,47,49,49,0.001059000138400845,0.19597514053931053
ENSG00000226791.6,AC109826.1,3.659898059167975,0.18284458593663222,0.0002523156062022939,0.036132134868973084,0.044752613690068166,0.015979156647887002,NA,44,44,44,0.0008901999874297496,0.09294761329114924
ENSG00000154328.15,NEIL2,-3.54736677228734,-0.47887968045381035,0.00038910249145992967,0.005541375136368154,0.05206527129417154,0.008366430912481938,NA,4,4,4,0.00039280016677525984,0.04515822593425285
ENSG00000177710.5,SLC35G5,3.5177243569617374,0.23705722625597003,0.00043526423217343004,0.02096755862425909,0.10962245487532576,0.00015096195280274932,NA,10,10,10,0.0001396000534587283,0.05503655079399748
ENSG00000238083.7,LRRC37A2,3.49662066953332,0.06919571447108608,0.00047119133185363304,0.265113492836544,0.6503381574947649,3.090153830321848e-35,NA,29,32,32,5.199995057600649e-06,0.19010300428278454
ENSG00000170426.1,SDR9C7,3.439066455390742,0.25149178378464,0.0005837239225959656,0.018063390892103744,0.06930526783076932,0.002954979490686031,NA,5,5,5,0.00045580016889904034,0.0894644795459653
ENSG00000185904.11,LINC00839,3.3997803968258586,0.11277546679668467,0.0006743999319241095,0.0854457732665943,0.19589692851836965,8.341500039556838e-08,NA,20,24,24,0.0009432997693040255,0.10868556635560547
ENSG00000225399.4,RP11-3B7.1,-3.286654018774057,-0.21078237743984102,0.0010138531404495633,0.02382991729207884,0.08856089139378667,0.0006622585242506166,NA,24,24,24,0.001059000138400845,0.07859566731183246
ENSG00000136238.17,RAC1,3.225171035226863,0.25691327138192255,0.0012589743052382443,0.014068096655294847,0.1079008507408165,9.952614130638796e-05,NA,9,9,9,0.00014560001670500887,0.11626653849245397
ENSG00000224848.1,RP11-535M15.1,-3.1915249570291366,-0.10839536622351727,0.0014152388386332595,0.07629436359276592,0.2712604988370045,1.2161646956748955e-10,NA,18,18,18,0.0005899998925377367,0.12257623160674945
ENSG00000205659.10,LIN52,3.1722753784142834,0.20384721381199866,0.0015124951256296065,0.024421733598736096,0.1092147682646297,7.887610812285074e-05,NA,44,45,45,0.000471399833140542,0.056422576847568816
ENSG00000277288.3,C10orf142,3.107608745648543,0.12030411245692416,0.0018860758151280539,0.07230844653750401,0.08931539201164555,0.000379738953127984,NA,71,77,77,0.04604000605351104,0.2346014914262977
ENSG00000141458.12,NPC1,3.0994357326716817,0.23823292355531447,0.0019388963711005805,0.01693661539108593,0.09240003470340827,0.00031231428936351563,NA,56,57,57,0.0030229993244309207,0.09659578623340223
ENSG00000092931.11,MFSD11,-3.098304872334564,-0.09461465160769646,0.0019463109227780989,0.11358139200787933,0.07751802151378251,0.0013836621697109828,NA,74,81,81,0.0008202998564111574,0.2885706323625981
ENSG00000064835.10,POU1F1,-3.080286197840178,-0.13988797834096117,0.0020680177067890176,0.04550337288075258,0.04348911034932642,0.020144013026907947,NA,30,30,30,0.000697299885822292,0.1555005439686142
ENSG00000132763.14,MMACHC,3.0642725691451846,0.2462343098827179,0.0021820000941733418,0.011177018791278009,0.0720877242519063,0.0021004197259668557,NA,11,11,11,0.0010350004212333964,0.047676333335470215
ENSG00000152348.15,ATG10,-3.049177586966526,-0.09705983396215816,0.002294687923108815,0.09081676111437775,0.37464266594126266,3.219851050901036e-15,NA,30,32,32,0.00045849987162701277,0.09659019988302152
ENSG00000130701.3,RBBP8NL,3.047339683000487,0.20892359005735578,0.002308766447083787,0.024880829875004118,0.16204399832656172,1.8066846349045718e-06,NA,2,2,2,0.002070999268986839,0.1302254925730947
ENSG00000128655.16,PDE11A,3.0097218668715975,0.23170518401315904,0.0026148702070296135,0.014095565785267347,0.05195045033035973,0.008010387336252024,NA,27,30,30,0.000612899918042312,0.15625184159761255
ENSG00000108406.9,DHX40,-3.0089994158608886,-0.16814809025484215,0.002621096198488019,0.029977354547054726,0.05351378841110408,0.007438793374803395,NA,63,66,66,0.013280003879246959,0.1743023938536868
ENSG00000128944.13,KNSTRN,-2.999415262938661,-0.061803742620686254,0.002704983543635869,0.21957260439583814,0.6347402041682709,3.436226387704492e-33,NA,18,18,18,0.001210999648043976,0.1859509346963075
ENSG00000226913.1,BSN-AS2,2.994888157294278,0.20598149611751718,0.0027454548954524835,0.0219173414815117,0.06248391474023865,0.004464519077964414,NA,24,24,24,0.002203000524946759,0.0804820648133795
ENSG00000128683.13,GAD1,2.976762628468802,0.7509125409875241,0.0029130945916356725,0.0014104762831288514,0.04885911515533691,0.011043994087468336,NA,13,13,13,0.006771002225591304,0.05784244429878351
ENSG00000164068.15,RNF123,-2.95819987078268,-0.37802382869944645,0.0030944141171854026,0.005793334206029861,0.09766828323614543,0.00020229554899637268,NA,42,42,42,0.0030040000257433243,0.04914310642562701
ENSG00000150401.14,DCUN1D2,-2.944335501237116,-0.3520664516943311,0.0032364894465699394,0.007993081878377824,0.09760198749734704,0.00032009978299634876,NA,8,8,8,0.00016689992941133097,0.07641757686906432
ENSG00000223572.9,CKMT1A,-2.9345767209835136,-0.5310598449000677,0.003340029709172518,0.003013779903837725,0.05239725245242201,0.008759339922713548,NA,14,14,14,0.003496001307369459,0.05208428708883959
ENSG00000188672.17,RHCE,-2.9271143310096615,-0.0841748660566326,0.0034212308683861463,0.1125154176409639,0.34788098980426385,2.389996506475192e-14,NA,13,13,13,0.0018789995933031348,0.08297099876893256
ENSG00000148660.20,CAMK2G,2.92142636515638,0.38716640524915297,0.003484326293242649,0.005237965656515617,0.05573372768836287,0.0070349500250117426,NA,12,12,12,0.0010570002176745177,0.04995350695818883
ENSG00000189227.5,C15orf61,2.9150380294514053,0.2563495178018162,0.0035564520278319627,0.013552403972139464,0.0471726676757675,0.014882030173344834,NA,42,43,43,0.00304500096370708,0.1406929198868016
ENSG00000023902.13,PLEKHO1,2.9141540586417927,0.3171238379704343,0.003566538527696714,0.006335956320334542,0.06413838962810378,0.0037060663163825548,NA,12,12,12,0.001891000028085821,0.052685394341026835
ENSG00000130695.14,CEP85,-2.9114831896308155,-0.22885140760014036,0.0035971726309609597,0.017042878972515475,0.1713358485137302,1.2877333887442812e-06,NA,25,25,25,0.0015879996495386664,0.09951232776106997
ENSG00000166788.9,SAAL1,-2.9071013178065392,-0.1305942821159062,0.003647950224195603,0.04749183250355252,0.18565536516564876,9.762868824477796e-08,NA,30,30,30,0.0008979999779883848,0.06364170584811747
ENSG00000141452.9,C18orf8,2.8947622410090603,0.4204523913836462,0.0037944581569272803,0.005052472273017729,0.09235089712063888,0.000495224371601333,NA,9,10,10,0.0030229993244309207,0.047428036315876825
ENSG00000221995.5,TIAF1,2.8891475287018076,0.13072562825259695,0.0038628779681760435,0.048565569425732064,0.1707439723495607,1.1620392031125955e-06,NA,62,65,65,0.004777998344230685,0.226191129985732
