gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000204681.10,GABBR1,4.534278994994495,0.5965987754696825,5.780058673029119e-06,0.005608857586628595,0.10180866451129636,3.922875829694715e-05,NA,47,55,55,1.6940006804262299e-06,0.047678469349557655
ENSG00000177710.5,SLC35G5,3.884274609201548,0.22027330963216463,0.00010263585355306842,0.030216530643724086,0.06094493047419336,0.0015638923469862914,NA,24,24,24,4.850998380273937e-05,0.0936322750524086
ENSG00000253641.5,LINCR-0001,-3.8323172698949723,-0.18376412297042982,0.00012694188189613182,0.04267094241105426,0.17514561409144175,2.595870141197517e-08,NA,30,33,33,2.5890022661949768e-05,0.16343929210816116
ENSG00000164733.20,CTSB,3.777288562888842,0.22573746705538023,0.0001585450015012877,0.025263511492518112,0.19406067119860568,2.6352180374902772e-09,NA,23,23,23,6.836998172325801e-05,0.07379005115110955
ENSG00000159314.11,ARHGAP27,3.7172500692558628,0.32395348815475417,0.00020140306735485505,0.013921715609435937,0.11930602442909648,2.8012349727297678e-06,NA,29,31,31,5.199995057600649e-06,0.12302117965914627
ENSG00000238083.7,LRRC37A2,3.70614111592112,0.0672710273610161,0.00021044107653857372,0.33054429900832527,0.6401741351253251,3.818652650290533e-43,NA,37,38,38,1.1460004391512783e-05,0.1601117406717186
ENSG00000185829.17,ARL17A,3.6997303218165163,0.08761294116595517,0.0002158286892365239,0.19603136660680615,0.3993615965840169,1.6407358512537642e-20,NA,65,70,70,5.868005900435108e-06,0.23926295504380365
ENSG00000168615.11,ADAM9,3.6714204142437223,0.44109420800563715,0.00024120619091122047,0.007148860241607895,0.0372749252003123,0.013625898762770646,NA,26,26,26,0.0053960015330473165,0.04940064328339086
ENSG00000100106.19,TRIOBP,-3.655756615865337,-0.41107072192093436,0.00025642455286332917,0.007381542133223827,0.20351308034135648,8.320987538880309e-10,NA,44,45,45,0.00047769980706426817,0.033873918888163025
ENSG00000179639.10,FCER1A,-3.6430119554457994,-0.36402506619859376,0.0002694663172188468,0.009057630388432051,0.06641342980435046,0.0009334117715044815,NA,13,13,13,0.00043260005905717164,0.06391318345347763
ENSG00000136238.17,RAC1,3.603212235377535,0.6829035992078109,0.00031430868357770715,0.002605471002556125,0.07972458341680226,0.0002761115987050759,NA,10,11,11,0.00014560001670500887,0.01998612433292703
ENSG00000227888.4,FAM66A,-3.556038837825099,-0.09907426558847619,0.00037648844596482444,0.12418185122976458,0.2822327291548159,8.605277173693776e-14,NA,28,30,30,4.3760002263396814e-05,0.13643320014674573
ENSG00000121933.18,TMIGD3,-3.5217328546559252,-0.6686373512583925,0.0004287359531916119,0.001845649139916921,0.029970809237967137,0.02658300549895909,NA,2,2,2,0.0004213999074432307,0.07817250302935606
ENSG00000225190.10,PLEKHM1,3.5162200322063084,0.28395210661247744,0.00043773804946455535,0.017224053439924288,0.1412691450503954,5.046714756264415e-07,NA,17,17,17,0.0002979998668116676,0.0397289228396734
ENSG00000171634.16,BPTF,-3.4876109954745234,-0.5417088511389866,0.00048735658694479327,0.0036091009150900966,0.1291689427727639,5.597980123916421e-07,NA,4,4,4,5.266999103903426e-05,0.055934892159397336
ENSG00000198252.11,STYX,3.480083519727979,0.7416474235589853,0.0005012574944028344,0.002038870804321832,0.048824759396738034,0.004711017226243351,NA,25,26,26,0.0007468998520947095,0.06716760812354187
ENSG00000150401.14,DCUN1D2,-3.439802221938713,-0.4786384030834008,0.0005821394248385878,0.005404211054296367,0.059247337433455574,0.0013663069823816713,NA,11,11,11,0.00016689992941133097,0.0342965385487401
ENSG00000014824.13,SLC30A9,-3.431987700536206,-0.4695874349104902,0.0005991747314284638,0.005096176736888636,0.1131491496790563,1.1490180113468526e-05,NA,11,11,11,0.0005161998463742154,0.02833905437126741
ENSG00000197696.9,NMB,3.4211376112266634,0.23294794702410201,0.0006235977020310497,0.019819355607329815,0.14605304178977688,2.055872676530409e-07,NA,30,30,30,0.00033249991707741,0.11688474429319932
ENSG00000152348.15,ATG10,-3.414131207238193,-0.1023811022091938,0.0006398575357926261,0.10148543486728248,0.256553363071412,1.854053415204041e-12,NA,37,37,37,0.00015349999686101884,0.3030181728826473
ENSG00000224848.1,RP11-535M15.1,-3.413012694756787,-0.16376655157213288,0.0006424894920933435,0.03701231159830754,0.14895981786451434,3.860616649881469e-07,NA,11,11,11,0.0005899998925377367,0.1089297281556701
ENSG00000010322.15,NISCH,3.2920879937448917,0.9217136126490564,0.0009944649119272792,0.0011370894105038843,0.04109073045580326,0.0102798658668995,NA,16,16,16,0.00017700008382744105,0.019134204209184744
ENSG00000197245.5,FAM110D,3.2253397198827143,0.25115683936521865,0.0012582326690263788,0.017637519809257554,0.1790249762594275,1.819875419952933e-08,NA,12,12,12,0.0010570002176745177,0.07066046425770488
ENSG00000116221.15,MRPL37,3.224774713083401,0.2976572992906529,0.0012607183571021116,0.01239159203637262,0.17920852699786036,1.795728555752176e-08,NA,25,26,26,0.0037530000384892142,0.03107863447102898
ENSG00000115468.11,EFHD1,-3.216513660040066,-0.6509451574788377,0.0012975835622257015,0.002518310218260828,0.04844065994051118,0.005191380945567938,NA,13,13,13,0.0008525997676392034,0.08644457828871058
ENSG00000174348.13,PODN,3.198826173639932,0.29978972331073767,0.0013798834107388084,0.00996428072738033,0.061345595831453624,0.0014098606377432078,NA,65,66,66,0.0014020004318560104,0.32762576777333074
ENSG00000070759.16,TESK2,3.1648504481333894,0.2046812086936071,0.0015516268114702872,0.01946954607448015,0.19336878822910872,2.4490867031244093e-09,NA,27,27,27,0.00016320000134541505,0.08613357733734361
ENSG00000172201.11,ID4,-3.1543401200311743,-0.5078689305940138,0.001608614912702344,0.0034754856479778497,0.08613959119456657,0.00014818890052898986,NA,6,6,6,0.0009725999631061931,0.07525262144786274
ENSG00000224877.3,NDUFAF8,-3.1539407768822243,-0.5932441578564939,0.001610817711631403,0.0030832457830951452,0.043958897548252815,0.007423337448253784,NA,23,23,23,0.00013689994289736197,0.05741964952270339
ENSG00000120088.14,CRHR1,-3.1429121045643003,-0.3834095102667356,0.0016727606135611937,0.007471959276033299,0.05951915944509095,0.0014422500716814413,NA,9,9,9,5.868005900435108e-06,0.03949812323637062
ENSG00000261824.6,LINC00662,3.1368100254526703,0.37515188924810117,0.0017079675622008047,0.007898570562272287,0.0476435934589004,0.004955672801798654,NA,14,59,59,4.8629969190192516e-05,0.15583863584603316
ENSG00000157873.17,TNFRSF14,-3.1234139662877918,-0.5458990974465634,0.001787661197552907,0.0034573392733723376,0.06102978554483944,0.00158375224467328,NA,10,10,10,0.006445001298574065,0.039727195116284135
ENSG00000110080.18,ST3GAL4,-3.1186639590275664,-0.1407295005986461,0.0018167303101294214,0.04874665390766419,0.06440204565504153,0.0009254434583436412,NA,137,146,146,0.0043239991369994095,0.13641222114930499
ENSG00000170667.14,RASA4B,3.0746616943162888,0.09627831084383084,0.00210741451603113,0.08730059988465584,0.04181563034936327,0.009398380780642163,NA,61,61,61,0.021119999847557424,0.5388080428071064
ENSG00000231680.1,AP003774.6,3.0682222560047627,0.1641449696021,0.0021533639675397195,0.042641419892060134,0.03584743846560008,0.016630118378680555,NA,31,32,32,0.010780001529663252,0.4541716010076293
ENSG00000183166.10,CALN1,-3.0592337941908134,-0.5212859928157461,0.0022190390233927694,0.003236171391834756,0.06657035808172466,0.0010429918364932775,NA,45,45,45,4.3630040581763706e-06,0.032965494189435965
ENSG00000204843.12,DCTN1,-3.046195675942289,-1.2365242255093594,0.0023175695546737104,0.0006657204557196461,0.045278041192185314,0.006617307177382646,NA,5,5,5,0.008957997961082017,0.05394317600505355
ENSG00000186868.15,MAPT,3.042141728239635,0.22782224565467687,0.002349012642991243,0.019964907313664303,0.08392667441280491,0.00016953744781852913,NA,32,33,33,4.0850017090994015e-05,0.10404667961369138
ENSG00000034693.14,PEX3,3.035179557336154,0.20178674914495418,0.0024039252325995276,0.025629274179962476,0.042571540079287824,0.008070200667265801,NA,42,42,42,7.42600135286642e-05,0.10909098073194212
ENSG00000152669.8,CCNO,-3.0319323705107393,-0.1257542615016435,0.0024299363923268955,0.04761022091019637,0.32066385637065864,4.0977122931697117e-16,NA,16,16,16,0.0008874002672830993,0.19854752591206912
ENSG00000137338.5,PGBD1,-3.0165081740503443,-0.19343007281330105,0.002557043235776453,0.025398773982425255,0.10202522549050136,3.09064889678413e-05,NA,30,30,30,0.00021530004889050607,0.07581210607675327
ENSG00000177868.11,SVBP,2.986332260193,0.09573218795435937,0.002823456875376371,0.09885936279287415,0.33560852779963873,1.0344446088894355e-16,NA,43,44,44,0.0003843999699731788,0.14432242176244042
ENSG00000220161.4,LINC02076,-2.9847091783568174,-0.2694629689105052,0.0028384805087941626,0.01250239349624938,0.035109478672544506,0.01840693773136061,NA,19,19,19,0.01324999568461185,0.1006561278126402
ENSG00000257017.8,HP,2.9739676622917095,0.2084365906784641,0.00293976054544531,0.019983276324201205,0.0781053868945996,0.00034034374721036607,NA,10,10,10,0.008551001431371958,0.11609992695902825
ENSG00000186523.14,FAM86B1,-2.9587650203575935,-0.21981246641079807,0.0030887452461237403,0.01573993009528218,0.0861829019407017,0.00016309843355428007,NA,7,9,9,0.0029439992034292727,0.13948025238639286
ENSG00000182308.6,DCAF4L1,-2.9559094624624316,-0.36353490553018664,0.0031174858821920804,0.005918013213194448,0.04352055048055148,0.006720367912170507,NA,11,11,11,0.0012930003609076042,0.06278473617162826
ENSG00000150455.13,TIRAP,-2.947131879289087,-0.3362198029041918,0.0032073638333111254,0.008051736285074997,0.11196083967406747,9.682750397017192e-06,NA,11,11,11,0.016469999402029274,0.1291766154224357
ENSG00000105926.15,MPP6,-2.941156053676066,-0.6252834455981606,0.0032698975422432324,0.0024098730715314967,0.03641958314075706,0.013540182195717915,NA,11,11,11,0.003314998770110199,0.04505934776877685
ENSG00000198793.12,MTOR,-2.9376384761802448,-0.21930327469025074,0.0033072243683210174,0.017304235145986488,0.036998985610489116,0.012491251542672685,NA,40,43,43,0.011179996789861852,0.14538367736567626
ENSG00000167491.17,GATAD2A,-2.926895607087849,-0.672374576274197,0.0034236377691302116,0.0017808890971305557,0.03449876224231025,0.018267834915661533,NA,13,14,14,0.011809999604807771,0.028073925167622586
ENSG00000065548.17,ZC3H15,2.9225453393935767,0.311344090023254,0.003471830699705141,0.007458374268331623,0.041843070575524506,0.009139497578326224,NA,82,82,82,0.0028910002210176334,0.1955184262653477
ENSG00000171877.20,FRMD5,2.921888482498801,0.2920812598146278,0.0034791608727558344,0.009816264468835156,0.14955364504195073,3.19891570062886e-07,NA,29,29,29,0.0025729993211246493,0.3410481783597573
ENSG00000091640.7,SPAG7,2.9054145774403555,0.37502895703325684,0.0036676694693259346,0.0063737133597411184,0.1121262977755286,5.857752314341484e-06,NA,22,22,22,0.0025089992966218022,0.06262605998288816
ENSG00000182481.8,KPNA2,-2.8992082189914745,-0.15967448834245968,0.003741063634374301,0.03285445008918653,0.06653446721574788,0.0008957563755598611,NA,67,68,68,0.00010200000760205599,0.13841058613558604
ENSG00000124302.12,CHST8,2.893366697048005,0.17360799158662307,0.003811360364261838,0.02451528816903431,0.1884664799321708,6.265759396580894e-09,NA,12,12,12,0.0025169991482397545,0.08685979528774514
ENSG00000226913.1,BSN-AS2,2.8901415260949124,0.21715219971958397,0.0038506842515720827,0.01942442803278331,0.046854047899591085,0.005927703025124818,NA,31,31,31,0.0013860000919607095,0.15450229759189335
ENSG00000188672.17,RHCE,-2.887186831364497,-0.07444019074345064,0.003887033428784784,0.1354617605806386,0.4007992643802525,9.790590555117809e-21,NA,16,16,16,0.0018789995933031348,0.12453471581340288
ENSG00000168803.14,ADAL,2.8689269108031996,0.0900511969958371,0.00411866960946843,0.10693233062284543,0.4670147249023281,3.5060955203108715e-26,NA,32,32,32,0.0022849992683429063,0.040369599562783576
ENSG00000103653.16,CSK,2.8623591813920215,0.4021279887544221,0.0042050007201435225,0.0047480038934302905,0.03848513974750637,0.010753532210106055,NA,30,30,30,0.0018150005637591292,0.020258564841460804
ENSG00000155749.12,ALS2CR12,2.8402723735417483,0.1452886750939431,0.004507502908810089,0.04182087009778592,0.3107621553960424,1.3451695559507135e-15,NA,28,28,28,0.0055730001459087485,0.08229114151580065
ENSG00000141577.13,CEP131,-2.8320071761573615,-0.4138799905160892,0.004625681052346103,0.005124175243908142,0.07474824764343199,0.00043713231529012616,NA,9,9,9,0.004605001122549293,0.06808778883014219
ENSG00000182257.6,PRR34,2.8228555668664423,0.19673762250040977,0.004759800928260625,0.019940705005598337,0.08975825523192255,5.318473744138272e-05,NA,45,45,45,0.0016630001390369445,0.08898550501869218
ENSG00000226409.2,RP11-735G4.1,-2.8199136447291173,-0.1878807819276623,0.004803657476717848,0.021690564967867074,0.025308294994376253,0.04174558784541023,NA,86,88,88,0.002261999130300414,0.12458334224111435
ENSG00000183527.11,PSMG1,-2.810575656633284,-0.2930015271577775,0.004945296069027939,0.007579339188531755,0.1434630266780451,2.254995587006577e-07,NA,12,12,12,0.0043140000230763465,0.03571000035494866
ENSG00000180979.9,LRRC57,2.7954002900579815,0.26740393946320584,0.005183548899392364,0.011069347108868154,0.06606450995390006,0.0009364469360481568,NA,13,13,13,0.01311000334893682,0.0865165200645671
ENSG00000141458.12,NPC1,2.794499731728701,0.4172632059401414,0.005198008390640014,0.004431089352428924,0.16070592349741986,1.0959286744699443e-07,NA,27,29,29,0.0030229993244309207,0.024622708686331277
ENSG00000164588.6,HCN1,2.794481401328982,0.6769716990203718,0.005198303084198507,0.0014613066372584386,0.055759308364381685,0.0022912594909093287,NA,3,3,3,0.007351000600453588,0.06833927743158473
ENSG00000120158.11,RCL1,-2.7915739443104313,-0.4143648411570857,0.005245237130854078,0.005141392732227454,0.03804740604111085,0.012360541141163629,NA,17,17,17,0.012759996981000193,0.07174663543231545
ENSG00000205659.10,LIN52,2.7852047938573943,0.16484487903658185,0.005349392512137116,0.02518668999755712,0.19447057813494992,2.203374341162964e-09,NA,23,26,26,0.0004963001013873834,0.1071029957306864
ENSG00000120071.13,KANSL1,2.7845297415090267,0.15538783522259614,0.005360540468188447,0.031617147524674406,0.21219064751192213,2.417629730143601e-10,NA,34,36,36,5.373005515421351e-06,0.05463039687715337
ENSG00000233569.1,RP11-500B12.1,2.784103175882611,0.07519256842795842,0.005367595674686202,0.13907549103679484,0.24034299919536806,1.4110494565891643e-11,NA,102,102,102,0.0031800004676948625,0.1873026859546641
ENSG00000167995.15,BEST1,-2.7823334402753988,-0.42819225083145557,0.005396955959148759,0.004562678709260386,0.03204825186333541,0.01739802841083033,NA,11,13,13,0.013559999800850937,0.06377700390166458
ENSG00000187954.12,CYHR1,2.747289373131904,0.41790306226555257,0.006009009117552931,0.004366237017482578,0.0644400088224924,0.0011132222442005934,NA,8,8,8,0.0028040004768165876,0.02027099542761248
ENSG00000166896.7,ATP23,2.7459391030067186,0.06887312563912278,0.006033796238515263,0.14808181636416703,0.5624448942860862,1.0326583838573696e-33,NA,18,18,18,0.0004502998784714656,0.12300922249108305
ENSG00000274828.1,RP11-567M16.6,2.7340822268853806,0.0873181615668024,0.006255442077155229,0.09329486504327744,0.3687285436784207,3.2133807419536807e-19,NA,29,30,30,0.01755000440451841,0.1708634801427483
ENSG00000105270.14,CLIP3,2.7235552697424734,1.0256246822169457,0.0064583408350694085,0.0007249201859589216,0.07230599550453587,0.0005685116773819504,NA,5,5,5,0.00440799938717546,0.01961438252519604
ENSG00000155087.3,ODF1,2.721714877376313,0.24337875692353503,0.006494414848293336,0.013307117803507934,0.11218169933058686,1.1460495003458176e-05,NA,12,13,13,0.002588999015507419,0.10494994163843917
ENSG00000149599.15,DUSP15,-2.717778154329221,-0.2113667821001188,0.006572188768972661,0.017099917701892075,0.07380903906908975,0.0004954750359335734,NA,20,22,22,0.008652000032159636,0.10126797583938812
ENSG00000174945.13,AMZ1,2.717442039346176,0.08616278857396802,0.006578867711502242,0.10305652936777013,0.14240037780858947,5.243958348511807e-07,NA,95,103,103,0.00013260006067374294,0.11670660436834415
ENSG00000172803.17,SNX32,2.7108856397648045,0.19579353065340127,0.006710376576484057,0.015896982821785602,0.20712232436757075,5.533901103028788e-10,NA,29,29,29,0.00923300038991237,0.0741693287021022
ENSG00000135773.12,CAPN9,-2.7105778216051215,-0.15040017777662412,0.006716608497487492,0.035420984966547935,0.2716171650842732,5.654935815988085e-13,NA,10,10,10,0.004419999310844798,0.1261030738143512
ENSG00000142188.16,TMEM50B,-2.6996021706673847,-0.14369699226069324,0.006942243567658577,0.03155098508872994,0.28196949750404976,4.086844862130308e-14,NA,18,18,18,0.003091998844675947,0.02588776691089948
ENSG00000140830.8,TXNL4B,2.6980724409903525,0.11829252665199332,0.006974226237078626,0.051032085195578364,0.1670719180346085,5.033970490159634e-08,NA,26,28,28,0.0007698001708360733,0.22525853418940486
