gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000225190.10,PLEKHM1,-4.281246722867973,-0.12923307420663807,1.858491663215408e-05,0.1221284717069115,0.5325489548092858,9.719058858217559e-30,NA,35,39,39,3.0009970174071804e-06,0.12499583241073214
ENSG00000184922.13,FMNL1,-4.270132439673668,-0.20700819418758534,1.9535692646499132e-05,0.045050865750122654,0.3812182448267721,7.88880672654841e-18,NA,27,30,30,2.3759983062253677e-06,0.035750652513519866
ENSG00000185294.6,SPPL2C,4.220107475963942,0.21902126533328034,2.4418587694892895e-05,0.039758247765371166,0.2906935301855252,1.1588269620464238e-13,NA,381,406,406,2.2449977766023112e-06,0.06024433556513775
ENSG00000204681.10,GABBR1,4.212176349475279,0.33302431972979907,2.529219584908394e-05,0.011069275379636548,0.14973145697000842,7.792342392258985e-08,NA,24,24,24,2.271997407674157e-06,0.0799468453813578
ENSG00000185829.17,ARL17A,3.8353369572044906,0.07318348900622221,0.00012539226575613628,0.3006177651713726,0.6247165551391782,1.8768690016225558e-39,NA,59,60,60,2.3759983062253677e-06,0.487264227460552
ENSG00000174891.12,RSRC1,3.8022451777898922,0.4257095820022811,0.00014339071984828224,0.007519298295108919,0.05026742698911437,0.005232843888168393,NA,18,19,19,1.9699983911727465e-05,0.02461544235839076
ENSG00000224877.3,NDUFAF8,-3.793285434277505,-1.5219043053909034,0.00014866709725455424,0.0007158567129388067,0.026872946306427076,0.04605005241851731,NA,2,2,2,0.00013689994289736197,0.0324115765474044
ENSG00000136448.11,NMT1,-3.682375725005081,-0.24010076251682455,0.0002310705180718289,0.025986492171036532,0.11676790305643235,7.222340249289819e-06,NA,46,48,48,5.586003713059107e-06,0.1629127844674115
ENSG00000064012.21,CASP8,3.66147391413694,0.11321721842580837,0.0002507683978787564,0.09701849032733305,0.3598395131348303,8.206712888541959e-17,NA,15,15,15,8.966996090521106e-05,0.07793688426608858
ENSG00000152348.15,ATG10,-3.6403297726728883,-0.09506945450835762,0.00027228907739270975,0.12617256436520685,0.4397551415269539,1.511941454937749e-22,NA,47,49,49,0.00015349999686101884,0.054828589971463886
ENSG00000177352.9,CCDC71,3.5791243823167114,0.15476300448604596,0.00034474736731374085,0.05008923914213148,0.35959326298997696,3.7850324150232517e-17,NA,61,62,62,0.0009392998795225177,0.058062967957077175
ENSG00000238083.7,LRRC37A2,3.573623655174016,0.06751419753227668,0.0003520748609224184,0.30245646607009646,0.6926527542044916,1.750219768739754e-46,NA,46,52,52,3.0009970174071804e-06,0.2697772966326282
ENSG00000164039.14,BDH2,-3.4917647094106266,-0.3882762160854896,0.0004798407366236277,0.00995829047078491,0.06388841029420864,0.001535218432768091,NA,39,39,39,0.00015580002115049964,0.16226439468506193
ENSG00000270074.1,RP11-351I21.11,3.462107809876793,0.14568530824180678,0.000535962415965903,0.05483361219697187,0.1762490487665582,6.825559849596922e-08,NA,24,27,27,0.00012240000024524091,0.4774667857123692
ENSG00000163938.16,GNL3,3.4111251732659476,0.175335385749025,0.000646953838797987,0.032237162491988144,0.2788539950553537,2.613603866172863e-12,NA,31,31,31,0.0006393001527106351,0.05440736044790799
ENSG00000245556.2,SCAMP1-AS1,-3.4094024578750552,-0.2343436934584164,0.0006510535533773358,0.01961180059859085,0.196099568136526,4.740334458828818e-09,NA,13,13,13,7.177997600475467e-05,0.06629468365713334
ENSG00000183726.10,TMEM50A,-3.3859796499946446,-0.2196964802997568,0.0007092464292580708,0.021204870201546697,0.18120810309071486,9.780783522875565e-09,NA,24,24,24,0.0018890001581096667,0.047565164214799324
ENSG00000104497.13,SNX16,3.3589846738008977,0.1308932942816877,0.0007822940591052866,0.06493090226412987,0.3081216818130451,8.084831160422639e-14,NA,93,93,93,0.001010999693384022,0.091063662712982
ENSG00000119725.18,ZNF410,-3.2786099597355403,-0.5327556400943281,0.0010431971289853242,0.003209257660703058,0.03579905902699428,0.020904643852229485,NA,5,5,5,0.000740799850690291,0.030337211729761105
ENSG00000100330.15,MTMR3,-3.2616035237272745,-0.35999270308512993,0.0011078397232389466,0.006790109933972825,0.10282748382383362,6.491100535755067e-05,NA,60,60,60,0.0015640003813879573,0.0604984492890693
ENSG00000148288.11,GBGT1,3.2561841011564097,0.26769228728346045,0.0011292050749706834,0.01645901547091082,0.11574020456177342,2.3259048757313063e-05,NA,24,24,24,0.0012520004844882276,0.04798924489193291
ENSG00000136573.12,BLK,-3.2451105666992657,-0.3893634065143848,0.0011740502829894032,0.00786467003838219,0.05439342919863942,0.004174944655783221,NA,8,8,8,0.00039880000801189013,0.06798147512118595
ENSG00000147679.11,UTP23,3.2426677290895958,0.32726891055107493,0.001184162236203191,0.007473126344324399,0.11636901380159015,4.688143000590221e-06,NA,18,19,19,0.0024519991276316473,0.02240599164485102
ENSG00000187097.12,ENTPD5,3.238928794749287,0.2173368687755052,0.0011997952259604403,0.018843737120188254,0.21674449392652345,6.55099610008413e-10,NA,6,6,6,0.000740799850690291,0.08108030097955607
ENSG00000198252.11,STYX,3.208028387807296,0.37762561515360743,0.0013364830583981488,0.006653222358987782,0.07964587188225239,0.00044740703068438465,NA,6,7,7,0.0007468998520947095,0.052911934967969886
ENSG00000171056.7,SOX7,3.2062851189451536,0.2782846224503168,0.0013446068735405322,0.014401230960934411,0.05981401273308544,0.00191139670841082,NA,29,29,29,0.0005382000490493406,0.05430193702237408
ENSG00000185904.11,LINC00839,3.172817873940522,0.1509122058457217,0.0015096719494677089,0.04310592514786246,0.19415351333526745,1.0824360282530503e-09,NA,21,21,21,0.0009432997693040255,0.08957218513563987
ENSG00000223865.10,HLA-DPB1,3.1678669396526278,0.3362039853357927,0.0015356178594575338,0.008853787599253026,0.032303490919216075,0.02606134460683963,NA,14,16,16,0.010969999867003014,0.06345224112817233
ENSG00000100577.18,GSTZ1,-3.152380123316098,-0.1787223889726299,0.001619453017284689,0.02891275254563995,0.14010277572594826,2.8303652130856714e-06,NA,16,16,16,0.0030389989199595298,0.14699655328889233
ENSG00000164171.10,ITGA2,3.086225084431181,0.21796049345017526,0.002027153055148485,0.019867065759119243,0.11635582478173395,6.556595834521034e-06,NA,39,41,41,0.0024700003818752163,0.1070433754622909
ENSG00000197935.6,ZNF311,3.085021987772554,0.21706568613369337,0.002035371055545085,0.021184131198388932,0.03618972630245148,0.021714913908194505,NA,12,16,16,0.0036620013334942845,0.07147933736385692
ENSG00000183066.14,WBP2NL,3.070669546650541,0.13080394853601263,0.0021357938689906906,0.053183305528260935,0.1630134440441366,1.0408100208821296e-07,NA,47,47,47,0.010500001748612967,0.1706620616496332
ENSG00000254847.1,RP11-51B23.3,3.0695692811296698,0.1277662338136589,0.0021436767959532297,0.06248799728175805,0.17966505443207753,5.284641635470009e-08,NA,59,59,59,0.0027250001190310324,0.13878704264335892
ENSG00000232300.1,FAM215B,3.053930772560629,0.09217901921500461,0.002258641943330837,0.11849819351066555,0.3238234238313452,6.9355948810084824e-15,NA,30,34,34,5.373005515421351e-06,0.26266443489975005
ENSG00000126215.13,XRCC3,3.0418130299337753,0.12934063267911988,0.002351579124308858,0.06405866888596648,0.3033750297732776,1.0187907806920564e-13,NA,57,60,60,0.00393700113963459,0.1914347679391038
ENSG00000100314.3,CABP7,-3.030537831650064,-0.12312828374236028,0.002441186022624075,0.05678916762959943,0.14487535770961585,1.2478312338945636e-06,NA,55,56,56,0.005420998473805027,0.12475935027911028
ENSG00000092529.23,CAPN3,3.020553050906528,0.23132426855632743,0.002523135030339709,0.020259029930537197,0.1882602879826243,6.340788340078427e-09,NA,45,45,45,0.0010799996576359207,0.041833753598260526
ENSG00000145354.9,CISD2,3.0009581795127214,0.3462641490630893,0.002691315246911671,0.0074164621422258305,0.17682800166313614,9.036510308000039e-08,NA,82,82,82,0.001276999662347121,0.0219915506235378
ENSG00000176956.12,LY6H,-2.9855601992122938,-0.15218856454806062,0.002830594178120697,0.039613673526875615,0.18764446565939574,1.8789443739440992e-08,NA,13,14,14,0.0009388002003087739,0.07809711376285848
ENSG00000136897.7,MRPL50,-2.9732008010840585,-0.9723629274321441,0.0029471157861354394,0.0013425110087365568,0.08058282517639494,0.0003545904624385709,NA,5,5,5,0.0011420000422916134,0.048911894549864936
ENSG00000164142.15,FAM160A1,2.97315848929525,0.08775525474375145,0.0029475221020891684,0.11807033595378205,0.5127791458926705,2.015920570222261e-27,NA,49,50,50,0.002215000716815684,0.019953825538260063
ENSG00000151849.14,CENPJ,2.9666155424810468,0.09993124221679342,0.00301097203134991,0.09639810579921942,0.36701729377821257,3.760294755715753e-17,NA,32,33,33,0.000380400146181866,0.12460767449332702
ENSG00000197702.11,PARVA,2.958055731502453,0.1489480151640633,0.003095861459033783,0.048070506509932505,0.28607076298697304,6.208069552473115e-13,NA,29,29,29,0.0027250001190310324,0.09748650646241767
ENSG00000131778.18,CHD1L,2.948196460837678,0.1224959345646764,0.0031963386277130672,0.058200175979306754,0.41753040636237226,3.954970850537616e-20,NA,31,32,32,0.002376999811121987,0.07304837543726464
ENSG00000157873.17,TNFRSF14,-2.944362099712074,-0.146422175022269,0.0032362112792288693,0.04184921086322563,0.297657138930496,2.7807700306055514e-13,NA,13,16,16,0.004097000957333444,0.13008457600297169
ENSG00000188672.17,RHCE,-2.932385207486153,-0.11127772020066852,0.0033636924705921145,0.06060168126236768,0.2380663188238472,2.8661672859720053e-11,NA,20,20,20,0.0018789995933031348,0.0382911840675095
ENSG00000176681.14,LRRC37A,2.931912531787115,0.0515731659836419,0.003368816134288511,0.3369981525624891,0.5809533902358833,5.827332728915922e-34,NA,61,69,69,3.0009970174071804e-06,0.3079221257152885
ENSG00000204178.9,TMEM57,-2.929103057864374,-0.29101146548780193,0.003399416920560397,0.008732233221905875,0.11764928281387815,1.949359419965564e-05,NA,8,9,9,0.0018890001581096667,0.027566107847583204
ENSG00000158747.13,NBL1,-2.9187646561857306,-0.12859748440226945,0.0035142142507168517,0.05054900397741129,0.15824093983598292,5.393001101385382e-07,NA,62,64,64,0.0001524999528242973,0.16418366173572668
ENSG00000167371.17,PRRT2,2.9093653613161625,0.19537161318604712,0.0036216334294544646,0.022161913619559673,0.15208663988369056,7.47997521064877e-07,NA,32,32,32,0.00454099937123577,0.08564400537685936
ENSG00000180376.16,CCDC66,2.89961754682456,0.15361847040931761,0.003736182256412946,0.03300495862363527,0.1378907005933986,4.614936449267915e-07,NA,25,26,26,0.002169000826026562,0.15538187319255475
ENSG00000175662.17,TOM1L2,2.8983755530186177,0.3540102727049097,0.0037510113628460785,0.0065918426808368865,0.06114638287923997,0.0015484715646785347,NA,21,22,22,0.001832000698415518,0.049052414233017816
ENSG00000171759.9,PAH,2.8911661149332626,0.1320773365213145,0.0038381518691049986,0.049251448464149146,0.08188105538555435,0.0003143186530835597,NA,46,50,50,0.007348000588817229,0.20735861000603745
ENSG00000150403.17,TMCO3,-2.8824942912698925,-0.09802852471943384,0.003945402850167728,0.08393888904334214,0.3210117034188332,3.6250164675465745e-15,NA,21,21,21,0.0006014002548787575,0.12791505323737748
ENSG00000168546.10,GFRA2,-2.881714373504072,-0.197444504648627,0.003955180846869497,0.019538402512044657,0.10009168479312516,6.051059022438219e-05,NA,57,58,58,0.0013159995896637182,0.056454043839259074
