gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000204681.10,GABBR1,4.454293000005206,0.35183782515531686,8.417009085634508e-06,0.015086089901625292,0.10200866586187382,8.038120034692889e-06,NA,47,49,49,1.6940006804262299e-06,0.11332098297351832
ENSG00000154319.14,FAM167A,4.295096667960383,0.610956955586539,1.7461723182698985e-05,0.005145738422415361,0.032271025591984887,0.018769893979098173,NA,24,24,24,2.9030007902389125e-06,0.02186554619940865
ENSG00000102931.7,ARL2BP,4.054694450803447,0.9353567544600412,5.019987695144106e-05,0.0016706875929342795,0.04928549244429397,0.0034732844103610018,NA,5,5,5,1.982998106056167e-05,0.02952936566989573
ENSG00000109323.8,MANBA,4.020481714858847,0.606510667439444,5.807925743228722e-05,0.004347282246319821,0.03204185008035877,0.0194475135440023,NA,11,13,13,5.953001390555793e-05,0.024640857786682117
ENSG00000177082.12,WDR73,3.991654460932144,0.1228782115469211,6.561393023583252e-05,0.10482435215957091,0.11884761098624196,2.6791718642840103e-06,NA,110,110,110,9.766999800395632e-05,0.2434914466731963
ENSG00000230731.2,RP11-478K15.6,3.9614716800824006,1.0098693384717417,7.448921818685785e-05,0.0012210621130533702,0.03079405365778012,0.021061396450040664,NA,5,5,5,0.00027409996312473684,0.058014227085838435
ENSG00000225190.10,PLEKHM1,3.6998528880086483,0.25910392725444165,0.0002157244815178258,0.022632334164950738,0.18024874164848945,9.12677467326265e-10,NA,19,19,19,5.868005900435108e-06,0.050227446794431856
ENSG00000138050.14,THUMPD2,3.6614249408857047,0.46133920517170696,0.0002508163466045994,0.00618742606604342,0.03056041776481892,0.019736621184677543,NA,9,9,9,0.0008252997221141642,0.0517340006911215
ENSG00000185829.17,ARL17A,3.6170059925070306,0.08310590240483479,0.0002980304065910757,0.1976940185235782,0.4437982408845609,7.00951535044209e-26,NA,41,45,45,2.3759983062253677e-06,0.09175040659639
ENSG00000176956.12,LY6H,-3.5240333479794446,-0.3646460299415821,0.0004250307527478253,0.008947763079622402,0.07420611506519194,0.0002554982852890874,NA,13,14,14,0.0009388002003087739,0.07132736637055324
ENSG00000205882.8,DEFB134,-3.505329714035769,-0.3121828953899462,0.0004560421286325458,0.013211733400222726,0.032747793617590115,0.016754652221217685,NA,19,19,19,0.00047420002812780595,0.04485522912903785
