gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000182400.14,TRAPPC6B,3.951918580826802,0.6595084862284855,7.752712007065065e-05,0.003153362964362326,0.028903847937460887,0.036290861561222125,NA,80,81,81,0.0009286002076215617,0.02382497432442944
ENSG00000154319.14,FAM167A,3.9020471145511206,0.9191918195637389,9.538258571872195e-05,0.0018235160887662266,0.07944663863640775,0.0004024632989162516,NA,7,7,7,1.9620018478959087e-05,0.021066528295285124
ENSG00000064012.21,CASP8,3.8557665874647595,0.10121508560532919,0.00011536752826728221,0.13883170839226328,0.3381851869101185,1.4039502830724585e-18,NA,25,25,25,6.5319968584863635e-06,0.12942230703004612
ENSG00000238083.7,LRRC37A2,3.653003420653325,0.0862239805883217,0.0002591907771082919,0.19109554615331364,0.5519834258138008,3.997798606832217e-31,NA,26,29,29,3.0009970174071804e-06,0.15153311123537813
ENSG00000185294.6,SPPL2C,3.58191955434526,0.4262824578991226,0.0003410788314149451,0.007861224154343139,0.06554197935665047,0.00134746149829841,NA,18,18,18,5.188005240717996e-05,0.029932262899037745
ENSG00000164112.12,TMEM155,-3.4296370548997426,-0.5952176291411005,0.0006043891085931878,0.00296445581728718,0.04785325998412722,0.0070424353793949075,NA,49,49,49,0.002652000333018795,0.07141301808070195
ENSG00000152348.15,ATG10,-3.399737579992444,-0.08096154513859015,0.0006745055378690904,0.15094002676503723,0.4804700684545111,3.4494742285390053e-25,NA,43,44,44,0.00015349999686101884,0.2356598980935076
ENSG00000059691.11,GATB,3.3923786479287,0.36337373000865114,0.0006928861635711265,0.008255632299794844,0.15047463004155473,8.319046636637567e-07,NA,26,28,28,0.0014460003029277315,0.03712484384392735
ENSG00000104497.13,SNX16,3.3661027262821532,0.1783713113279035,0.0007623831101830204,0.0301274034630079,0.24219542260693774,9.584123811072092e-11,NA,78,78,78,0.001010999693384022,0.08501491632164565
ENSG00000205659.10,LIN52,3.296099044923527,0.233179470982112,0.0009803744540887373,0.019360039330181184,0.10121064909329294,7.808163938781564e-05,NA,19,19,19,0.000471399833140542,0.04960338986224884
ENSG00000204681.10,GABBR1,3.2887840687552767,0.3029243207030384,0.0010062118769414206,0.011954994520206558,0.09808394131780884,0.00011242103321502828,NA,49,54,54,1.6940006804262299e-06,0.06979398080168013
ENSG00000227888.4,FAM66A,-3.2665372296626543,-0.09107351412378585,0.0010887149136697607,0.12246517921856613,0.2779282303217299,2.063419455044213e-12,NA,36,41,41,4.722003232926508e-05,0.19903603322998364
ENSG00000068001.13,HYAL2,-3.2560692722875015,-0.34426535145472537,0.001129661866153101,0.0076112964680412586,0.07375791971311342,0.0005198318347351932,NA,6,6,6,0.002053000013440327,0.1259879079655702
ENSG00000096654.15,ZNF184,3.2554860584331977,0.6780377388960801,0.0011319845390107893,0.002373139867774409,0.043104024303559016,0.008333450623257108,NA,9,9,9,8.82300039343402e-05,0.020527897812571468
ENSG00000163125.15,RPRD2,3.2337819770069074,0.3845927509631858,0.001221626748225807,0.00837618885035963,0.09899743532200607,8.33844278559967e-05,NA,56,61,61,0.009171997648835155,0.11117511788885594
ENSG00000174891.12,RSRC1,3.231107507200679,0.2576457191023782,0.001233115499359911,0.014558295382514802,0.1562451921983474,3.0304258028393734e-07,NA,77,80,80,0.0002870999569550206,0.04514087992929265
ENSG00000104643.9,MTMR9,-3.200278660764014,-0.8622040006918263,0.0013729477644055699,0.0013747761944380198,0.06976178220268611,0.0010766713477633491,NA,8,8,8,6.992998059941722e-05,0.028590998752128137
ENSG00000119636.15,BBOF1,3.1922012413760203,0.30808389841863126,0.0014119292383574212,0.010104066845106854,0.04669887619461344,0.00805622381545378,NA,48,48,48,0.000740799850690291,0.038593613036866536
ENSG00000272275.1,RP11-791G15.2,-3.166939764041568,-0.2043842745314861,0.00154052224572859,0.02451106181201238,0.10345894600148553,4.801936652821998e-05,NA,20,21,21,0.00035999988725830443,0.09420364161154716
ENSG00000197245.5,FAM110D,3.125248679746552,0.2872764669179091,0.0017765480334232958,0.011731073882832121,0.037239676227863776,0.017968440119828705,NA,18,18,18,0.001121000006542343,0.12449062613681836
ENSG00000204657.3,OR2H2,3.11909812933459,0.2607141484961867,0.0018140553456497026,0.01652151832842678,0.052131818383123835,0.0048584560650040114,NA,62,64,64,1.884999276548678e-06,0.07398991892074581
ENSG00000128944.13,KNSTRN,-3.1067573206211136,-0.0633806382140436,0.0018915160767753918,0.24700347827676547,0.5666461419062718,5.034318945980644e-34,NA,58,58,58,0.001210999648043976,0.16557232615255613
ENSG00000167840.13,ZNF232,3.1018917019107306,0.2822934679044228,0.0019228829076703082,0.012514151142693348,0.055368116351434016,0.00301927581274146,NA,11,13,13,0.0008470999564592335,0.09209494340735848
ENSG00000128928.8,IVD,3.101874307331533,0.12241796884133746,0.001922995895878003,0.07232759123720743,0.25580269976326425,1.9653563232931288e-11,NA,92,96,96,0.0013280003637702823,0.2322170284647719
ENSG00000188672.17,RHCE,-3.0935325198498673,-0.10472171224438444,0.0019778887483943423,0.07987925601693865,0.3345783319169848,2.332447731073375e-15,NA,17,17,17,0.0018789995933031348,0.08162427588109644
ENSG00000090263.15,MRPS33,3.07933732773157,0.23709452400971523,0.002074616327446932,0.0206370066315328,0.1665110948071169,2.1066399372405248e-08,NA,83,85,85,0.001108999921686393,0.1673330932948658
ENSG00000185904.11,LINC00839,3.0658505628634813,0.08416052473010036,0.0021705176665128777,0.12336538843562703,0.3155028745438257,2.8293330085696548e-15,NA,21,21,21,0.003194000370910649,0.1229455092958779
ENSG00000154511.11,FAM69A,-3.0553304761550337,-0.5491517913318293,0.002248126541991584,0.002975034495389133,0.0416582404770272,0.013012549898698496,NA,34,34,34,0.0035640006789559716,0.13316810474565752
ENSG00000180376.16,CCDC66,3.052508553291189,0.21490487561927754,0.00226937263472408,0.020155983944393316,0.16353397913046835,2.74812472275137e-07,NA,11,11,11,0.0010290002444459287,0.11493107129369412
ENSG00000226913.1,BSN-AS2,3.033413217874051,0.17367205748441758,0.0024180424763882912,0.030813424346870594,0.0956914391374575,7.38498935519746e-05,NA,18,18,18,0.001059000138400845,0.03925321711175531
ENSG00000185829.17,ARL17A,3.0161294708738886,0.0716160238206352,0.0025602391455582744,0.2046569308014976,0.4970407058224262,9.180742048021844e-26,NA,45,51,51,3.0009970174071804e-06,0.16166476076894673
ENSG00000155749.12,ALS2CR12,3.0041201054824307,0.10015637687864024,0.0026635015681857927,0.08797323745767946,0.3153875512637109,1.2300688391659512e-14,NA,26,26,26,0.000309400090853054,0.13306261816554335
ENSG00000134744.13,ZCCHC11,2.9900009804326113,0.4484874682495461,0.002789765516530195,0.004047261527364291,0.09391904776040626,9.004098233136713e-05,NA,33,33,33,0.0014020004318560104,0.010360606257256974
ENSG00000270074.1,RP11-351I21.11,2.9777884781915547,0.1996098402094006,0.0029033627740798706,0.02177312165060108,0.07750677671357319,0.0004343744873674183,NA,25,32,32,4.922996275271353e-06,0.2371361890655119
ENSG00000063438.16,AHRR,2.957740423319241,0.09614180567606138,0.00309902970680412,0.09675522567308435,0.16161767948580286,1.4909599002275214e-07,NA,59,65,65,0.0015489995281660388,0.17666667207604905
ENSG00000027697.13,IFNGR1,2.927672370958096,0.9869635010145787,0.0034150970136609497,0.000860842407269237,0.08637552530682051,0.0003123305639993372,NA,5,5,5,0.004465999805835368,0.0625022672526721
ENSG00000173531.15,MST1,2.9253891559146163,0.3833726292600055,0.00344025710271331,0.006059721619652779,0.05759588343506473,0.002968055459086395,NA,11,11,11,0.002955000844243195,0.08513542988134587
ENSG00000176834.13,VSIG10,-2.9136028674348986,-0.7512204794350626,0.003572841029463513,0.0014673175290795318,0.02759526160633711,0.04300491436105695,NA,5,5,5,0.0021030000742817776,0.023957142941040583
ENSG00000177352.9,CCDC71,2.861360717190061,0.20748368803961229,0.004218268069240191,0.01952172362285954,0.07203124654188793,0.0008033996784087839,NA,19,19,19,0.0019179992363178471,0.1389474193043311
