gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000227456.7,LINC00310,3.993554830551148,1.3408116833138755,6.509001813249776e-05,0.0007253477735625983,0.031199101983892717,0.03610560265868246,NA,1,1,1,6.509001813249793e-05,0.042514775771423534
ENSG00000272505.1,RP11-981G7.6,-3.8950703756401763,-0.21381565071947642,9.817022243358872e-05,0.03529547593362395,0.2801485001095753,6.221613889083401e-13,NA,24,24,24,0.000112700040522503,0.0890164832409017
ENSG00000136238.17,RAC1,3.846809597889508,0.25932976157994947,0.00011966589174734133,0.020661086195189277,0.2189639441243241,3.232034224479407e-09,NA,29,29,29,0.0001691000220649902,0.10309605574167474
ENSG00000177352.9,CCDC71,3.6655057664151807,0.300779490116614,0.00024685024896126643,0.015034067262492078,0.07413757774888066,0.0008186468676665144,NA,20,20,20,0.001059000138400845,0.028881553951821355
ENSG00000238083.7,LRRC37A2,3.660077113208749,0.08770063837095238,0.00025213935733034036,0.19033327243602913,0.6228346025797691,9.020466502204679e-37,NA,345,430,430,2.180000759459696e-06,0.11304030893434938
ENSG00000120088.14,CRHR1,-3.5453795832147743,-0.5397967113726447,0.0003920480710044483,0.0047174221255625055,0.0813622319916778,0.0003943935681871786,NA,15,15,15,3.320003248362781e-05,0.034943443844189015
ENSG00000154328.15,NEIL2,-3.525598498340598,-0.3306815897014624,0.0004225270184334245,0.011302244941578643,0.10004019368116604,9.398442832284632e-05,NA,20,20,20,0.0008824998216325165,0.05983770164331394
ENSG00000253641.5,LINCR-0001,-3.4274996368048276,-0.2273027471989264,0.0006091671185150404,0.022745911565716745,0.05707903737247985,0.0027741587020408765,NA,17,17,17,0.0008703001341807869,0.051346555654241455
ENSG00000143228.12,NUF2,-3.3783616351554944,-0.09890170599199341,0.0007291911773865176,0.11626296836386461,0.02916879434320554,0.03280354420106225,NA,115,117,117,0.0009954001678281366,0.2516682560768234
ENSG00000152348.15,ATG10,-3.362376023109883,-0.08044200732749075,0.0007727481707249647,0.15137854148648455,0.3139477743126504,3.0923885760932e-14,NA,57,63,63,0.00015349999686101884,0.1795346530196131
ENSG00000224848.1,RP11-535M15.1,-3.3609951410391834,-0.12427134090547536,0.0007766219176837762,0.06388065812682911,0.16725076225418772,2.520783708321989e-07,NA,10,10,10,0.0005899998925377367,0.1032763016514054
ENSG00000188729.6,OSTN,3.3470932872796944,0.31860871953575454,0.0008166372368426921,0.011191897295439665,0.0717852071391591,0.001069509813494553,NA,17,18,18,0.00039220016125646824,0.08199357096300791
ENSG00000064012.21,CASP8,3.3378992973568833,0.4557774125041099,0.0008441433705183461,0.005128996667134513,0.05405305794910071,0.005147861002867757,NA,15,15,15,1.23200034326467e-05,0.02587854199708164
ENSG00000271904.1,CTC-498M16.4,-3.311561639274328,-0.10414153496846164,0.0009277679862015984,0.09391489974320562,0.2986823381730054,4.223708124171999e-13,NA,23,23,23,4.629000671770544e-05,0.09641872805955062
ENSG00000185904.11,LINC00839,3.29420907736823,0.11766778767689769,0.000986990546414885,0.07098005490253796,0.07976818076069453,0.0005723594857426157,NA,61,65,65,0.002186999427045338,0.20326424086352524
ENSG00000225190.10,PLEKHM1,3.2928704453152657,0.6534045325113271,0.0009917015964395345,0.0026852854299389715,0.05998655498972048,0.003053224789755087,NA,8,8,8,0.00035870004038845933,0.024580832037055383
ENSG00000178209.14,PLEC,3.2917419682723166,0.5451556313058452,0.0009956892115792666,0.0039047452628573473,0.08375051181443248,0.0003973951832020699,NA,8,8,8,0.0009388002003087739,0.0469055926279597
ENSG00000154889.16,MPPE1,-3.250832913631136,-0.3459658756399731,0.001150674612313146,0.009461643224750788,0.17175696506242566,2.197391878423626e-07,NA,5,5,5,0.001156999678039355,0.14207379443575038
ENSG00000268043.7,NBPF12,-3.2422683106515535,-1.4435170556571024,0.00118582323459915,0.0004786390851214389,0.1227599199812866,9.159672731526976e-06,NA,3,4,4,0.0012840002326452685,0.018154514864069483
ENSG00000143248.12,RGS5,-3.1928170842614274,-0.5932834166711279,0.0014089216357360073,0.003474906997988678,0.034937543181549034,0.023118824595546685,NA,14,15,15,0.0034999996978209514,0.022253373067253498
ENSG00000256269.7,HMBS,-3.1610797541463262,-0.3399962666259186,0.0015718545369365145,0.009222430448990473,0.06589627946581314,0.0020801291887143952,NA,16,16,16,0.001039999946189956,0.10684899845329786
ENSG00000104497.13,SNX16,3.1497388470451377,0.20290532568416825,0.00163416468378671,0.019045292961915795,0.2091698672903544,6.013426561538381e-09,NA,31,31,31,0.001235999893450709,0.031246954867572136
ENSG00000185829.17,ARL17A,3.1215803791630146,0.08239409114532747,0.0017988313479897578,0.15081595625621955,0.16399478607029658,5.70650856456924e-07,NA,72,78,78,2.3759983062253677e-06,0.3637416177274898
ENSG00000198252.11,STYX,3.1010288507405046,0.43477372445388895,0.0019284949977414003,0.00522962805786297,0.05935249641145954,0.003538395265846108,NA,23,23,23,0.0006191998706804473,0.03746401152358349
ENSG00000102763.17,VWA8,-3.070051508865243,-0.21855387848961863,0.002140218564626017,0.024253886448289012,0.04309397300716418,0.012078815565927005,NA,36,37,37,0.003477000446400808,0.11843403881771628
