gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000278041.1,RP5-984P4.6,-5.2896546801326405,-1.8989034088025634,1.2254750693606403e-07,0.0008099559175167629,0.03350178955424126,0.0263042519442344,NA,7,7,7,1.9639995404704836e-08,0.0202709296577533
ENSG00000174891.12,RSRC1,4.330185917726548,0.39026081494180037,1.4898350314647557e-05,0.01174588912439065,0.027488321665875868,0.04553195867247007,NA,71,71,71,1.9699983911727465e-05,0.05395139294361611
ENSG00000152348.15,ATG10,-3.9329136278254992,-0.10496262367812825,8.392239887931588e-05,0.12368789273667441,0.36956110538742415,1.4005002934553673e-17,NA,46,48,48,0.00015349999686101884,0.19795894190450894
ENSG00000205726.14,ITSN1,3.8460523546946823,0.4190260223771088,0.00012003612495254137,0.007826959286675487,0.06201938001595484,0.002080365017663922,NA,41,41,41,0.0005630998180826077,0.060163107900888635
ENSG00000143951.15,WDPCP,-3.756737521142362,-0.5123947873022312,0.00017214288335819043,0.005639178667711791,0.051900689497860086,0.0038976463131695617,NA,16,16,16,8.874001748390557e-05,0.02205743028181866
ENSG00000185829.17,ARL17A,3.6909343012079248,0.0785045818609924,0.0002234318472823082,0.2649963098643588,0.4450996708504161,4.83343418001791e-22,NA,73,77,77,5.373005515421351e-06,0.18820638279918087
ENSG00000188729.6,OSTN,3.480647552781361,0.5154148751788618,0.0005002032234197699,0.0043982081121066545,0.08026801682735885,0.0004441654464549773,NA,28,28,28,0.00039220016125646824,0.009802871140160234
ENSG00000103599.19,IQCH,3.42535246186157,0.7326062180387872,0.000614002312514117,0.0020100993037829914,0.052262821345719315,0.005338576842519914,NA,17,17,17,0.00010019996645666362,0.022035920836151437
ENSG00000205659.10,LIN52,3.4040069068952343,0.38210951604010435,0.0006640507425393313,0.008237165450598917,0.07603353528071936,0.0005026789208213414,NA,12,12,12,0.000471399833140542,0.059377030902404385
ENSG00000100106.19,TRIOBP,-3.268940367576423,-0.3074575155494303,0.0010795104994581295,0.010010903479670069,0.15609848024036047,5.571232335248971e-07,NA,28,30,30,0.0015029996279785028,0.042138017305197034
ENSG00000224848.1,RP11-535M15.1,-3.261058066229482,-0.1314654230919649,0.00110997307508115,0.049617607357370495,0.21994389890091184,1.0287975316887494e-09,NA,8,8,8,0.0005899998925377367,0.12851821487555748
ENSG00000227888.4,FAM66A,-3.194313564426162,-0.10067627015399734,0.0014016378493275643,0.10100140980509631,0.2785021744325994,2.214245885611516e-12,NA,20,22,22,1.9620018478959087e-05,0.13000149172015169
ENSG00000104497.13,SNX16,3.14352216098321,0.21507962515610524,0.0016692777554393678,0.018879781339918942,0.2262155637210656,5.882468622128773e-10,NA,57,58,58,0.0011299999721055079,0.02599584391875636
ENSG00000271755.1,RP1-153G14.4,-3.1412579703556447,-0.35656300406847397,0.0016822378568508679,0.007442014266385253,0.03777783446506952,0.018639677389846177,NA,7,7,7,0.00030030007191073126,0.031289600042645464
ENSG00000130592.15,LSP1,3.1273466950358255,0.2560530158565072,0.001763917859361709,0.017150226645584882,0.07775496508867054,0.0005324064070096463,NA,10,10,10,0.0019129993741240161,0.06546739631302867
ENSG00000267534.2,S1PR2,3.087659100318825,0.29009552858716536,0.002017397491648277,0.010272149611625748,0.04596673075320104,0.00864582362599155,NA,37,38,38,0.0016819993919598632,0.14628915123418967
ENSG00000197140.14,ADAM32,-3.062412302289071,-0.28149352752736656,0.0021956080096595387,0.011794805198711667,0.09246411198389914,0.00013397753638733472,NA,19,19,19,0.00017799994933372266,0.03647480436741581
ENSG00000271904.1,CTC-498M16.4,-3.0404568731970536,-0.13301896584134265,0.0023621951894379966,0.051001787435715096,0.15519132050763024,6.866502335387967e-07,NA,23,28,28,0.0005061000696628754,0.08527976034525334
ENSG00000253678.1,RP11-981G7.3,-3.0319118784659524,-0.09384772379831556,0.0024301013559186735,0.10123408219179339,0.18746967265668235,9.407813852624896e-09,NA,35,37,37,0.0001532999659041499,0.2486243587205995
ENSG00000188672.17,RHCE,-3.0224889586092583,-0.12484190984344265,0.002507052285981504,0.05475338701374215,0.2766940696021259,5.856851736448727e-13,NA,21,21,21,0.0018789995933031348,0.05238386488529208
ENSG00000228126.1,FALEC,-3.0222955012667674,-0.19062720991243548,0.0025086552241494454,0.026785666110998477,0.03777962115079229,0.0185986962484592,NA,20,27,27,0.01057000043925416,0.14880894640185136
ENSG00000177868.11,SVBP,3.0153908629221418,0.19357609965504297,0.002566482835894229,0.02688729898957261,0.115164393007279,2.3043959796728266e-05,NA,31,31,31,0.0069560010533555455,0.08037092187765414
ENSG00000161958.10,FGF11,-2.9718551521603627,-0.24567710412915816,0.00296006298679507,0.013904707653229435,0.045587116962674236,0.005799616542644918,NA,30,30,30,0.0011010002028932885,0.06323983305969788
ENSG00000184647.10,PRSS55,2.9595505700755247,0.15158366756597116,0.0030808813264480007,0.036943346564676766,0.10864945463580812,4.296259136419094e-05,NA,19,25,25,0.0005100001534425916,0.1931351461263052
ENSG00000184465.15,WDR27,2.9560837655835757,0.34214431651722044,0.003115724592139106,0.007475204521574177,0.17099678794956452,1.3767984601143401e-07,NA,20,20,20,0.001020000328774155,0.025246956586959603
ENSG00000197245.5,FAM110D,2.9468199857757975,0.32924214530676116,0.003210600477118588,0.00811683938873923,0.08893269526688542,0.00017745897977402276,NA,6,6,6,0.001121000006542343,0.055194616757230384
ENSG00000183527.11,PSMG1,-2.8940610968104012,-0.18848488884572057,0.0038029415705106775,0.02174550825416461,0.16440571403546336,1.1992847235190064e-07,NA,63,69,69,0.00016570005674005841,0.06777118063359623
